"prop.corr" "prop.mean" "prop.sd" "prop.lm.coef" "prop.lm.pvalue" "prop.cos"
"bk1.txt" 0.663423092415032 1.02345185655814 1.69075972976601 0.560591956400207 3.77151772900618e-29 0.812159982616332
"bk15.txt" 0.697849364500972 0.738108949116936 0.990160112846152 0.392799469458737 6.32148599950039e-34 0.847193274141579
"ca1.txt" 0.281471393196068 1.40202236435317 2.51398519560052 0.381107805543927 7.77503048021007e-12 0.575250324750457
"ca14.txt" 0.650017643214895 1.07682187601338 2.94627840655231 0.323309132864551 4.53938098565324e-31 0.827210763642015
"nb1.txt" 0.592922099063435 4.37572998002303 18.8876721220985 0.439407391432867 4.31510221144177e-25 0.775211822471516
"nb11.txt" 0.800673628453885 341.312525897826 3678.61858177479 0.600449323346454 3.13659560804536e-40 0.882956350213532
"nb5.txt" 0.650108281466038 1.60292125141081 5.19923135455049 0.243490276945743 1.43907792200948e-30 0.823415770530199
"nk11.txt" 0.781852754476652 2.11529795662018 9.0762092020602 0.475603791468162 6.32593957531147e-41 0.886311590176428
"nk14.txt" 0.546087863126954 0.382516888845972 0.641305126939983 0.183987053625766 3.72356189157916e-23 0.754684882829913
"nk5.txt" 0.752438100676845 0.999970739141402 1.95477840812809 0.503296118447408 4.9210911763252e-38 0.87164820969243
"pe2.txt" 0.803967107050977 1.57402123588013 4.19748902909291 0.412947389777896 1.91316636100691e-44 0.901795473960489
"ra6.txt" 0.559278214903349 0.776815336266756 1.33673791831332 0.443825673343113 1.18578602710879e-23 0.760155607618923
"ra7.txt" 0.75312176411449 1.12291527016371 6.5133989124585 0.344256215325084 2.12420294408549e-37 0.868162353047481
"rge7.txt" 0.811578351537379 0.903203603993292 4.12376738068261 0.381201425110543 4.24980618314823e-45 0.904415897732946
"rge9.txt" 0.442502313220649 2.36551296446732 9.51197838686929 0.464249852881819 4.04080054954899e-18 0.689906768969066
"tim11.txt" 0.69597696345584 8.4380107888248 64.1732656848531 0.432235471610988 1.23456816951929e-34 0.851753030560607
"tim12.txt" 0.741931669648089 5.5556687440463 42.8442892103735 0.315528462946904 4.38254191040436e-37 0.866398445464305
"tim15.txt" 0.658568943246705 0.7924828363446 0.988480917200494 0.430512965204975 1.57638140391268e-30 0.823112109085914
"tim18.txt" 0.662137675384547 54.5714318785835 475.625001228247 0.525155594777967 6.39242842445282e-32 0.833452770145856
"tim2.txt" 0.874531582222527 0.947334681912313 3.23413385574386 0.391017243261306 2.37830562347641e-54 0.934590369523277
