"coef_y" "coef_x"
"bk14.txt" 0.031034600933111 0.207577729596253
"bk2.txt" 0.0327462643881465 0.145364367373158
"cq3.txt" 0.0317477318126562 0.351731877429199
"gb8.txt" 0.0338427267969922 0.21416044495956
"nb12.txt" 0.0206602881067977 0.484695784765995
"nb9.txt" 0.0380929755389512 0.346757841891299
"nk9.txt" 0.0252368597484841 0.275420796345805
"pe3.txt" 0.0352159460192799 0.201763148432359
"pf10.txt" 0.0348012702948121 0.331030367776467
"pf7.txt" 0.0377862478309911 0.156129948427979
"ra4.txt" 0.0450134968008472 0.298859984042462
"ra9.txt" 0.0389304492341743 0.230366134309743
"rge10.txt" 0.0330431526038906 0.351638081638975
"rge11.txt" 0.0423457684310417 0.299545888695538
"rge4.txt" 0.0313131591781539 0.202938795477779
"tim20.txt" 0.0189922714224048 0.268721045401535
"tim3.txt" 0.014890587143627 0.358512049478969
"tim4.txt" 0.0114855057345064 0.321594361682171
