"coef_y" "coef_x"
"bk14.txt" 0.0153555394237414 0.273905438981422
"bk2.txt" 0.043237529418438 0.232627747145566
"co2.txt" 0.0218277733861702 0.324157676352917
"cq3.txt" 0.0329029973075118 0.302600043066804
"em39.txt" 0.0346132973915746 0.40415245180537
"em8.txt" 0.028235277097695 0.426086834051726
"gb8.txt" 0.0227894666815578 0.21459482831835
"iz10.txt" 0.0479490241667956 0.258678945057101
"iz9.txt" 0.073389571932768 0.256322423444864
"kd16.txt" 0.0424501956763818 0.224344911878197
"kd29.txt" 0.0378900291053055 0.289880035664719
"kd32.txt" 0.0362339220266116 0.235799550554905
"kd8.txt" 0.0423817330918996 0.282884525596265
"lesl4.txt" 0.0282824898061823 0.296148066939839
"mn10.txt" 0.0196117981061924 0.199775441631874
"ms12.txt" 0.0217947641044696 0.2162359025084
"ms16.txt" 0.0389252577102575 0.253202180356447
"mu12.txt" 0.0247386216325888 0.227745352221368
"mu14.txt" 0.0256616867414034 0.224176216273206
"nb12.txt" 0.0255332797289654 0.341807369364586
"nb9.txt" 0.0198942467431841 0.327627392625585
"nk9.txt" 0.0375834781423018 0.206917202281233
"pe3.txt" 0.0258534284105352 0.245964914057257
"pf10.txt" 0.0332434778101298 0.359065559751752
"pf7.txt" 0.0231890892465935 0.319988546645714
"ra4.txt" 0.0335680639916099 0.259074620931051
"ra9.txt" 0.04602923536857 0.23864754286721
"rge10.txt" 0.0251627948065452 0.307815592087137
"rge11.txt" 0.0176749358983066 0.181990885384292
"rge4.txt" 0.0129186037717491 0.263533303885522
"sl11.txt" 0.0234931206031042 0.343455505264878
"sl15.txt" 0.0329213277268534 0.228150617351923
"sl34.txt" 0.0262375527332366 0.24475886208048
"tim20.txt" 0.0265508441243644 0.328500817043027
"tim3.txt" 0.00996893331626142 0.275001194393131
"tim4.txt" 0.00816244586298445 0.28923393238618
