"x" "a" "b" "w"
"1" -0.999204523892096 0 9.84593014441615e-18 0
"2" -0.988095919269735 1.54192327176432e-16 0 0
"3" -0.976987314647374 1.2644810784977e-15 0 0
"4" -0.965878710025013 2.51231261569497e-15 0 0
"5" -0.954770105402652 2.05832376391175e-16 7.8821143221447e-18 7.8821143221447e-18
"6" -0.943661500780291 1.15694399435482e-15 2.52480378147464e-18 2.52480378147464e-18
"7" -0.93255289615793 1.79995709034979e-15 0 0
"8" -0.921444291535569 1.12606511855061e-15 0 0
"9" -0.910335686913208 1.48932295561699e-15 0 0
"10" -0.899227082290847 2.20651278794149e-15 0 0
"11" -0.888118477668486 3.7893580088939e-15 0 0
"12" -0.877009873046125 7.33833510712381e-16 0 0
"13" -0.865901268423764 1.82104659978478e-16 0 0
"14" -0.854792663801403 2.17038271215268e-15 0 0
"15" -0.843684059179041 6.20192876715926e-15 0 0
"16" -0.83257545455668 2.88982501991108e-15 0 0
"17" -0.821466849934319 2.9953124237221e-16 0 0
"18" -0.810358245311958 7.43932764153259e-17 0 0
"19" -0.799249640689597 0 0 0
"20" -0.788141036067236 7.49736349091302e-17 0 0
"21" -0.777032431444875 2.73892446246441e-16 0 0
"22" -0.765923826822514 0 0 0
"23" -0.754815222200153 0 0 0
"24" -0.743706617577792 0 0 0
"25" -0.732598012955431 0 0 0
"26" -0.72148940833307 0 0 0
"27" -0.710380803710709 0 0 0
"28" -0.699272199088347 0 0 0
"29" -0.688163594465987 6.31739192467301e-17 0 0
"30" -0.677054989843625 1.56895380480843e-15 0 0
"31" -0.665946385221264 6.23578327439538e-15 0 0
"32" -0.654837780598903 4.36173407509641e-15 0 0
"33" -0.643729175976542 3.06391647037973e-16 0 0
"34" -0.632620571354181 7.90075343906161e-16 0 0
"35" -0.62151196673182 0 0 0
"36" -0.610403362109459 4.45309864340592e-17 0 0
"37" -0.599294757487098 4.46720069071739e-16 0 0
"38" -0.588186152864737 1.94979830170425e-15 8.07322996695359e-17 8.07322996695359e-17
"39" -0.577077548242376 4.2264199491142e-15 8.11162359230123e-16 8.11162359230123e-16
"40" -0.565968943620015 2.95308727046501e-15 3.57207495367171e-15 2.95308727046501e-15
"41" -0.554860338997654 2.20364811291448e-16 1.31793868681521e-14 2.20364811291448e-16
"42" -0.543751734375293 1.4274095142827e-15 4.6054364635103e-14 1.4274095142827e-15
"43" -0.532643129752931 8.33325003369657e-15 1.542959950668e-13 8.33325003369657e-15
"44" -0.521534525130571 1.03977940458588e-14 4.96313390414951e-13 1.03977940458588e-14
"45" -0.510425920508209 1.13485043274929e-15 1.53163941822451e-12 1.13485043274929e-15
"46" -0.499317315885848 2.83537809728487e-16 4.52270005137917e-12 2.83537809728487e-16
"47" -0.488208711263487 1.1987761713472e-15 1.27259839574858e-11 1.1987761713472e-15
"48" -0.477100106641126 6.50953057003306e-17 3.86766224730463e-11 6.50953057003306e-17
"49" -0.465991502018765 4.84081605425561e-16 1.16447121987984e-10 4.84081605425561e-16
"50" -0.454882897396404 8.8479794641607e-16 3.39575741254434e-10 8.8479794641607e-16
"51" -0.443774292774043 0 9.58954455440052e-10 0
"52" -0.432665688151682 5.1612849325535e-17 2.62199966942133e-09 5.1612849325535e-17
"53" -0.421557083529321 2.26131893780615e-16 6.93993435527683e-09 2.26131893780615e-16
"54" -0.41044847890696 6.29001288582081e-16 1.77777288050346e-08 6.29001288582081e-16
"55" -0.399339874284599 2.88219259703973e-15 4.40658373094365e-08 2.88219259703973e-15
"56" -0.388231269662238 5.92306440492573e-16 1.05666646811795e-07 5.92306440492573e-16
"57" -0.377122665039877 9.44224990683084e-16 2.45070751042641e-07 9.44224990683084e-16
"58" -0.366014060417516 6.60303513387781e-16 5.49639708872645e-07 6.60303513387781e-16
"59" -0.354905455795155 0 1.27314421272143e-06 0
"60" -0.343796851172793 0 2.90188047886743e-06 0
"61" -0.332688246550432 6.10684359529398e-17 6.42161190173286e-06 6.10684359529398e-17
"62" -0.321579641928071 1.05406804808552e-15 1.37995458025178e-05 1.05406804808552e-15
"63" -0.31047103730571 4.45921087615156e-15 2.88043334619982e-05 4.45921087615156e-15
"64" -0.299362432683349 4.2629589790201e-15 5.84205517476984e-05 4.2629589790201e-15
"65" -0.288253828060988 9.58359392767523e-16 0.000115175803477244 9.58359392767523e-16
"66" -0.277145223438627 3.45609824760902e-15 0.000220827020625691 3.45609824760902e-15
"67" -0.266036618816266 2.14644344717999e-14 0.000411987925761233 2.14644344717999e-14
"68" -0.254928014193905 2.382190256306e-14 0.000748419710170564 2.382190256306e-14
"69" -0.243819409571544 0 0.00132484155272575 0
"70" -0.232710804949183 0 0.00234920833247881 0
"71" -0.221602200326822 0 0.004080674509001 0
"72" -0.210493595704461 0 0.00690063813715372 0
"73" -0.1993849910821 2.44299527120964e-16 0.0113657397458266 2.44299527120964e-16
"74" -0.188276386459739 1.22080254497073e-15 0.0182423462990791 1.22080254497073e-15
"75" -0.177167781837377 0 0.0285482077486871 0
"76" -0.166059177215016 0 0.0435859901862732 0
"77" -0.154950572592655 0 0.0649604846493793 0
"78" -0.143841967970294 1.13269867019745e-15 0.094570116890494 1.13269867019745e-15
"79" -0.132733363347933 6.18365463478175e-15 0.13456297749364 6.18365463478175e-15
"80" -0.121624758725572 1.88102566077088e-15 0.187248189409122 1.88102566077088e-15
"81" -0.110516154103211 7.79607043807422e-16 0.256485406663738 7.79607043807422e-16
"82" -0.09940754948085 1.61355965448672e-15 0.343615903081393 1.61355965448672e-15
"83" -0.0882989448584889 1.00868734139519e-14 0.449650399311501 1.00868734139519e-14
"84" -0.0771903402361278 8.25015844475514e-15 0.575075099984876 8.25015844475514e-15
"85" -0.0660817356137667 5.62841640767689e-16 0.719250204771973 5.62841640767689e-16
"86" -0.0549731309914057 6.07780726289373e-15 0.880231328962173 6.07780726289373e-15
"87" -0.0438645263690446 3.72487311373317e-14 1.05469033046818 3.72487311373317e-14
"88" -0.0327559217466835 2.25073821297255e-14 1.23796004511289 2.25073821297255e-14
"89" -0.0216473171243226 1.15797863978469e-17 1.42421600679366 1.15797863978469e-17
"90" -0.0105387125019615 45.2893293274647 1.60679408775825 1.60679408775825
