"err_tau1" "err_pgram"
"1" 0 0.265492751782667
"2" 0 0.760355404969746
"3" 0.135051558910592 0.135051558910592
"4" 0 0
"5" 0 0.0230831987351149
"6" 0 0.112129098446915
"7" 0 0
"8" 0 0.227072515390572
"9" 1.04835155371367 0.814047825377053
"10" 0.0791227616794471 0.0791227616794471
"11" 0 0.31277548864416
"12" 0 0.218767309715052
"13" 0 0
"14" 0 0
"15" 0 0
"16" 0 0.106658718868492
"17" 0 0
"18" 0 0
"19" 0 0.534424680627563
"20" 0 0
"21" 0.13640468384814 0.248736591881692
"22" 0 0
"23" 0 0.101458179427397
"24" 0 0.116414711568837
"25" 0 0.605267013237967
"26" 0 0.106161596406191
"27" 0 0.0843015362124527
"28" 1.15221034902203 0
"29" 0.148371959722212 0
"30" 0 0.239055987532602
"31" 0 0.256851089463267
"32" 0 0.280824274378673
"33" 0 0.0972968323666298
"34" 0 0
"35" 0 0.249089565633598
"36" 0 0
"37" 0 0.128399268555052
"38" 0.82377958083449 0
"39" 0.914553773608627 0
"40" 0 0.128684958895224
"41" 0 0.541590718572235
"42" 0 0.205907878675269
"43" 0.182498863896285 0.189339092325299
"44" 0 0.0322889114261404
"45" 0 0.175985767580715
"46" 0 0
"47" 0 0.131938655819157
"48" 0.0987056700649036 0.536434869693697
"49" 0 0.677244573020731
"50" 0 0
"51" 0.694391553157291 0.395756282162933
"52" 0 0
"53" 0.918359944539244 0.873066387861576
"54" 0 0.127797777078569
"55" 0 0.191250238655308
"56" 0 0.488347574789289
"57" 0.665028050525802 0.527364396667627
"58" 0 0.563344412067197
"59" 0 0.717323495426518
"60" 0 0.28457075917796
"61" 0 0.131944325153141
"62" 0 0.201241007342723
"63" 0 0
"64" 0 0.878149925383494
"65" 0 0
"66" 0 0.544424363921976
"67" 0 0.121086026189987
"68" 0 0.672208050805716
"69" 0 0.129794974346977
"70" 0 0.0987747725462479
"71" 0.150938479579409 0.564165620689055
"72" 0 0
"73" 0 0.806610883807057
"74" 0 0.12392537770342
"75" 0 0.330285502058384
"76" 0 0
"77" 0.136758410500361 0.013445200859815
"78" 0 0.454189572107426
"79" 0 0
"80" 0 0
"81" 0 0
"82" 0 0.599558313696512
"83" 0 0.200117410464432
"84" 0 0.406405767949208
"85" 0 0.140166203967571
"86" 0 0.0726317569191097
"87" 0 0
"88" 0 0
"89" 0.784645650041237 0.467465295404193
"90" 0 0.163387693005911
"91" 0 0.0966172822387417
"92" 0 0
"93" 0 0
"94" 0 0.244154585878128
"95" 0 0
"96" 0 0.102678755539159
"97" 0 0.304980252628427
"98" 0 0.000431092914097469
"99" 0.0607783584757941 0.0607783584757941
"100" 0 0.395428912272089
"101" 0 0
"102" 0 0.347145865898738
"103" 0 0.356551680124669
"104" 0 0.470925478659068
"105" 0 0.230691771716907
"106" 0 0
"107" 0 0
"108" 0 0.372488089023952
"109" 0.201467425030972 0.33045529096547
"110" 0.909845808614926 0
"111" 0 0
"112" 0 0.45267030116235
"113" 0 0.157450053717675
"114" 0.929200734651 0
"115" 0 0
"116" 0.280183174324584 0.280183174324584
"117" 0 0
"118" 0 0.100312977180899
"119" 0 0.0897318359785612
"120" 0 0.0424675545078315
"121" 0.139610487947605 0.120262246623805
"122" 0 0.852618250912603
"123" 0 0
"124" 0 0
"125" 0.082108980307978 0.082108980307978
"126" 0 0.345391893359541
"127" 0 0
"128" 0 0.0215078273963877
"129" 0 0.137204820882708
"130" 0 0
"131" 0 0.261677410472779
"132" 0.865112033602902 0.591660685064111
"133" 0 0
"134" 0 0.832429942746991
"135" 0 0.153534753443235
"136" 0.25402153118035 0
"137" 0 0.0196127273787867
"138" 0 0.521231131465245
"139" 0 0
"140" 0 0
"141" 0 0.203501095470167
"142" 0 0.10267329226097
"143" 0 0.173638427982771
"144" 0 0.171708289883873
"145" 0 0.241111995157983
"146" 0 0
"147" 0 0
"148" 0 0.236315857558291
"149" 0.1980866992369 0.372472052620768
"150" 0.149263471334885 0.932338341086732
"151" 0.951970414999307 0.522035350976175
"152" 0 0.020580768330277
"153" 0 0
"154" 0 0
"155" 0 0.0897875224762633
"156" 0 0.709029313563265
"157" 0 0
"158" 0 0.239833602522777
"159" 0 0
"160" 0.283335212494841 0.707004638715611
"161" 0 0
"162" 0 0
"163" 0 0.104263582862911
"164" 0 0.412061330677983
"165" 0 0.0931761176244148
"166" 0 0.138392050310943
"167" 0 0.620637900709165
"168" 0.160895291833229 0.234916140525379
"169" 0 0.505678018685113
"170" 0 0
"171" 0 0
"172" 0 0
"173" 0 0
"174" 1.10918469482107 0
"175" 0 0.140362178821073
"176" 0 0
"177" 0 0.274944202144901
"178" 0.157887191155172 0.162155390373032
"179" 0 0.424502074828651
"180" 0 0.162074382241035
"181" 0.168355840099831 0.601833394420836
"182" 0 0.29917119402041
"183" 0.162255409049138 0
"184" 0.923355386319015 0.536249429246195
"185" 0 0.105130201979545
"186" 0 0.795614021077094
"187" 0 0
"188" 0 0.445228191465319
"189" 0.114999868440355 0
"190" 0 0
"191" 0 0.517017235785622
"192" 0 0.143389026579587
"193" 0 0.162409464512199
"194" 0 0.280183751167928
"195" 0 0
"196" 0.122998347411439 0
"197" 0 0
"198" 0 0
"199" 0 0
"200" 0 0
