"err_tau1" "err_pgram"
"1" 0 0.0378285188473526
"2" 0 0.0373836178006085
"3" 0 0.0207120540074138
"4" 0 0
"5" 0 0.0180829797653151
"6" 0 0.414054410105998
"7" 0 0.00906725473606813
"8" 0 0
"9" 0 0.419259118297754
"10" 0 0
"11" 0 0.352561082933835
"12" 0 0
"13" 0 0
"14" 0 0.388826407513464
"15" 0 0.0354150387086739
"16" 0 0.4723374085587
"17" 0 0
"18" 0.0354590465186653 0.0354590465186653
"19" 0 0
"20" 0 0
"21" 0 0
"22" 0 0.515056879893801
"23" 0 0.00613517206893564
"24" 0 0
"25" 0 0.0290901683858824
"26" 0 0.0161537742090746
"27" 0 0.142613294771288
"28" 0 0.0607726429329746
"29" 0.0410298959854057 0.0178573755415726
"30" 0 0
"31" 0 0.491820569700302
"32" 0 0.00246112948418987
"33" 0 0.0526587116443376
"34" 0 0.020488946028874
"35" 0 0
"36" 0 0.360612438735473
"37" 0 0.0313235736697853
"38" 0 0.0666233940135216
"39" 0 0.0888343236846167
"40" 0 0.0302858947992184
"41" 0 0.42801650637821
"42" 0 0.101446441814307
"43" 0 0
"44" 0 0.0854439664874297
"45" 0 0
"46" 0 0
"47" 0 0.004410883090907
"48" 0 0.0522667438977293
"49" 0 0
"50" 0 0.0303416745808664
"51" 0 0.0262956873552867
"52" 0 0.440596090085493
"53" 0 0.0613134539966727
"54" 0 0.517197770531526
"55" 0 0.0957997923424448
"56" 0 0
"57" 0 0.0143770564159677
"58" 0.334476347622498 0
"59" 0 0
"60" 0 0.0208882986941988
"61" 0 0.0539810739251986
"62" 0 0.00938165637037379
"63" 0 0
"64" 0 0
"65" 0 0
"66" 0.0439837558469798 0.500664237460486
"67" 0 0
"68" 0 0
"69" 0 0.144284163354675
"70" 0.389381057429658 0
"71" 0 0.465245159589863
"72" 0 0
"73" 0 0
"74" 0.101280153067914 0.101280153067914
"75" 0 0
"76" 0 0
"77" 0 0.0334092856725961
"78" 0 0.558591731086855
"79" 0 0.479362847667328
"80" 0 0.0510776510083301
"81" 0 0.00835438409644642
"82" 0 0.553241649034059
"83" 0 0.0455783764508148
"84" 0 0
"85" 0 0.699629884140821
"86" 0 0.00442652565647186
"87" 0 0
"88" 0 0
"89" 0 0
"90" 0 0.408764888445853
"91" 0 0
"92" 0 0.609299638327622
"93" 0 0.0329509426131299
"94" 0 0.0600539793367391
"95" 0 0
"96" 0.353367656040446 0
"97" 0 0.0226088742140007
"98" 0 0.0588045129293969
"99" 0 0.0623945827125094
"100" 0.0522181680114135 0.0785490192284879
"101" 0 0
"102" 0 0.0628983753496696
"103" 0 0
"104" 0 0.0110720189991786
"105" 0 0
"106" 0 0.308315922290198
"107" 0 0
"108" 0 0.0116526367691422
"109" 0 0
"110" 0 0
"111" 0 0.0343792673714227
"112" 0 0
"113" 0 0
"114" 0 0.0697635827235212
"115" 0 0.0430091709099339
"116" 0 0
"117" 0 0.469386453413261
"118" 0 0.105960723111698
"119" 0 0.0452780548163951
"120" 0 0
"121" 0 0.48307472219976
"122" 0 0
"123" 0 0.00653386979948561
"124" 0 0
"125" 0 0.00827308536079953
"126" 0 0.0310091052018227
"127" 0 0.000228601889036335
"128" 0 0.0391334574530491
"129" 0 0
"130" 0 0.686819403093176
"131" 0 0
"132" 0 0
"133" 0 0.0353104280267135
"134" 0 0.0371496972165669
"135" 0 0.0617785507655007
"136" 0 0.0296533290819109
"137" 0 0.0688060819543567
"138" 0 0.0133241005147068
"139" 0 0.0211836015585239
"140" 0 0
"141" 0 0
"142" 0 0.00521630752726835
"143" 0 0
"144" 0 0
"145" 0 0
"146" 0 0
"147" 0 0.047989943486849
"148" 0 0
"149" 0 0.0155563368577801
"150" 0 0
"151" 0 0
"152" 0 0.0695616660754943
"153" 0 0.101822427362214
"154" 0 0.0215211941063352
"155" 0 0.456576842859682
"156" 0 0.00383224018440932
"157" 0 0.028104364001971
"158" 0 0
"159" 0 0.0813373728741831
"160" 0 0.397419842400732
"161" 0 0
"162" 0 0.116898826482117
"163" 0 0
"164" 0 0
"165" 0 0
"166" 0 0.0300413291404778
"167" 0 0.515647345517539
"168" 0 0
"169" 0 0.431046843105073
"170" 0 0
"171" 0 0.0050190106674512
"172" 0 0
"173" 0 0.0905542689502377
"174" 0 0.418839814690398
"175" 0 0.0255877931238663
"176" 0 0
"177" 0 0.393867344721088
"178" 0 0.00421886279463681
"179" 0 0.0812029435036823
"180" 0 0.421632705408966
"181" 0 0.0266901758189293
"182" 0 0
"183" 0 0
"184" 0 0.596854363560283
"185" 0 0
"186" 0 0
"187" 0 0.00467923578783233
"188" 0 0
"189" 0 0.569305832991744
"190" 0 0
"191" 0 0.0487224968469729
"192" 0 0.0721503291848977
"193" 0 0
"194" 0 0
"195" 0 0.0201523669486013
"196" 0 0.00363129012017694
"197" 0 0.530369713604957
"198" 0 0.556159906736976
"199" 0 0
"200" 0.296653245691349 0.59346226916738
