#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb5 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.63 49.23 12.20 8.46 5.56
1 2.08 47.49 11.33 8.39 9.06
2 2.65 44.59 12.61 10.96 9.92
3 2.47 48.29 13.41 10.03 9.53
4 2.84 51.31 12.47 12.59 6.27
5 2.74 49.40 15.33 7.06 7.72
6 3.22 41.63 12.28 11.54 15.28
7 3.77 46.78 11.71 9.32 24.39
8 4.02 43.92 12.27 9.86 28.87
9 3.93 50.26 12.84 12.84 12.21
10 4.04 53.05 13.98 11.34 8.50
11 4.07 41.54 12.38 10.62 17.40
12 4.03 54.46 13.44 10.15 6.73
13 4.94 48.56 13.33 11.37 33.15
14 4.79 57.34 12.72 11.22 6.50
15 4.90 39.19 12.66 11.74 34.26
16 5.06 51.83 12.39 12.23 27.04
17 5.07 55.26 12.92 13.74 9.28
18 5.03 41.05 12.81 13.93 44.50
19 5.50 42.23 13.79 12.40 43.69
20 5.35 45.09 12.95 11.48 39.14
21 6.07 36.81 11.99 14.52 43.59
22 6.30 46.93 13.54 12.84 48.21
23 6.23 39.33 12.46 12.53 52.94
24 6.17 52.83 13.58 13.37 31.18
25 6.07 59.06 12.75 9.88 7.58
26 6.42 55.69 13.31 11.86 20.07
27 6.28 49.70 13.35 13.30 36.37
28 6.21 57.76 11.17 12.94 8.74
29 6.60 43.78 14.30 14.21 44.33
30 6.92 60.03 12.85 12.59 5.72
31 7.11 61.53 12.97 11.23 6.07
32 7.34 40.96 14.47 15.04 46.38
33 7.38 37.77 13.36 16.49 41.09
34 7.28 51.30 12.84 14.89 34.85
35 7.41 57.86 13.78 12.11 12.30
36 7.63 48.00 14.20 15.94 30.54
37 7.79 45.60 13.70 16.17 44.54
38 7.86 53.74 13.86 18.07 22.57
39 7.48 59.75 11.56 12.66 7.22
40 7.99 43.12 14.86 19.90 39.66
41 8.24 32.94 12.83 16.36 20.13
42 8.05 56.11 13.17 15.67 13.28
43 8.44 35.91 12.92 15.28 35.95
44 8.54 61.80 13.82 12.99 8.34
45 8.50 38.87 13.44 17.14 38.60
46 8.77 51.65 13.08 18.34 25.77
47 8.51 41.20 14.51 20.60 29.28
48 8.76 59.87 14.85 14.83 8.75
49 8.92 49.01 13.19 18.33 25.73
50 8.82 55.68 15.24 16.45 10.89
51 8.89 64.98 11.83 10.19 6.33
52 9.26 46.50 14.18 24.81 17.64
53 9.30 57.58 15.68 20.46 10.98
54 8.87 57.99 13.55 22.36 10.91
55 9.32 44.04 14.19 24.35 16.31
56 9.15 41.23 14.73 19.68 23.64
57 9.21 54.87 14.45 16.09 13.36
58 9.60 31.69 13.50 17.73 10.23
59 9.57 37.11 14.68 22.57 21.99
60 9.81 33.42 11.75 18.91 8.95
61 9.73 53.40 14.64 20.35 12.35
62 9.73 34.98 12.95 20.79 12.56
63 9.94 39.43 14.14 26.04 14.86
64 9.67 64.15 13.50 12.00 8.98
65 9.92 65.91 12.90 10.98 7.76
66 9.90 51.40 15.04 24.00 11.65
67 10.25 50.20 16.34 29.91 10.76
68 10.22 55.13 13.52 21.21 10.88
69 9.79 66.82 12.60 13.00 7.60
70 10.24 42.07 14.77 25.73 12.02
71 10.39 29.74 12.84 19.03 8.87
72 10.52 44.94 15.49 26.74 10.75
73 10.68 47.67 15.86 34.84 9.39
74 10.39 62.34 13.21 17.54 9.04
75 10.36 64.55 12.46 13.98 8.90
76 10.22 35.39 15.91 21.64 9.91
77 10.55 36.08 15.68 20.76 9.83
78 11.04 33.63 14.04 20.37 9.41
79 10.94 52.88 14.40 27.13 11.16
80 10.51 65.78 14.60 9.00 7.00
81 11.03 37.99 16.83 23.71 9.33
82 10.83 58.52 14.54 18.96 10.12
83 11.09 67.20 11.92 12.55 10.03
84 11.08 31.27 14.65 18.07 9.52
85 11.18 69.72 12.38 10.28 9.75
86 11.44 40.30 15.12 27.72 9.32
87 11.32 56.42 15.15 29.46 11.45
88 11.48 49.85 15.00 34.34 11.05
89 11.41 61.15 14.61 24.00 12.96
90 11.54 43.22 17.52 34.40 10.03
91 11.62 28.68 13.70 21.37 8.07
92 11.46 58.12 14.65 21.57 10.41
93 11.85 45.86 14.79 28.20 10.29
94 11.58 64.49 16.20 14.29 10.68
95 11.82 35.71 15.22 24.55 9.93
96 11.83 55.23 14.54 32.55 10.75
97 11.77 31.73 14.19 21.39 9.90
98 12.04 60.38 14.10 27.12 11.82
99 12.28 52.25 14.46 37.29 11.77
100 12.31 66.95 15.53 12.42 13.14
101 12.53 48.24 15.09 36.37 11.82
102 11.93 68.18 12.44 11.56 10.00
103 12.21 65.70 16.06 12.25 12.75
104 12.68 33.24 15.25 22.60 10.24
105 12.59 62.83 15.96 23.46 15.78
106 12.41 30.48 14.50 26.56 11.00
107 12.69 38.40 15.81 26.62 9.85
108 12.25 68.96 12.56 11.00 14.94
109 12.71 57.94 15.30 27.59 13.82
110 12.74 41.09 15.39 24.25 10.98
111 12.84 43.95 14.53 27.50 10.01
112 12.93 64.29 13.79 20.45 13.66
113 12.63 68.43 14.38 11.69 13.46
114 13.12 54.83 16.13 35.40 15.87
115 13.02 29.68 15.57 28.96 9.53
116 13.27 60.45 15.28 28.54 20.40
117 13.17 35.46 16.62 24.62 10.98
118 12.97 67.34 15.33 11.95 12.62
119 12.97 69.56 15.27 8.88 14.92
120 13.28 28.14 13.16 23.79 9.47
121 13.69 45.93 16.19 36.62 12.91
122 13.52 51.33 16.68 40.43 17.51
123 13.65 68.16 14.43 12.00 14.91
124 13.45 25.74 12.56 18.50 8.31
125 13.47 66.02 14.21 17.00 20.91
126 13.32 69.10 13.00 13.20 19.80
127 13.71 71.46 12.02 9.17 16.69
128 13.58 69.64 12.12 10.38 13.75
129 14.20 36.92 16.76 23.32 13.28
130 13.89 39.53 15.87 22.87 12.65
131 14.03 48.63 15.86 39.45 17.37
132 14.03 42.42 16.56 28.74 13.53
133 13.73 31.86 16.70 24.65 14.37
134 14.05 57.18 17.41 31.00 26.03
135 13.93 72.68 13.34 8.09 14.46
136 14.21 62.98 16.03 19.04 29.64
137 13.85 70.28 15.42 8.89 11.42
138 14.22 26.76 16.43 19.62 11.38
139 14.32 28.71 15.34 25.29 11.85
140 14.16 33.77 15.72 24.93 13.60
141 14.37 54.18 17.29 38.87 31.85
142 14.23 25.48 12.87 21.16 10.68
143 14.46 59.98 16.99 30.33 38.59
144 14.44 31.60 15.59 23.22 11.77
145 14.16 68.91 15.67 8.67 12.33
146 14.83 51.58 17.09 38.37 45.58
147 14.51 69.36 12.67 9.38 17.71
148 14.74 34.60 15.98 24.36 13.98
149 14.93 70.23 13.55 9.99 18.95
150 15.22 43.87 17.54 30.03 21.13
151 14.85 30.21 15.31 26.00 11.86
152 14.87 67.47 15.31 13.91 21.78
153 15.02 46.37 15.09 31.67 25.80
154 15.19 40.58 16.91 27.82 16.81
155 15.30 56.31 16.90 36.87 68.44
156 15.35 64.92 15.53 15.80 32.90
157 14.95 72.56 12.88 7.17 17.67
158 15.53 37.95 18.09 30.81 20.64
159 15.43 48.91 16.32 40.67 42.22
160 15.81 58.83 16.44 19.63 79.59
161 15.51 61.21 17.02 22.44 60.73
162 15.65 62.56 15.91 21.82 58.28
163 15.59 24.33 14.60 20.31 14.13
164 15.69 72.27 13.59 8.79 19.59
165 15.42 32.54 19.27 26.50 16.44
