#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim2 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.47 46.31 35.60 5.42 21.48
1 3.01 40.70 33.37 5.79 63.95
2 3.47 43.98 41.82 7.01 59.95
3 4.11 38.49 34.53 6.45 85.38
4 4.29 46.80 39.47 6.59 51.71
5 4.54 41.90 39.42 7.60 75.13
6 4.66 34.64 35.76 7.13 93.70
7 4.92 50.13 42.51 7.77 34.09
8 5.27 31.08 33.22 8.36 101.44
9 5.64 43.94 39.54 8.88 82.71
10 5.45 37.00 40.32 8.69 109.47
11 5.50 40.02 42.40 10.08 84.38
12 5.71 53.07 42.62 6.91 19.39
13 5.74 47.49 44.05 8.88 43.40
14 6.21 33.86 38.43 8.73 84.35
15 6.35 28.60 29.72 9.09 68.84
16 6.70 50.27 41.08 8.65 32.89
17 6.84 58.65 36.42 6.92 11.06
18 6.87 40.04 43.34 9.90 72.85
19 6.95 36.93 41.80 10.62 83.65
20 6.98 46.09 46.95 10.04 68.12
21 7.18 31.16 35.85 10.51 64.81
22 7.10 54.56 42.35 8.14 12.31
23 7.06 26.06 22.90 10.35 36.51
24 7.23 42.68 49.00 12.62 45.89
25 7.77 33.92 41.50 12.43 57.76
26 7.69 27.57 38.04 12.83 27.21
27 7.93 48.19 51.70 12.30 26.38
28 7.99 51.65 46.80 10.32 15.13
29 8.10 56.95 43.79 8.69 13.29
30 8.24 24.81 27.53 10.03 15.67
31 8.13 28.92 37.96 12.83 24.17
32 8.37 44.36 56.15 16.75 24.30
33 8.34 37.19 47.89 17.59 38.38
34 8.44 40.63 51.59 13.34 29.89
35 8.28 49.52 54.18 11.00 22.09
36 8.81 54.11 52.79 12.12 14.40
37 8.85 30.85 42.98 13.63 18.51
38 9.09 27.74 39.00 13.07 14.81
39 9.09 33.81 43.96 18.17 19.07
40 9.14 59.42 49.19 8.69 13.99
41 9.29 47.17 54.40 13.59 17.84
42 9.37 62.68 40.20 7.29 21.84
43 9.46 24.64 33.19 12.30 12.18
44 9.48 50.58 57.80 19.84 15.42
45 9.67 56.60 50.71 9.88 16.19
46 9.66 37.01 44.98 18.23 17.86
47 9.69 43.58 54.04 22.53 16.18
48 9.70 40.30 55.77 17.79 18.00
49 10.16 53.74 56.94 16.84 16.13
50 10.15 29.78 43.41 17.39 15.81
51 10.42 33.02 47.21 19.93 16.66
52 10.19 62.30 40.55 7.36 22.86
53 10.58 26.97 38.44 15.95 15.46
54 10.62 46.74 58.40 18.00 17.69
55 10.67 59.36 51.77 9.74 17.07
56 10.75 65.35 43.39 7.12 35.58
57 10.84 50.45 58.58 20.73 19.44
58 11.01 39.76 54.82 27.62 18.73
59 11.01 36.29 49.45 22.27 17.42
60 11.00 43.18 58.83 27.17 19.31
61 10.84 25.48 36.43 14.07 13.64
62 11.45 62.71 47.44 8.02 33.89
63 11.30 56.72 57.62 12.12 18.17
64 11.58 29.22 44.77 17.63 16.80
65 11.46 52.35 62.89 13.64 17.64
66 11.81 54.02 63.15 13.71 18.47
67 11.60 48.19 65.84 26.71 22.33
68 11.89 32.53 50.30 24.95 20.02
69 12.06 60.02 50.02 9.00 21.88
70 12.12 66.05 43.01 6.07 49.44
71 12.11 25.21 37.42 18.39 15.47
72 12.21 45.18 62.66 32.09 26.44
73 12.38 38.42 59.02 35.66 25.14
74 12.36 41.70 61.01 37.51 27.58
75 12.50 35.37 54.71 31.12 22.84
76 12.40 51.76 65.16 17.58 23.42
77 12.60 56.19 61.34 10.82 22.49
78 12.71 50.21 68.35 22.46 26.31
79 12.95 69.89 37.78 5.22 41.27
80 13.02 30.81 51.17 25.02 24.47
81 13.22 27.69 49.50 20.77 20.20
82 13.01 62.72 52.75 8.88 24.25
83 13.22 21.74 39.30 20.65 18.07
84 13.28 59.32 63.63 11.10 25.10
85 13.48 65.90 52.12 8.33 57.80
86 13.77 53.32 67.80 16.88 31.18
87 13.44 47.18 69.06 27.39 40.98
88 13.54 43.82 64.25 24.02 53.31
89 13.64 24.89 43.88 21.19 23.40
90 13.91 33.37 57.93 28.49 35.01
91 13.61 40.20 61.28 35.68 45.49
92 13.84 36.86 60.61 25.17 50.14
93 13.98 50.25 70.13 27.18 46.45
94 14.08 56.00 71.52 17.42 33.67
95 14.18 69.01 49.75 8.37 65.20
96 14.40 61.30 66.11 10.73 26.35
97 14.59 30.22 51.51 32.71 45.16
98 14.71 20.24 36.08 17.92 24.20
99 14.45 72.71 41.90 5.76 29.35
100 14.76 41.93 61.53 24.04 136.84
101 14.84 45.06 62.71 19.47 136.36
102 15.02 26.35 41.87 25.85 35.08
103 14.70 27.84 40.31 27.45 40.00
104 15.14 38.89 56.69 20.60 142.18
105 15.01 48.11 71.74 25.84 99.96
106 15.03 58.17 70.07 12.82 33.28
107 15.11 66.60 66.27 11.59 45.49
108 15.17 35.83 57.55 27.43 97.88
109 14.98 63.65 66.71 11.00 31.48
110 15.34 51.61 73.76 18.15 68.16
111 15.07 71.18 52.95 7.59 27.32
112 15.58 54.81 73.94 16.24 48.53
113 15.68 33.06 44.61 23.49 131.08
114 15.64 69.50 57.28 9.15 39.05
115 15.80 18.47 33.01 19.01 41.44
116 15.94 60.97 72.08 12.27 33.28
117 15.82 23.48 37.83 16.23 60.33
118 15.96 29.56 48.79 19.43 106.62
119 16.07 72.84 51.21 8.09 39.20
120 15.76 65.28 70.45 11.55 38.91
121 16.15 42.58 65.49 18.67 201.46
122 16.25 45.69 61.67 20.42 186.09
123 16.40 48.89 71.70 16.79 131.26
124 16.29 63.94 68.02 11.62 39.01
125 16.48 57.73 76.43 12.59 43.06
126 16.56 26.00 44.02 19.47 140.65
127 16.67 67.34 65.71 11.44 45.60
128 16.65 36.07 52.07 19.63 169.11
129 16.61 39.65 61.70 18.77 193.08
130 16.75 21.41 38.74 17.99 86.78
131 16.78 52.02 71.91 16.88 100.88
132 16.96 75.48 46.28 6.70 24.96
133 16.77 15.93 25.93 11.67 64.00
134 17.15 70.57 60.55 9.06 42.57
135 17.23 32.43 45.64 15.78 183.32
136 17.25 54.97 73.19 14.22 71.61
137 17.26 17.99 30.00 11.57 102.17
138 17.30 28.63 47.76 15.77 202.88
139 17.34 60.33 71.94 13.71 48.18
140 17.53 43.04 61.47 16.09 204.96
141 17.62 63.45 68.54 12.69 42.74
142 17.54 46.68 74.74 15.95 203.77
143 17.78 72.93 55.57 9.50 36.20
144 17.99 23.70 41.63 12.49 174.91
145 17.78 19.92 42.42 13.58 173.47
146 17.81 38.82 61.82 16.03 210.48
147 17.98 49.37 69.69 16.14 160.60
148 18.02 76.89 36.76 5.93 21.09
149 17.99 57.44 77.19 15.07 69.09
150 18.02 66.92 70.28 11.93 40.08
151 18.07 35.47 63.73 21.06 218.46
152 18.17 14.99 22.91 7.99 130.58
153 18.22 52.32 78.27 16.78 111.85
154 18.39 26.52 52.64 13.34 212.78
155 18.41 20.91 37.96 12.09 181.36
156 18.55 30.02 53.51 16.50 215.43
157 18.55 69.75 66.14 12.28 41.74
158 18.77 32.77 60.14 15.58 219.47
159 18.62 60.62 81.31 14.30 56.69
160 18.72 41.60 63.40 17.03 209.28
161 18.77 45.65 69.17 14.73 205.69
162 18.81 55.29 77.48 14.99 89.22
163 18.88 17.71 35.00 9.32 177.95
164 18.73 75.39 50.30 6.78 29.30
165 19.02 78.33 38.90 6.51 26.93
