#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl21 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
139 14.65 18.75 13.44 3.78 22.22
140 14.98 36.45 17.89 4.18 29.98
141 15.10 22.45 15.98 3.91 28.88
142 14.92 30.97 17.17 4.37 30.00
143 14.80 59.12 12.90 3.60 29.30
144 14.94 61.34 10.10 4.69 24.52
145 15.03 38.81 16.33 3.97 30.73
146 15.29 63.33 10.75 4.46 28.09
147 15.41 42.80 19.65 4.20 30.75
148 15.24 18.25 12.76 3.52 25.70
149 15.27 28.62 16.18 3.92 28.10
150 15.62 59.50 11.64 4.34 28.36
151 15.42 68.04 8.55 4.18 24.90
152 15.38 24.29 13.00 4.30 30.63
153 15.50 53.56 12.83 4.79 29.67
154 15.53 49.93 14.27 4.85 29.54
155 15.86 46.97 18.09 4.37 29.28
156 15.66 41.32 15.29 4.58 31.21
157 15.86 25.75 18.67 3.75 26.71
158 15.62 30.39 18.58 4.54 28.81
159 15.83 56.11 13.55 4.55 28.09
160 16.02 65.86 10.00 4.43 25.72
161 15.71 35.72 16.00 4.32 31.79
162 15.94 51.81 17.37 4.06 26.33
163 16.01 20.43 16.02 4.06 24.70
164 16.24 27.95 15.42 4.25 29.65
165 16.25 62.86 10.87 4.79 25.81
166 16.29 36.33 25.34 4.90 28.90
167 16.60 54.38 14.09 4.55 28.42
168 16.39 30.89 17.67 4.59 28.93
169 16.29 41.95 17.78 4.34 29.09
170 16.34 48.65 15.04 5.04 31.52
171 16.45 44.48 18.08 4.60 27.85
172 16.68 38.06 17.42 4.51 31.87
173 16.71 32.94 16.84 3.79 27.95
174 16.63 57.10 14.31 4.75 26.98
175 16.66 68.86 9.73 4.27 23.70
176 16.89 52.31 13.50 4.75 31.09
177 16.74 26.36 15.90 4.05 30.55
178 16.87 50.00 15.58 4.96 30.88
179 17.07 24.38 17.08 4.08 25.31
180 16.82 61.42 11.65 4.65 26.78
181 16.95 66.16 9.05 4.21 25.30
182 17.32 40.78 16.31 4.89 31.39
183 17.12 63.66 10.23 4.47 27.25
184 17.16 47.21 16.31 5.28 30.44
185 17.20 34.92 17.85 3.97 31.94
186 17.47 28.07 16.74 3.91 28.17
187 17.43 30.58 17.04 4.30 29.08
188 17.47 60.28 10.11 5.11 27.30
189 17.55 57.81 12.19 5.21 31.44
190 17.53 36.50 15.70 3.95 29.60
191 17.37 50.80 17.80 4.80 30.00
192 17.81 16.24 11.90 3.33 23.12
193 18.04 33.67 16.65 4.10 30.17
194 17.88 49.61 14.59 4.98 29.96
195 17.78 47.60 16.90 4.86 29.57
196 17.84 55.66 11.72 4.61 29.28
197 18.06 62.88 10.15 4.53 28.35
198 18.10 23.04 15.61 4.47 25.03
199 18.26 27.04 15.62 4.40 26.94
200 18.27 37.12 13.69 4.31 28.79
201 18.32 51.95 15.54 4.95 31.29
202 18.29 68.72 9.62 4.81 25.60
203 18.26 40.15 13.63 4.77 32.60
204 18.34 31.50 13.48 4.62 30.81
205 18.54 44.38 13.64 4.71 29.09
206 18.57 15.40 10.33 3.06 24.43
207 18.70 59.20 11.35 5.04 26.76
208 18.55 47.14 12.52 4.78 29.70
209 18.58 66.93 10.33 4.27 26.02
210 18.55 18.21 11.23 3.26 25.11
211 18.78 42.04 13.91 4.66 29.79
212 18.78 71.06 9.47 4.66 23.46
213 18.71 35.40 11.98 4.73 31.37
214 18.68 29.36 14.11 4.29 29.98
215 18.78 50.46 16.51 4.76 30.80
216 18.89 65.03 10.04 4.61 26.55
217 18.97 21.35 12.43 3.53 27.23
218 18.71 61.23 10.17 4.67 26.50
219 18.78 63.30 12.72 4.33 26.33
220 18.82 53.27 15.48 5.41 31.81
221 19.21 25.57 12.90 3.93 28.97
222 19.13 56.73 13.39 5.39 26.96
223 18.97 45.96 13.00 4.75 33.50
224 19.27 15.14 8.90 2.87 27.23
225 19.51 48.06 14.32 5.48 31.00
226 19.46 53.87 14.86 5.45 29.51
227 19.48 62.68 11.91 5.21 29.57
228 19.43 28.74 13.08 4.04 28.76
229 19.56 32.03 12.86 4.38 29.85
230 19.72 18.15 10.03 3.50 24.75
231 19.48 49.77 14.52 5.00 32.24
232 19.38 67.54 9.59 4.82 26.41
233 19.57 35.03 12.38 4.76 30.93
234 19.79 44.08 14.20 5.27 30.51
235 19.58 38.77 13.08 4.55 30.04
236 19.69 70.30 9.13 4.77 25.60
237 19.61 16.36 10.33 3.89 25.94
238 19.71 41.40 13.97 4.48 29.67
239 19.66 19.82 13.15 3.88 28.08
240 19.81 23.89 11.00 4.02 30.36
241 19.56 72.26 10.33 5.00 25.11
242 19.51 73.56 8.75 4.75 28.50
243 19.86 74.63 9.32 4.85 25.02
244 20.12 68.39 10.47 5.03 27.71
245 19.71 27.14 12.00 5.00 29.80
246 20.22 57.81 11.23 5.28 31.55
247 20.21 60.50 10.58 5.09 29.14
248 20.04 50.94 13.89 5.08 29.11
249 20.19 66.28 11.50 5.31 28.62
250 20.08 71.74 9.24 4.65 26.19
251 20.16 36.82 13.68 4.71 30.68
252 20.21 30.25 12.71 4.88 28.95
253 20.14 55.75 13.32 4.96 29.40
254 20.57 26.84 12.48 4.14 26.71
255 20.43 53.62 12.99 5.51 31.93
256 20.43 46.23 12.75 5.11 31.34
257 20.55 63.72 11.39 5.54 29.28
258 20.37 28.45 16.22 3.89 27.78
259 20.61 42.44 13.82 5.55 31.27
260 20.84 24.56 11.14 4.23 28.54
261 20.69 75.34 8.98 4.51 23.72
262 21.01 48.43 11.98 5.89 29.97
263 20.85 50.42 13.82 5.20 30.49
264 20.91 39.67 12.41 4.87 31.30
265 21.10 72.76 9.69 5.69 23.87
266 21.10 16.39 7.79 3.55 25.83
267 21.12 30.07 12.18 4.45 28.06
268 21.32 45.04 12.48 5.25 32.73
269 21.15 18.57 9.92 3.72 24.64
270 21.08 22.84 10.68 3.94 29.29
271 21.19 35.16 12.26 5.68 29.97
272 21.24 61.03 10.98 6.00 29.69
273 21.44 52.13 12.57 5.93 30.59
274 21.37 57.84 11.46 5.68 30.00
275 21.43 70.79 9.47 5.05 26.84
276 21.40 42.84 12.17 4.83 33.54
277 21.22 53.95 12.92 5.83 29.42
278 21.61 66.63 10.44 5.56 27.04
279 21.72 54.87 12.30 5.85 30.48
280 21.77 76.06 9.80 5.18 25.02
281 21.89 26.42 10.52 4.28 27.87
282 21.68 15.38 8.87 3.20 26.73
283 21.97 35.77 12.51 4.94 28.76
284 21.62 74.30 10.31 6.69 23.00
285 21.88 22.82 9.52 3.73 28.10
286 22.02 63.07 11.60 5.77 30.55
287 21.90 20.23 10.18 4.60 27.18
288 21.97 46.21 12.19 5.05 31.28
289 22.20 29.20 11.37 4.60 30.41
290 22.19 33.19 11.38 4.97 27.83
291 22.03 48.42 12.98 5.07 30.89
292 22.38 16.38 8.12 3.69 25.76
293 22.26 42.22 12.21 5.45 33.17
294 22.27 51.51 11.42 6.38 32.08
295 22.42 59.25 11.13 5.97 29.25
296 22.65 73.80 11.40 5.97 29.72
297 22.39 24.90 10.53 4.65 26.77
298 22.41 69.95 10.84 6.33 26.52
299 22.62 31.29 12.14 5.02 29.10
300 22.54 50.09 13.12 4.97 32.88
301 22.84 67.08 11.30 6.56 27.59
302 22.68 40.22 12.16 5.38 32.33
303 22.57 53.50 13.45 6.06 30.55
304 22.87 77.39 9.42 5.93 23.37
305 22.63 12.75 7.00 3.20 27.00
306 22.63 27.86 10.60 4.10 31.70
307 22.83 42.91 11.84 4.87 32.06
308 22.72 71.80 11.91 5.39 27.48
309 22.91 56.41 11.22 5.57 29.70
310 23.06 47.76 12.25 6.36 30.40
311 23.15 75.18 10.24 6.38 25.24
312 23.08 61.93 10.61 5.42 29.55
313 23.11 34.36 12.00 4.81 32.55
314 22.96 24.16 10.57 4.57 28.43
315 23.25 63.52 11.02 6.19 28.60
316 23.02 16.83 11.07 3.20 21.93
317 23.11 25.68 10.11 4.14 23.97
318 23.46 28.09 10.51 4.27 28.80
319 23.38 36.44 10.98 5.57 31.30
320 23.14 72.05 10.25 5.75 30.00
321 23.41 19.66 10.01 4.09 25.58
322 23.36 50.29 12.12 5.40 31.28
323 23.50 60.14 11.74 6.21 27.96
324 23.59 32.09 11.74 4.48 31.04
325 23.41 64.95 11.60 5.60 27.33
326 23.61 42.06 12.96 5.37 30.59
327 23.66 30.00 11.00 5.02 28.28
328 23.59 55.33 13.27 6.27 29.37
329 23.46 76.52 9.94 6.56 27.28
330 23.73 45.56 11.90 6.05 33.66
331 23.60 70.85 9.87 6.43 25.28
332 23.92 69.14 11.30 7.87 26.27
333 23.90 17.03 8.46 3.80 26.01
334 23.49 12.00 0.00 0.00 0.00
335 23.85 25.99 11.15 4.94 25.02
336 24.15 79.75 10.63 7.00 24.92
337 24.00 57.02 12.08 6.78 30.25
338 24.10 66.83 11.62 8.09 28.38
339 24.00 47.87 13.00 5.65 32.96
340 24.32 77.95 10.82 8.73 24.88
341 24.43 43.88 12.70 6.29 32.13
342 24.42 22.39 8.52 4.45 27.75
343 24.06 75.37 10.47 8.91 25.65
