#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb1 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.15 47.95 7.16 17.85 6.18
1 2.10 50.37 6.54 16.92 5.65
2 2.35 45.01 7.62 20.58 8.75
3 3.03 45.82 9.05 23.53 11.94
4 3.27 47.88 8.17 21.27 17.88
5 3.51 50.47 7.36 16.02 9.27
6 3.89 53.52 7.27 18.00 5.86
7 3.81 56.71 7.75 12.98 5.47
8 4.11 44.92 8.99 21.17 37.06
9 4.26 59.20 7.08 13.82 5.14
10 4.01 47.26 7.27 25.95 18.82
11 4.51 42.07 7.83 22.93 41.65
12 4.65 49.15 7.86 21.35 32.84
13 5.17 54.41 7.78 17.24 6.73
14 5.17 51.65 7.31 15.92 11.57
15 5.25 46.74 9.12 20.10 54.12
16 5.26 39.98 8.44 20.52 66.91
17 5.31 56.95 8.19 15.95 5.50
18 5.57 61.96 7.17 11.37 4.96
19 5.65 44.17 8.46 22.14 72.70
20 5.88 37.01 8.43 21.90 91.66
21 5.86 59.46 8.12 12.41 6.07
22 6.20 41.58 9.57 21.58 86.97
23 6.16 49.37 8.35 21.78 47.64
24 6.36 52.72 8.17 17.73 11.90
25 6.37 38.87 9.30 24.23 79.26
26 6.72 56.21 7.69 16.14 7.03
27 6.48 58.32 7.72 13.68 7.08
28 6.78 46.65 8.39 18.39 85.67
29 7.08 43.77 8.26 21.43 96.45
30 7.27 51.25 7.66 19.61 28.17
31 6.88 39.23 8.96 25.04 81.07
32 7.09 36.12 8.74 24.49 82.81
33 7.31 60.82 7.60 10.84 5.69
34 7.40 35.04 7.74 24.83 86.68
35 7.71 53.97 8.39 17.24 19.36
36 7.64 40.69 9.49 28.47 107.81
37 7.41 58.43 8.97 14.51 6.60
38 7.83 48.84 8.35 21.46 68.58
39 7.72 37.94 10.05 24.90 103.49
40 7.72 64.48 7.77 10.41 5.92
41 7.85 62.70 7.98 11.15 6.95
42 8.28 46.04 8.94 19.49 103.34
43 8.19 33.35 9.41 39.38 70.36
44 8.00 56.23 8.85 16.43 7.76
45 8.31 43.23 8.23 22.70 102.10
46 8.49 61.66 7.44 11.86 6.16
47 8.17 65.24 7.00 8.50 10.75
48 8.65 59.52 9.22 13.50 7.26
49 8.81 35.88 9.34 30.30 73.98
50 8.68 51.59 9.27 24.35 27.06
51 8.59 63.72 8.56 10.00 7.82
52 8.82 65.30 8.14 9.30 10.48
53 8.77 56.11 8.42 17.42 8.35
54 9.01 38.28 10.53 29.91 82.04
55 8.87 40.25 9.31 27.79 107.38
56 9.06 31.52 9.26 30.06 44.61
57 9.34 48.71 8.78 25.34 76.30
58 9.30 41.24 9.18 25.74 93.15
59 9.22 53.88 8.53 20.68 9.62
60 9.58 43.83 9.66 25.58 93.75
61 9.74 33.30 9.41 43.77 51.62
62 9.72 57.54 8.73 16.16 7.69
63 9.83 46.26 9.12 30.96 80.67
64 9.98 51.16 10.11 22.79 42.83
65 9.72 55.24 9.10 16.52 8.62
66 10.32 65.08 8.69 10.81 36.29
67 9.83 67.49 8.39 8.59 35.56
68 9.86 35.51 10.75 38.11 48.36
69 10.04 60.02 9.48 16.10 8.03
70 10.38 38.74 10.51 35.41 64.38
71 10.58 41.48 9.88 33.09 65.27
72 10.65 53.88 9.76 25.09 10.30
73 10.79 69.35 7.99 7.74 70.40
74 10.94 47.43 10.03 40.55 54.28
75 11.10 56.12 9.87 19.52 8.21
76 10.77 60.37 9.76 16.27 7.76
77 10.77 30.49 9.32 34.86 25.73
78 11.11 44.28 10.43 36.54 46.55
79 11.11 34.56 10.74 39.92 39.55
80 11.21 68.01 8.44 8.93 71.58
81 11.13 32.27 11.51 40.20 30.99
82 11.23 62.47 10.09 17.15 12.50
83 11.38 36.74 10.67 46.14 36.38
84 11.36 51.61 10.16 30.36 20.83
85 11.24 58.72 9.37 14.22 8.31
86 11.73 49.19 9.29 26.38 14.38
87 11.87 65.43 9.28 9.81 79.74
88 11.76 29.41 9.19 45.99 13.36
89 11.80 42.16 11.28 40.65 24.34
90 11.91 39.55 10.62 47.80 22.01
91 12.04 60.45 9.95 14.30 15.68
92 12.25 70.73 8.78 7.54 89.11
93 12.23 53.71 8.91 24.81 9.20
94 12.14 30.82 10.69 38.28 11.62
95 12.25 58.32 10.00 15.51 9.31
96 12.29 46.37 10.17 35.42 15.37
97 12.24 33.85 10.29 45.58 15.52
98 12.64 44.01 12.03 46.70 12.29
99 12.61 55.79 10.77 25.16 9.16
100 12.54 62.79 9.71 11.17 54.91
101 12.68 67.98 9.51 9.05 83.36
102 12.52 37.74 11.93 43.60 13.35
103 12.55 36.11 10.36 39.16 12.98
104 12.79 51.10 11.56 34.64 10.06
105 13.12 73.26 8.10 7.11 72.18
106 12.86 28.65 9.79 38.19 9.05
107 13.00 41.12 12.37 57.23 12.79
108 12.89 33.34 11.20 38.85 11.26
109 13.26 48.36 10.62 37.70 11.20
110 12.98 31.57 11.09 37.29 11.62
111 13.22 30.38 9.62 34.65 10.00
112 13.73 60.76 10.88 15.21 29.85
113 13.56 65.82 9.91 10.91 95.34
114 13.55 38.16 12.11 53.08 12.34
115 13.29 62.94 10.13 12.93 60.09
116 13.78 69.38 9.72 9.08 81.18
117 13.68 35.32 11.18 40.86 12.43
118 13.80 53.28 10.63 28.63 10.71
119 13.68 58.26 10.45 22.76 11.77
120 13.88 45.94 10.97 48.28 12.01
121 14.07 32.69 13.33 44.40 12.20
122 13.99 42.86 11.87 61.46 13.10
123 14.12 55.71 11.01 24.11 11.09
124 14.18 50.71 11.08 44.51 11.69
125 14.16 25.66 9.33 45.30 9.97
126 14.24 27.19 10.16 48.03 10.52
127 14.50 63.06 9.97 10.89 65.77
128 14.37 30.28 11.35 37.76 12.17
129 14.55 40.02 12.94 60.61 13.81
130 14.20 31.39 11.94 44.50 12.67
131 14.72 71.69 9.80 8.74 71.73
132 14.55 28.84 11.30 42.31 12.16
133 15.08 74.01 9.30 7.17 50.80
134 14.86 37.42 13.09 51.56 15.01
135 15.04 48.60 11.56 50.78 17.10
136 14.83 59.24 11.64 16.11 15.20
137 14.91 66.30 10.81 9.40 96.91
138 14.70 34.21 15.15 51.59 13.70
139 15.11 44.04 12.18 59.50 19.37
140 15.36 54.18 11.43 37.63 16.48
141 15.22 35.16 12.88 50.91 13.62
142 15.11 57.63 11.22 18.32 12.92
143 15.24 69.03 10.77 9.06 70.26
144 15.49 46.18 12.43 56.24 33.47
145 15.59 41.69 12.21 62.94 22.88
146 15.57 51.38 12.04 39.59 21.47
147 15.45 56.59 10.65 21.67 14.04
148 15.64 32.33 12.60 60.42 17.43
149 15.64 61.10 10.06 12.61 20.35
150 15.63 26.82 11.14 47.81 15.45
151 15.84 29.18 12.39 52.35 17.03
152 15.92 63.85 10.97 10.99 68.61
153 15.68 75.94 8.79 5.50 20.61
154 16.06 39.10 13.03 67.48 23.40
155 16.18 58.75 10.08 14.78 15.23
156 16.03 71.06 10.76 8.64 29.69
157 16.35 36.34 13.66 65.59 24.82
158 16.46 66.28 11.25 9.63 59.74
159 16.66 68.44 12.06 9.54 61.57
160 16.17 74.48 10.00 9.95 22.05
161 16.58 47.52 12.89 45.65 71.56
162 16.38 43.47 13.07 57.30 86.70
163 16.40 75.82 9.64 6.36 21.38
164 16.73 33.86 12.81 57.85 24.88
165 16.65 55.82 11.21 28.79 21.92
