#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 17.54 26.16 15.51 27.18 79.67
140 17.59 66.35 20.97 22.07 154.77
141 17.69 55.05 22.17 38.10 185.36
142 17.62 63.32 21.10 21.76 154.59
143 17.90 52.47 23.52 42.65 178.30
144 17.79 43.11 23.05 44.15 132.15
145 17.82 24.03 15.23 25.66 71.35
146 17.61 37.36 19.68 41.34 101.55
147 17.85 20.94 12.58 18.89 38.66
148 18.13 33.29 20.08 37.52 101.67
149 18.22 47.55 22.28 33.50 142.14
150 17.88 77.52 12.94 12.53 29.70
151 18.02 74.87 18.86 16.46 87.86
152 18.25 40.42 21.94 46.18 136.18
153 18.33 57.31 21.77 34.77 161.53
154 18.47 59.88 23.30 34.00 177.49
155 18.43 71.36 18.21 19.68 113.08
156 18.69 35.50 19.70 31.92 81.11
157 18.70 37.91 20.75 40.54 127.60
158 18.79 29.71 17.13 29.71 72.21
159 18.88 45.26 23.92 31.75 122.81
160 18.93 62.23 21.66 34.44 180.89
161 18.85 68.05 20.39 20.28 122.54
162 18.95 22.43 14.44 20.46 66.14
163 18.99 49.70 23.49 32.23 158.50
164 18.92 65.01 21.56 24.00 149.51
165 18.98 27.13 18.16 27.60 85.32
166 19.09 54.71 24.20 34.55 166.42
167 19.14 76.15 18.11 16.07 74.36
168 19.47 20.46 13.65 17.27 65.64
169 19.31 42.79 21.23 34.25 133.55
170 19.32 24.60 16.68 26.26 95.38
171 19.28 73.54 20.48 18.46 90.21
172 19.58 52.10 23.11 27.24 155.77
173 19.32 32.66 21.73 30.38 88.26
174 19.83 40.35 22.48 37.13 136.06
175 19.69 70.65 21.63 20.22 115.96
176 19.78 57.09 24.21 29.75 177.18
177 20.01 46.48 21.56 26.71 156.38
178 20.02 37.36 21.06 30.28 126.12
179 19.90 59.92 23.27 29.16 153.66
180 20.15 65.81 22.86 22.29 156.20
181 20.06 77.86 18.83 16.05 81.76
182 20.01 29.58 19.11 27.54 90.32
183 20.20 34.79 21.44 31.64 137.37
184 20.14 62.94 21.32 22.67 144.38
185 20.33 68.27 21.60 21.48 126.57
186 20.35 26.69 17.73 25.94 111.25
187 20.41 49.31 22.69 28.08 173.82
188 20.52 31.97 20.31 30.80 125.13
189 20.45 54.46 23.80 26.22 170.11
190 20.46 80.27 15.95 15.03 55.14
191 20.58 23.65 15.46 22.08 73.13
192 20.64 72.45 20.34 19.11 112.35
193 20.69 75.24 19.83 18.42 98.82
194 20.58 43.63 22.25 29.58 123.61
195 21.01 58.40 23.94 26.91 185.48
196 21.00 20.66 13.70 22.59 89.61
197 21.02 39.56 21.98 30.16 149.12
198 21.00 51.70 24.10 25.22 139.88
199 21.21 60.86 22.54 26.01 167.26
200 21.21 46.81 22.22 25.71 101.90
201 21.37 63.52 23.74 22.58 156.85
202 21.39 69.58 22.18 21.11 116.66
203 21.52 78.19 19.22 17.95 101.21
204 21.44 37.07 21.93 25.34 114.68
205 21.58 56.32 25.88 25.30 153.84
206 21.45 29.67 18.76 22.40 92.12
207 21.61 34.46 21.37 25.82 130.32
208 21.49 66.31 24.00 21.52 148.45
209 21.67 41.95 24.04 28.40 158.04
210 21.45 26.92 17.56 21.64 75.05
211 21.82 44.53 25.09 30.34 159.13
212 21.76 49.37 24.41 27.23 154.68
213 21.77 53.69 23.96 28.69 174.16
214 21.81 23.48 16.24 20.07 92.27
215 21.93 32.27 20.77 24.39 113.63
216 21.87 72.61 22.69 19.80 103.32
217 22.25 18.63 14.02 14.20 73.04
218 22.09 75.17 22.36 18.68 87.09
219 22.47 39.23 22.40 26.01 158.26
220 22.45 21.16 15.97 17.38 105.33
221 22.36 58.47 23.75 23.38 166.09
222 22.45 26.09 18.18 20.79 106.97
223 22.38 46.87 25.58 24.90 140.58
224 22.39 61.44 24.21 21.82 123.83
225 22.68 51.85 25.64 26.03 158.31
226 22.60 64.36 24.87 22.74 154.49
227 22.57 67.22 22.32 21.94 130.57
228 22.68 70.28 23.70 21.20 125.85
229 22.79 36.35 21.62 30.50 143.16
230 22.82 29.07 21.29 22.44 101.78
231 23.08 31.01 20.00 22.33 143.36
232 22.92 54.97 25.06 25.96 164.43
233 23.02 41.92 24.68 27.09 178.25
234 23.05 76.94 24.80 18.84 99.57
235 23.21 72.96 21.44 19.21 113.35
236 22.92 32.09 22.13 23.18 143.87
237 23.09 49.20 25.11 27.05 164.64
238 23.23 44.38 23.26 27.29 193.09
239 23.49 24.49 17.13 17.68 122.49
240 23.45 34.24 22.31 23.99 110.45
241 23.47 81.23 23.50 16.01 74.75
242 23.44 59.50 24.22 25.25 162.39
243 23.49 62.33 26.12 25.12 160.57
244 23.55 16.96 13.58 13.80 69.83
245 23.74 19.46 15.36 15.36 111.89
246 23.50 57.06 29.75 26.39 142.68
247 23.67 27.57 20.00 20.17 133.79
248 23.79 46.82 24.88 25.67 174.86
249 23.68 67.93 24.26 23.27 136.52
250 23.69 22.01 16.85 17.26 117.08
251 23.84 65.10 25.97 23.21 134.77
252 23.82 39.52 23.64 25.54 148.86
253 24.03 51.14 26.90 26.37 186.38
254 24.07 53.38 27.72 27.26 179.20
255 24.10 36.88 24.87 24.42 147.48
256 24.16 70.43 26.21 22.02 128.00
257 24.23 15.32 11.17 11.23 31.13
258 24.27 74.54 30.41 20.75 117.85
259 24.20 77.60 31.71 16.51 77.81
260 24.30 42.25 26.25 25.93 157.32
261 24.30 31.95 21.66 22.06 132.72
262 24.47 55.60 28.23 27.08 166.59
263 24.66 48.81 26.08 26.30 183.00
264 24.75 29.48 20.15 21.22 131.13
265 24.45 60.18 25.66 25.16 136.96
266 24.65 44.79 26.33 25.28 180.26
267 24.39 22.59 16.79 15.33 98.73
268 24.77 62.46 26.81 24.06 160.31
269 24.80 82.63 107.48 16.17 68.77
270 24.76 26.35 17.76 19.11 141.88
271 24.90 57.80 26.20 26.95 164.24
272 24.91 17.93 13.88 13.60 94.01
273 25.05 34.40 22.80 25.10 169.98
274 24.75 67.26 26.97 24.28 105.34
275 25.05 40.25 23.18 25.64 188.57
276 25.15 64.73 27.21 24.02 135.82
277 25.16 72.05 37.51 21.22 126.44
278 25.17 21.24 17.47 17.80 120.82
279 25.36 24.08 17.95 18.68 123.09
280 25.22 77.34 139.36 20.88 93.25
281 25.23 51.07 25.63 23.95 115.63
282 25.28 37.20 24.39 23.43 154.87
283 25.36 53.26 26.56 26.45 179.65
284 25.33 69.31 31.25 22.25 103.18
285 25.53 46.73 27.21 24.50 171.28
286 26.01 81.51 163.67 18.56 78.15
287 25.69 43.77 25.42 25.40 158.58
288 25.65 32.21 21.61 21.63 143.71
289 25.63 60.08 27.78 25.07 157.18
290 25.95 14.93 13.28 10.97 41.24
291 25.79 55.60 28.33 26.34 172.02
292 25.82 27.16 19.04 18.89 124.51
293 25.90 66.59 30.32 23.06 113.73
294 26.03 84.55 122.18 14.83 53.18
295 26.01 48.92 27.55 25.57 167.78
296 26.14 16.83 16.07 13.46 85.40
297 26.23 29.98 21.58 21.36 157.55
298 26.12 41.83 26.77 23.75 163.91
299 26.06 62.61 28.70 25.21 135.36
300 26.32 78.53 191.98 21.44 98.54
301 26.09 38.93 26.44 22.52 136.97
302 26.34 19.51 15.47 15.06 128.42
303 26.37 75.04 209.49 21.98 107.90
304 26.37 57.70 30.24 26.26 157.35
305 26.37 72.15 201.72 22.63 117.40
306 26.33 35.59 24.72 22.47 160.00
307 26.43 22.54 19.12 17.04 128.67
308 26.54 50.79 29.37 25.79 150.07
309 26.34 69.62 74.30 23.83 125.32
310 26.56 53.28 28.76 26.69 174.77
311 26.81 25.45 19.15 17.71 132.71
312 26.56 45.78 27.25 25.48 129.46
313 26.83 33.09 21.93 22.20 133.48
314 26.88 64.22 41.57 24.09 152.40
315 26.86 59.74 38.16 27.64 159.07
316 26.76 67.20 68.27 23.15 146.33
317 27.09 40.67 26.71 24.07 178.66
318 27.10 28.06 19.80 20.23 136.39
319 27.09 37.81 25.12 22.70 170.96
320 27.20 43.34 27.09 24.95 169.33
321 27.23 55.35 31.17 26.17 166.72
322 27.27 13.24 13.84 10.50 63.90
323 27.05 48.05 29.03 25.68 145.12
324 27.41 61.72 51.72 27.58 165.16
325 27.43 15.65 15.77 12.59 90.50
326 27.36 82.97 131.24 21.29 89.41
327 27.26 84.90 91.04 16.44 35.67
328 27.57 30.89 21.15 20.86 134.46
329 27.55 70.58 204.89 23.14 80.00
330 27.25 77.07 172.97 21.11 118.42
331 27.61 80.03 151.10 20.98 94.53
332 27.68 18.34 16.93 15.07 107.86
333 27.53 35.18 25.11 21.61 163.14
334 27.56 51.77 31.70 27.32 177.38
335 27.60 68.31 217.66 25.02 127.27
336 27.54 73.06 217.77 23.46 96.81
337 27.54 45.71 28.90 25.67 173.19
338 27.55 57.97 39.68 27.03 148.32
339 27.75 21.03 18.08 15.44 117.68
340 27.68 23.61 18.86 17.39 124.80
341 27.64 75.73 189.86 21.77 101.91
342 27.78 65.66 199.54 25.88 131.24
343 27.86 49.42 30.68 26.37 158.36
344 28.12 32.77 22.70 19.92 115.53
345 28.17 26.09 20.96 19.19 109.96
346 28.13 59.86 138.62 27.86 94.76
347 28.30 86.40 72.70 17.47 74.28
348 28.07 63.37 95.72 26.14 144.93
349 28.13 28.84 23.92 19.90 103.26
350 28.16 37.61 24.64 22.95 145.16
351 28.43 53.47 38.12 27.22 149.28
352 28.41 42.19 30.14 24.62 165.04
353 28.47 47.35 30.84 27.58 154.19
354 28.39 55.90 43.61 27.49 167.89
355 28.46 12.46 13.44 10.14 46.16
356 28.57 44.86 30.66 25.08 173.58
357 28.69 77.73 125.00 22.24 109.24
358 28.56 83.08 75.06 18.58 83.28
359 28.61 74.07 172.94 24.67 112.14
360 28.70 14.69 17.09 13.30 73.62
361 28.77 17.24 18.21 14.43 110.50
362 28.78 34.79 25.43 21.34 176.91
363 28.74 50.96 37.30 27.11 162.58
364 28.74 57.85 70.71 27.54 183.56
365 28.76 67.73 222.93 25.75 125.27
366 28.86 70.90 189.77 25.88 111.20
367 29.01 80.47 83.86 21.66 98.27
368 28.88 64.87 230.86 28.16 136.93
369 28.91 23.18 19.29 17.37 127.78
370 28.94 61.95 221.16 26.99 108.52
