#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
606 38.01 37.72 39.52 31.16 150.78
607 37.87 18.23 26.33 19.26 120.20
608 37.88 45.90 38.51 33.44 165.33
609 37.78 59.32 73.99 36.33 162.14
610 38.02 88.87 97.84 60.81 114.73
611 38.02 43.53 38.63 32.71 155.64
612 37.88 27.73 33.67 24.21 110.70
613 38.12 9.72 20.41 13.09 65.80
614 38.05 15.42 24.08 14.93 82.47
615 37.95 61.64 176.35 35.45 142.26
616 38.13 25.39 31.77 23.97 134.96
617 38.19 74.31 190.05 43.19 136.08
618 38.29 48.27 52.15 33.40 174.69
619 38.26 40.77 37.54 31.68 153.00
620 38.46 20.57 26.95 19.40 108.98
621 38.37 35.47 36.88 27.83 135.92
622 38.22 81.82 108.30 46.74 102.40
623 38.58 92.32 56.76 58.25 76.60
624 38.38 50.97 71.85 36.06 173.86
625 38.41 54.64 87.36 39.58 153.18
626 38.49 71.65 208.77 44.43 134.15
627 38.43 22.87 30.12 20.98 113.37
628 38.30 56.26 63.16 34.89 160.13
629 38.51 64.19 226.77 40.02 148.87
630 38.58 69.21 209.01 44.12 151.92
631 38.62 29.65 31.09 24.67 130.12
632 38.66 66.70 232.33 43.34 148.32
633 38.69 76.96 117.24 53.91 161.53
634 38.81 32.53 34.37 28.59 155.40
635 38.79 59.31 209.09 39.48 146.27
636 38.97 12.47 22.85 15.76 88.69
637 38.87 79.39 83.30 45.39 118.31
638 38.84 86.35 88.32 49.45 104.17
639 39.18 62.12 231.05 43.06 140.45
640 38.96 7.81 15.62 12.10 24.80
641 39.02 44.85 51.42 38.21 161.78
642 39.11 53.07 174.22 41.47 162.64
643 39.01 17.69 24.21 18.92 86.83
644 39.25 27.46 36.36 24.86 134.96
645 39.07 84.96 102.71 48.24 80.29
646 39.22 39.08 48.22 34.21 157.60
647 39.24 41.99 55.65 36.06 172.38
648 39.25 83.24 87.66 45.38 78.72
649 39.39 36.38 52.88 33.00 169.61
650 39.35 15.00 23.96 15.36 61.40
651 39.30 24.76 35.45 23.18 125.63
652 39.30 49.88 178.62 38.79 156.92
653 39.30 47.15 114.10 42.95 172.72
654 39.34 56.60 217.85 43.62 121.42
655 39.46 93.66 28.20 46.48 26.13
656 39.37 9.97 21.80 11.48 51.16
657 39.71 89.48 50.72 76.86 102.11
658 39.53 73.98 127.67 61.31 155.10
659 39.63 81.15 89.70 63.77 130.70
660 39.68 22.18 36.53 24.52 120.21
661 39.60 33.86 50.56 31.40 138.06
662 39.72 65.22 208.41 52.31 164.74
663 39.71 70.90 164.10 54.11 170.80
664 39.75 68.16 188.51 60.51 143.10
665 39.78 19.75 43.62 22.59 110.86
666 39.69 30.38 49.90 27.95 139.22
667 39.78 77.05 79.50 65.41 142.01
668 39.86 59.61 197.89 43.96 168.61
669 39.93 16.95 47.70 20.03 102.84
670 40.09 45.57 153.20 40.80 177.86
671 40.12 43.04 189.54 41.22 143.10
672 40.25 51.52 206.53 45.36 152.98
673 40.09 54.22 211.66 44.57 169.47
674 40.05 84.76 55.60 76.81 109.19
675 40.20 86.73 48.90 89.53 111.66
676 40.24 12.65 54.62 17.32 84.34
677 40.18 48.55 219.22 42.46 156.65
678 40.14 37.66 126.11 37.45 155.26
679 40.82 8.04 76.76 14.38 50.98
680 40.29 10.15 49.08 15.38 56.23
681 40.25 40.26 125.52 39.16 166.43
682 40.53 78.96 64.95 92.36 156.91
683 40.24 25.32 71.85 24.57 107.81
684 40.40 62.49 180.91 54.38 172.28
685 40.48 27.47 71.09 26.86 151.47
686 40.51 32.06 101.20 33.39 156.28
687 40.45 34.59 155.84 37.08 116.84
688 40.45 57.29 199.64 50.46 180.71
689 40.45 93.14 25.14 56.83 28.36
690 40.62 82.29 50.03 69.77 84.78
691 40.71 15.13 80.78 21.74 102.58
692 40.72 72.51 104.08 71.86 154.67
693 40.76 23.39 125.23 26.98 114.09
694 40.73 29.60 163.92 34.05 146.48
695 40.72 75.36 79.94 84.93 165.95
696 40.81 67.22 146.03 65.51 198.12
697 40.92 18.03 120.85 25.21 132.75
698 40.86 64.76 138.67 68.15 183.54
699 40.88 20.93 114.75 26.74 121.39
700 40.95 69.82 110.60 76.00 172.93
701 40.96 60.18 184.02 55.36 169.19
702 41.11 36.26 207.83 41.35 147.80
703 41.09 38.79 218.84 40.38 108.52
704 41.08 88.38 36.31 86.20 74.00
705 41.05 46.90 216.35 47.62 144.69
706 41.05 84.54 44.66 86.94 102.23
707 41.20 43.90 206.75 44.54 162.06
708 41.16 50.14 208.48 52.79 135.33
709 41.22 55.23 184.48 60.83 177.93
710 41.42 41.20 220.68 45.74 158.02
711 41.23 52.91 202.18 56.34 150.07
712 41.43 10.87 115.34 19.96 91.79
713 41.44 25.24 150.20 36.15 146.02
714 41.68 80.40 43.50 106.08 122.24
715 41.44 90.55 29.97 67.42 31.68
716 41.54 32.66 202.62 38.93 148.44
717 41.62 13.72 130.14 23.99 97.45
718 41.76 62.93 141.87 74.32 196.94
719 41.65 77.21 50.14 100.04 134.82
720 41.66 57.86 142.34 65.99 191.34
721 41.89 27.71 185.04 36.81 139.36
722 41.81 30.36 194.12 39.36 132.94
723 41.85 74.36 57.31 118.89 161.44
724 42.11 6.15 91.37 18.34 62.76
725 42.00 19.99 156.58 34.30 141.71
726 42.12 34.57 201.65 50.75 183.89
727 41.89 68.22 98.55 93.64 192.85
728 41.94 71.70 66.90 128.03 191.88
729 42.08 22.92 139.39 34.05 129.22
730 41.94 65.66 104.59 86.78 190.69
731 42.09 86.45 36.55 110.97 82.20
732 41.85 93.35 21.60 65.62 19.25
733 41.97 48.45 181.26 65.19 169.10
734 42.03 16.86 125.05 27.47 84.31
735 42.09 60.43 138.90 85.97 196.64
736 42.27 45.73 174.30 63.13 186.83
737 42.10 51.95 151.84 66.70 178.12
738 42.13 84.33 35.93 106.71 70.17
739 42.36 8.80 121.66 23.03 94.16
740 42.39 36.82 175.59 57.68 162.00
741 42.27 39.12 182.42 53.25 165.20
742 42.23 82.56 40.52 102.52 102.48
743 42.38 91.96 36.00 97.29 47.66
744 42.28 55.47 128.57 83.25 190.78
745 42.44 43.35 155.26 55.49 172.82
746 42.48 25.55 152.70 44.63 130.76
747 42.73 69.79 60.10 123.00 188.46
748 42.64 89.86 39.60 121.70 63.73
749 42.83 11.88 116.36 26.31 109.56
750 42.84 41.12 162.00 63.82 192.92
751 42.71 58.44 105.42 93.74 182.70
752 42.84 14.76 125.21 34.60 126.78
753 42.77 32.39 156.58 57.06 169.40
754 42.62 76.82 41.81 110.22 93.15
755 42.82 88.13 43.65 113.95 71.60
756 42.80 18.87 107.74 38.10 93.35
757 42.84 79.99 35.95 104.86 68.66
758 42.88 29.33 163.98 49.42 169.40
759 42.91 49.22 122.04 78.16 193.65
760 42.94 67.02 67.20 131.42 187.52
761 42.90 72.97 50.95 125.14 134.30
762 42.99 64.32 77.01 124.66 199.74
763 42.98 61.69 72.78 133.51 200.55
764 43.14 52.05 99.14 93.62 195.94
765 43.19 22.06 128.79 50.49 144.78
766 43.22 54.25 115.22 112.63 190.26
767 43.09 83.81 45.91 95.16 57.34
768 43.35 27.13 125.85 52.40 151.64
769 43.40 35.27 122.59 74.81 170.41
770 43.43 45.86 112.51 87.60 198.54
771 43.44 56.69 96.65 113.46 210.20
772 43.44 75.38 43.21 155.73 111.82
773 43.60 16.99 105.48 42.22 125.98
774 43.47 24.57 124.15 54.15 154.23
775 43.38 6.98 59.24 21.61 37.93
776 43.44 9.49 87.09 30.30 69.13
777 43.47 37.93 120.71 83.25 180.72
778 43.75 30.73 127.49 73.15 201.99
779 43.55 78.12 41.90 120.56 77.56
780 43.90 85.60 84.88 130.69 64.22
781 43.76 90.17 136.69 132.94 49.40
782 43.71 43.04 84.28 83.88 189.46
783 43.79 19.84 88.66 60.13 164.93
784 43.79 59.10 57.48 133.70 198.29
785 43.76 70.99 46.98 141.20 143.26
786 43.83 68.43 52.74 150.64 152.67
787 43.74 81.26 46.57 105.88 48.61
788 43.99 95.21 66.64 50.25 6.02
789 43.92 33.17 105.04 92.88 191.08
790 43.83 50.37 91.42 105.71 184.46
791 43.97 40.11 87.21 101.70 191.41
792 43.95 47.90 81.52 111.09 191.35
793 43.97 63.61 61.54 128.27 148.50
794 43.99 65.89 56.08 149.36 164.12
795 44.07 73.27 45.68 137.44 87.79
796 44.06 13.78 97.72 51.13 128.21
797 44.01 61.50 57.79 159.11 179.73
798 43.95 11.35 97.09 39.63 81.51
799 44.31 28.60 102.87 73.38 166.19
800 44.36 52.64 59.56 129.87 177.52
801 44.31 5.64 39.04 30.35 34.32
802 44.33 55.31 59.53 144.73 199.85
803 44.42 76.63 45.07 157.35 89.97
804 44.66 93.02 188.92 114.30 24.26
805 44.56 8.48 62.75 49.24 76.97
806 44.46 21.74 87.90 78.57 129.04
807 44.44 36.58 75.80 112.02 160.45
808 44.43 79.32 59.67 155.59 81.75
809 44.51 26.45 77.28 86.65 147.15
810 44.55 23.97 82.02 83.66 139.23
811 44.74 44.17 63.80 114.20 164.97
812 44.54 11.14 68.97 42.72 73.84
813 44.80 34.60 59.56 113.21 188.00
814 44.81 18.46 76.83 82.16 131.76
815 44.80 38.56 65.53 130.96 176.82
816 44.79 57.47 53.91 162.30 174.73
817 44.88 46.68 57.52 135.44 175.66
818 44.90 41.53 64.04 121.48 179.52
819 44.83 69.46 50.54 169.64 129.26
820 44.92 81.20 150.66 135.80 56.93
821 44.93 16.00 61.98 78.29 133.68
822 44.83 49.83 59.71 140.30 176.20
823 44.90 31.53 52.28 108.12 186.80
824 44.93 60.07 49.23 167.10 157.99
825 45.04 62.68 44.96 164.74 138.18
826 45.16 64.81 49.20 176.77 153.28
827 44.97 67.09 47.62 166.79 125.52
828 44.94 71.85 51.23 147.02 106.74
829 45.03 86.59 197.66 112.72 35.19
830 45.19 74.50 60.83 160.37 82.78
831 45.18 83.58 216.03 141.34 49.91
832 45.14 89.81 207.52 109.72 32.39
833 45.25 54.22 53.33 159.77 160.93
834 45.04 79.23 76.08 160.54 84.77
835 45.23 13.55 44.98 76.62 92.15
836 45.35 95.65 80.58 54.48 5.16
837 45.37 29.23 47.61 111.52 153.78
838 45.53 25.29 42.24 107.54 154.24
839 45.39 11.41 32.21 55.30 47.68
840 45.56 20.24 44.68 89.92 118.25
841 45.58 22.47 39.58 113.96 142.21
842 45.53 7.02 23.76 61.15 57.87
843 45.53 51.75 46.68 153.73 146.00
844 45.59 36.77 48.37 136.74 131.51
845 45.61 76.91 132.84 169.41 74.99
846 45.67 27.43 37.02 105.90 91.52
847 45.73 40.14 52.11 144.89 160.39
848 45.78 56.33 59.30 173.33 131.64
849 45.77 59.03 58.05 175.56 117.90
850 45.71 45.64 51.37 132.78 118.20
851 45.65 48.13 52.88 166.58 159.02
852 45.75 33.79 44.60 146.17 139.62
853 45.86 70.62 104.93 192.97 89.66
854 45.89 79.02 188.87 148.68 52.69
855 45.92 43.07 48.32 136.49 115.84
856 45.92 68.31 88.06 197.78 104.48
857 45.92 49.54 46.85 156.39 142.05
858 45.96 61.49 63.44 192.97 127.73
859 45.79 90.72 201.00 124.90 33.07
860 46.03 18.46 35.56 91.21 84.65
861 45.99 31.11 39.24 134.24 146.49
862 46.12 72.79 163.86 184.99 79.37
863 46.11 15.97 32.32 110.42 103.47
864 46.26 10.23 23.01 85.08 66.41
865 46.09 65.85 71.93 185.75 99.73
866 46.27 92.99 165.88 102.66 15.17
867 46.27 81.96 218.72 146.08 36.30
868 46.50 87.95 221.40 139.29 30.15
869 46.28 13.38 28.06 94.42 65.10
870 46.16 95.50 81.77 68.62 5.77
871 46.29 53.49 62.28 179.45 129.78
872 46.32 63.42 85.81 196.05 96.50
873 46.40 84.77 210.29 113.64 27.31
874 46.46 38.92 44.36 171.64 134.18
875 46.52 74.90 220.60 174.45 52.60
876 46.55 28.80 39.37 156.66 121.68
877 46.56 23.44 36.28 138.63 107.25
878 46.66 47.60 62.79 187.90 116.61
879 46.60 50.76 65.26 175.62 106.54
880 46.71 6.90 20.22 80.61 38.98
881 46.72 34.60 52.45 168.25 109.90
882 46.69 36.77 51.97 170.43 116.14
883 46.59 58.06 156.20 193.32 111.22
884 46.71 25.96 38.73 130.63 77.61
885 46.72 45.53 58.85 169.04 98.31
886 46.84 90.34 167.75 100.51 17.38
887 46.65 20.87 31.22 89.73 50.36
888 46.75 32.46 49.32 155.12 95.30
889 46.94 77.73 221.75 144.77 38.98
890 47.02 41.14 59.46 173.45 122.82
891 46.84 55.64 121.35 184.21 108.68
892 46.86 60.60 200.07 199.49 95.27
893 46.92 67.11 238.51 185.83 73.51
894 46.88 70.09 232.00 190.39 69.58
895 47.04 43.53 62.55 181.33 114.33
896 46.99 18.25 39.02 110.25 45.68
897 47.08 64.59 239.17 200.11 79.15
898 47.32 12.19 29.69 113.76 52.20
899 47.18 15.44 32.79 113.93 60.74
900 47.33 72.90 233.14 171.72 46.64
901 47.11 94.86 66.62 68.81 4.85
902 47.30 30.73 75.89 196.00 102.48
903 47.34 80.73 193.16 168.22 34.74
904 47.27 52.85 147.62 197.61 100.45
905 47.41 27.59 52.84 149.36 74.29
906 47.62 62.74 238.47 200.17 63.46
907 47.51 83.22 170.04 117.29 21.30
908 47.38 23.49 51.95 136.27 49.85
909 47.59 21.17 51.30 139.22 62.25
910 47.47 58.26 222.81 203.55 84.75
911 47.55 38.63 119.16 172.10 90.51
912 47.57 9.29 30.98 99.49 38.12
913 47.67 92.25 125.14 120.67 13.72
914 47.91 18.85 85.91 156.78 57.99
915 47.58 48.47 131.36 196.55 94.91
916 47.72 50.43 207.51 198.12 87.72
917 47.76 75.47 221.19 164.96 32.66
918 47.73 33.22 153.59 192.00 87.83
919 47.65 35.70 172.13 180.60 72.47
920 47.86 87.43 165.97 134.51 20.62
921 47.77 5.83 24.97 67.14 11.84
922 47.79 68.28 240.72 195.12 57.58
923 47.85 25.31 71.79 169.09 76.86
924 47.76 45.77 190.85 165.16 73.08
925 47.77 55.57 234.79 187.33 79.52
926 48.01 71.51 219.27 168.19 35.76
927 47.98 60.67 242.92 200.63 68.89
928 48.05 16.46 76.44 134.48 46.83
929 47.92 42.61 222.76 169.94 65.85
930 48.06 65.39 243.84 186.89 51.63
931 48.01 29.06 136.49 168.63 62.61
932 48.26 78.74 188.87 158.91 28.24
933 48.24 40.32 170.14 187.31 82.06
934 48.31 52.92 242.59 179.80 57.60
935 48.41 10.92 98.69 145.77 43.20
936 48.29 14.13 75.36 114.45 29.84
937 48.45 30.82 220.17 191.38 64.36
938 48.31 22.87 169.62 143.34 40.68
939 48.44 37.51 186.90 190.32 70.18
940 48.47 47.82 232.20 161.58 45.64
941 48.53 81.36 127.94 125.51 19.56
942 48.35 92.77 75.73 127.92 11.97
943 48.67 8.11 65.79 102.81 23.14
944 48.57 27.07 143.58 181.74 55.73
945 48.59 44.57 233.99 197.54 69.13
946 48.56 69.58 230.81 186.93 44.76
947 48.67 84.57 122.23 149.12 20.76
948 48.67 35.16 235.21 172.78 37.74
949 48.74 73.92 171.69 157.46 24.54
950 48.76 94.24 39.00 89.61 5.38
951 48.80 20.75 165.34 149.16 39.11
952 48.83 32.92 215.93 189.29 55.06
953 48.78 55.44 225.92 189.81 54.56
954 48.82 50.67 239.14 195.65 56.88
955 48.96 76.49 148.68 163.24 24.90
956 48.99 24.52 211.89 176.48 43.06
957 48.97 42.07 236.62 188.20 52.06
958 49.03 66.96 225.86 198.36 36.50
959 49.03 62.28 221.14 211.51 43.64
960 49.08 59.99 240.75 188.29 43.67
961 49.09 57.77 235.36 198.40 47.31
962 49.17 64.48 207.71 210.29 40.43
963 48.97 90.86 56.85 109.93 9.69
964 49.09 18.11 177.91 159.04 38.69
965 49.17 28.93 220.75 185.60 47.00
966 49.11 15.31 157.88 141.65 30.53
967 49.27 71.90 199.27 182.11 28.86
968 49.21 88.16 62.94 119.23 12.10
969 49.31 12.75 162.01 148.08 29.01
970 49.37 39.38 223.85 194.00 47.53
971 49.49 46.56 213.38 190.69 46.32
972 49.53 48.88 199.39 201.12 47.38
973 49.50 36.72 220.72 186.41 33.49
974 49.54 22.35 178.67 150.81 32.19
975 49.49 9.30 131.65 94.27 17.08
976 49.61 11.11 167.32 144.20 30.87
977 49.67 53.43 214.20 175.04 33.65
978 49.59 69.40 192.22 203.36 33.55
979 49.59 79.54 69.55 162.98 18.80
980 49.70 83.06 82.61 166.83 16.58
981 49.74 34.38 223.54 187.20 38.04
982 49.79 26.73 206.41 174.03 31.68
983 49.76 31.37 218.59 189.88 40.03
984 49.85 44.17 191.58 195.20 42.29
985 49.70 85.70 72.74 147.91 15.91
986 49.95 93.32 36.12 109.56 6.98
987 49.89 56.03 152.78 200.07 35.72
988 50.05 51.05 224.66 182.65 33.74
989 50.08 16.80 167.01 157.19 24.47
990 50.20 74.07 80.60 207.42 21.81
991 50.13 20.01 157.08 155.05 21.01
992 50.15 41.92 214.26 198.08 35.78
993 50.11 76.41 79.06 160.86 18.51
994 50.08 7.05 90.89 76.87 6.76
995 50.19 58.41 181.30 189.03 35.45
996 50.13 61.26 152.52 200.10 33.01
997 50.16 63.45 130.61 199.22 24.70
998 50.16 65.94 126.45 206.06 25.99
999 50.14 90.23 43.56 114.54 9.63
1000 50.21 14.37 141.93 140.02 21.91
1001 50.22 24.53 162.72 158.28 24.99
1002 50.26 29.28 173.71 166.20 23.04
1003 50.37 37.87 150.66 200.73 29.67
1004 50.42 68.24 106.50 197.69 25.32
1005 50.27 8.45 115.64 99.21 11.68
1006 50.51 9.67 105.23 126.09 14.80
1007 50.51 71.08 80.19 184.37 20.47
1008 50.67 87.01 43.80 146.22 12.64
1009 50.62 33.27 190.76 197.96 29.09
1010 50.77 39.92 102.18 195.27 25.51
1011 50.65 48.85 150.10 190.41 29.13
1012 50.75 78.29 57.82 158.10 15.90
1013 50.76 81.41 48.07 171.66 13.24
1014 50.70 46.32 127.84 191.58 30.66
1015 50.67 22.33 97.21 160.32 18.36
1016 50.90 12.14 109.80 139.83 16.22
1017 50.92 35.73 114.47 198.24 24.22
1018 50.75 55.33 119.04 204.49 28.77
1019 51.06 17.97 109.08 171.95 20.78
1020 50.98 52.71 109.90 183.80 24.05
1021 50.92 84.25 40.15 122.96 10.06
1022 50.97 4.33 43.41 86.70 4.39
1023 50.97 26.88 104.89 187.65 19.58
1024 51.12 31.47 84.68 190.76 23.43
1025 51.01 59.82 103.54 208.33 25.02
1026 51.08 64.65 93.09 212.26 23.81
1027 51.15 44.27 109.10 191.19 25.74
1028 51.27 94.66 21.37 75.94 3.95
1029 51.04 7.34 58.34 80.68 6.09
1030 51.28 62.26 81.54 205.82 21.88
1031 51.19 92.29 31.57 108.77 6.70
1032 51.26 29.06 93.39 203.00 22.28
1033 51.34 89.36 37.08 134.37 9.83
1034 51.30 42.12 90.37 195.11 24.63
1035 51.35 66.88 67.00 197.68 21.99
1036 51.30 24.44 84.36 169.34 16.67
1037 51.25 74.01 49.59 149.16 13.47
1038 51.30 15.18 80.45 136.42 13.48
1039 51.41 57.35 75.31 205.36 24.55
1040 51.48 50.36 69.59 191.50 24.98
1041 51.54 20.16 74.06 160.68 13.96
1042 51.54 69.20 59.06 207.53 21.45
1043 51.69 9.67 47.15 128.44 11.69
1044 51.52 37.82 84.71 201.95 22.25
1045 51.52 71.58 54.06 190.94 19.41
1046 51.60 76.43 47.08 155.56 11.81
1047 51.73 47.58 62.03 195.77 22.91
1048 52.02 5.70 32.61 103.96 5.08
1049 51.76 22.15 53.42 180.56 15.04
1050 51.83 33.95 62.37 194.15 20.02
1051 51.80 54.94 66.91 199.59 21.14
1052 51.86 79.75 41.87 139.91 11.30
1053 52.03 85.79 41.01 118.73 9.64
1054 52.05 40.18 55.22 184.28 20.19
1055 52.00 59.88 59.46 204.18 21.53
1056 52.00 83.19 39.86 132.08 10.25
1057 52.15 26.10 49.42 173.22 15.10
1058 52.20 45.16 51.93 192.91 19.73
1059 52.05 16.97 52.82 145.69 13.08
1060 52.19 52.56 66.33 192.86 22.85
1061 52.08 64.14 62.97 206.89 21.67
1062 52.16 30.69 49.24 185.17 16.77
1063 52.40 13.65 41.59 146.66 11.22
1064 52.34 36.11 50.92 192.84 19.34
1065 52.35 28.57 47.58 169.11 13.46
1066 52.33 72.78 45.70 163.99 14.37
1067 52.40 91.72 38.36 118.34 7.46
1068 52.32 42.79 54.79 178.68 17.55
1069 52.47 7.94 26.51 94.07 4.93
1070 52.73 94.55 34.79 68.38 3.60
1071 52.62 23.72 42.00 170.84 13.85
1072 52.47 57.36 54.80 187.38 20.49
1073 52.60 61.91 54.51 179.25 17.38
1074 52.42 66.79 58.44 181.29 15.99
1075 52.49 88.60 45.82 119.16 8.86
1076 52.75 18.66 40.94 156.68 12.48
1077 52.68 32.73 54.43 181.32 13.94
1078 52.55 49.88 56.50 189.46 20.36
1079 52.70 75.31 51.60 169.46 13.70
1080 52.58 69.97 53.29 167.93 15.62
1081 52.61 77.83 41.94 116.59 10.02
1082 52.77 38.28 55.27 187.38 17.96
1083 52.80 21.20 38.97 166.77 12.23
1084 52.83 9.90 26.39 107.06 6.39
1085 52.91 46.96 54.54 177.21 18.09
1086 52.98 81.77 56.65 128.46 9.81
1087 52.91 54.63 57.66 168.48 18.28
1088 53.03 64.18 54.71 192.59 16.41
1089 53.12 41.29 52.76 182.55 18.08
1090 53.16 34.72 48.43 166.04 12.02
1091 53.10 59.63 56.85 180.88 17.51
1092 53.25 86.47 81.25 112.54 8.71
1093 53.26 11.87 29.23 132.89 8.39
1094 53.13 27.27 47.84 162.18 11.43
1095 53.36 16.11 33.34 141.79 9.71
1096 53.24 30.85 48.21 183.59 13.60
1097 53.33 52.01 73.16 169.42 15.76
1098 53.29 68.34 56.88 173.10 15.77
1099 53.27 5.50 19.20 77.16 2.62
1100 53.37 43.86 66.72 189.95 17.01
1101 53.47 25.21 49.22 157.09 9.87
1102 53.40 72.71 59.60 159.25 13.42
1103 53.42 66.03 74.78 171.53 15.51
1104 53.45 76.82 62.57 146.50 12.15
1105 53.48 57.17 66.00 174.63 16.49
1106 53.63 36.61 74.40 179.99 14.34
1107 53.46 49.11 73.61 176.56 16.78
1108 53.49 90.61 113.93 116.07 6.45
1109 53.63 7.85 23.32 97.87 4.19
1110 53.68 28.82 60.35 181.93 12.72
1111 53.61 39.22 59.40 177.10 15.38
1112 53.60 61.74 73.55 182.00 16.37
1113 53.66 70.68 76.84 169.59 14.94
1114 53.97 80.50 171.94 114.21 8.68
1115 53.83 22.29 45.61 164.80 10.50
1116 53.82 32.98 96.47 173.45 12.20
1117 53.95 19.58 55.82 141.25 8.95
1118 53.95 74.58 108.91 143.91 11.81
1119 54.24 93.61 99.01 54.42 3.30
1120 53.90 45.72 88.56 165.62 14.78
1121 53.90 54.86 98.55 146.57 12.77
1122 54.06 63.78 228.80 156.46 13.54
1123 54.06 13.53 37.59 117.60 6.85
1124 54.06 17.83 48.96 135.39 8.88
1125 54.22 84.46 199.33 87.26 7.05
1126 54.12 10.07 31.53 100.96 5.20
1127 54.09 41.07 177.55 163.69 12.49
1128 54.04 59.44 121.45 171.04 15.47
1129 54.21 26.65 105.03 173.19 11.15
1130 54.30 47.55 192.07 149.84 13.14
1131 54.27 34.76 144.77 157.27 12.25
1132 54.31 50.14 197.00 158.46 12.96
1133 54.29 52.77 183.19 173.81 15.78
1134 54.26 67.05 236.39 152.32 12.87
1135 54.25 30.80 142.00 170.78 10.17
1136 54.55 87.87 207.36 104.30 6.50
1137 54.38 43.05 224.62 142.89 11.83
1138 54.56 69.43 230.10 127.89 11.24
1139 54.59 15.56 76.44 135.62 7.58
1140 54.41 38.71 188.55 159.52 13.35
1141 54.48 56.81 206.16 157.14 13.72
1142 54.52 77.14 215.78 117.57 9.81
1143 54.72 71.99 239.03 108.35 9.08
1144 54.61 90.70 191.37 87.39 5.66
1145 54.62 24.58 153.58 139.85 9.32
1146 54.62 61.54 246.72 149.29 12.82
1147 54.72 20.58 132.08 162.56 9.07
1148 54.71 28.64 173.26 161.34 10.41
1149 54.85 36.29 210.82 151.34 10.03
1150 54.84 32.71 205.51 155.94 10.42
1151 54.96 65.35 249.19 141.71 12.21
1152 54.94 45.39 207.35 152.17 13.48
1153 55.00 8.31 60.77 71.86 2.83
1154 55.52 54.38 221.68 144.36 13.18
1155 55.10 74.44 237.88 127.11 9.46
1156 55.11 80.00 220.88 88.50 8.20
1157 55.07 12.93 114.68 123.58 5.53
1158 55.18 22.63 165.15 145.91 8.23
1159 55.17 41.09 226.71 149.94 12.15
1160 55.08 59.24 238.67 140.85 13.24
1161 55.14 10.81 82.89 86.79 3.48
1162 55.05 17.93 108.97 132.21 7.40
1163 55.26 51.20 212.98 139.40 12.83
1164 55.26 26.10 184.54 135.60 8.14
1165 55.30 30.53 210.94 136.59 8.67
1166 55.32 48.41 227.04 125.19 11.40
1167 55.40 67.70 245.39 130.53 10.84
1168 55.37 82.95 223.80 92.71 6.75
1169 55.29 38.57 223.43 157.51 12.50
1170 55.49 63.47 238.77 133.42 11.61
1171 55.63 34.62 219.31 135.08 8.99
1172 55.49 86.24 198.81 65.31 6.74
1173 55.63 56.89 239.18 131.50 12.33
1174 55.87 92.72 166.61 68.76 3.91
1175 55.76 28.21 217.54 135.85 8.20
1176 55.84 61.35 238.95 120.15 11.36
1177 55.76 70.37 242.51 122.46 9.75
1178 55.66 77.40 226.59 102.74 7.95
1179 55.80 15.16 169.36 121.29 5.76
1180 55.70 20.32 168.42 122.68 6.95
1181 55.68 43.37 217.78 133.97 11.21
1182 55.85 89.57 190.57 80.09 5.36
1183 55.86 8.47 98.41 77.04 3.28
1184 55.96 32.37 203.81 133.44 9.32
1185 56.03 23.60 183.00 130.01 7.44
1186 56.04 37.11 216.26 130.87 9.09
1187 56.01 46.44 220.51 121.09 10.99
1188 56.27 72.62 214.07 103.50 9.12
1189 56.21 5.84 72.36 60.34 1.76
1190 56.11 17.89 148.85 96.74 4.88
1191 56.04 12.68 129.70 84.23 4.09
1192 56.27 84.59 218.56 80.95 6.43
1193 56.18 39.88 212.00 115.65 9.65
1194 56.25 52.39 191.90 113.55 10.56
1195 56.21 65.52 218.74 129.81 11.05
1196 56.30 75.01 213.30 92.96 7.63
1197 56.24 59.14 206.17 125.77 11.73
1198 56.70 10.74 117.13 80.71 3.45
1199 56.39 25.79 184.11 125.51 7.30
1200 56.46 49.36 206.02 119.92 10.90
1201 56.53 80.00 175.43 94.86 7.48
1202 56.46 68.38 219.48 114.71 9.44
1203 56.50 30.12 178.72 134.78 8.52
1204 56.62 42.15 202.47 106.79 9.12
1205 56.61 82.06 156.24 61.24 6.29
1206 56.55 44.16 188.42 137.97 11.15
1207 56.71 63.18 199.81 115.44 10.23
1208 56.68 20.43 171.76 120.05 6.17
1209 56.89 33.96 180.40 117.84 9.41
1210 56.85 36.11 171.85 121.52 8.43
1211 56.91 27.95 172.75 121.08 7.24
1212 56.86 56.76 197.98 109.26 11.08
1213 56.97 77.43 156.56 96.89 7.35
1214 57.03 88.08 175.95 73.98 5.24
1215 57.06 91.07 133.36 58.70 3.92
1216 57.12 7.39 100.42 78.00 3.03
1217 56.99 16.27 146.03 117.75 5.05
1218 57.03 70.75 187.86 97.66 9.16
1219 56.85 13.22 120.12 76.09 3.68
1220 57.15 61.01 180.06 110.62 10.71
1221 56.95 14.72 144.26 99.40 4.52
1222 57.12 31.80 187.17 118.13 7.04
1223 57.10 46.57 192.36 110.60 9.53
1224 57.20 22.48 145.25 116.91 6.86
1225 57.29 40.47 133.71 114.12 8.85
