#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk5 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.14 46.22 8.45 9.28 8.43
1 2.29 48.35 9.36 9.92 6.20
2 2.36 49.56 8.81 8.42 6.62
3 2.80 42.32 9.07 9.86 23.09
4 2.61 45.07 8.61 7.84 10.26
5 3.49 50.83 8.80 10.90 7.21
6 3.39 48.07 9.78 10.63 10.06
7 3.57 44.95 9.62 10.45 14.67
8 3.37 43.89 9.88 9.88 17.38
9 4.41 46.77 9.87 11.31 26.48
10 4.20 37.90 10.04 12.90 36.42
11 4.22 41.89 9.05 10.96 26.20
12 4.49 52.88 9.91 11.54 7.57
13 4.91 49.88 10.67 11.65 14.69
14 5.17 44.18 10.00 11.93 30.87
15 5.19 39.88 10.50 12.64 37.19
16 5.14 36.13 10.32 12.42 36.74
17 5.35 37.39 9.43 14.30 39.90
18 5.44 51.64 10.00 13.00 12.13
19 5.70 33.78 8.34 14.34 30.19
20 5.83 57.29 9.12 13.04 6.24
21 5.96 46.97 10.24 14.77 31.20
22 6.19 41.91 9.55 13.88 37.21
23 6.16 54.78 10.17 13.27 6.87
24 6.11 34.87 10.09 13.70 29.70
25 5.95 36.74 10.24 12.52 39.70
26 6.41 49.94 10.37 13.81 24.17
27 6.21 52.04 10.38 13.71 11.00
28 6.54 38.78 11.42 15.17 37.67
29 6.52 43.82 11.24 16.10 32.90
30 6.87 44.88 11.36 17.48 30.60
31 6.71 57.03 10.04 14.15 8.30
32 7.20 35.73 11.01 18.06 21.93
33 7.23 33.31 11.09 17.14 20.14
34 7.10 60.06 9.04 13.72 6.63
35 7.36 47.74 11.81 17.78 29.39
36 7.60 41.04 11.68 20.30 28.95
37 7.12 61.79 8.38 13.15 6.00
38 7.36 55.64 9.41 15.59 8.94
39 7.29 56.84 11.42 16.42 7.46
40 7.73 54.44 10.32 15.39 9.49
41 7.77 51.86 11.01 16.64 11.33
42 7.61 37.27 12.80 17.49 24.51
43 8.00 43.70 10.69 20.63 21.93
44 7.66 61.39 8.84 14.53 7.22
45 8.06 38.63 12.60 23.25 22.40
46 8.37 31.65 10.77 20.31 10.12
47 7.94 59.14 13.69 15.78 7.80
48 8.50 46.45 11.74 20.62 20.25
49 8.16 57.15 10.76 20.29 8.04
50 8.48 49.67 11.94 20.70 13.51
51 8.65 29.60 11.10 18.65 8.06
52 8.70 34.19 11.94 21.17 10.68
53 8.59 59.81 10.03 14.95 8.71
54 8.90 37.11 11.63 23.30 12.95
55 9.06 54.64 11.85 19.60 10.76
56 8.96 41.94 12.60 22.83 19.83
57 8.94 56.92 11.85 21.35 7.94
58 9.03 35.86 10.46 23.67 13.00
59 9.24 52.35 12.21 21.44 12.73
60 9.25 39.47 14.06 22.41 12.32
61 9.22 62.49 11.62 13.70 8.50
62 9.49 44.87 12.64 26.21 12.03
63 9.53 59.71 11.27 14.87 8.31
64 9.69 31.36 11.28 21.57 8.47
65 10.04 47.22 13.56 22.62 12.54
66 10.03 49.83 12.84 26.79 10.56
67 10.04 29.11 10.43 20.85 7.82
68 9.92 32.93 11.66 20.12 8.71
69 10.07 42.51 13.73 28.48 11.77
70 10.28 34.75 12.76 23.35 10.20
71 10.14 37.67 13.25 25.08 9.89
72 10.19 57.41 12.62 20.51 9.98
73 10.50 54.93 12.79 24.43 11.42
74 10.40 61.76 12.75 15.70 10.22
75 10.55 40.45 12.92 24.94 10.77
76 10.83 64.16 12.56 13.95 14.87
77 10.51 43.51 12.43 24.77 12.10
78 10.81 52.67 13.31 26.98 11.54
79 10.73 30.99 11.57 24.13 8.43
80 11.21 45.25 13.48 32.05 11.44
81 11.05 36.06 13.26 24.93 11.07
82 10.93 56.72 11.83 20.87 8.78
83 11.14 59.38 12.40 17.78 10.48
84 11.34 28.36 11.52 22.20 9.35
85 11.45 33.12 12.48 26.39 9.97
86 11.45 48.01 13.89 31.57 10.69
87 11.55 38.98 13.62 32.10 11.50
88 11.62 42.59 13.19 29.42 11.93
89 11.80 50.73 14.06 30.83 12.04
90 11.71 61.39 13.62 16.18 12.68
91 11.67 37.00 13.30 26.50 10.91
92 11.83 55.56 13.14 25.68 13.18
93 11.77 58.06 12.56 20.90 12.95
94 11.66 63.20 11.00 16.92 14.83
95 12.13 34.84 13.75 25.91 11.93
96 12.49 53.26 13.84 29.95 12.73
97 12.20 29.72 13.47 22.96 9.32
98 12.33 63.68 13.09 14.43 13.62
99 12.43 26.95 11.05 23.18 9.49
100 12.62 40.71 13.40 34.41 12.65
101 12.78 46.24 14.44 37.53 14.75
102 12.47 65.96 12.12 13.41 17.70
103 12.39 60.36 12.56 16.78 11.09
104 12.90 68.71 11.01 11.51 21.75
105 12.64 31.16 11.54 24.13 10.21
106 12.85 43.89 14.32 35.70 14.37
107 12.49 56.17 13.00 24.67 12.24
108 12.57 57.84 11.75 21.25 12.00
109 13.06 48.48 14.15 36.07 15.57
110 13.12 37.66 14.42 30.85 12.35
111 13.23 33.71 11.96 26.60 12.61
112 13.31 59.74 13.95 18.91 14.17
113 13.44 50.80 15.01 34.42 18.88
114 13.18 62.38 12.87 15.78 16.31
115 13.72 54.84 14.29 34.51 20.26
116 13.62 57.28 13.44 25.82 17.93
117 13.65 65.92 12.84 12.50 27.10
118 13.80 28.81 11.95 22.83 12.71
119 13.81 25.94 12.23 25.37 11.61
120 13.90 40.35 14.13 37.55 16.13
121 13.92 31.18 13.83 25.21 12.31
122 13.80 63.25 14.89 13.72 16.14
123 14.07 43.05 13.41 38.74 19.37
124 14.35 52.28 15.56 33.59 26.72
125 14.37 35.86 13.64 26.08 16.25
126 14.43 45.89 13.72 34.26 26.06
127 14.32 68.53 13.67 12.00 20.55
128 14.31 61.95 11.78 15.58 18.61
129 14.57 48.87 14.18 32.40 29.50
130 14.69 38.26 13.57 34.08 18.20
131 14.70 58.76 12.70 21.02 21.94
132 14.84 60.83 13.41 18.44 19.93
133 14.89 64.98 12.90 13.16 20.48
134 14.83 33.34 13.67 26.90 17.44
135 14.72 23.58 10.07 17.83 15.52
136 14.85 70.93 13.36 10.60 19.46
137 14.89 67.34 12.08 11.90 19.02
138 14.96 25.15 10.27 19.12 17.57
139 15.15 56.18 13.86 28.41 32.15
140 15.24 41.11 13.75 37.53 30.38
141 15.22 26.98 13.09 23.56 20.09
142 15.26 31.21 11.64 25.12 16.54
143 15.19 29.56 14.02 27.20 19.25
144 15.45 62.97 13.19 15.13 23.39
145 15.37 43.65 14.26 37.29 40.35
146 15.65 53.34 13.71 34.72 49.09
147 15.74 50.47 14.67 30.29 54.65
148 15.75 47.57 14.47 37.64 63.52
149 15.78 69.03 12.88 12.78 27.37
150 15.78 35.22 14.36 32.97 26.76
151 15.93 23.87 10.35 17.59 34.86
152 16.13 39.15 13.11 32.26 40.98
153 16.12 58.62 14.13 23.90 35.01
154 16.25 71.46 12.60 11.17 20.66
155 16.40 45.02 13.91 29.52 75.57
156 16.31 66.68 13.49 13.43 25.12
157 16.46 61.26 13.84 16.32 32.28
158 16.32 29.69 13.23 24.60 29.77
159 16.29 32.85 13.62 26.30 26.90
160 16.72 37.16 12.69 29.45 45.16
161 16.52 26.42 11.84 21.45 37.86
162 16.67 64.28 13.34 14.08 25.27
163 16.69 42.22 14.38 29.65 74.30
164 16.57 56.00 14.92 26.97 59.46
165 16.98 73.77 11.05 10.40 18.62
