#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl15 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.48 45.53 16.38 2.64 25.64
1 2.82 44.33 16.28 3.38 29.03
2 2.93 41.70 16.05 2.75 30.00
3 2.87 47.92 20.07 3.21 30.86
4 3.32 46.66 22.12 3.29 25.58
5 3.34 48.89 25.07 3.21 21.32
6 3.47 42.35 15.39 3.24 26.95
7 3.52 39.11 17.09 3.15 26.00
8 4.25 41.34 16.46 3.13 30.49
9 4.24 52.91 21.40 3.16 29.00
10 4.23 49.53 17.36 2.98 30.93
11 4.29 46.42 16.36 3.09 31.23
12 4.73 44.76 17.47 3.25 30.73
13 4.79 47.48 24.15 2.85 24.85
14 4.99 49.92 22.13 3.32 29.49
15 5.00 41.43 16.36 4.00 28.84
16 5.27 52.03 20.85 3.46 31.15
17 5.30 53.47 27.66 2.68 28.88
18 5.49 42.57 20.08 3.68 28.39
19 5.36 55.69 18.21 2.94 30.50
20 5.52 39.26 20.58 3.06 28.56
21 5.72 44.30 19.00 3.76 32.02
22 5.99 48.35 20.14 3.36 29.14
23 5.83 40.54 18.41 3.62 29.69
24 5.88 50.82 18.78 3.83 32.73
25 6.37 53.41 19.52 3.46 31.33
26 5.93 38.69 16.67 3.17 27.17
27 6.21 37.22 21.16 3.95 26.97
28 6.25 45.90 19.07 3.07 30.37
29 6.49 40.97 17.48 4.44 31.96
30 6.36 39.14 24.40 3.10 27.20
31 6.51 44.19 20.16 3.35 28.86
32 6.68 50.69 17.60 3.49 27.87
33 6.84 57.18 17.76 3.27 31.08
34 6.92 38.68 19.76 3.52 30.60
35 6.88 42.21 23.35 3.71 27.71
36 6.67 46.82 20.38 4.69 32.62
37 6.67 36.59 20.90 3.50 26.90
38 6.93 49.15 19.59 4.09 32.09
39 7.15 46.19 21.09 3.67 30.91
40 7.46 37.11 26.23 3.52 26.68
41 7.33 51.88 21.47 3.44 31.77
42 7.73 40.77 20.10 3.85 32.23
43 7.44 55.42 18.89 3.84 30.09
44 7.52 58.76 17.55 3.52 29.23
45 7.73 49.12 18.94 4.21 29.48
46 7.88 44.24 21.63 3.91 32.25
47 7.74 32.84 30.06 4.11 23.06
48 7.64 38.68 22.48 3.48 31.29
49 7.91 46.93 17.61 4.29 30.63
50 8.18 34.08 30.19 3.45 22.31
51 8.15 36.17 20.43 4.38 31.68
52 8.22 39.26 31.82 3.65 19.80
53 8.27 50.33 19.94 3.34 29.53
54 8.22 31.89 27.08 2.92 28.33
55 8.54 47.77 26.56 4.28 24.24
56 8.62 53.37 20.12 3.58 33.27
57 8.56 45.90 21.93 4.03 27.90
58 9.15 49.39 23.13 3.78 30.59
59 9.13 62.56 14.96 2.92 29.88
60 9.16 32.30 34.09 4.12 25.13
61 9.05 42.24 31.00 4.10 22.69
62 9.03 60.58 17.00 3.19 30.92
63 9.04 40.56 21.83 4.02 32.44
64 9.36 58.09 19.90 3.93 29.75
65 9.12 29.43 16.61 4.39 30.22
66 9.30 36.94 32.03 4.06 25.25
67 9.54 46.52 20.80 3.70 32.30
68 9.09 52.74 29.75 3.88 27.00
69 9.28 55.53 30.71 4.23 26.29
70 9.60 54.19 20.00 3.62 32.77
71 9.99 44.42 34.51 3.88 27.64
72 9.82 51.38 20.94 3.58 31.72
73 9.97 30.48 34.56 4.10 24.77
74 9.87 40.70 34.63 3.85 28.20
75 10.09 34.79 40.33 3.95 28.89
76 10.01 59.83 19.79 3.26 30.00
77 10.35 56.51 20.90 4.22 29.37
78 10.22 39.32 36.03 3.95 28.30
79 10.48 49.55 27.92 3.95 26.62
80 10.28 64.87 15.92 3.25 30.56
81 10.58 36.92 43.57 4.42 25.93
82 10.38 58.31 23.20 3.97 31.43
83 10.38 32.02 27.07 4.67 31.81
84 10.71 61.15 16.80 4.04 31.61
85 11.04 42.24 41.07 3.97 26.79
86 10.76 47.07 35.78 4.06 26.12
87 10.62 29.77 34.14 3.81 23.38
88 10.72 45.03 26.70 3.65 37.10
89 10.74 63.90 16.96 3.76 29.84
90 10.94 67.53 13.68 3.04 29.26
91 11.23 32.05 41.64 4.61 27.88
92 11.12 57.27 20.81 4.32 32.85
93 11.31 34.72 49.59 3.94 27.59
94 11.48 64.92 15.45 3.95 30.85
95 11.66 39.76 41.93 4.11 30.09
96 11.70 44.70 42.74 4.16 30.07
97 11.70 55.36 19.94 4.15 32.95
98 11.72 29.06 36.95 3.60 29.55
99 11.78 49.49 35.22 4.00 25.71
100 11.78 58.72 18.16 3.49 31.13
101 11.90 68.27 14.07 3.18 27.07
102 12.00 34.69 47.21 4.11 27.10
103 12.02 31.40 39.84 4.68 30.26
104 12.20 63.56 15.00 3.96 29.70
105 12.62 37.70 46.69 4.54 27.63
106 12.09 59.87 16.44 3.25 31.00
107 12.40 53.61 21.64 4.02 33.77
108 12.34 61.52 18.49 4.18 33.42
109 12.36 66.12 14.17 3.77 31.83
110 13.04 33.35 44.62 4.20 26.95
111 12.67 58.04 19.41 4.18 30.97
112 12.47 68.41 12.85 3.46 30.23
113 12.85 70.07 13.28 3.35 32.17
114 12.72 27.98 25.63 4.51 32.68
115 13.01 40.69 44.83 4.70 26.66
116 12.58 55.23 26.83 4.11 28.17
117 13.02 30.42 45.56 4.05 27.47
118 12.99 46.88 44.55 4.18 24.29
119 13.30 43.55 47.27 4.68 28.60
120 12.88 67.61 13.58 2.85 30.46
121 12.91 26.70 34.83 3.72 26.44
122 13.36 36.21 40.90 4.01 29.06
123 13.16 45.03 50.03 4.79 30.41
124 12.85 66.48 14.29 4.00 33.14
125 13.24 56.00 17.28 4.14 32.52
126 13.11 52.93 22.00 4.11 37.44
127 13.69 49.95 34.18 5.30 35.36
128 13.52 64.55 16.47 3.94 31.53
129 13.73 58.74 17.94 4.29 32.81
130 13.48 26.81 36.67 3.37 23.85
131 13.68 66.28 14.06 4.05 34.86
132 13.50 72.02 12.87 3.57 25.65
133 13.66 54.69 19.33 4.10 35.67
134 13.67 28.95 36.69 4.71 29.12
135 13.73 60.72 15.47 3.97 34.82
136 14.15 52.81 33.15 4.52 29.73
137 14.20 39.25 35.78 4.42 24.99
138 14.13 69.16 13.94 3.59 28.92
139 14.08 25.09 27.59 3.46 31.28
140 14.37 32.33 38.51 4.77 28.92
141 14.07 35.17 36.52 4.52 33.40
142 14.09 27.11 31.88 4.08 29.28
143 14.10 48.31 34.61 4.66 28.34
144 14.30 57.11 19.36 3.92 32.71
145 14.10 41.15 34.00 4.19 30.00
146 14.05 67.14 15.27 4.55 32.64
147 14.47 73.12 13.76 3.24 29.08
148 14.36 30.52 29.76 4.76 33.97
149 14.37 45.93 31.51 4.12 32.05
150 14.73 63.33 15.95 4.11 31.15
151 14.75 25.61 24.23 3.89 33.51
152 14.59 66.69 14.83 3.40 32.63
153 14.85 43.21 33.63 4.92 32.98
154 14.65 59.51 18.06 4.51 31.66
155 14.70 47.11 24.14 4.00 38.71
156 14.81 51.49 22.88 5.47 34.24
157 15.06 49.74 23.28 4.59 35.82
158 14.86 68.56 14.10 3.60 29.00
159 15.11 61.29 16.25 4.39 34.03
160 15.03 44.76 35.32 4.17 27.87
161 15.24 64.89 14.93 3.91 30.52
162 15.07 22.59 20.53 4.47 33.20
163 15.32 56.35 19.25 4.47 34.57
164 15.44 66.47 15.21 4.46 32.50
165 15.36 71.81 12.07 3.09 28.74
