#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl26 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.30 43.08 11.81 1.60 26.66
1 2.84 41.08 12.10 1.62 25.45
2 3.08 43.94 13.11 1.26 30.16
3 3.29 47.57 15.03 1.63 28.31
4 3.46 42.87 15.08 1.40 27.16
5 3.69 41.52 12.79 1.90 25.38
6 3.82 45.30 15.42 1.56 28.64
7 3.85 54.65 17.31 1.69 26.60
8 4.10 38.10 15.31 1.88 24.57
9 4.09 47.83 17.12 2.00 28.26
10 4.18 56.06 15.33 1.89 27.50
11 4.44 41.22 13.97 1.59 25.11
12 4.54 39.51 12.54 1.69 27.12
13 4.55 53.62 14.80 1.80 29.47
14 4.69 49.57 14.10 1.56 29.68
15 4.59 52.18 19.12 1.50 26.94
16 4.53 47.85 12.11 2.44 27.11
17 4.93 46.38 15.31 1.57 31.10
18 4.98 56.24 15.10 1.41 27.47
19 5.15 38.85 13.24 1.56 29.68
20 5.33 51.65 14.33 1.87 29.06
21 5.37 40.63 15.82 1.69 27.83
22 5.36 43.65 15.34 1.82 29.32
23 5.33 49.84 16.32 1.68 30.64
24 5.55 37.91 14.35 1.70 29.68
25 5.44 54.49 15.58 1.98 30.22
26 5.58 58.48 20.23 1.78 27.47
27 5.61 34.97 16.26 2.03 24.32
28 6.06 56.08 20.74 1.97 27.98
29 6.30 36.76 13.78 1.85 29.60
30 6.16 43.37 22.00 1.90 26.82
31 6.10 50.62 31.00 2.03 26.23
32 6.45 39.68 15.47 1.89 30.04
33 6.19 41.82 14.40 1.60 32.27
34 6.65 53.39 32.30 2.08 25.12
35 6.40 57.54 18.35 1.65 31.39
36 6.47 59.55 21.95 1.82 29.14
37 6.56 46.51 30.80 2.09 24.51
38 6.53 49.66 22.00 1.50 31.83
39 6.71 51.06 19.38 2.25 31.54
40 7.13 45.27 19.93 1.85 30.13
41 7.22 37.75 18.41 1.83 26.50
42 7.27 56.75 31.42 2.24 28.05
43 7.26 62.05 18.08 2.34 28.24
44 7.18 43.51 13.97 2.34 31.62
45 7.41 48.60 34.73 2.49 26.01
46 7.26 39.87 18.18 1.65 31.24
47 7.66 51.20 39.34 2.37 25.94
48 7.93 59.47 33.24 2.49 28.09
49 7.86 40.40 17.74 1.97 33.71
50 7.79 43.18 26.68 2.37 22.79
51 8.24 46.16 32.85 2.57 26.54
52 8.07 61.98 15.71 1.87 30.95
53 8.12 42.20 21.62 1.92 28.73
54 8.27 43.96 23.16 2.53 33.32
55 8.59 38.87 30.51 2.38 27.16
56 8.92 49.05 41.11 2.35 28.94
57 8.67 57.39 36.66 2.89 26.88
58 8.63 32.52 16.81 1.80 32.16
59 8.43 31.00 19.78 1.67 31.78
60 8.51 41.50 39.04 2.65 29.08
61 8.95 52.84 51.76 2.77 27.26
62 8.79 62.67 17.58 2.00 29.98
63 9.16 51.41 50.07 2.64 30.54
64 9.23 41.24 35.99 2.35 24.84
65 9.11 43.98 34.36 2.18 30.13
66 9.05 35.65 28.98 2.52 29.64
67 9.69 55.59 50.21 2.93 29.60
68 9.42 59.88 28.17 2.57 29.00
69 9.51 31.89 27.87 2.04 22.49
70 9.66 64.45 19.48 2.15 30.00
71 9.87 46.52 42.11 2.77 28.71
72 9.56 54.35 51.96 2.63 29.96
73 9.93 39.16 40.06 2.12 29.26
74 10.35 57.61 46.87 3.08 29.26
75 10.00 33.57 25.89 2.64 32.40
76 10.53 50.57 67.90 2.84 29.72
77 10.37 66.72 14.12 2.10 27.24
78 10.60 44.13 38.23 2.66 29.22
79 10.86 53.10 66.40 3.20 31.98
80 10.58 36.67 41.19 2.34 27.86
81 10.90 41.48 46.53 2.83 30.85
82 10.86 60.13 42.42 2.77 28.07
83 10.36 63.34 19.38 2.00 29.19
84 10.50 65.01 16.55 2.42 27.29
85 11.07 48.61 59.03 3.23 30.65
86 10.74 33.90 33.51 2.91 27.70
87 10.68 31.28 28.13 2.08 27.55
88 11.31 62.69 32.44 3.10 28.15
89 10.81 27.95 19.64 2.45 30.73
90 11.02 65.53 17.84 2.36 26.08
91 11.69 55.31 62.97 3.08 28.04
92 11.21 30.05 24.27 2.20 27.63
93 11.66 46.46 49.34 2.88 28.61
94 11.71 38.95 43.51 2.81 29.96
95 11.39 28.41 22.29 2.41 29.29
96 11.50 27.15 20.80 1.83 30.14
97 11.52 31.85 26.67 2.44 31.26
98 11.80 35.41 41.29 2.72 28.21
99 11.97 43.88 50.21 2.75 29.12
100 12.06 57.74 47.66 3.60 27.81
101 12.34 51.95 69.37 2.71 30.35
102 12.38 29.40 39.20 3.03 29.22
103 12.48 32.97 41.15 2.73 30.71
104 12.80 41.47 50.24 2.77 30.17
105 12.48 60.29 36.33 3.69 29.11
106 12.48 48.65 62.54 2.93 32.17
107 12.89 27.07 29.87 2.40 26.15
108 12.84 63.04 34.14 2.85 29.40
109 12.60 31.48 43.44 2.67 27.92
110 12.64 67.34 15.66 2.39 29.55
111 13.06 36.78 54.17 2.96 29.56
112 13.77 24.71 27.24 2.45 28.55
113 13.08 65.27 31.37 3.40 25.87
114 13.27 54.81 35.61 3.28 30.26
115 13.51 46.41 73.17 3.10 31.31
116 13.13 49.70 65.29 3.21 30.04
117 13.31 61.63 27.63 2.84 30.26
118 13.51 39.19 58.30 3.15 31.51
119 13.27 70.00 10.76 2.22 30.00
120 13.41 58.67 35.80 3.61 30.02
121 13.13 56.47 26.12 2.00 38.00
122 13.81 34.18 52.71 3.16 32.03
123 13.66 57.30 39.26 3.64 30.98
124 13.29 60.06 31.10 2.70 32.80
125 14.02 31.38 41.69 2.93 29.16
126 13.88 51.89 51.47 3.46 29.52
127 13.75 26.33 21.73 2.48 32.79
128 14.12 28.93 41.74 2.74 28.36
129 14.13 43.72 51.29 3.58 29.90
130 14.36 49.16 49.72 3.26 28.60
131 14.15 69.08 13.04 3.48 27.74
132 14.67 40.66 50.61 3.14 30.64
133 14.73 54.04 42.28 3.58 32.34
134 14.61 60.42 39.41 3.87 28.37
135 14.75 37.21 48.73 3.16 30.31
136 14.71 56.74 34.40 3.15 31.40
137 14.56 57.85 38.56 3.89 34.11
138 14.72 26.98 31.98 3.26 31.26
139 14.95 68.53 12.88 2.41 29.51
140 15.16 46.03 47.88 3.78 29.77
141 14.94 22.85 20.61 2.14 31.82
142 15.22 33.82 50.13 3.51 32.07
143 15.03 71.21 11.06 2.73 28.36
144 15.27 30.82 45.68 2.92 30.36
145 15.54 66.68 15.57 3.21 30.71
146 15.17 23.87 20.30 2.40 34.40
147 15.75 28.28 38.68 2.27 29.68
148 15.47 63.82 21.41 3.37 33.44
149 15.72 42.93 51.49 3.32 31.39
150 15.32 73.08 11.25 3.11 28.46
151 15.41 49.19 36.40 3.16 26.77
152 15.66 55.48 35.45 4.22 30.52
153 15.49 57.22 19.95 4.24 34.76
154 15.50 69.98 15.32 4.04 28.24
155 15.48 62.60 19.80 2.40 36.60
156 15.83 23.20 23.51 2.38 30.33
157 15.77 39.52 45.61 3.54 31.38
158 15.70 58.67 30.41 4.57 29.24
159 16.01 71.97 12.18 2.53 30.65
160 16.16 36.41 50.66 3.40 32.02
161 15.99 54.12 28.96 3.65 36.61
162 16.10 68.64 13.91 3.28 29.74
163 16.01 31.03 44.88 3.05 28.81
164 16.84 62.42 24.17 3.97 31.27
165 16.15 48.51 25.24 3.06 37.26
