#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pe2 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.13 45.69 8.63 10.74 30.60
1 1.69 48.38 7.64 12.16 21.04
2 2.30 48.01 8.97 12.00 24.95
3 2.32 42.26 8.61 10.72 32.95
4 2.81 50.52 8.85 11.60 30.13
5 3.08 53.64 8.21 11.61 17.30
6 3.48 40.94 9.38 10.31 38.57
7 3.41 43.55 9.81 12.39 46.74
8 3.38 55.86 8.46 13.18 12.38
9 3.43 52.44 7.71 11.56 21.07
10 3.64 47.25 9.88 12.07 33.10
11 3.69 44.90 9.11 10.16 46.73
12 4.07 49.82 8.99 13.33 42.95
13 4.13 56.31 9.50 12.45 13.30
14 4.57 53.43 8.80 13.55 35.47
15 4.62 42.20 9.92 12.63 41.53
16 4.64 39.34 10.33 12.53 45.06
17 4.36 44.78 10.09 14.57 44.39
18 4.56 50.77 9.15 12.80 43.17
19 4.66 60.56 7.40 13.71 7.48
20 5.04 36.40 9.76 13.11 34.95
21 4.80 46.03 9.39 11.97 40.70
22 4.90 33.71 10.43 14.57 33.81
23 4.83 58.34 8.66 14.21 11.21
24 5.30 48.00 9.97 15.94 44.52
25 5.22 56.37 9.86 14.85 17.05
26 5.20 44.72 10.20 15.26 40.70
27 5.05 40.56 9.65 16.50 40.80
28 5.29 61.16 7.77 13.97 7.37
29 5.62 50.46 10.78 16.72 42.25
30 5.54 59.51 8.95 14.43 12.57
31 5.74 38.96 9.71 14.06 39.49
32 6.06 34.31 10.64 17.48 28.95
33 6.05 54.11 10.06 15.44 27.85
34 6.03 42.29 10.55 14.94 43.65
35 5.86 51.79 9.66 15.17 38.54
36 6.09 57.99 8.54 16.98 16.68
37 6.38 45.30 10.07 14.81 40.41
38 6.23 60.84 8.35 16.08 7.85
39 6.59 56.29 10.18 14.31 18.56
40 6.81 48.10 10.62 19.31 29.86
41 6.81 62.29 8.61 16.00 8.31
42 6.65 59.07 9.48 18.33 13.22
43 6.93 31.47 9.70 16.33 18.72
44 6.71 50.81 10.23 14.79 30.06
45 7.00 37.03 10.45 15.26 23.69
46 6.84 29.52 9.85 17.38 13.76
47 7.19 40.05 11.47 15.96 26.39
48 7.39 43.14 11.39 18.33 24.35
49 7.45 53.53 11.05 18.64 25.42
50 7.37 33.54 10.66 15.30 20.65
51 7.50 60.88 9.57 16.38 9.69
52 7.45 51.04 10.88 17.86 27.09
53 7.57 56.00 10.33 17.44 16.57
54 7.45 30.00 10.66 17.74 11.92
55 7.87 46.02 10.65 18.55 13.39
56 7.77 64.42 9.45 12.96 9.06
57 7.98 58.80 9.78 17.70 9.68
58 8.15 49.00 11.21 22.12 17.21
59 8.13 35.54 12.16 19.70 15.24
60 8.09 38.42 10.62 18.12 13.26
61 7.92 29.37 10.58 18.00 8.50
62 8.37 41.23 11.64 21.97 12.41
63 8.29 30.51 10.31 20.63 11.98
64 8.69 57.60 11.61 19.56 11.05
65 8.54 52.09 10.84 20.30 13.19
66 8.64 62.56 11.61 16.22 10.21
67 8.62 67.33 7.59 13.79 9.36
68 8.69 33.15 11.86 21.05 11.90
69 8.92 55.19 11.27 20.40 11.74
70 8.96 42.82 11.52 22.48 9.58
71 8.95 44.32 11.02 19.70 9.41
72 8.84 65.45 8.97 16.42 9.18
73 8.70 29.43 10.00 19.77 9.38
74 9.05 46.63 10.26 22.10 10.55
75 9.39 39.74 11.72 24.02 10.09
76 9.30 27.91 10.55 17.78 7.87
77 9.04 36.09 11.00 20.32 11.16
78 9.18 30.79 11.03 21.21 8.97
79 9.34 60.49 10.28 19.60 10.31
80 9.34 50.00 11.58 24.25 10.89
81 9.45 34.00 12.09 22.17 9.30
82 9.80 53.03 11.98 26.91 11.15
83 9.84 67.76 9.88 13.92 12.52
84 9.59 37.46 12.28 20.72 10.33
85 9.80 63.64 10.37 20.43 10.97
86 9.87 58.31 12.07 23.95 11.17
87 10.20 47.84 11.96 29.03 10.62
88 9.91 36.08 11.43 19.97 9.60
89 9.99 31.00 12.79 19.45 8.96
90 10.35 44.84 12.52 24.35 10.37
91 10.31 55.92 12.04 26.77 12.71
92 10.13 33.78 12.40 20.54 8.96
93 10.36 26.33 11.01 17.07 8.60
94 10.15 28.44 12.29 21.43 6.71
95 10.70 38.63 11.43 22.87 10.17
96 10.58 42.41 12.59 23.77 9.69
97 10.73 50.80 12.96 32.65 11.68
98 11.04 61.00 12.18 23.84 13.63
99 10.69 65.60 11.33 16.17 12.79
100 10.58 29.17 11.73 22.25 8.43
101 10.61 34.91 13.06 19.18 8.71
102 11.05 32.37 12.52 21.46 10.24
103 10.96 70.39 9.29 10.15 23.52
104 11.40 36.28 12.48 22.47 11.12
105 11.23 54.06 12.98 33.78 13.64
106 11.52 58.83 12.22 26.96 13.68
107 11.13 67.77 10.45 12.86 14.29
108 11.26 26.70 10.39 19.40 8.86
109 11.28 24.25 9.28 16.31 8.75
110 11.82 42.94 13.07 28.83 12.06
111 11.80 63.27 12.08 22.31 14.97
112 11.88 40.33 12.80 30.60 12.45
113 11.74 48.09 13.70 33.87 13.34
114 11.98 45.32 12.50 29.03 12.95
115 12.04 56.48 12.93 28.56 16.98
116 12.03 25.04 11.80 17.88 9.64
117 12.06 65.95 12.25 15.19 14.44
118 12.26 52.12 12.57 32.17 18.34
119 12.09 23.26 10.65 15.62 9.00
120 12.07 27.40 11.89 21.72 9.87
121 12.22 33.14 12.84 25.47 12.44
122 12.27 37.75 12.26 21.39 10.89
123 12.48 68.54 11.50 11.96 21.73
124 12.27 30.52 13.24 24.54 11.39
125 12.60 71.53 10.82 9.66 40.59
126 12.78 60.67 12.03 22.76 18.75
127 12.57 34.66 13.24 27.62 13.55
128 13.03 49.77 13.89 33.35 32.38
129 12.96 54.90 13.97 26.38 32.82
130 12.72 27.99 11.73 24.39 12.67
131 12.83 63.49 11.80 22.59 17.84
132 13.15 46.88 13.05 30.31 23.63
133 12.91 23.48 11.33 17.27 11.29
134 13.21 35.67 13.35 28.82 14.01
135 13.23 58.07 12.17 24.24 25.70
136 13.36 25.70 13.13 20.28 12.37
137 13.12 40.73 12.33 24.48 16.89
138 13.22 28.56 13.56 23.87 12.80
139 13.14 32.09 11.87 27.40 14.15
140 13.27 43.74 12.47 26.14 20.18
141 13.61 65.73 13.67 16.96 18.22
142 13.55 38.15 14.03 26.75 18.44
143 13.44 63.46 13.12 22.81 20.86
144 13.76 70.52 11.78 11.65 34.72
145 14.04 52.24 12.75 25.61 58.87
146 13.54 29.51 13.79 26.50 12.93
147 14.00 73.42 11.30 10.66 35.47
148 13.90 33.03 14.15 26.71 15.94
149 13.75 68.23 12.33 11.79 22.21
150 14.03 30.35 13.29 23.44 17.91
151 14.01 21.25 10.68 18.44 12.30
152 14.24 23.55 12.91 19.59 17.09
153 13.88 42.90 10.88 24.08 18.00
154 13.86 62.63 13.12 24.71 17.25
155 14.31 61.04 14.41 22.24 32.61
156 14.09 27.35 13.42 22.13 18.12
157 14.43 48.85 13.74 26.05 62.80
158 14.34 45.58 13.30 29.28 52.75
159 14.56 54.98 14.02 24.72 78.81
160 14.43 40.73 13.90 26.53 36.28
161 14.54 35.37 13.67 26.14 29.08
162 14.59 58.48 13.89 23.00 49.09
163 14.56 63.85 14.23 17.40 23.20
164 14.56 37.74 14.05 27.04 35.84
165 14.88 32.38 14.19 22.60 29.17
