#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd26 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 3.22 49.22 5.99 2.17 33.52
1 2.98 41.08 6.60 3.50 36.04
2 2.90 47.28 5.91 2.09 34.28
3 2.94 44.59 6.46 2.83 39.51
4 3.14 39.18 7.25 3.33 38.02
5 4.08 41.92 7.12 3.04 37.92
6 3.66 43.46 7.00 2.83 43.57
7 4.23 44.88 8.12 2.83 36.14
8 4.26 39.43 7.50 3.42 37.45
9 4.19 46.99 6.75 2.56 36.11
10 4.05 37.84 6.93 3.07 42.21
11 4.14 49.54 6.54 2.75 36.29
12 4.52 50.75 5.90 2.84 41.10
13 4.90 48.32 7.33 3.21 40.02
14 4.89 34.25 8.10 3.02 37.93
15 5.23 37.07 8.17 3.82 40.03
16 4.88 53.77 6.82 2.32 32.06
17 5.55 41.91 8.78 3.27 38.05
18 5.13 43.31 7.63 2.53 36.00
19 5.12 50.21 8.23 2.53 36.57
20 5.64 45.31 8.09 3.40 37.45
21 5.31 39.41 7.83 3.29 40.05
22 5.76 56.12 6.83 2.65 34.15
23 6.33 49.02 8.53 3.40 36.60
24 5.99 32.16 9.03 3.27 41.30
25 5.80 51.39 7.76 3.25 34.95
26 5.87 47.52 9.85 3.24 36.83
27 5.84 34.56 8.80 3.94 38.65
28 5.99 40.15 7.84 3.45 38.03
29 6.09 50.34 8.50 4.50 45.50
30 6.65 38.13 8.12 3.74 40.87
31 7.04 43.98 9.03 3.28 37.65
32 6.83 36.18 9.93 3.55 37.97
33 6.65 40.26 8.94 2.94 37.79
34 6.97 60.34 7.97 2.34 31.03
35 7.11 46.69 9.45 3.51 36.09
36 6.90 32.86 10.20 2.80 41.20
37 7.08 52.19 8.29 3.30 36.68
38 7.12 55.18 8.24 3.43 42.10
39 7.40 57.57 8.31 3.18 34.87
40 7.36 41.65 9.28 3.68 36.95
41 7.29 34.02 9.03 3.67 39.78
42 7.51 50.00 9.20 3.53 36.69
43 7.93 39.01 7.89 3.34 38.95
44 7.98 61.56 7.38 2.89 35.14
45 8.07 36.77 8.53 2.84 35.35
46 7.94 51.71 10.16 2.47 37.22
47 8.29 44.38 8.99 3.29 35.68
48 7.99 46.21 8.38 4.50 37.62
49 8.32 49.60 8.73 3.31 36.86
50 8.15 48.05 9.65 3.59 34.29
51 8.41 54.55 8.93 3.45 37.49
52 8.23 32.54 9.60 3.60 35.31
53 8.36 41.09 9.94 3.15 37.71
54 8.23 53.01 10.95 2.95 35.60
55 8.38 59.02 7.50 3.23 37.12
56 8.32 26.95 9.32 2.68 37.86
57 8.73 47.14 8.38 3.40 36.55
58 8.72 56.73 9.21 3.29 36.21
59 9.21 31.13 11.54 3.53 38.42
60 8.89 34.04 12.18 3.54 39.07
61 9.01 41.84 10.24 3.25 40.62
62 9.26 25.84 10.45 3.07 36.68
63 8.93 39.04 10.22 2.85 35.35
64 9.30 28.42 10.65 3.66 36.74
65 9.28 49.97 8.51 2.65 35.98
66 9.39 36.25 10.57 3.52 38.43
67 9.28 44.15 10.09 3.33 39.23
68 9.45 61.62 6.93 3.01 37.53
69 9.55 52.01 8.90 3.26 38.21
70 9.57 54.30 10.88 3.27 34.02
71 9.57 46.07 10.53 2.82 39.09
72 10.13 64.31 7.28 3.30 34.13
73 10.12 39.37 10.52 3.44 38.31
74 10.20 48.55 10.15 3.32 38.65
75 9.93 24.24 8.16 2.74 38.82
76 10.17 33.18 10.59 3.56 36.94
77 10.26 26.83 11.80 3.11 38.45
78 9.91 43.45 13.65 3.85 36.75
79 10.08 41.38 10.86 3.56 35.44
80 10.67 60.85 8.14 3.17 39.37
81 10.60 66.88 7.06 3.40 34.17
82 11.14 35.92 13.47 3.67 37.48
83 10.54 30.17 11.55 3.74 38.42
84 10.51 37.31 11.57 3.30 39.27
85 10.55 42.70 8.92 3.21 38.29
86 10.67 28.52 14.06 3.44 37.00
87 10.84 44.70 12.35 3.44 36.08
88 11.05 63.86 7.68 3.43 37.42
89 11.00 53.80 10.60 3.22 37.65
90 11.21 58.34 8.40 3.45 34.72
91 11.39 47.09 11.90 3.81 40.18
92 11.57 43.31 12.47 3.73 38.44
93 11.72 31.84 12.03 3.66 40.07
94 11.63 51.47 12.78 3.90 35.32
95 11.77 28.42 12.53 3.75 40.84
96 11.82 41.26 13.63 3.93 39.01
97 11.78 38.59 13.92 3.48 38.23
98 11.76 60.27 8.32 4.18 37.11
99 12.08 24.00 11.81 3.31 37.27
100 11.50 30.15 11.04 3.83 42.39
101 11.65 26.38 12.35 3.70 39.85
102 11.80 66.52 7.19 3.43 39.06
103 12.12 69.37 6.64 3.35 36.22
104 11.92 54.02 12.29 3.55 36.76
105 12.10 64.14 7.74 3.76 36.52
106 11.90 56.10 10.17 3.64 35.92
107 12.02 35.44 16.86 4.50 40.95
108 12.24 48.97 12.08 3.71 39.46
109 12.34 45.26 13.74 3.62 37.44
110 12.02 57.27 9.38 2.88 36.12
111 12.27 61.13 8.56 3.88 37.93
112 12.52 22.04 9.86 3.46 37.97
113 12.62 35.31 14.32 3.95 42.05
114 12.65 55.89 10.79 3.72 36.49
115 12.96 30.79 13.68 4.09 40.20
116 13.12 58.30 9.99 4.10 39.20
117 12.84 38.68 14.30 4.03 41.00
118 12.91 47.40 13.65 3.83 40.72
119 12.85 28.59 12.61 3.91 39.93
120 13.00 50.56 15.39 4.11 38.87
121 12.87 66.24 8.02 3.93 37.13
122 13.04 64.46 8.00 3.43 36.19
123 13.26 26.35 13.20 3.59 39.43
124 13.39 33.48 14.75 3.83 41.06
125 13.11 36.70 14.88 4.12 42.00
126 13.40 23.38 12.80 3.88 39.47
127 13.24 61.80 8.56 3.71 37.85
128 13.32 69.27 7.26 4.05 39.29
129 13.33 67.86 8.54 3.83 40.96
130 13.40 55.26 10.76 3.85 38.09
131 13.67 57.00 9.13 3.93 36.20
132 13.67 46.65 16.29 3.74 39.82
133 14.04 45.02 16.90 4.19 41.60
134 13.74 36.94 13.88 4.05 42.25
135 13.97 48.68 16.02 4.37 43.45
136 13.74 61.64 7.50 3.75 47.75
137 13.90 24.85 15.94 3.50 37.00
138 14.57 58.88 10.49 4.00 37.00
139 14.08 35.08 14.63 3.98 41.47
140 14.06 43.10 20.58 3.97 41.85
141 14.13 68.27 7.33 4.05 39.45
142 14.21 38.31 17.66 4.06 42.15
143 14.05 60.75 8.48 4.81 41.43
144 14.31 28.29 14.68 3.83 42.67
145 14.36 40.53 17.21 4.23 43.74
146 14.74 23.88 13.57 3.53 39.44
147 14.64 69.52 7.74 3.85 36.36
148 14.77 56.69 11.52 3.98 39.48
149 14.85 21.40 14.69 3.31 39.14
150 15.01 47.94 16.64 4.27 41.80
151 14.91 65.25 8.52 4.39 39.02
152 14.92 19.47 12.13 3.08 39.05
153 15.10 34.36 17.61 3.96 39.43
154 14.91 38.47 15.57 3.89 44.89
155 15.11 54.93 12.06 4.06 38.28
156 14.97 30.96 13.59 3.82 41.52
157 15.03 43.39 16.78 4.72 42.00
158 15.14 41.53 15.80 4.70 44.20
159 15.18 67.26 7.57 3.92 39.88
160 15.55 36.64 17.75 4.36 42.05
161 15.40 73.70 6.47 3.34 35.51
162 15.56 29.01 16.84 4.12 37.29
163 15.52 60.26 8.73 3.59 35.64
164 15.44 70.04 7.00 3.16 37.14
165 15.48 51.83 12.72 4.36 41.13
