#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca14 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.25 46.21 9.27 11.49 39.95
1 2.35 43.16 9.61 10.70 35.02
2 3.02 45.97 10.88 12.20 41.25
3 3.30 49.19 10.87 13.64 33.08
4 3.89 43.80 12.14 16.15 58.94
5 3.70 52.37 10.81 12.83 35.32
6 4.38 46.73 11.97 16.24 71.16
7 4.60 39.71 11.33 15.66 66.96
8 4.79 49.79 11.97 16.24 64.50
9 5.34 42.11 12.87 17.21 75.33
10 5.14 36.61 11.04 16.30 66.23
11 5.20 54.47 11.48 14.19 40.51
12 5.58 44.90 13.27 20.35 76.57
13 5.44 57.85 12.54 14.58 17.74
14 5.92 51.85 12.69 17.66 67.00
15 6.02 48.14 12.24 18.51 74.77
16 6.04 39.38 12.28 21.31 66.33
17 6.59 55.47 12.19 18.84 38.64
18 6.55 35.93 12.36 22.76 56.35
19 6.56 59.24 12.52 18.08 13.57
20 6.56 33.23 11.17 20.48 49.48
21 6.85 43.74 14.06 24.04 84.14
22 7.42 41.45 13.31 24.52 61.15
23 7.28 46.62 13.20 24.21 67.07
24 7.06 50.20 15.13 23.82 77.18
25 7.55 52.95 13.55 20.79 54.64
26 7.35 38.39 13.35 29.50 56.17
27 7.37 33.85 12.31 23.25 48.14
28 7.52 30.82 10.67 23.01 27.47
29 7.57 49.20 14.21 21.83 71.43
30 7.74 62.18 11.28 14.42 7.55
31 8.14 59.02 13.37 18.32 19.38
32 8.19 55.97 14.20 26.34 31.36
33 8.33 36.49 12.66 26.31 34.18
34 8.16 43.85 13.79 25.59 49.94
35 8.50 33.65 11.98 29.20 28.80
36 8.55 39.73 14.32 26.80 33.09
37 8.71 50.92 15.00 31.13 45.88
38 8.75 48.05 14.73 22.82 52.50
39 8.44 45.52 13.32 25.88 47.06
40 8.92 31.30 11.17 32.22 17.03
41 9.00 63.60 12.46 18.92 8.35
42 9.15 53.69 15.91 31.39 28.45
43 9.44 41.81 14.97 34.04 17.02
44 9.47 61.78 13.14 22.22 9.43
45 9.42 57.88 15.45 21.06 13.12
46 9.48 44.41 15.42 40.05 29.59
47 9.79 38.87 14.38 31.13 14.82
48 9.67 35.97 13.63 29.06 16.02
49 10.13 55.99 15.60 28.01 12.96
50 10.05 29.57 11.52 28.57 10.58
51 10.11 46.97 17.23 33.80 27.25
52 10.16 32.96 13.12 27.45 10.96
53 10.11 49.81 16.84 36.47 21.12
54 10.01 64.80 11.89 17.19 8.56
55 10.12 27.25 11.87 24.97 9.00
56 10.48 52.68 16.81 41.50 13.18
57 10.15 60.69 13.21 21.64 11.43
58 10.39 59.71 13.94 21.88 10.84
59 10.76 63.17 15.08 19.44 10.31
60 10.78 44.13 15.99 34.06 12.69
61 10.83 58.48 15.71 23.30 9.89
62 10.97 35.50 14.74 32.23 10.92
63 10.96 41.08 15.03 30.65 11.74
64 11.11 38.33 15.64 34.86 12.34
65 11.36 27.72 11.11 26.81 9.01
66 11.45 48.54 16.58 40.42 13.59
67 11.40 66.10 13.56 19.59 9.94
68 11.37 30.61 12.43 29.15 9.11
69 11.69 60.74 16.01 25.70 11.55
70 11.79 51.24 16.38 45.86 13.95
71 11.76 54.32 17.03 42.92 14.96
72 11.85 46.10 17.36 42.21 14.29
73 11.72 68.97 12.38 15.62 10.88
74 11.92 33.33 13.47 38.84 11.87
75 11.80 57.15 16.41 34.96 13.40
76 12.11 43.35 16.97 39.22 14.23
77 12.21 64.13 15.60 20.69 11.33
78 12.50 35.86 14.32 34.46 12.74
79 12.65 41.10 15.30 32.37 14.36
80 12.63 38.59 16.22 32.47 13.89
81 12.85 67.22 14.97 17.53 11.50
82 12.85 25.88 12.27 27.95 9.93
83 12.66 28.61 11.54 29.42 9.88
84 12.88 31.44 13.87 32.54 11.89
85 13.15 47.78 17.09 55.89 19.79
86 13.12 61.86 16.47 28.00 13.94
87 13.07 58.96 17.85 37.13 16.55
88 13.35 50.29 17.57 56.38 20.42
89 13.17 52.81 17.97 49.93 18.15
90 13.23 55.87 16.94 43.65 18.13
91 13.51 44.70 17.50 51.98 20.58
92 13.84 33.73 14.80 39.37 15.21
93 13.57 69.22 14.97 14.51 14.28
94 13.96 64.01 15.82 26.48 14.95
95 13.95 24.02 11.14 28.00 12.04
96 13.98 36.79 15.78 39.54 16.87
97 14.03 71.79 11.16 10.04 19.87
98 14.14 39.69 17.35 46.03 20.17
99 14.29 42.24 19.05 48.60 31.24
100 14.26 30.69 14.91 35.12 14.78
101 14.39 27.39 12.05 31.21 14.45
102 14.29 67.69 15.25 14.51 15.31
103 14.53 54.49 18.51 50.71 35.54
104 14.65 60.38 16.25 34.94 23.97
105 14.58 57.49 18.77 49.95 33.60
106 14.60 46.77 17.93 56.33 47.61
107 14.78 51.94 19.79 46.87 43.03
108 14.99 49.38 19.89 53.25 84.79
109 14.96 22.33 10.98 23.72 15.87
110 15.04 70.24 13.68 10.18 17.02
111 15.12 65.50 15.21 20.55 17.90
112 15.01 73.94 10.89 9.31 21.48
113 15.32 44.44 18.65 50.47 77.89
114 15.26 35.42 15.37 47.22 28.35
115 15.52 32.77 15.99 53.15 26.58
116 15.38 38.34 17.49 47.60 33.06
117 15.59 29.98 13.88 37.26 23.79
118 15.75 62.66 17.46 30.79 23.81
119 15.92 24.52 11.80 30.54 24.56
120 15.69 41.25 19.86 52.78 78.53
121 15.78 67.95 14.95 12.43 19.34
122 15.80 27.29 13.38 31.81 23.55
123 15.98 57.31 18.67 37.72 59.61
124 15.64 75.75 10.31 8.64 15.95
125 16.07 47.02 19.78 41.82 131.12
126 16.06 54.36 18.44 45.56 102.57
127 16.27 60.04 18.49 34.25 43.76
128 16.28 51.51 19.79 51.23 125.48
129 15.78 72.92 14.18 9.64 19.91
130 16.51 20.86 11.66 18.21 41.71
131 16.56 36.78 16.89 47.46 67.16
132 16.58 72.51 13.30 8.91 24.76
133 16.86 49.06 18.86 30.47 169.33
134 16.68 65.31 15.41 15.13 20.60
135 16.79 39.88 18.18 46.74 119.22
136 16.83 43.59 18.62 34.07 142.25
137 16.75 75.04 12.67 9.38 18.96
138 16.99 33.94 15.83 35.34 86.31
139 16.61 31.32 16.57 45.57 59.53
140 16.81 69.70 15.15 11.53 20.17
141 17.01 29.02 14.10 34.37 53.60
142 17.23 26.08 13.37 27.70 85.93
143 17.35 58.13 19.43 37.83 81.00
144 17.51 23.25 12.51 22.58 106.66
145 17.50 55.61 18.86 33.11 130.20
146 17.52 67.87 16.49 12.45 19.39
147 17.29 31.77 16.49 49.78 62.39
148 17.70 63.11 18.08 21.02 32.55
149 17.39 46.37 19.37 30.07 160.32
150 17.70 53.34 20.31 34.16 153.74
151 17.46 71.38 15.37 9.15 24.79
152 17.80 60.58 19.79 31.93 47.17
153 17.76 50.95 19.51 29.45 182.92
154 17.41 75.77 10.85 9.23 16.00
155 17.88 35.96 17.25 34.23 157.27
156 17.93 41.90 18.85 31.98 183.67
157 17.85 19.81 9.75 15.75 78.69
158 18.04 38.79 18.22 36.64 167.23
159 17.66 77.32 12.60 8.50 12.70
160 18.22 28.42 14.49 25.66 123.66
161 18.10 65.39 17.85 15.30 24.85
162 18.21 73.03 16.32 10.38 17.39
163 18.44 45.05 20.36 31.77 199.44
164 18.48 31.15 16.02 29.81 159.25
165 18.48 48.46 17.99 23.32 183.12
