#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf11 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.39 48.33 10.52 10.86 30.16
1 2.77 50.64 10.57 11.49 43.49
2 3.33 43.66 10.37 11.57 35.37
3 3.61 52.41 10.33 10.38 44.52
4 3.56 46.60 11.39 10.77 40.70
5 4.22 48.98 9.58 11.59 45.04
6 4.50 41.93 11.11 11.40 41.82
7 4.64 45.10 10.92 11.81 45.10
8 5.07 53.55 11.56 11.37 53.84
9 5.17 50.74 11.10 12.09 53.18
10 5.24 56.42 10.75 11.55 56.73
11 5.35 39.35 12.15 13.28 43.39
12 5.54 47.35 11.38 14.44 47.09
13 5.79 43.99 12.12 16.02 52.74
14 6.06 41.51 12.16 14.98 52.17
15 6.39 49.59 11.68 14.54 60.55
16 6.55 52.20 12.90 14.34 60.73
17 6.56 54.82 11.81 13.24 67.76
18 6.73 45.65 12.05 14.29 62.86
19 6.88 59.78 10.39 9.89 51.61
20 6.80 39.26 12.53 15.32 49.76
21 6.96 57.20 11.30 11.19 64.08
22 6.84 36.00 12.72 15.62 45.17
23 7.32 47.99 12.88 21.79 71.44
24 7.29 42.62 13.22 23.86 60.24
25 7.49 33.22 11.17 16.35 22.02
26 7.81 37.63 13.20 21.50 58.98
27 7.87 50.98 13.22 15.53 68.35
28 7.97 54.22 12.51 16.08 74.06
29 8.20 40.36 13.54 21.63 61.72
30 8.05 45.05 14.76 25.26 68.09
31 8.14 60.95 12.23 11.36 73.55
32 8.26 35.17 11.97 19.66 45.66
33 8.29 57.87 12.29 13.86 76.20
34 8.70 47.63 15.07 22.41 76.50
35 8.95 42.60 14.75 26.32 67.00
36 9.21 52.66 13.48 21.95 87.79
37 9.16 50.03 12.90 23.39 80.28
38 9.31 55.40 12.69 19.03 96.81
39 9.11 38.35 14.67 21.31 63.34
40 9.26 33.54 11.78 21.57 38.92
41 9.38 63.17 11.11 10.51 85.28
42 9.48 45.24 14.93 26.09 80.21
43 9.50 60.23 14.45 18.09 89.75
44 9.69 36.09 14.04 23.26 61.58
45 9.82 57.68 13.73 17.55 109.18
46 9.79 31.34 12.69 15.48 37.22
47 10.04 40.25 14.66 23.74 72.45
48 10.18 48.12 15.09 34.68 94.91
49 10.45 43.11 15.63 24.19 87.91
50 10.53 50.79 15.69 26.25 100.92
51 10.68 32.83 13.84 20.70 68.82
52 10.70 53.49 14.60 23.80 107.48
53 10.77 64.78 13.26 10.93 95.85
54 10.79 61.81 14.21 13.23 100.35
55 10.71 67.44 10.70 9.13 55.10
56 10.87 45.95 15.13 31.63 95.97
57 10.94 35.69 14.77 21.92 78.39
58 11.10 56.06 15.68 26.42 108.58
59 11.08 59.12 14.34 18.49 96.89
60 11.07 38.46 14.38 27.59 74.76
61 11.31 30.31 13.58 21.31 62.62
62 11.44 41.33 15.89 33.99 78.13
63 11.74 48.29 15.93 38.37 108.48
64 11.86 44.45 17.19 33.67 100.45
65 11.95 50.99 15.42 38.49 121.00
66 11.89 27.95 12.23 17.71 44.75
67 12.04 66.46 12.42 9.63 92.97
68 12.04 34.31 15.34 23.68 79.37
69 12.20 53.39 16.97 30.25 121.62
70 12.19 63.57 14.12 12.81 95.92
71 12.35 60.99 14.58 13.79 101.80
72 12.40 58.22 14.44 20.46 114.17
73 12.61 31.63 15.50 30.07 78.65
74 12.65 36.95 16.12 30.34 80.84
75 12.57 39.97 15.40 34.89 85.24
76 12.64 55.74 16.30 24.27 134.14
77 12.81 42.93 14.98 29.45 95.15
78 12.96 46.39 14.99 32.11 109.60
79 13.16 49.28 16.81 33.26 120.88
80 13.33 29.43 14.08 21.60 65.47
81 13.15 68.29 13.68 8.99 77.41
82 13.14 26.69 13.23 23.30 63.09
83 13.37 70.65 11.10 8.02 45.48
84 13.39 34.10 15.70 27.87 84.39
85 13.50 51.82 17.26 24.33 128.61
86 13.52 65.69 15.02 10.29 97.30
87 13.56 62.68 15.22 12.36 120.39
88 13.72 59.74 17.69 20.33 130.78
89 13.88 54.33 16.29 29.32 125.30
90 13.90 39.06 14.90 33.85 94.02
91 13.96 57.03 16.75 23.11 143.96
92 14.10 41.72 16.90 32.27 110.80
93 14.12 44.62 17.35 37.60 114.53
94 14.32 36.92 16.60 38.18 95.30
95 14.23 24.58 11.63 19.13 39.63
96 14.47 31.86 15.13 30.14 91.03
97 14.34 47.55 16.47 29.85 123.05
98 14.52 26.90 13.47 26.47 80.61
99 14.62 69.05 14.56 8.88 78.04
100 14.81 50.24 15.50 22.45 128.04
101 14.67 71.85 12.84 8.08 57.18
102 14.73 34.75 16.08 33.53 92.44
103 14.80 63.97 16.58 10.50 101.96
104 14.75 29.43 15.87 29.11 77.37
105 14.88 61.30 17.67 12.97 119.98
106 15.04 52.78 16.71 26.02 123.09
107 14.97 66.65 14.60 9.17 82.68
108 15.13 58.17 16.70 15.75 138.39
109 15.44 42.80 16.61 23.63 112.88
110 15.48 55.55 16.00 18.90 121.96
111 15.42 39.68 16.85 28.24 101.98
112 15.49 45.67 18.09 26.41 116.50
113 15.58 24.00 12.35 21.54 57.42
114 15.60 70.89 12.36 10.64 92.36
115 15.82 33.91 17.54 29.55 106.85
116 15.86 48.45 15.65 23.57 110.71
117 15.92 30.03 16.66 31.41 96.00
118 15.88 36.88 17.43 28.73 107.92
119 15.74 26.94 15.70 20.24 49.91
120 16.04 73.29 13.24 9.02 76.59
121 16.08 64.92 15.40 10.06 104.07
122 16.07 60.01 16.15 14.07 130.64
123 16.30 62.35 20.17 11.39 93.91
124 16.41 68.01 14.37 9.52 87.46
125 16.16 69.99 14.26 9.52 91.91
126 16.56 50.80 17.41 18.76 117.05
127 16.42 53.22 16.96 18.69 125.03
128 16.56 41.21 15.05 24.19 109.86
129 16.69 57.68 16.76 15.55 127.52
130 16.77 32.58 17.50 27.81 100.82
131 16.83 44.00 16.90 19.62 110.12
132 16.79 46.63 15.98 19.43 95.77
133 16.92 25.06 15.08 20.71 70.38
134 16.86 27.65 16.61 25.61 79.60
135 17.06 38.56 16.88 22.38 105.78
136 17.16 22.56 12.25 18.81 46.02
137 17.27 55.26 16.85 15.95 126.39
138 17.25 35.57 16.23 25.14 108.62
139 17.18 71.77 15.39 9.57 79.94
140 17.21 65.97 14.90 10.19 87.73
141 17.54 74.61 14.01 8.77 88.35
142 17.49 48.81 18.59 14.13 120.23
143 17.47 30.18 16.74 24.98 99.98
144 17.52 63.45 17.03 11.52 108.13
145 17.55 60.23 20.25 13.70 106.81
146 17.65 69.64 15.11 9.68 73.43
147 17.90 52.65 17.14 12.29 134.53
148 17.83 41.11 16.64 24.45 114.25
149 18.14 67.39 16.86 11.01 101.17
150 18.12 46.15 17.04 16.41 130.44
151 18.20 25.94 15.37 16.92 85.33
152 18.14 32.87 17.48 24.42 110.25
153 18.17 57.33 17.75 13.91 124.11
154 18.20 43.64 15.93 21.74 115.34
155 18.36 37.43 16.55 17.22 110.61
156 18.19 21.21 14.46 13.36 34.72
157 18.34 28.19 16.93 18.68 87.92
158 18.51 50.58 17.50 15.11 122.89
159 18.50 23.14 13.50 15.29 79.74
160 18.44 76.96 14.39 8.29 66.24
161 18.81 39.50 16.31 15.45 117.53
162 18.74 64.96 15.51 9.55 91.91
163 18.61 72.10 14.77 9.52 71.62
164 18.80 35.23 17.29 17.71 105.35
165 18.72 62.11 18.54 12.52 102.04
