#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em37 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.67 44.22 8.52 2.43 31.32
1 1.86 40.72 8.53 2.71 30.24
2 2.01 42.71 8.92 3.14 32.50
3 1.98 39.27 8.48 3.03 31.74
4 2.34 41.45 8.47 2.50 32.78
5 2.32 46.55 8.07 2.69 30.52
6 2.63 47.85 8.46 2.87 31.25
7 2.66 39.35 9.94 3.35 31.46
8 2.97 42.23 9.23 2.48 32.29
9 3.05 48.61 8.50 2.50 32.79
10 3.20 37.69 11.73 3.67 34.48
11 3.58 34.88 9.78 2.94 31.68
12 3.59 43.03 13.65 2.61 31.74
13 3.85 47.94 9.68 2.79 32.00
14 3.94 36.73 10.21 3.47 31.40
15 4.02 45.87 10.67 3.27 32.70
16 3.81 41.83 10.20 3.40 31.50
17 4.35 49.75 11.27 2.99 32.26
18 4.03 40.67 11.26 3.19 34.44
19 4.35 43.64 13.13 3.17 32.68
20 4.43 52.02 10.62 3.32 32.79
21 4.69 32.81 10.39 2.92 33.38
22 4.53 34.87 10.97 3.55 30.74
23 5.03 41.05 12.39 3.84 33.07
24 4.72 46.57 11.11 3.55 31.18
25 5.07 38.30 12.33 4.25 34.18
26 5.28 35.79 11.76 3.64 34.40
27 5.11 54.31 9.58 3.30 32.82
28 5.65 51.50 11.78 3.94 32.29
29 5.54 43.37 12.14 3.96 36.93
30 5.48 46.06 12.19 3.63 34.61
31 5.24 48.46 10.08 3.33 33.08
32 5.56 33.79 13.44 3.56 30.67
33 5.74 53.41 10.69 3.00 34.04
34 5.90 55.10 13.47 3.37 32.65
35 5.88 32.06 14.43 3.43 33.77
36 5.88 48.27 16.18 3.74 33.73
37 5.76 44.74 16.92 5.08 31.23
38 5.90 37.44 16.68 4.79 34.16
39 6.21 28.49 12.33 3.07 32.83
40 6.37 35.53 14.67 4.18 34.38
41 6.25 40.70 14.78 4.12 37.13
42 6.38 56.88 13.07 2.59 33.42
43 6.29 46.36 13.65 3.62 32.12
44 6.50 33.39 14.75 3.89 35.14
45 6.48 29.99 12.72 4.00 33.52
46 6.62 37.50 15.38 3.84 35.45
47 6.65 43.16 14.65 4.03 36.34
48 6.48 50.21 16.08 3.69 32.83
49 6.63 45.05 15.92 3.88 35.23
50 6.84 48.52 18.14 4.20 34.75
51 6.83 54.74 18.07 3.00 32.89
52 6.90 31.31 14.52 3.50 34.25
53 7.06 51.91 16.21 3.62 34.92
54 7.03 53.58 12.71 4.12 34.91
55 7.16 58.94 12.32 2.94 34.44
56 7.26 28.07 13.95 3.23 30.80
57 7.24 32.82 15.89 4.63 36.79
58 7.46 35.34 18.01 4.71 36.53
59 7.63 42.66 18.54 4.39 36.25
60 7.67 56.83 14.96 3.51 35.39
61 7.52 26.12 14.05 3.71 30.15
62 7.55 45.85 16.81 3.87 36.99
63 7.66 47.47 18.78 4.62 35.42
64 7.96 32.79 17.72 4.12 36.07
65 7.84 51.37 19.12 4.55 35.32
66 8.11 53.89 16.55 5.22 35.42
67 8.48 28.05 17.98 3.91 32.79
68 8.38 49.34 20.79 4.42 36.67
69 8.37 37.48 17.54 4.13 36.62
70 8.15 35.36 21.83 5.00 35.00
71 8.90 39.30 19.61 4.71 37.89
72 8.66 34.51 16.72 4.39 38.00
73 8.41 60.00 11.28 3.03 33.22
74 8.49 46.55 22.63 5.29 32.46
75 8.45 30.58 17.29 4.36 36.07
76 8.78 58.83 15.02 3.52 33.89
77 8.79 51.21 24.98 4.98 34.07
78 8.56 55.14 22.00 5.52 38.04
79 8.85 56.65 17.15 3.71 36.93
80 8.77 47.69 23.47 4.84 37.06
81 8.81 30.10 21.82 5.25 36.54
82 8.72 31.88 19.77 4.63 37.66
83 9.16 42.31 22.04 4.35 37.56
84 9.05 25.70 17.92 4.49 31.59
85 9.07 53.64 21.12 3.88 37.16
86 8.95 23.71 14.93 2.97 29.90
87 9.25 36.57 20.13 4.56 37.05
88 9.29 29.11 20.60 4.79 38.75
89 9.64 46.56 23.69 4.87 38.10
90 9.30 48.46 26.96 4.38 36.58
91 9.39 40.69 27.50 5.06 37.62
92 9.49 32.15 20.70 4.21 39.17
93 9.72 23.94 13.65 3.86 34.17
94 9.57 34.76 24.27 4.76 40.47
95 9.55 59.29 14.59 3.38 33.74
96 9.60 61.75 11.27 3.33 34.31
97 9.51 45.29 24.00 4.53 36.00
98 9.98 52.63 25.15 4.84 37.69
99 9.88 26.43 16.61 3.76 36.70
100 9.88 30.93 22.22 4.48 37.57
101 9.92 44.13 22.59 4.47 36.86
102 9.87 60.34 14.63 3.56 33.81
103 10.06 38.05 16.02 4.35 39.95
104 9.78 54.87 27.33 4.17 33.17
105 10.09 29.38 18.56 4.71 37.89
106 10.24 33.93 17.12 4.15 38.95
107 10.23 41.30 22.17 5.34 38.28
108 10.56 48.11 24.47 4.72 39.22
109 10.30 54.66 23.78 4.13 38.78
110 10.18 58.40 14.58 3.75 35.86
111 10.14 39.70 21.96 3.96 39.75
112 10.34 56.57 16.04 4.60 35.42
113 10.28 27.68 18.00 4.70 37.80
114 10.52 44.77 24.11 4.85 40.70
115 10.75 63.15 10.12 3.02 31.70
116 10.87 25.23 17.57 4.26 33.64
117 10.98 32.51 20.92 5.11 41.43
118 10.84 38.73 24.06 5.23 38.32
119 10.77 64.72 8.36 2.94 30.83
120 10.89 27.52 18.37 3.40 35.19
121 10.78 51.80 27.25 4.88 40.88
122 11.07 43.93 25.32 4.62 37.91
123 10.95 46.00 20.41 4.80 38.65
124 11.27 42.54 21.11 4.24 39.82
125 11.26 35.47 20.54 4.85 39.09
126 11.28 51.68 28.42 4.81 38.42
127 11.32 60.74 14.93 3.70 32.23
128 11.55 28.40 17.86 4.29 40.48
129 11.65 22.65 20.08 3.49 31.44
130 11.74 30.26 20.40 5.11 38.68
131 11.55 39.60 22.91 5.46 40.31
132 11.81 58.07 16.14 4.23 37.12
133 11.64 45.88 24.02 4.95 36.25
134 11.60 59.42 11.60 3.27 34.93
135 11.73 33.23 22.10 5.04 38.96
136 11.87 54.37 20.17 4.73 38.14
137 12.06 43.41 23.37 4.72 40.47
138 11.77 66.93 8.08 2.18 32.12
139 11.86 51.25 25.25 4.62 38.17
140 11.85 35.13 19.27 4.00 41.09
141 12.22 62.48 12.37 3.43 33.21
142 12.27 40.28 24.47 5.25 39.78
143 12.18 27.07 22.18 4.94 35.71
144 12.24 45.71 19.95 4.34 38.15
145 12.18 59.55 15.28 3.66 39.24
146 12.40 65.63 9.12 3.24 35.07
147 12.22 67.86 7.39 2.45 31.90
148 12.38 52.02 20.84 4.33 38.72
149 12.38 31.29 18.18 4.97 37.24
150 12.43 34.44 19.74 4.67 39.57
151 12.20 33.67 17.33 4.33 42.67
152 12.42 47.31 19.94 4.86 37.91
153 12.35 19.30 13.56 3.22 29.50
154 12.49 49.16 23.89 4.05 39.76
155 12.64 28.54 19.26 4.71 39.16
156 12.51 32.62 24.09 5.23 36.80
157 12.81 53.70 19.90 4.82 38.04
158 12.78 22.78 20.61 4.52 33.72
159 12.74 44.13 23.39 4.19 41.28
160 12.70 20.98 17.09 3.51 33.38
161 12.65 57.12 15.67 4.24 38.26
162 12.75 50.50 23.69 4.41 37.28
163 12.72 60.03 14.82 4.21 35.84
164 12.79 41.85 20.79 4.75 40.33
165 12.93 24.94 22.80 4.09 36.73
