#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 14.16 53.09 18.88 18.12 26.25
140 14.52 32.83 16.87 46.96 35.37
141 14.65 68.44 14.58 11.10 44.15
142 14.36 21.73 14.44 25.27 14.34
143 14.54 37.14 18.45 39.60 62.78
144 14.73 60.90 16.17 13.56 35.41
145 14.62 24.28 15.28 28.40 20.40
146 15.05 64.79 17.14 12.19 48.71
147 14.83 53.85 18.19 21.28 27.88
148 15.01 56.39 17.18 15.13 24.10
149 14.91 28.11 15.02 35.66 27.55
150 15.33 35.09 16.69 34.98 78.24
151 15.38 45.23 16.31 26.37 112.90
152 15.33 21.26 15.29 25.62 22.99
153 15.42 30.57 16.44 34.85 44.72
154 15.20 58.88 19.38 15.67 27.95
155 15.76 70.73 13.98 12.07 26.52
156 15.60 26.51 15.88 29.63 38.11
157 15.43 71.93 13.78 12.39 23.28
158 15.68 42.23 18.86 29.93 143.21
159 15.85 49.52 17.47 26.31 62.16
160 15.86 38.29 15.31 25.69 135.36
161 15.76 52.25 16.67 21.71 42.58
162 15.99 67.21 16.88 12.56 34.99
163 15.72 59.46 18.96 15.93 27.07
164 16.14 32.99 16.41 23.71 103.40
165 16.00 61.51 18.02 13.66 27.67
166 15.96 25.29 16.42 33.28 43.14
167 15.98 68.80 14.85 11.73 28.83
168 15.94 22.96 17.08 28.10 34.70
169 16.23 54.47 19.01 16.98 34.39
170 15.95 47.29 17.88 21.75 96.72
171 16.28 73.02 15.37 11.18 19.48
172 16.35 57.19 18.26 16.12 27.91
173 15.97 18.43 11.31 21.15 34.92
174 16.35 64.12 18.18 13.57 32.09
175 16.44 29.19 16.56 26.27 96.26
176 16.64 40.56 16.94 27.83 165.54
177 16.49 18.56 11.79 20.46 40.63
178 16.57 51.73 18.37 22.50 37.88
179 16.87 20.99 14.73 25.57 54.90
180 16.74 43.90 17.21 19.60 161.95
181 16.61 46.86 18.00 22.60 109.56
182 16.75 66.52 20.00 13.54 36.06
183 16.77 36.40 17.47 25.71 154.81
184 16.98 59.77 17.87 14.70 29.88
185 16.73 24.01 15.08 22.42 56.42
186 16.97 75.61 14.50 10.87 19.43
187 17.15 26.80 16.70 20.33 111.66
188 17.46 31.34 16.45 20.50 163.74
189 17.28 62.06 16.99 14.46 26.15
190 17.09 71.17 16.27 12.62 21.11
191 17.31 49.24 18.11 22.96 80.61
192 17.54 55.45 17.95 15.12 37.08
193 17.37 65.70 19.68 14.16 33.21
194 17.32 69.34 17.31 13.52 25.17
195 17.74 16.85 13.18 18.55 82.99
196 17.54 34.14 18.24 20.25 175.89
197 17.66 38.90 17.57 19.97 176.13
198 17.66 52.93 19.67 15.69 43.79
199 17.71 19.43 14.14 17.38 104.54
200 17.84 22.84 15.58 20.70 97.49
201 17.52 24.49 15.93 22.63 92.33
202 17.71 45.74 17.10 19.06 140.51
203 17.55 74.34 13.79 11.30 21.04
204 17.81 42.25 16.82 20.95 163.92
205 17.98 68.34 18.34 13.84 32.91
206 17.92 63.18 16.80 12.18 25.05
207 17.88 72.30 16.18 10.36 21.25
208 18.14 28.87 16.75 17.42 161.07
209 18.30 36.38 16.93 15.33 196.56
210 18.19 18.47 15.18 17.00 106.59
211 18.19 58.24 19.06 15.85 30.18
212 18.13 70.88 18.09 12.79 23.88
213 18.43 50.56 19.46 17.65 72.31
214 18.17 67.10 19.11 14.32 33.64
215 18.51 25.86 15.62 19.23 156.80
216 18.67 47.86 19.10 17.02 106.43
217 18.53 60.75 18.69 15.02 29.88
218 18.21 69.84 16.31 11.38 28.00
219 18.61 21.15 15.09 14.69 135.73
220 18.64 73.76 14.96 10.96 23.23
221 18.83 33.05 17.02 16.91 193.62
222 18.93 44.81 19.09 16.58 140.02
223 18.97 65.97 19.13 12.87 32.66
224 18.91 41.51 19.55 15.70 180.15
225 18.97 38.75 18.25 15.53 192.74
226 18.85 63.04 19.52 15.48 26.53
227 19.02 55.40 25.60 16.22 42.60
228 19.24 30.54 17.62 15.06 196.48
229 19.11 52.83 21.70 16.92 54.97
230 19.20 72.76 16.36 12.58 24.46
231 19.32 23.28 16.30 14.95 170.30
232 19.32 58.37 19.40 15.56 34.82
233 19.36 68.81 18.74 13.45 29.22
234 19.59 16.02 13.15 12.34 140.02
235 19.39 18.45 14.38 12.48 146.44
236 19.52 28.14 16.20 14.88 179.60
237 19.56 35.30 17.11 15.72 191.10
238 19.90 20.83 16.63 14.93 167.38
239 19.53 63.81 20.64 13.22 27.11
240 19.92 50.52 18.49 17.62 73.53
241 19.96 60.80 19.20 14.28 31.99
242 19.73 61.88 17.92 14.59 30.26
243 20.04 71.65 17.73 12.76 26.06
244 20.03 47.79 19.14 14.95 108.11
245 20.08 42.60 20.53 14.72 154.81
246 20.27 37.04 17.47 14.17 179.94
247 20.16 74.97 18.13 12.50 30.01
248 19.96 27.22 16.10 15.19 199.10
249 20.29 39.89 18.71 17.02 159.47
250 20.30 25.64 16.21 13.01 178.34
251 20.32 45.09 19.53 15.92 123.13
252 20.29 56.27 20.51 14.62 44.07
253 20.04 77.82 18.78 9.97 22.27
