#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk15 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.55 48.32 8.78 17.14 10.37
1 1.83 45.44 9.04 19.98 13.65
2 2.34 48.75 9.82 20.56 13.62
3 2.56 43.36 8.32 16.82 19.18
4 3.16 55.73 9.47 22.89 9.89
5 2.76 45.80 9.12 18.35 20.10
6 3.09 51.12 10.06 22.92 12.68
7 2.97 48.30 8.73 21.85 15.52
8 3.51 40.95 9.81 18.46 30.55
9 3.69 46.35 10.44 21.03 26.24
10 3.73 53.40 10.67 23.81 13.92
11 4.02 48.61 11.24 19.89 35.16
12 4.15 57.45 10.38 24.14 9.77
13 4.08 42.68 12.15 23.00 35.98
14 4.13 43.95 10.23 22.11 37.09
15 4.33 51.18 10.69 24.40 24.52
16 4.97 45.55 11.17 21.81 50.18
17 4.86 48.14 10.21 23.54 41.38
18 5.00 41.23 11.92 22.09 58.33
19 5.09 39.66 10.72 23.79 56.29
20 5.33 53.21 11.62 23.97 31.72
21 5.07 59.38 10.75 27.10 10.79
22 5.30 56.05 11.92 27.19 17.21
23 5.70 62.98 9.49 23.53 10.10
24 5.75 37.60 11.35 23.73 51.90
25 5.83 43.17 12.01 23.27 67.48
26 5.80 50.29 11.87 25.62 44.37
27 5.72 58.44 10.34 25.81 11.72
28 6.11 47.19 12.31 22.97 65.82
29 6.37 61.31 11.60 28.59 10.18
30 6.32 39.90 12.60 25.66 68.69
31 6.72 55.63 11.95 28.57 26.64
32 6.56 35.25 11.06 27.98 53.63
33 6.87 53.13 12.61 27.85 50.01
34 6.76 57.31 13.11 27.59 15.35
35 6.58 58.51 13.37 27.39 14.14
36 7.08 44.90 13.15 28.26 86.39
37 7.11 41.93 11.80 28.91 83.99
38 7.18 50.15 12.67 30.81 68.25
39 7.22 37.91 11.48 29.98 67.37
40 7.41 33.06 10.21 25.78 40.71
41 7.49 47.55 13.84 30.41 78.74
42 7.13 32.01 11.76 29.24 37.65
43 7.71 63.67 11.07 26.94 10.17
44 8.02 60.10 12.63 32.77 13.20
45 7.95 35.41 11.68 29.54 58.57
46 8.21 54.81 13.34 33.10 36.04
47 8.17 40.08 13.38 28.82 74.79
48 8.42 51.78 13.48 35.15 59.22
49 8.41 30.74 10.31 28.29 26.48
50 8.39 43.51 12.89 29.68 83.66
51 8.45 57.78 11.83 32.48 19.01
52 8.72 46.17 13.93 34.85 77.66
53 8.68 33.11 11.77 35.79 32.35
54 8.87 37.79 14.93 33.82 60.04
55 8.87 49.19 13.05 35.50 70.35
56 8.85 65.60 11.69 27.15 10.73
57 8.92 62.22 13.59 29.95 12.86
58 9.27 41.65 14.21 38.65 68.76
59 9.26 28.54 9.74 32.22 19.90
60 9.13 63.83 11.34 27.32 11.20
61 9.13 35.17 13.20 42.78 34.29
62 9.55 53.59 13.88 41.92 44.90
63 9.47 59.54 13.73 33.71 19.23
64 9.93 44.69 14.05 36.73 58.24
65 9.75 57.55 12.73 38.45 26.02
66 9.92 30.90 12.28 37.45 15.06
67 9.83 39.69 14.35 42.98 35.98
68 9.96 33.23 13.67 41.16 21.62
69 9.62 65.23 11.90 26.71 10.14
70 10.09 47.80 15.31 41.27 57.11
71 10.09 56.49 13.22 37.60 30.48
72 9.92 35.26 12.88 44.19 22.81
73 9.85 67.97 10.32 21.12 10.62
74 10.38 50.76 13.66 46.14 49.39
75 10.31 64.70 13.27 27.81 12.48
76 10.15 66.27 10.95 24.81 12.03
77 10.28 37.33 14.17 42.78 22.86
78 10.28 38.77 14.38 41.54 22.42
79 10.59 62.92 13.73 28.31 11.71
80 10.65 41.99 15.15 45.51 37.62
81 10.56 28.48 10.40 30.88 10.81
82 10.83 67.35 13.11 24.51 12.29
83 10.92 54.13 15.35 49.07 47.20
84 10.95 59.41 14.00 36.21 18.86
85 11.11 34.59 13.13 43.50 17.74
86 10.96 36.81 15.54 43.05 19.47
87 10.80 38.08 13.69 46.31 20.77
88 11.01 46.48 15.20 45.67 24.17
89 11.01 29.65 11.34 32.76 12.98
90 11.15 32.11 13.29 35.64 14.02
91 11.25 68.70 12.62 25.66 11.63
92 11.28 39.91 14.27 43.73 18.23
93 11.41 43.88 16.28 49.17 20.55
94 11.51 57.10 14.91 47.99 23.67
95 11.70 49.24 15.07 45.61 20.73
96 11.41 64.97 12.88 30.43 12.75
97 11.58 26.21 12.09 33.32 10.22
98 11.89 51.81 15.87 49.21 32.68
99 11.43 60.82 14.75 37.50 16.75
100 12.10 70.30 12.34 23.52 23.87
101 12.16 28.16 11.46 45.45 12.55
102 11.68 47.00 14.05 43.49 22.24
103 12.19 30.66 13.40 41.19 12.52
104 11.85 62.83 14.41 30.90 14.15
105 11.81 66.62 12.18 24.64 13.05
106 11.89 61.36 15.97 40.77 13.00
107 12.14 36.73 14.60 47.76 15.72
108 12.37 54.07 16.37 53.16 20.77
109 12.38 60.54 16.20 46.02 15.29
110 12.53 42.46 15.84 48.54 17.34
111 12.58 59.20 15.82 48.35 16.06
112 12.52 45.31 16.61 60.89 18.18
113 12.41 33.65 14.04 43.13 13.83
114 12.54 23.64 9.22 28.02 10.60
115 12.67 64.55 15.38 34.39 16.08
116 13.06 47.62 17.08 66.47 18.68
117 12.72 25.91 11.88 39.36 11.32
118 12.98 67.10 13.37 30.21 16.58
119 13.11 72.66 11.83 20.03 41.45
120 12.69 39.57 15.93 54.43 16.55
121 12.88 38.20 14.03 47.38 15.31
122 13.41 50.92 16.55 63.51 18.66
123 13.19 56.94 16.99 55.91 17.38
124 13.32 62.75 18.09 48.13 15.99
125 13.24 31.60 13.74 43.00 14.35
126 13.67 36.28 14.92 50.48 15.11
127 13.65 61.45 14.65 49.71 15.84
128 13.75 30.69 13.92 41.69 14.00
129 13.87 41.62 15.57 55.95 18.62
130 13.36 32.64 14.62 47.62 12.75
131 13.79 44.87 17.05 51.75 18.59
132 13.65 27.91 12.91 42.23 14.32
133 13.89 33.63 15.02 52.45 15.63
134 13.72 53.87 16.91 57.00 19.25
135 14.21 65.60 15.80 37.62 17.20
136 13.88 39.00 17.42 50.96 17.37
137 14.22 59.46 17.72 57.95 18.73
138 14.36 48.87 17.85 68.73 22.81
139 13.97 69.63 13.91 25.56 27.91
140 14.32 22.34 9.83 34.88 12.61
141 14.62 67.99 15.15 27.19 20.01
142 14.64 56.09 17.40 62.64 22.44
143 14.62 72.64 14.45 18.50 33.93
144 14.37 27.86 12.69 41.22 16.16
145 15.20 43.27 17.28 60.49 22.00
146 15.14 46.27 18.60 62.97 23.01
147 14.71 62.82 16.31 40.36 18.95
148 15.15 53.45 18.19 67.59 25.49
149 14.95 25.62 11.93 40.60 15.68
150 15.20 34.86 16.17 53.65 20.01
151 15.16 37.56 16.18 58.46 19.70
152 15.22 32.17 15.01 55.08 19.34
153 15.40 51.08 18.00 72.80 31.53
154 15.17 29.85 14.17 45.06 17.17
155 15.23 40.50 17.21 57.45 22.27
156 15.41 70.64 13.43 19.60 27.51
157 15.56 74.77 13.06 16.66 37.19
158 15.62 58.25 17.63 56.25 29.33
159 15.66 65.77 17.20 40.48 20.69
160 15.42 62.35 16.04 41.34 19.98
161 15.35 73.20 14.23 20.38 33.77
162 15.68 23.02 12.58 32.68 17.28
163 15.88 48.67 19.53 76.62 39.66
164 15.53 60.29 15.66 36.80 28.97
165 15.85 68.90 15.47 26.00 22.75
