#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu15 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.87 44.12 4.24 1.42 26.94
1 2.69 41.83 4.03 1.64 29.01
2 2.81 47.86 3.69 1.74 32.68
3 3.17 38.79 5.00 1.71 29.71
4 3.35 49.53 3.83 1.85 32.43
5 3.66 42.86 5.21 1.94 33.38
6 3.96 50.52 4.44 2.71 32.06
7 4.19 47.50 5.04 1.58 29.28
8 4.40 35.42 4.85 1.46 31.61
9 4.51 39.37 5.91 1.87 34.89
10 4.29 49.28 4.43 2.57 36.71
11 4.61 37.64 5.04 2.22 30.87
12 4.90 45.14 5.97 2.32 33.14
13 5.11 42.63 5.81 2.02 36.46
14 4.61 48.57 4.67 1.78 33.56
15 4.98 36.51 6.00 1.95 35.00
16 5.20 52.22 5.05 2.04 30.19
17 5.31 54.24 4.84 1.68 30.55
18 5.11 48.10 5.17 2.17 29.13
19 5.38 49.95 4.98 2.46 33.38
20 5.45 39.32 5.77 1.85 35.09
21 5.69 35.81 6.38 1.88 33.60
22 5.65 56.61 5.28 2.21 33.34
23 6.06 47.20 4.98 2.07 35.64
24 6.05 45.42 4.91 2.52 36.11
25 5.85 41.25 5.53 2.12 37.06
26 6.00 50.79 5.71 1.79 30.88
27 6.37 38.36 6.54 2.19 35.37
28 6.06 53.67 5.12 1.31 30.19
29 6.43 56.83 5.03 1.69 30.86
30 6.49 41.69 6.52 2.11 35.29
31 6.50 52.40 5.50 1.85 30.60
32 6.44 54.83 4.36 2.18 32.59
33 6.76 35.59 8.62 2.03 34.05
34 7.02 48.07 5.52 2.42 35.48
35 6.85 50.06 5.97 2.33 33.06
36 6.97 44.75 5.86 2.07 33.02
37 7.19 32.85 9.30 2.26 33.02
38 7.14 53.82 6.60 2.07 31.20
39 7.41 39.71 8.52 2.51 32.69
40 7.34 41.97 9.28 2.34 38.83
41 7.17 58.64 4.05 1.81 33.29
42 7.51 43.65 6.58 2.71 37.06
43 7.84 38.15 8.31 2.29 34.90
44 7.86 45.99 6.73 2.34 36.76
45 7.61 57.73 6.19 2.06 30.90
46 7.92 50.23 5.56 2.20 32.10
47 7.90 52.62 6.72 2.28 39.39
48 7.76 54.98 7.87 1.74 31.74
49 8.03 61.77 4.15 1.77 26.64
50 7.98 31.57 8.30 1.83 33.66
51 8.06 34.49 12.68 2.07 32.88
52 7.96 42.69 5.73 2.23 36.68
53 8.26 36.65 8.88 2.43 39.95
54 8.26 55.93 5.19 2.14 33.81
55 8.49 33.12 9.73 2.20 36.63
56 8.41 47.51 6.71 2.81 38.71
57 8.50 29.50 7.49 1.80 34.83
58 8.31 39.70 9.17 1.33 43.67
59 8.58 41.02 9.53 2.47 35.95
60 8.74 43.54 8.03 2.66 36.60
61 8.79 58.36 5.56 2.38 34.04
62 8.72 60.22 4.63 1.98 32.44
63 9.15 53.10 6.68 2.90 38.56
64 8.74 56.77 8.11 2.22 34.67
65 8.99 38.88 13.51 2.37 35.09
66 8.95 45.68 7.39 2.44 33.89
67 8.93 50.11 6.27 2.43 36.93
68 9.13 55.26 6.79 2.35 37.35
69 9.22 63.07 4.63 1.76 30.76
70 9.14 28.51 9.65 2.24 33.92
71 9.02 36.37 12.09 2.86 37.86
72 9.24 30.80 7.50 2.43 37.48
73 9.33 34.14 10.59 2.30 38.48
74 9.37 48.57 7.11 2.67 34.26
75 9.34 40.20 14.17 2.33 33.92
76 9.60 59.83 5.42 2.36 33.36
77 9.54 61.54 4.32 2.54 29.32
78 9.50 32.70 10.92 2.17 37.00
79 9.78 37.53 11.66 2.89 36.13
80 9.54 51.01 6.46 2.58 39.46
81 9.50 45.59 9.50 2.12 34.94
82 9.80 57.86 5.91 2.38 34.62
83 9.88 28.05 9.24 2.41 32.71
84 9.92 46.87 7.00 3.33 40.00
85 9.97 39.88 10.61 2.89 38.28
86 10.11 55.98 6.15 2.68 39.76
87 10.35 31.34 13.07 2.63 36.31
88 10.28 48.34 7.06 2.47 33.79
89 10.29 42.74 11.25 2.67 37.61
90 10.38 45.58 10.57 2.75 39.10
91 10.29 29.23 11.73 2.05 35.46
92 10.34 52.21 7.67 2.78 34.51
93 10.73 64.10 4.47 2.01 33.49
94 10.34 61.90 4.96 2.35 37.48
95 10.43 40.86 10.60 2.35 36.80
96 10.56 49.90 7.68 2.62 40.71
97 10.89 36.77 11.31 2.71 39.67
98 10.78 34.12 13.54 2.85 39.15
99 10.90 66.47 3.49 2.13 28.57
100 11.29 39.16 14.69 2.46 38.44
101 11.14 46.99 8.75 2.54 38.18
102 11.14 53.60 6.79 2.18 41.36
103 11.47 62.12 5.16 2.25 30.73
104 11.39 43.86 12.02 2.49 36.32
105 11.27 60.27 4.98 2.13 37.82
106 11.34 29.09 13.94 2.52 37.58
107 11.36 42.11 12.71 3.07 40.52
108 11.28 24.56 6.38 2.12 34.46
109 11.48 48.77 8.38 2.74 41.58
110 11.42 50.83 7.34 2.14 40.31
111 11.86 58.71 6.32 2.89 35.75
112 11.40 32.09 11.03 2.45 40.21
113 11.56 67.85 3.84 2.47 31.66
114 11.69 26.00 10.93 2.05 35.50
115 11.53 63.74 4.56 1.67 35.11
116 12.49 35.93 15.77 3.04 37.28
117 12.04 46.27 11.92 2.93 38.14
118 11.86 52.73 6.56 3.10 42.31
119 11.87 33.46 16.57 2.29 41.57
120 12.01 29.63 14.21 1.93 35.48
121 12.08 40.56 8.85 2.34 40.77
122 12.05 31.16 13.85 2.78 38.89
123 12.19 64.47 5.26 2.15 37.37
124 11.99 63.20 3.33 3.00 36.33
125 12.48 66.67 4.71 1.99 33.64
126 12.13 44.23 10.80 2.20 46.10
127 12.40 26.47 12.15 2.21 37.87
128 12.48 33.86 16.07 2.80 41.77
129 12.46 27.86 17.50 2.83 36.83
130 12.99 43.87 13.11 2.77 36.12
131 12.71 52.80 6.74 2.53 40.26
132 12.55 62.97 5.57 2.43 40.14
133 12.83 70.00 3.79 2.12 30.26
134 12.93 41.85 10.06 2.33 37.49
135 12.96 64.20 5.04 2.54 35.29
136 13.00 23.43 7.89 2.14 37.27
137 12.98 28.97 13.96 2.62 36.82
138 13.23 30.96 15.01 3.04 38.25
139 13.10 32.78 15.25 3.02 40.29
140 13.16 38.74 17.45 3.24 38.00
141 13.18 49.88 8.94 2.64 39.31
142 13.09 58.58 5.42 2.80 37.85
143 13.22 47.23 10.53 3.03 38.82
144 13.28 56.17 7.36 3.34 38.87
145 13.58 54.47 7.07 3.40 38.70
146 13.26 27.89 14.17 2.50 45.00
147 13.49 68.45 3.85 2.12 35.52
148 13.72 22.08 8.61 1.52 36.09
149 13.85 41.11 13.06 2.85 39.96
150 13.74 45.56 12.67 2.52 39.19
151 14.11 27.34 11.67 2.60 35.54
152 13.98 25.32 11.58 2.58 34.47
153 14.18 36.04 15.47 2.79 38.05
154 14.01 64.63 4.91 2.78 37.27
155 13.99 34.06 15.03 3.28 41.26
156 14.30 48.56 9.73 2.69 40.90
157 14.64 62.42 5.28 2.82 35.73
158 14.07 56.93 8.03 3.48 33.82
159 14.28 30.61 14.19 2.67 42.09
160 14.43 44.45 11.77 2.90 39.31
161 14.47 38.01 12.88 3.04 42.88
162 14.43 51.54 8.94 2.91 40.18
163 14.30 53.57 6.04 2.71 38.38
164 14.38 55.54 6.71 3.21 36.71
165 14.41 63.52 6.33 2.00 42.17
