#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.64 43.85 11.14 16.41 20.75
1 2.88 41.18 11.42 15.31 29.46
2 3.14 51.15 11.14 21.05 11.02
3 2.93 46.58 11.19 15.61 24.48
4 4.01 43.99 11.90 17.64 45.21
5 3.95 39.36 11.31 17.47 47.97
6 3.71 46.32 11.15 20.15 28.56
7 3.99 49.12 11.82 21.01 24.67
8 4.58 52.21 12.22 24.92 17.47
9 4.75 42.03 11.78 19.77 62.90
10 4.92 46.53 11.56 20.40 53.72
11 5.23 38.52 12.13 17.72 67.58
12 5.39 35.20 10.40 16.95 70.07
13 5.45 49.98 13.27 20.73 44.17
14 5.42 54.45 11.57 24.44 11.41
15 5.94 32.65 11.12 19.65 78.16
16 5.99 57.51 12.27 26.92 11.35
17 6.16 44.59 12.54 21.04 86.77
18 6.11 41.11 11.88 20.51 86.18
19 6.15 52.40 13.42 36.04 33.48
20 6.23 47.69 14.01 23.65 76.46
21 6.55 37.37 12.07 20.31 100.34
22 6.83 55.20 13.02 31.51 15.59
23 6.89 34.55 11.84 20.27 91.33
24 7.27 42.86 13.26 27.58 118.67
25 7.49 50.48 13.57 33.41 60.54
26 7.41 57.72 12.51 30.92 12.04
27 7.38 53.04 14.44 41.53 41.12
28 7.51 47.48 13.68 29.34 96.62
29 7.47 39.99 12.47 23.56 109.12
30 7.66 31.99 10.94 23.46 89.45
31 7.55 33.85 8.38 25.88 93.00
32 7.92 36.76 12.71 25.07 110.61
33 8.22 45.07 13.00 27.46 91.49
34 7.94 60.63 13.41 22.90 13.64
35 8.49 29.63 11.48 24.27 93.53
36 8.48 55.64 13.97 33.06 19.22
37 8.60 53.00 13.83 36.15 45.00
38 8.63 34.26 12.76 31.94 98.31
39 8.70 58.44 13.75 27.81 13.49
40 8.71 61.23 11.18 23.00 14.45
41 8.77 39.16 13.16 30.59 106.03
42 8.87 42.09 12.44 28.50 97.22
43 8.81 48.62 13.71 42.38 66.76
44 9.28 32.15 11.98 30.34 68.63
45 9.20 51.02 16.77 44.69 52.49
46 9.47 36.65 13.50 32.24 63.16
47 9.68 44.16 14.49 37.79 62.88
48 9.94 46.69 12.62 42.11 48.27
49 9.95 62.53 12.21 19.83 38.48
50 9.76 27.56 11.42 26.94 38.56
51 9.79 59.81 14.34 25.08 18.03
52 9.98 30.03 12.39 28.48 49.72
53 9.97 56.95 14.24 35.39 16.15
54 9.98 39.67 12.45 36.79 57.57
55 9.91 52.12 12.46 39.66 33.81
56 10.07 54.68 15.05 35.87 18.81
57 10.27 34.36 12.43 36.56 37.50
58 10.25 49.37 14.27 54.84 32.07
59 10.75 42.31 14.80 49.77 24.93
60 11.02 58.76 15.60 31.26 19.49
61 10.91 37.01 12.67 45.42 22.01
62 11.25 29.06 11.69 29.91 18.44
63 11.17 31.79 12.32 33.81 19.49
64 11.17 44.90 14.48 45.45 19.22
65 11.34 53.71 15.27 40.75 17.59
66 11.29 61.60 13.80 28.36 31.50
67 11.61 64.03 13.37 20.53 66.24
68 11.30 39.88 13.09 49.38 18.66
69 11.42 51.03 15.09 53.37 18.21
70 11.59 24.08 10.47 33.60 11.29
71 11.61 56.49 15.64 36.63 17.26
72 11.57 47.47 14.94 51.09 19.02
73 11.49 67.66 11.95 15.37 62.38
74 11.81 34.16 12.99 41.91 17.10
75 12.09 26.91 11.83 34.30 12.83
76 12.12 36.64 14.17 41.21 16.52
77 12.50 41.68 14.00 56.69 17.32
78 12.23 24.97 9.75 30.33 9.89
79 12.58 43.99 15.30 60.16 20.67
80 12.32 59.65 15.31 32.59 18.89
81 12.39 66.90 13.93 17.62 85.26
82 12.54 39.02 13.97 55.10 18.43
83 12.61 31.80 12.81 34.65 14.87
84 12.84 29.09 11.95 37.82 13.39
85 12.80 52.40 16.84 53.84 21.38
86 12.92 46.56 16.17 67.81 22.71
87 13.05 54.90 16.02 52.58 22.79
88 12.95 49.60 14.70 61.88 22.70
89 12.86 61.83 15.17 25.87 24.83
90 13.22 57.61 15.00 45.18 19.63
91 12.83 35.75 10.00 37.62 13.29
92 13.35 63.99 16.09 21.24 40.38
93 13.01 24.06 9.55 28.77 9.95
94 13.45 34.36 12.86 43.65 15.40
95 13.13 67.02 12.77 17.59 76.49
96 13.37 25.61 11.88 30.02 11.67
97 13.52 22.96 9.47 30.46 10.19
98 13.82 37.24 14.82 61.63 19.46
99 13.60 26.94 11.23 33.35 12.48
100 13.98 68.70 13.03 15.93 45.45
101 13.64 31.44 12.50 33.67 15.17
102 13.88 40.21 15.05 61.33 24.39
103 14.02 43.01 14.75 66.61 31.86
104 13.94 60.02 17.66 29.08 24.61
105 14.16 48.38 17.43 60.88 54.52
106 14.16 30.27 11.89 35.31 15.66
107 14.33 45.51 17.67 76.27 52.47
108 14.45 65.36 14.78 18.65 53.69
109 14.31 51.43 16.40 60.93 37.10
110 14.41 33.04 14.58 45.20 18.81
111 14.59 54.12 17.67 51.96 32.24
112 14.44 62.16 14.85 22.29 26.96
113 14.66 25.25 12.92 37.11 13.63
114 14.72 56.94 15.97 40.07 27.53
115 14.69 22.63 11.10 25.35 11.73
116 14.67 27.90 12.00 38.52 15.09
117 15.17 35.46 13.89 50.45 26.92
118 15.11 38.30 15.54 63.86 36.57
119 15.21 41.09 17.16 62.78 64.82
120 15.42 43.52 17.18 61.64 114.64
121 15.37 70.06 14.99 15.36 29.57
122 15.54 30.75 13.53 51.47 22.87
123 15.42 47.30 16.57 53.13 131.34
124 15.44 67.30 14.96 18.85 34.67
125 15.58 50.21 16.69 46.28 96.12
126 15.20 32.69 12.12 50.79 18.83
127 15.59 61.49 17.52 21.11 25.48
128 15.75 63.68 19.02 18.82 29.98
129 15.70 58.96 16.76 24.44 28.69
130 15.79 52.82 18.13 48.43 62.49
131 15.77 72.58 13.64 16.59 22.63
132 15.93 24.00 11.24 37.69 19.39
133 15.57 21.00 10.43 33.14 16.29
134 16.10 28.14 13.80 38.78 23.43
135 16.10 56.05 18.06 36.66 43.33
136 16.30 21.11 10.94 33.84 17.18
137 16.31 45.43 16.42 40.43 157.23
138 16.26 39.18 14.55 49.26 107.23
139 16.31 33.62 14.82 52.19 46.49
140 16.52 36.35 15.24 44.68 80.55
141 16.73 41.80 16.50 37.58 154.12
142 16.55 69.29 15.19 17.42 30.24
143 16.81 48.48 17.30 35.89 171.10
144 16.82 66.00 16.11 20.17 30.88
145 16.94 60.88 17.09 20.73 28.79
146 17.00 53.97 19.32 42.48 69.11
147 16.99 30.63 15.38 50.69 48.93
148 17.23 51.25 17.25 34.59 116.56
149 17.19 63.23 16.88 19.40 28.69
150 17.27 58.43 17.29 24.93 38.04
151 17.44 43.76 17.03 45.40 157.28
152 17.33 23.15 12.98 38.28 32.07
153 17.60 73.88 13.97 17.27 20.55
154 17.53 39.09 15.40 33.84 168.18
155 17.49 71.50 16.52 17.37 22.86
156 17.87 34.25 15.54 37.19 152.08
157 17.73 46.26 16.59 31.24 198.18
158 17.81 56.09 19.44 31.82 55.26
159 17.83 20.66 11.08 32.99 40.92
160 17.74 68.61 17.91 17.78 32.66
161 18.19 25.47 13.17 33.26 65.73
162 18.01 36.66 16.18 37.17 180.23
163 18.34 32.05 14.13 36.73 135.49
164 17.95 65.28 17.64 18.14 27.47
165 18.19 48.96 18.40 34.27 172.60
