#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu20 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.50 50.52 4.86 2.93 23.73
1 2.26 47.34 5.38 2.76 25.60
2 2.61 53.30 4.29 3.23 25.30
3 2.69 41.37 6.10 2.77 27.54
4 2.76 44.55 6.37 2.58 24.96
5 3.15 47.26 6.08 2.50 24.35
6 3.49 44.69 5.66 3.25 27.34
7 3.20 48.90 6.00 4.00 24.33
8 3.54 54.76 5.49 2.91 23.07
9 3.52 42.05 6.05 3.54 25.78
10 3.72 51.17 4.52 3.39 25.41
11 3.73 49.18 6.41 3.56 23.21
12 3.48 50.27 3.83 3.50 30.00
13 4.01 40.10 6.04 3.19 25.69
14 4.06 47.46 5.92 3.43 27.29
15 4.42 36.95 5.15 3.06 27.12
16 4.13 42.85 6.53 2.89 27.13
17 4.07 53.74 6.18 3.27 22.91
18 4.37 52.20 5.06 2.76 25.44
19 4.41 54.20 7.75 4.00 27.50
20 4.60 39.71 7.00 3.25 29.88
21 4.88 43.40 6.56 3.06 28.23
22 4.90 41.02 6.23 3.21 26.74
23 5.19 54.13 5.11 3.47 25.82
24 5.01 50.64 6.09 4.14 26.23
25 5.34 38.80 6.39 3.42 28.25
26 5.73 47.79 5.94 3.57 27.29
27 5.39 51.92 5.81 3.22 25.75
28 5.83 44.65 6.07 3.22 28.09
29 5.71 35.33 6.21 3.10 26.34
30 5.44 41.29 7.53 3.88 32.88
31 5.79 58.62 5.52 2.98 25.75
32 5.62 42.73 5.92 3.58 28.17
33 5.87 50.35 6.41 3.61 27.67
34 6.26 55.84 5.88 3.59 27.41
35 6.39 33.79 7.09 2.99 26.97
36 6.22 42.22 6.88 3.55 29.89
37 5.93 38.28 7.18 3.36 29.73
38 6.54 36.79 6.68 3.09 27.73
39 6.57 40.05 7.51 3.79 28.53
40 6.46 49.60 7.22 3.70 27.54
41 6.29 59.41 5.27 2.64 28.27
42 6.32 37.90 6.20 4.20 27.70
43 6.81 60.90 5.42 2.91 23.97
44 6.69 51.83 7.49 3.56 27.69
45 6.81 46.68 5.92 3.46 26.92
46 6.84 48.32 7.88 4.50 29.69
47 7.00 53.36 9.17 3.40 25.23
48 7.17 32.39 7.19 3.21 26.14
49 7.16 57.75 6.49 3.78 28.74
50 7.44 38.34 8.87 4.11 26.96
51 7.30 35.22 7.38 2.90 28.49
52 7.27 43.31 7.51 3.56 31.12
53 7.36 50.29 6.72 3.81 30.23
54 7.66 41.38 9.52 4.19 29.98
55 8.18 46.46 8.21 4.17 30.60
56 7.63 53.82 5.95 2.62 30.52
57 7.60 61.32 4.84 3.26 27.32
58 7.77 52.51 7.42 3.98 29.90
59 8.19 44.25 9.94 4.09 31.29
60 7.74 64.32 4.54 2.72 26.46
61 8.04 36.05 9.72 3.70 29.92
62 7.84 48.84 5.62 4.00 38.62
63 8.13 33.72 10.56 3.29 25.36
64 8.26 58.25 5.87 3.53 28.61
65 8.08 50.96 8.09 4.18 29.36
66 8.24 51.85 9.20 3.60 34.20
67 8.32 63.94 4.41 3.14 25.41
68 8.77 41.50 10.63 3.96 29.31
69 8.73 49.80 8.63 3.86 28.75
70 8.39 52.85 7.25 3.50 29.50
71 9.04 53.03 7.48 4.14 29.40
72 8.78 63.05 5.25 3.07 26.39
73 8.90 35.18 13.26 4.06 28.74
74 9.30 28.57 10.79 2.95 25.45
75 9.42 38.21 12.48 4.62 31.14
76 9.52 62.44 5.08 3.72 25.49
77 9.66 48.36 8.62 3.75 31.02
78 9.55 53.59 7.27 3.47 30.20
79 9.64 65.09 4.11 3.58 26.67
80 9.66 46.22 11.58 4.97 25.68
81 10.33 35.07 16.08 4.08 31.49
82 9.81 36.44 14.88 4.36 31.02
83 9.84 40.19 11.30 3.97 31.57
84 9.92 51.11 9.28 4.25 29.53
85 9.91 29.34 14.35 3.41 27.06
86 10.14 55.89 6.98 3.98 31.68
87 10.10 41.95 11.15 3.95 29.98
88 10.43 54.25 7.35 3.85 27.51
89 10.69 33.04 14.56 4.00 29.68
90 10.70 38.42 16.11 4.21 30.66
91 10.48 63.90 5.29 4.24 25.51
92 10.39 50.39 7.69 4.10 29.86
93 10.89 52.52 11.29 4.35 29.19
94 10.61 45.53 10.28 3.92 28.74
95 10.58 57.30 6.06 3.61 33.72
96 10.77 29.53 10.37 3.44 28.78
97 10.51 31.71 15.62 4.00 30.38
98 11.16 42.46 15.15 4.25 32.87
99 10.81 30.95 12.56 4.89 29.33
100 11.02 36.54 17.52 5.24 30.14
101 11.03 50.28 9.96 4.80 29.54
102 11.06 58.73 6.83 3.58 31.83
103 11.15 44.36 13.29 4.34 27.29
104 11.36 59.97 6.43 3.71 30.69
105 11.34 56.30 7.19 4.23 29.53
106 11.37 64.03 5.47 3.51 25.88
107 11.37 69.93 3.81 3.72 23.28
108 11.37 66.39 4.77 3.72 25.07
109 11.53 45.97 14.65 4.42 29.88
110 11.49 48.26 11.12 4.29 32.18
111 11.82 54.10 7.63 5.22 35.44
112 11.88 30.31 13.28 3.70 31.04
113 11.64 37.02 16.15 3.76 33.66
114 12.12 58.98 6.37 5.08 29.68
115 11.76 28.10 10.96 3.13 32.64
116 11.98 50.85 8.48 5.04 30.26
117 11.73 43.95 20.00 4.08 30.62
118 11.92 33.00 18.55 4.63 31.05
119 12.07 38.38 20.91 3.85 30.76
120 12.04 43.24 16.29 4.57 29.79
121 12.43 62.94 5.45 4.21 30.93
122 12.11 67.58 4.00 3.77 26.06
123 12.05 71.55 3.60 3.13 25.60
124 12.24 69.56 4.42 2.98 25.30
125 12.23 41.17 29.10 4.48 31.33
126 12.32 45.49 12.50 4.17 32.79
127 12.40 55.83 7.05 4.36 30.69
128 12.29 52.50 9.28 4.61 32.78
129 12.74 27.28 12.81 3.10 28.36
130 12.88 35.51 14.91 4.24 34.49
131 12.54 42.62 13.29 3.42 33.42
132 12.63 31.85 13.07 3.80 34.68
133 12.53 71.20 4.24 4.43 25.00
134 13.00 44.34 14.93 4.42 30.82
135 12.82 33.85 16.71 4.26 31.76
136 13.30 68.61 5.10 3.90 25.06
137 13.23 64.77 5.60 3.83 29.81
138 12.99 37.98 16.62 4.20 33.88
139 13.00 57.95 7.38 4.69 29.36
140 13.08 30.65 18.83 4.04 31.17
141 13.29 71.34 4.59 3.35 26.34
142 13.16 50.00 10.62 4.79 30.04
143 13.43 46.72 12.13 3.81 32.01
144 13.17 55.04 9.10 4.42 29.23
145 13.21 28.57 13.94 4.66 30.77
146 13.23 60.46 6.67 4.20 30.67
147 13.13 62.07 6.64 4.73 37.00
148 13.25 40.25 18.38 3.97 28.79
149 13.41 42.16 23.95 4.76 27.63
150 13.44 32.97 17.06 4.15 31.76
151 13.57 49.06 10.79 4.56 32.70
152 13.76 51.46 9.13 4.55 33.89
153 13.82 63.20 6.48 4.50 29.91
154 13.58 30.04 15.33 3.83 30.53
155 14.20 38.75 15.84 4.13 30.74
156 13.89 37.02 17.23 4.10 32.90
157 13.85 43.70 13.71 4.00 35.23
158 13.83 67.24 5.20 3.96 25.43
159 14.13 26.42 12.20 3.63 31.93
160 14.07 40.52 9.50 4.08 29.67
161 13.81 25.31 14.12 4.62 29.00
162 14.26 56.14 6.85 5.21 31.11
163 13.85 33.77 16.86 4.00 38.57
164 14.37 30.71 15.75 4.10 31.31
165 14.10 59.02 5.94 4.45 30.90
