#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim12 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 3.03 42.24 27.17 3.73 17.72
1 3.35 39.01 27.53 3.33 25.51
2 3.41 45.81 29.58 3.79 16.71
3 4.08 49.59 30.44 4.85 14.01
4 4.46 43.09 29.24 4.70 55.89
5 4.72 39.96 30.37 5.32 56.17
6 4.76 36.84 24.68 3.93 58.01
7 4.88 46.64 32.64 5.38 28.63
8 4.54 52.72 31.05 4.00 12.60
9 5.23 52.49 36.14 5.14 14.74
10 5.81 55.97 34.72 6.76 12.47
11 5.89 34.62 27.78 4.72 90.41
12 5.68 49.62 34.88 6.24 23.45
13 5.87 31.61 24.05 4.35 78.30
14 5.94 44.18 32.88 5.89 72.43
15 5.97 41.11 30.19 5.68 69.13
16 6.19 37.79 33.41 6.27 89.78
17 6.50 52.14 33.02 6.48 25.94
18 6.60 46.71 34.51 7.99 68.25
19 6.86 58.82 32.75 5.74 12.11
20 6.65 29.26 25.41 4.34 84.91
21 7.13 33.15 26.99 4.70 102.54
22 7.14 55.03 36.56 7.47 13.51
23 7.32 39.44 32.50 6.29 100.23
24 7.27 42.70 32.14 6.44 86.71
25 7.48 49.18 36.65 7.60 64.97
26 7.67 26.87 22.54 4.39 66.73
27 7.75 36.10 31.15 7.10 102.91
28 7.86 30.24 26.14 5.71 93.11
29 7.96 52.31 38.06 9.23 28.06
30 7.97 45.72 37.58 9.20 90.25
31 7.87 60.95 35.71 6.29 12.42
32 8.32 57.17 35.94 8.22 13.13
33 8.55 33.03 32.54 7.82 95.78
34 8.40 59.58 35.93 6.83 12.60
35 8.65 42.35 35.16 8.14 82.83
36 8.71 38.86 35.10 9.08 79.32
37 8.84 54.34 41.03 12.98 19.17
38 8.81 61.27 31.82 5.22 12.55
39 8.91 26.47 23.44 5.19 44.84
40 8.83 49.02 38.85 11.72 47.46
41 9.25 35.87 32.75 8.57 63.12
42 9.25 29.99 27.57 6.93 65.30
43 9.27 46.00 40.35 11.10 65.36
44 9.53 51.67 43.67 11.65 31.82
45 9.78 63.06 36.24 6.74 15.25
46 9.68 56.94 39.84 10.34 16.04
47 9.72 25.36 19.15 3.77 26.15
48 10.00 40.58 40.04 14.49 46.67
49 9.92 43.59 36.25 16.00 52.95
50 9.96 33.19 33.25 11.21 34.73
51 10.09 60.09 36.63 7.85 14.95
52 10.08 23.50 19.24 4.76 19.64
53 10.16 48.50 38.85 11.68 47.89
54 10.32 37.83 40.87 15.75 32.55
55 10.32 28.14 30.80 8.68 19.59
56 10.33 53.98 43.80 11.75 19.66
57 10.66 65.63 37.11 5.59 22.54
58 10.66 31.28 33.55 10.95 22.90
59 10.94 34.99 35.57 14.56 20.60
60 10.87 50.89 44.13 15.34 24.33
61 10.97 46.26 43.90 16.74 25.36
62 10.95 57.65 43.74 11.21 17.17
63 11.10 26.20 28.01 8.00 15.24
64 11.17 43.21 40.46 18.98 19.96
65 11.35 63.17 41.67 8.67 20.81
66 11.01 22.93 20.75 4.25 14.25
67 11.45 32.52 35.14 18.29 18.05
68 11.49 54.97 46.43 15.25 18.46
69 11.54 60.07 44.67 11.10 17.39
70 11.38 21.74 19.93 4.21 12.21
71 11.58 40.22 40.82 18.27 19.59
72 11.36 28.75 33.75 8.38 16.00
73 11.86 48.80 43.55 17.88 19.00
74 11.86 37.30 40.45 18.04 18.16
75 11.84 23.88 24.00 6.24 12.17
76 11.94 29.64 31.47 10.81 16.90
77 12.03 52.13 41.96 14.26 18.82
78 12.12 66.05 39.24 6.97 43.12
79 12.20 71.43 25.30 3.27 50.70
80 12.46 45.57 48.88 27.48 20.56
81 12.36 42.48 42.36 17.66 21.97
82 12.43 26.66 30.28 9.03 15.90
83 12.37 57.20 42.71 13.56 18.89
84 12.53 61.59 46.68 8.03 20.12
85 12.55 34.64 37.38 20.66 18.32
86 12.92 68.84 40.14 5.68 55.51
87 12.87 31.81 35.42 13.77 17.44
88 13.05 39.71 42.50 23.78 23.04
89 13.00 54.25 49.43 22.48 23.18
90 13.07 23.59 28.43 9.28 14.51
91 13.11 64.45 43.86 7.11 24.47
92 13.20 48.14 46.21 30.69 24.37
93 13.43 29.08 39.12 13.48 17.45
94 13.23 51.14 48.13 23.56 27.58
95 13.42 58.83 49.70 14.07 21.28
96 13.51 37.06 40.83 22.50 23.74
97 13.40 72.46 36.71 3.89 52.83
98 13.60 42.89 46.34 28.63 29.20
99 13.73 21.06 26.44 8.64 14.68
100 13.56 24.74 32.64 11.86 15.57
101 14.03 26.12 34.21 11.94 17.15
102 13.99 55.83 44.35 13.03 27.66
103 13.91 61.86 46.62 8.73 22.00
104 14.24 71.63 36.82 4.46 45.39
105 13.97 34.00 39.18 18.88 23.03
106 14.09 46.11 48.08 25.53 37.70
107 14.06 66.27 44.71 6.88 29.98
108 14.72 31.45 40.81 23.99 29.50
109 14.51 39.82 44.21 24.67 42.52
110 14.53 52.82 49.72 25.25 36.22
111 14.33 23.15 31.33 12.50 20.06
112 14.65 48.72 45.44 23.39 55.44
113 14.78 63.78 46.53 7.57 25.08
114 14.80 68.84 42.29 5.71 56.33
115 14.82 36.73 41.12 26.14 40.12
116 14.76 58.98 48.82 12.77 26.81
117 14.87 28.52 36.51 17.54 26.14
118 14.68 43.20 42.95 25.19 64.20
119 15.04 23.74 32.16 13.17 19.70
120 15.33 33.98 42.78 19.04 51.89
121 15.27 55.76 49.53 10.79 42.56
122 15.57 45.62 48.02 22.62 116.86
123 15.55 20.90 30.74 10.42 22.68
124 15.58 50.62 50.40 21.79 69.71
125 15.75 25.89 35.55 18.58 32.39
126 15.69 65.94 47.70 7.33 30.70
127 15.67 42.04 40.20 17.22 126.66
128 15.80 61.99 48.61 8.86 29.03
129 15.89 38.52 41.80 22.37 125.76
130 15.80 72.57 45.06 5.74 33.32
131 15.69 75.45 26.33 4.21 33.00
132 16.14 53.52 54.26 17.06 70.65
133 16.01 59.03 52.07 10.27 37.81
134 16.13 28.74 35.59 20.06 45.47
135 16.24 32.03 34.63 14.83 81.46
136 16.38 48.01 50.31 18.27 159.71
137 16.12 69.09 50.43 6.93 28.40
138 16.41 35.48 38.54 14.96 119.69
139 16.30 23.04 29.96 12.40 41.57
140 16.61 19.47 24.41 12.21 38.87
141 16.73 64.06 52.96 8.39 30.43
142 16.77 56.69 51.61 11.87 61.62
143 16.82 40.62 40.33 15.48 177.86
144 16.95 43.43 47.96 17.37 186.08
145 16.91 74.17 39.74 5.39 50.56
146 17.14 51.06 51.15 12.97 139.10
147 16.92 71.05 48.67 6.16 35.02
148 17.01 25.93 30.48 15.16 84.92
149 16.96 66.76 49.62 8.06 30.92
150 17.32 45.87 44.80 12.89 181.81
151 17.39 30.12 36.68 15.15 146.96
152 17.33 38.17 42.12 14.92 181.54
153 17.25 59.85 51.31 9.17 43.16
154 17.28 62.53 49.82 8.87 32.54
155 17.58 22.18 26.95 9.54 88.10
156 17.68 33.24 37.42 13.09 172.59
157 17.62 54.30 56.17 16.36 95.95
158 17.69 18.17 20.70 7.12 63.20
159 17.88 35.83 39.47 11.74 183.70
160 17.92 48.42 49.87 13.26 169.33
161 17.89 69.09 55.26 8.93 34.81
162 18.05 27.63 36.04 13.89 159.59
163 18.10 57.31 54.75 10.71 64.49
164 18.22 65.69 54.77 8.77 38.67
165 18.01 40.85 40.13 9.87 187.53
