#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd17 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.94 53.96 6.27 1.35 21.43
1 2.28 44.67 6.98 1.46 19.82
2 2.01 47.53 7.60 2.03 20.73
3 3.01 43.82 7.68 1.73 21.16
4 2.66 47.21 7.64 1.75 21.16
5 2.53 54.29 7.18 1.67 20.33
6 2.95 51.55 7.89 1.93 23.16
7 2.90 53.12 9.08 1.69 19.77
8 2.98 45.47 7.50 2.00 21.29
9 3.45 55.14 8.04 1.78 23.13
10 3.69 41.62 8.07 1.90 21.48
11 3.47 57.04 6.22 2.08 22.82
12 3.41 50.61 11.07 2.33 22.13
13 3.63 45.51 8.81 1.94 23.53
14 3.60 52.01 8.72 2.21 21.45
15 3.63 49.68 7.92 2.00 22.77
16 3.87 54.01 8.70 1.80 24.20
17 4.22 59.77 7.42 1.64 22.48
18 4.12 49.11 7.84 2.63 22.45
19 4.28 46.47 7.67 2.27 24.27
20 4.15 52.00 7.95 1.86 22.00
21 4.35 50.59 9.04 2.52 25.06
22 4.72 38.07 8.94 1.91 23.27
23 4.49 57.71 7.75 2.04 21.89
24 4.90 48.04 8.24 2.13 23.81
25 4.85 54.10 8.33 2.21 25.73
26 4.68 40.08 8.35 2.06 22.32
27 4.70 43.26 8.05 2.41 23.84
28 5.16 45.31 9.36 2.21 24.79
29 5.19 51.67 8.13 2.49 23.61
30 5.06 61.22 10.12 1.38 22.50
31 5.39 40.52 9.51 2.06 22.23
32 5.44 42.37 10.20 2.48 23.58
33 5.77 61.65 8.54 1.97 23.73
34 5.68 35.60 8.77 2.04 22.04
35 5.76 50.13 8.45 2.34 24.55
36 5.61 63.35 7.90 1.48 23.00
37 5.78 37.42 9.03 1.97 24.13
38 5.70 56.28 8.43 2.29 22.71
39 5.93 48.58 10.21 3.02 25.47
40 5.92 53.42 9.50 2.43 23.17
41 6.17 44.94 10.02 2.57 24.28
42 5.88 34.60 10.83 2.00 21.33
43 6.13 57.04 8.47 2.08 24.53
44 6.82 34.89 11.54 2.16 22.61
45 6.28 42.84 10.02 2.34 22.73
46 6.70 40.33 9.87 2.40 24.64
47 6.41 58.63 9.93 2.00 23.80
48 6.38 37.15 9.65 2.27 21.75
49 6.60 47.66 9.90 2.30 24.49
50 6.70 64.09 9.73 1.81 23.66
51 6.62 53.01 10.02 2.71 25.17
52 6.74 60.84 10.05 2.38 23.69
53 6.74 50.96 9.36 2.15 25.45
54 6.68 55.09 11.59 2.99 25.51
55 6.72 32.75 13.29 2.20 20.83
56 7.09 62.61 9.15 2.17 24.22
57 7.28 45.39 11.04 2.36 25.13
58 7.28 59.98 9.03 2.44 26.91
59 7.37 58.59 10.17 2.35 25.57
60 7.25 52.42 8.96 2.41 26.63
61 7.30 55.93 10.69 2.50 26.97
62 7.30 47.66 13.12 2.52 25.36
63 7.86 43.05 11.68 2.55 24.08
64 7.56 50.08 9.89 2.54 25.76
65 7.73 39.88 11.46 2.38 25.77
66 7.89 53.53 10.32 2.46 26.16
67 7.70 30.27 13.45 2.31 23.69
68 7.78 55.43 10.00 2.35 24.45
69 7.94 34.15 14.42 2.66 23.47
70 7.91 57.41 9.47 2.47 26.79
71 8.20 61.67 11.16 2.58 24.29
72 8.12 32.52 13.09 2.47 23.00
73 8.26 29.57 10.09 1.91 20.88
74 8.22 37.97 15.07 2.90 25.61
75 8.24 47.72 12.58 2.20 26.19
76 8.15 60.10 12.41 2.52 23.57
77 8.04 65.81 8.46 1.54 23.46
78 8.25 64.11 10.98 2.27 23.88
79 8.51 35.49 12.77 2.88 26.37
80 8.35 67.45 7.56 1.92 24.14
81 8.65 41.16 13.47 2.83 25.35
82 8.53 56.88 11.17 2.56 24.76
83 8.61 50.85 11.36 2.91 25.82
84 8.58 62.67 8.60 2.65 28.90
85 8.57 65.98 8.22 2.22 22.67
86 8.74 45.21 11.81 2.59 24.97
87 8.68 53.39 8.92 2.77 27.08
88 8.92 48.32 14.76 2.67 25.22
89 8.84 68.57 7.96 1.68 22.50
90 9.00 58.30 12.23 2.54 27.43
91 9.02 66.66 7.96 2.57 24.21
92 9.41 46.65 12.28 3.09 25.92
93 9.31 52.77 13.85 2.88 26.08
94 9.23 55.38 11.95 2.67 25.94
95 9.09 63.61 10.10 2.21 24.62
96 9.55 49.60 13.00 2.79 26.56
97 9.35 32.94 11.83 2.71 23.48
98 9.34 60.12 9.82 2.46 26.56
99 9.41 34.50 14.42 2.81 25.86
100 9.38 40.02 14.47 2.97 26.28
101 9.54 43.61 13.51 3.15 27.15
102 9.64 69.23 7.97 1.93 23.65
103 9.64 65.59 9.12 2.70 24.42
104 9.75 63.62 9.81 2.34 26.34
105 9.94 58.07 11.93 2.90 27.38
106 10.05 38.02 13.38 2.36 25.22
107 9.97 60.22 10.96 3.08 27.12
108 10.15 29.01 12.84 1.98 22.82
109 10.15 45.98 14.57 3.04 28.13
110 10.19 35.63 14.73 2.70 26.06
111 10.15 51.43 12.22 2.78 26.08
112 10.40 63.46 10.06 2.42 25.31
113 10.29 44.12 17.12 3.17 28.08
114 10.70 39.75 14.08 2.88 28.18
115 10.52 61.25 10.30 2.91 26.60
116 10.46 66.41 8.27 2.37 24.96
117 10.49 72.80 6.23 1.93 21.55
118 10.39 68.19 6.94 2.36 24.03
119 10.79 48.58 13.43 2.98 28.80
120 10.53 27.41 13.62 2.50 21.19
121 10.68 54.42 13.62 3.05 28.25
122 10.46 36.88 13.62 3.38 29.50
123 10.52 45.01 17.12 3.38 29.25
124 11.02 42.66 19.31 2.99 26.63
125 11.13 51.18 15.27 3.08 29.18
126 11.02 59.49 11.53 3.05 29.37
127 11.00 64.99 9.17 3.17 24.95
128 10.82 36.01 26.54 3.38 22.15
129 11.02 37.43 17.21 2.57 26.91
130 11.23 33.52 17.24 2.60 25.12
131 11.15 28.85 12.56 2.22 24.36
132 11.10 44.71 15.34 3.03 28.03
133 11.25 67.98 7.72 2.56 25.78
134 11.29 71.67 7.22 1.72 23.10
135 11.24 35.31 19.65 3.05 25.70
136 11.15 56.01 14.00 3.14 26.52
137 11.31 62.95 10.21 3.34 27.42
138 11.43 70.15 6.81 2.26 25.13
139 11.72 46.14 18.57 3.16 26.75
140 11.90 73.71 6.29 1.94 23.66
141 11.73 56.44 13.68 2.71 28.32
142 11.57 53.71 16.30 3.13 28.20
143 11.67 39.16 18.14 3.73 25.81
144 11.61 44.14 16.28 3.22 29.56
145 11.77 27.34 11.11 2.47 22.88
146 11.68 36.58 14.82 2.18 27.24
147 11.84 43.27 13.65 3.17 29.78
148 11.86 66.94 8.49 2.67 28.12
149 12.17 31.35 17.13 2.84 24.80
150 11.90 61.80 10.14 2.82 28.46
151 12.15 65.01 9.36 3.33 27.70
152 11.98 37.86 14.96 2.88 27.88
153 12.25 69.75 8.73 2.71 25.68
154 12.31 54.01 20.55 3.53 26.96
155 12.38 47.94 27.14 3.98 25.29
156 12.38 25.54 12.73 2.83 23.49
157 12.51 29.59 14.43 2.70 24.39
158 12.53 36.61 28.80 3.74 21.71
159 12.38 56.74 14.38 2.75 30.62
160 12.58 46.60 16.79 3.36 29.00
161 12.68 49.39 18.50 3.83 29.02
162 12.68 67.46 8.77 2.82 25.98
163 12.66 33.21 14.98 3.40 26.43
164 12.61 55.70 15.79 3.54 29.57
165 13.09 61.52 11.09 3.38 28.64
