#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 15.28 66.24 9.91 16.36 50.30
140 15.19 32.70 15.35 47.85 14.21
141 15.15 68.96 10.77 15.84 36.78
142 15.43 41.17 15.81 60.08 20.42
143 15.29 62.69 12.45 21.70 17.53
144 15.55 48.72 15.56 49.43 21.30
145 15.56 58.07 14.49 27.37 15.93
146 15.33 55.68 12.50 24.82 13.91
147 15.77 25.07 12.97 42.37 15.36
148 15.81 45.65 14.67 66.25 26.41
149 15.46 20.02 12.00 44.58 13.58
150 15.58 74.50 8.50 14.62 30.31
151 15.94 29.86 13.99 53.35 16.93
152 16.06 43.38 17.04 63.24 28.46
153 16.08 20.69 10.93 44.53 13.15
154 16.11 54.07 14.61 33.99 19.85
155 16.19 37.11 16.36 56.56 21.87
156 16.41 72.19 9.67 15.44 32.08
157 16.21 18.50 10.00 37.47 13.42
158 16.44 34.52 15.45 59.88 20.53
159 16.45 27.30 13.56 44.72 17.80
160 16.67 63.01 11.58 17.84 42.01
161 16.61 68.71 11.86 16.52 53.24
162 16.44 39.57 16.39 63.36 30.01
163 16.48 50.79 16.83 56.08 28.38
164 16.45 76.38 8.18 14.66 21.75
165 16.58 32.31 16.11 53.61 23.32
166 16.56 56.84 13.28 29.96 17.31
167 16.80 65.65 11.24 17.96 51.60
168 16.43 22.56 12.48 43.08 20.16
169 16.81 47.71 16.83 53.48 53.81
170 16.82 59.89 13.65 24.31 15.41
171 16.70 24.09 13.47 42.05 18.02
172 17.06 41.93 17.14 51.69 72.18
173 16.87 21.61 13.03 45.06 18.68
174 17.10 44.81 18.38 56.91 74.86
175 16.94 75.05 9.85 16.90 23.23
176 17.52 52.44 16.02 45.73 46.15
177 17.57 55.12 15.00 41.81 29.71
178 17.53 30.41 16.52 61.38 32.03
179 17.68 20.44 12.98 44.36 25.00
180 17.54 36.64 15.88 66.52 40.89
181 17.85 22.49 14.35 46.78 36.21
182 17.66 25.15 14.86 41.20 32.90
183 17.61 39.34 17.24 49.55 80.98
184 17.64 78.17 8.64 14.30 13.89
185 17.59 19.24 13.03 40.00 20.00
186 17.52 74.17 8.47 14.91 20.69
187 17.77 27.75 15.69 49.91 34.69
188 17.82 49.54 15.70 34.64 74.69
189 17.93 58.17 15.69 27.18 22.92
190 18.28 70.01 11.44 15.98 33.49
191 17.79 33.60 16.17 58.88 43.81
192 18.16 72.66 11.53 15.12 17.96
193 18.10 46.75 16.69 41.58 125.20
194 18.10 60.96 13.31 19.67 18.09
195 17.82 76.50 9.04 16.07 15.27
196 18.08 64.47 12.21 17.41 23.99
197 18.07 67.18 11.98 16.12 18.41
198 18.12 17.43 10.77 37.06 33.74
199 18.43 44.01 17.49 35.10 135.36
200 18.59 41.60 18.67 43.09 122.11
201 18.76 36.20 17.83 49.22 126.01
202 18.60 75.18 10.22 15.51 13.51
203 18.64 30.87 15.93 37.87 90.71
204 18.93 56.14 17.03 32.18 34.99
205 19.19 18.22 12.08 31.45 85.70
206 19.00 38.83 17.02 39.20 132.65
207 18.99 33.47 17.27 46.90 135.99
208 19.02 51.11 17.49 40.42 90.40
209 18.86 53.63 16.66 32.60 51.00
210 18.87 78.26 9.05 15.76 10.76
211 18.89 20.95 14.59 35.20 63.33
212 19.01 24.25 14.28 35.02 93.19
213 19.00 27.08 15.22 36.52 90.38
214 19.08 62.67 14.20 19.93 18.10
215 19.19 48.42 17.34 38.00 107.01
216 19.36 58.81 15.29 22.77 25.07
217 19.43 65.44 13.49 17.96 20.63
218 19.28 67.69 11.85 18.17 21.94
219 19.53 45.73 17.52 40.33 152.18
220 19.68 29.32 16.84 42.43 140.13
221 19.49 73.92 11.50 19.33 14.17
222 19.49 75.62 10.87 15.46 13.87
223 19.91 60.88 14.47 20.95 20.40
224 19.85 43.23 16.18 39.39 158.13
225 19.91 40.83 16.37 33.63 133.06
226 20.15 31.98 16.26 36.01 148.52
227 20.19 22.35 14.25 38.10 123.00
228 20.32 35.02 17.51 37.51 162.61
229 19.99 76.93 9.61 15.93 11.84
230 20.31 19.52 12.93 29.40 125.46
231 20.11 37.22 16.63 37.30 150.28
232 20.30 25.14 15.88 33.51 125.89
233 20.32 53.51 16.58 33.92 61.80
234 20.26 56.19 16.28 25.28 38.14
235 20.41 50.63 17.76 28.23 97.74
236 20.62 63.02 13.74 19.51 20.62
237 20.55 47.56 17.73 30.57 150.81
238 20.34 70.66 9.91 18.32 16.86
239 20.16 73.22 12.63 17.47 14.74
240 20.38 15.83 11.84 22.62 83.54
241 20.54 67.68 13.05 18.38 16.72
242 20.72 27.65 15.45 31.58 147.44
243 20.48 38.40 18.03 42.03 161.93
244 20.79 58.86 15.13 19.89 29.61
245 20.90 65.04 13.96 19.57 20.26
246 20.99 44.88 19.08 29.77 174.58
247 20.98 39.68 17.19 32.46 168.31
248 21.16 72.77 12.89 18.23 21.79
249 21.26 42.23 16.97 31.36 170.66
250 21.17 75.12 12.48 15.10 19.40
251 21.39 17.23 12.63 28.56 126.05
252 21.25 30.33 17.62 36.22 164.52
253 21.06 77.30 9.30 15.67 12.35
254 21.49 60.84 15.43 20.67 26.89
255 21.24 69.98 13.45 18.58 19.37
256 21.23 81.12 8.27 17.20 12.71
257 21.42 33.41 18.69 38.12 174.91
258 21.50 49.38 17.79 32.85 101.08
259 21.45 56.54 16.24 21.77 37.87
260 21.50 36.89 19.42 28.02 183.44
261 21.59 23.23 15.06 27.42 132.00
262 21.24 67.54 14.42 20.08 15.25
263 21.55 82.49 7.88 16.27 12.38
264 21.52 20.73 15.19 24.44 125.74
265 21.81 51.82 17.93 29.24 73.94
266 21.71 54.10 16.48 22.94 51.39
267 21.75 25.76 15.97 31.81 160.53
268 21.93 46.99 17.62 30.61 141.42
269 21.89 76.62 11.52 15.17 15.48
270 21.78 79.83 10.45 17.09 16.61
271 21.91 69.67 13.16 18.23 17.19
272 22.06 39.77 17.32 31.46 145.70
273 22.33 58.70 15.26 20.70 32.49
274 22.24 64.99 14.66 18.93 22.45
275 21.84 73.96 11.40 15.70 21.30
276 22.36 62.56 14.82 20.53 26.53
277 22.38 28.79 17.34 27.53 162.17
278 22.27 44.47 18.22 25.60 157.86
279 22.49 31.68 17.10 32.35 168.89
280 22.52 35.06 17.20 30.01 166.01
281 22.67 15.34 11.50 21.31 107.17
282 22.75 42.15 17.12 23.65 140.42
283 22.54 72.65 13.16 19.24 20.02
284 22.51 80.49 9.80 17.24 15.92
285 22.95 20.55 14.60 26.63 134.71
286 22.86 37.83 17.53 29.63 171.04
287 22.75 18.10 12.27 22.17 118.03
288 22.73 56.20 16.23 22.07 41.87
289 22.82 49.31 17.78 25.57 85.73
290 22.98 23.65 16.15 27.42 140.53
291 23.00 69.26 13.93 18.30 20.15
292 23.05 53.72 17.17 23.92 57.97
293 23.44 73.41 13.43 17.28 19.66
294 23.18 26.66 16.89 26.67 156.10
295 23.23 46.74 17.54 24.83 122.77
296 23.25 51.71 18.85 25.19 78.49
297 23.32 60.54 15.78 20.39 34.46
298 23.31 66.30 15.78 18.75 27.91
299 23.26 77.99 10.68 16.16 19.79
300 23.37 40.13 21.05 32.17 165.12
301 23.55 33.70 19.02 28.35 142.29
302 23.57 63.48 15.35 19.67 30.30
303 23.68 44.16 18.68 23.43 115.86
304 23.48 79.94 10.52 16.83 15.52
305 23.68 82.98 9.07 17.22 16.30
306 23.76 57.95 16.31 21.15 39.19
307 23.87 29.07 15.58 28.13 111.21
308 23.91 36.38 18.77 25.47 165.64
309 23.88 31.27 17.19 29.44 144.40
310 23.95 55.34 17.72 22.20 48.33
311 24.03 16.78 13.20 19.84 95.19
312 24.06 50.12 18.78 22.78 75.29
313 24.08 70.70 12.81 18.12 25.45
314 24.19 68.08 14.46 17.93 30.52
315 24.38 18.89 14.10 21.03 97.84
316 24.35 21.69 15.19 22.50 98.56
317 24.19 24.81 16.71 23.55 124.75
318 24.36 48.07 19.91 23.24 91.33
319 24.47 41.79 20.38 26.05 119.83
320 24.40 84.14 7.84 14.09 14.84
321 24.59 39.09 18.80 26.91 128.34
322 24.48 52.18 19.43 23.64 66.69
323 24.35 77.30 13.80 16.60 28.17
324 24.53 61.51 16.36 20.59 41.45
325 24.58 45.80 18.30 23.14 95.76
326 24.78 27.14 15.44 23.28 124.07
327 24.60 65.29 15.76 21.61 36.92
328 24.42 78.91 11.77 14.81 23.61
329 24.59 80.20 9.85 14.33 23.56
330 24.76 59.24 17.71 22.41 49.44
331 24.82 74.77 13.16 17.33 23.57
332 24.78 33.95 17.19 26.12 125.85
333 24.98 54.04 18.68 23.35 59.28
334 25.02 56.62 18.21 23.07 51.64
335 25.11 72.29 13.88 17.01 26.33
336 25.15 63.19 16.73 19.74 40.30
337 25.17 31.11 18.03 27.17 110.61
338 25.34 43.57 19.47 25.42 81.48
339 25.14 15.39 12.75 19.14 65.16
340 25.25 36.61 18.94 26.53 135.50
341 25.32 49.41 19.71 25.28 72.89
342 25.08 81.58 10.50 17.82 19.79
343 25.50 23.93 16.14 22.35 95.67
344 25.39 69.78 15.32 19.01 37.08
345 25.42 67.18 17.07 20.59 37.56
346 25.58 20.80 14.59 21.77 74.29
347 25.57 17.20 14.26 23.03 83.39
348 25.57 78.98 14.12 17.55 32.92
349 25.95 84.79 9.90 15.47 28.21
350 25.74 28.89 17.24 23.75 108.96
351 25.82 41.34 20.12 25.91 82.71
352 25.66 46.15 20.64 23.87 81.36
353 25.53 77.17 13.80 17.91 30.57
354 25.73 52.00 19.20 22.56 67.52
355 25.80 18.88 13.25 23.46 79.12
356 26.01 38.98 19.40 25.55 109.02
357 25.83 60.39 17.93 21.61 50.74
358 25.72 13.58 11.19 14.52 39.11
359 26.03 57.89 19.40 23.50 53.96
360 25.92 64.94 15.31 19.70 38.30
361 26.00 33.90 19.24 24.45 106.50
362 26.25 26.45 17.40 22.75 91.74
363 26.09 55.05 19.52 23.14 60.95
364 26.32 81.63 11.65 16.32 34.48
365 26.24 75.65 13.30 18.05 30.93
366 26.38 73.06 15.75 17.19 42.44
367 26.37 62.59 18.70 20.84 53.10
368 26.44 15.05 13.02 18.29 60.67
369 26.24 48.02 19.35 22.95 67.23
370 26.58 31.28 18.41 25.74 94.71
371 26.53 36.43 19.66 24.53 99.95
372 26.58 50.40 20.48 24.66 68.39
373 26.63 70.38 18.44 19.88 48.67
374 26.73 11.86 10.62 14.62 41.53
375 26.80 21.78 15.87 20.90 76.81
376 26.57 67.65 17.92 19.80 49.71
377 26.59 78.08 14.14 17.23 39.17
378 26.98 43.12 21.13 24.24 78.39
379 26.76 45.75 20.97 24.05 82.61
380 26.80 85.49 10.51 15.42 38.33
381 27.03 24.34 16.24 20.90 80.16
382 26.90 53.12 19.07 23.73 63.30
383 26.97 40.72 22.17 24.69 85.12
384 27.13 60.46 19.49 22.47 60.37
385 27.01 19.42 13.11 18.94 63.18
386 27.04 64.61 18.40 20.98 55.63
387 27.07 28.42 17.48 23.10 83.77
388 27.10 33.82 20.55 24.95 86.91
389 27.25 58.53 22.48 23.02 67.22
390 27.30 38.45 20.85 24.67 87.61
391 27.13 56.13 21.00 22.75 65.94
392 27.08 79.20 12.97 17.30 40.40
393 27.30 48.50 20.91 23.88 72.56
394 27.28 13.53 12.33 14.90 56.23
395 27.56 17.34 13.38 16.86 56.73
396 27.39 75.57 20.22 17.57 51.65
397 27.57 73.88 20.00 16.70 50.96
398 27.53 81.85 15.41 15.87 47.15
399 27.69 50.95 20.71 21.80 68.36
400 27.59 66.69 36.71 22.38 72.16
401 27.49 68.97 26.63 17.58 53.74
402 27.72 71.67 52.14 18.94 69.10
403 27.73 62.32 24.84 21.41 76.55
404 27.67 35.65 19.48 25.40 86.28
405 27.75 15.05 12.93 17.38 53.95
406 27.84 26.06 16.82 20.86 76.22
407 27.77 85.41 12.62 15.87 36.78
408 27.82 30.67 18.31 25.98 81.46
409 28.35 44.95 21.00 24.68 79.91
410 28.00 55.02 20.77 23.30 69.12
411 27.97 53.11 20.53 21.92 72.57
412 27.92 22.75 14.23 19.00 57.66
413 28.14 32.85 18.78 24.94 84.68
414 28.13 47.17 20.71 23.66 77.69
415 28.57 12.52 11.75 14.93 44.86
416 27.99 19.32 15.41 17.18 62.03
417 28.12 40.57 21.09 25.62 76.11
418 28.29 76.52 81.15 18.43 55.86
419 28.17 78.91 31.34 15.11 55.52
420 28.22 64.35 140.44 20.21 73.62
421 28.32 20.79 15.93 20.98 62.67
422 28.70 28.16 17.86 22.32 69.86
423 28.33 42.68 22.17 24.30 74.40
424 28.50 57.11 25.05 24.62 70.20
425 28.29 59.39 27.49 23.02 81.61
426 28.34 37.61 20.54 22.66 81.10
427 28.53 69.87 134.78 20.83 75.48
428 28.63 67.16 168.14 22.21 84.94
429 28.71 81.58 61.80 16.83 70.26
430 28.83 24.77 15.89 21.28 69.18
431 28.49 34.83 21.05 19.68 63.41
432 28.61 52.58 24.24 24.36 86.00
433 28.81 72.98 124.42 18.17 67.62
434 28.69 15.78 13.63 16.70 50.26
435 28.76 61.75 128.10 24.10 93.65
436 28.96 51.46 22.95 23.65 89.87
437 28.94 18.01 15.12 18.54 65.46
438 28.98 31.15 18.83 21.81 68.67
439 29.35 84.71 42.44 16.81 70.55
440 29.09 39.14 21.58 23.04 74.30
441 29.14 33.83 21.00 22.98 77.20
442 29.63 36.66 22.33 23.96 81.57
443 29.45 54.61 46.65 24.15 95.76
444 29.54 49.82 29.58 25.26 106.32
445 29.31 59.33 190.50 23.43 110.00
446 29.37 78.11 87.73 17.98 85.18
447 29.54 10.60 10.94 14.67 42.66
448 29.34 41.18 22.32 26.04 84.38
449 29.34 47.61 24.86 25.28 90.12
450 29.35 64.33 176.19 23.97 108.16
451 29.50 21.06 16.22 18.92 61.43
452 29.50 43.55 21.85 23.52 85.94
453 29.60 75.56 114.98 20.84 108.41
454 29.62 68.07 139.10 22.64 92.42
455 29.80 13.95 14.78 15.62 53.61
456 29.65 70.65 106.14 22.24 62.35
457 29.74 32.86 21.59 24.61 83.56
458 29.63 38.19 23.21 26.57 85.79
459 29.95 45.97 38.67 27.02 108.80
460 29.87 61.68 191.67 24.09 122.77
461 29.85 16.38 15.96 15.64 60.00
462 29.93 24.02 18.36 19.54 68.70
463 30.00 29.77 18.84 21.41 78.00
464 30.06 56.78 187.00 23.28 104.06
465 30.61 34.95 28.34 23.77 88.92
466 29.87 52.21 37.59 23.84 114.31
467 30.26 81.09 61.42 20.18 116.79
468 30.05 26.71 19.07 23.49 69.08
469 30.20 72.98 104.12 20.59 109.34
470 30.15 18.83 19.57 18.27 75.80
471 30.30 39.79 33.46 23.72 91.01
472 30.28 65.85 156.99 24.02 149.16
473 30.55 42.20 57.64 26.70 104.71
474 30.40 77.26 62.50 17.00 92.93
475 30.41 59.16 207.97 27.55 149.34
476 30.51 83.17 32.44 17.63 84.97
477 30.56 32.40 26.25 23.27 89.17
478 30.68 63.54 153.28 24.63 138.97
479 30.61 21.88 27.07 19.49 83.81
480 30.89 44.01 73.63 25.69 117.81
481 30.61 11.64 18.47 12.70 51.50
482 30.82 70.51 68.45 23.34 127.70
483 30.79 52.76 200.40 27.74 156.96
484 30.93 68.06 72.48 23.12 143.03
485 30.79 14.71 27.24 16.64 66.62
486 30.84 17.37 27.04 18.44 75.07
487 30.81 12.97 23.41 15.53 65.47
488 31.06 24.40 28.47 21.04 87.93
489 30.98 54.93 190.25 25.21 153.61
490 31.19 48.80 210.07 26.54 147.40
491 31.16 75.37 57.63 19.81 116.70
492 30.95 27.80 33.19 22.19 90.43
493 30.98 37.86 39.33 24.19 98.02
494 31.08 61.37 124.91 26.23 181.27
495 31.45 85.34 23.37 18.15 99.01
496 31.31 56.95 199.37 26.66 146.14
497 31.54 72.67 48.31 21.13 141.81
498 31.59 19.68 121.81 19.41 87.49
499 31.41 78.00 37.55 18.03 106.22
500 31.64 26.02 126.30 22.84 106.51
501 31.52 32.39 77.20 25.53 107.44
502 31.59 59.12 131.68 25.93 190.92
503 31.58 50.96 201.17 30.85 184.65
504 31.62 65.51 70.67 23.99 181.29
505 31.88 10.82 98.35 16.66 80.39
506 31.70 22.16 127.54 20.76 89.56
507 32.31 36.72 185.89 27.36 156.84
508 31.88 16.08 133.49 18.64 95.35
509 31.85 13.16 109.48 17.02 85.98
510 31.97 42.07 189.87 25.38 138.48
511 31.98 46.20 191.28 28.30 174.10
512 32.02 53.05 155.56 27.08 208.96
513 32.07 63.32 71.42 27.13 189.08
514 32.17 28.05 159.28 25.00 114.59
515 32.10 38.98 183.97 28.39 163.84
516 32.13 34.42 192.24 24.00 134.14
517 32.02 69.96 37.78 24.53 105.65
