#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.33 44.44 12.41 1.75 19.17
1 2.72 47.23 12.68 2.03 17.22
2 3.00 41.18 13.60 2.48 38.63
3 3.72 45.00 13.60 2.55 46.99
4 3.13 48.85 11.81 1.88 16.38
5 3.84 31.71 13.77 2.80 75.68
6 4.02 38.53 15.12 3.58 68.52
7 3.96 35.22 14.14 2.77 74.13
8 4.01 48.35 14.79 3.49 16.68
9 4.25 54.45 13.61 2.36 10.27
10 4.55 42.05 15.89 3.87 77.51
11 5.08 53.08 17.59 3.29 12.98
12 4.87 51.07 16.10 4.93 12.46
13 5.13 30.05 15.15 2.77 82.84
14 5.31 48.08 16.35 3.70 41.62
15 5.32 33.21 15.43 3.41 101.52
16 5.40 36.43 17.25 3.77 104.71
17 5.59 44.58 18.73 5.02 74.34
18 5.55 39.68 18.31 4.62 92.76
19 6.05 27.92 14.30 2.62 86.35
20 5.88 57.93 19.47 2.79 11.95
21 5.98 56.05 20.02 4.24 10.53
22 6.08 60.99 15.34 3.36 11.43
23 6.52 41.89 19.65 6.35 64.86
24 6.38 53.31 20.46 4.95 12.20
25 6.60 31.40 15.76 3.78 95.98
26 6.99 50.23 21.50 5.02 17.28
27 6.53 57.07 17.96 3.93 11.22
28 6.83 34.84 18.87 4.97 93.04
29 6.86 47.35 17.26 5.60 50.52
30 6.86 38.05 18.60 6.30 89.15
31 6.85 45.53 20.48 7.42 63.62
32 6.97 60.53 15.80 3.59 12.63
33 7.66 26.77 16.12 3.30 66.25
34 7.82 43.60 21.65 7.63 59.40
35 7.73 29.75 18.68 4.56 70.13
36 7.77 55.40 22.78 5.72 13.28
37 7.37 57.80 19.86 3.86 13.24
38 7.63 62.56 16.30 4.46 10.94
39 7.82 40.58 19.27 6.68 60.98
40 8.04 33.28 18.79 6.10 77.20
41 7.80 59.53 21.42 5.18 12.64
42 8.15 23.95 14.92 3.93 41.84
43 8.19 46.80 22.07 8.30 36.66
44 8.39 36.63 21.57 7.30 44.37
45 8.30 39.17 19.95 6.54 54.16
46 8.50 65.79 16.84 4.94 30.04
47 8.31 50.38 24.91 7.60 16.76
48 8.32 57.65 22.78 5.62 13.67
49 8.83 21.43 13.93 3.16 26.84
50 9.01 59.96 22.24 5.86 16.64
51 9.19 62.46 17.65 4.91 29.25
52 9.24 31.61 19.15 5.95 45.10
53 9.05 48.94 25.71 9.99 15.70
54 9.28 41.42 24.57 11.50 30.42
55 9.36 25.01 16.28 5.57 22.37
56 9.21 44.50 24.57 14.24 32.03
57 9.23 56.38 23.06 6.81 15.71
58 9.20 22.63 15.47 4.70 26.20
59 9.52 53.82 26.11 7.98 15.36
60 9.71 45.97 22.18 11.50 28.25
61 9.63 35.08 23.36 10.15 21.07
62 9.69 37.95 23.99 9.92 18.21
63 10.18 66.22 19.37 4.82 71.00
64 10.18 51.35 27.67 14.62 16.60
65 9.96 58.09 23.52 7.19 17.78
66 10.35 26.74 20.42 9.32 16.02
67 10.49 48.27 27.78 15.14 17.93
68 10.35 29.02 22.04 7.18 17.76
69 10.31 30.68 23.48 8.10 17.30
70 10.50 42.89 26.83 23.34 18.75
71 10.35 70.49 16.04 2.96 72.68
72 10.49 33.81 24.57 9.28 18.00
73 10.57 56.75 25.66 9.86 18.18
74 10.73 60.09 24.28 8.45 23.19
75 10.91 69.13 18.40 4.00 74.83
76 10.81 39.77 24.88 13.13 16.22
77 10.62 21.59 14.51 4.45 14.72
78 10.98 24.04 20.38 7.65 12.55
79 10.52 36.10 24.94 13.00 16.39
80 10.99 54.20 25.62 11.19 16.64
81 11.45 62.80 22.52 6.36 67.93
82 11.27 36.51 25.69 12.86 16.08
83 11.35 45.99 28.27 16.16 17.99
84 11.10 33.05 25.36 8.64 17.43
85 11.84 28.21 22.51 9.52 15.08
86 11.46 30.95 23.12 13.59 16.12
87 11.74 72.90 15.55 3.41 62.98
88 11.70 49.81 26.83 22.79 18.11
89 11.72 56.46 27.02 13.14 17.36
90 11.79 42.70 25.47 16.81 16.96
91 11.84 51.50 28.32 16.84 19.43
92 12.14 66.30 23.21 5.78 96.01
93 12.00 75.17 13.56 2.13 42.72
94 12.17 33.55 22.95 13.67 17.55
95 12.21 43.88 28.00 14.06 17.70
96 12.01 39.47 27.92 17.98 18.83
97 12.41 54.00 31.51 17.32 20.14
98 12.56 60.23 26.99 9.43 46.91
99 12.42 22.15 18.72 6.96 12.41
100 12.65 69.54 21.05 5.35 100.27
101 12.65 34.60 24.66 12.24 17.44
102 12.76 37.15 29.18 18.18 18.93
103 12.95 25.38 20.09 9.48 14.52
104 12.77 46.18 29.89 17.74 23.20
105 13.00 30.42 23.75 16.77 15.79
106 12.99 48.93 31.81 20.91 22.31
107 13.08 51.97 29.98 16.80 24.43
108 13.28 57.78 31.51 11.64 28.52
109 13.61 63.16 25.55 6.74 81.70
110 13.36 76.29 14.88 3.54 54.26
111 13.20 42.21 28.92 21.19 24.96
112 13.55 72.15 19.70 4.47 77.51
113 13.48 27.65 22.23 13.54 17.69
114 13.57 39.73 29.76 24.98 26.78
115 13.41 73.53 17.39 3.13 65.26
116 13.69 55.06 33.17 15.12 23.43
117 13.82 66.70 25.17 6.24 109.35
118 14.09 32.89 27.84 17.50 22.33
119 13.91 35.38 27.52 23.29 21.21
120 14.14 22.15 19.22 9.63 14.95
121 14.22 44.97 27.00 21.45 46.08
122 13.89 52.05 31.68 14.43 20.45
123 14.19 47.95 31.49 23.83 33.62
124 13.97 60.31 25.74 7.61 34.50
125 14.29 19.09 16.64 9.53 13.59
126 14.39 37.68 27.92 33.70 30.23
127 14.46 25.09 22.03 12.47 16.68
128 14.53 30.08 24.74 21.93 20.15
129 14.64 41.62 27.60 22.73 70.36
130 14.16 70.13 23.26 5.51 73.57
131 14.25 27.23 22.72 12.55 16.52
132 14.53 58.74 28.83 10.46 32.92
133 14.93 50.55 30.56 19.22 35.83
134 14.99 73.61 21.61 4.50 58.19
135 14.98 53.73 33.72 14.49 31.46
136 14.86 69.34 24.06 5.39 68.38
137 14.85 60.27 31.32 9.00 31.35
138 15.27 65.59 27.38 7.28 77.31
139 15.13 56.99 32.50 13.43 28.43
140 15.28 62.21 34.16 8.99 37.60
141 15.24 35.11 25.94 23.74 37.60
142 15.67 47.23 32.14 16.04 107.39
143 15.71 38.66 31.04 20.41 84.91
144 15.56 27.84 26.14 19.60 27.20
145 15.50 32.00 21.49 19.84 32.99
146 15.76 44.40 28.94 15.63 127.32
147 15.62 18.97 16.60 9.36 16.91
148 16.04 71.13 27.25 6.86 61.38
149 15.87 56.14 34.43 13.76 30.08
150 16.09 59.17 34.67 11.41 33.13
151 16.28 41.53 31.37 19.55 162.66
152 16.21 68.25 28.37 6.62 51.60
153 16.26 53.19 33.25 18.02 47.20
154 16.46 49.93 34.24 17.58 80.01
155 16.14 78.12 19.00 4.25 25.89
156 16.02 19.92 23.67 8.33 16.50
157 16.08 25.52 19.76 15.14 34.33
158 16.58 36.21 26.80 17.00 103.22
159 16.46 76.39 24.35 5.04 26.10
160 16.53 21.72 19.48 11.68 27.55
161 16.81 33.08 25.32 16.22 110.14
162 16.61 29.80 23.43 18.92 56.16
163 16.73 61.67 34.26 9.08 32.08
164 16.76 65.02 31.28 7.87 46.56
165 16.77 18.97 20.17 12.58 26.71
