#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu7 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 3.04 46.55 4.91 1.82 25.47
1 3.01 44.35 5.61 1.62 24.77
2 3.50 40.82 6.68 2.29 23.64
3 3.99 43.76 5.89 1.80 27.57
4 4.22 52.23 5.51 1.86 23.08
5 4.50 41.58 5.64 2.36 26.09
6 4.74 44.55 7.79 2.29 22.82
7 5.20 39.54 8.29 2.39 27.03
8 5.26 42.36 8.63 2.10 26.13
9 5.10 53.11 6.29 1.71 22.32
10 5.21 54.68 7.59 1.43 23.24
11 5.24 47.58 9.80 1.80 23.20
12 5.95 43.89 10.66 2.92 24.25
13 6.03 47.10 7.64 2.14 25.42
14 5.96 50.15 7.80 2.20 26.76
15 6.24 37.97 10.60 2.67 24.78
16 5.92 36.41 6.89 2.54 26.36
17 6.01 41.05 10.26 1.91 23.48
18 6.57 35.60 8.71 2.09 23.11
19 6.92 40.00 10.00 2.33 25.83
20 6.47 42.22 13.74 2.26 25.63
21 6.76 55.78 6.62 2.52 24.88
22 7.06 53.00 10.08 2.30 27.09
23 7.11 45.12 12.46 2.63 23.22
24 6.87 41.48 8.30 3.00 30.00
25 7.15 47.91 10.29 2.75 27.51
26 7.27 57.52 6.65 2.85 26.54
27 7.47 37.62 13.77 2.77 27.40
28 7.68 42.14 11.22 2.22 25.70
29 7.77 51.15 8.60 2.55 27.14
30 7.74 59.68 6.27 2.62 25.15
31 7.60 39.13 8.24 2.24 29.06
32 7.81 49.81 12.84 2.47 26.53
33 7.70 53.25 6.57 3.14 34.86
34 8.08 45.56 10.57 2.27 28.93
35 8.07 44.00 21.08 2.08 24.67
36 8.09 36.06 14.06 3.00 29.94
37 8.22 39.39 13.56 2.62 26.69
38 8.17 53.73 8.83 2.87 26.97
39 8.38 56.20 8.11 2.11 26.47
40 9.12 34.59 12.05 2.32 24.96
41 8.58 37.11 14.50 2.00 27.23
42 8.97 47.53 16.00 2.77 28.31
43 8.46 59.74 7.55 1.64 25.82
44 8.83 51.48 9.92 3.13 25.87
45 8.77 42.29 9.83 2.52 28.64
46 9.05 54.35 7.54 2.28 27.92
47 8.73 40.52 12.11 2.57 29.74
48 8.62 57.41 7.82 2.09 26.82
49 9.37 57.70 7.44 2.35 28.97
50 9.31 44.39 19.27 2.61 26.82
51 9.26 52.85 8.92 3.27 28.81
52 8.85 61.05 7.67 1.67 26.00
53 9.04 60.23 9.92 2.17 23.75
54 9.39 39.38 13.02 2.67 30.66
55 9.51 31.97 12.43 2.17 26.07
56 9.42 37.08 15.56 2.44 27.38
57 10.17 59.74 8.11 2.39 27.52
58 10.10 50.79 13.06 2.62 28.74
59 10.36 62.86 5.76 2.24 28.65
60 10.36 46.35 15.92 2.84 29.35
61 10.34 49.12 15.38 2.67 30.32
62 10.56 36.58 12.40 2.57 28.80
63 10.52 39.05 17.27 2.98 29.89
64 10.48 31.94 13.63 2.78 26.52
65 10.56 40.98 15.57 2.91 31.26
66 10.60 43.33 17.12 2.90 32.22
67 10.66 57.45 7.93 2.30 31.04
68 11.17 49.11 14.62 2.86 31.19
69 11.33 58.42 8.30 2.70 29.00
70 11.32 60.48 6.30 2.57 25.17
71 11.26 64.06 4.53 1.65 26.18
72 11.45 41.56 14.32 2.84 28.11
73 11.38 52.02 15.77 2.79 27.48
74 11.54 61.70 5.24 2.67 29.36
75 11.41 65.90 3.62 2.49 26.29
76 11.71 43.11 19.37 3.65 29.58
77 11.39 39.47 11.50 3.00 26.60
78 11.93 56.66 11.13 3.19 29.00
79 11.60 34.26 12.56 2.70 32.81
80 11.66 49.93 12.44 2.97 33.18
81 11.57 62.98 5.19 2.88 28.06
82 12.19 38.59 12.32 2.92 26.25
83 11.78 35.77 14.22 2.98 27.37
84 11.91 48.29 13.41 2.47 29.56
85 11.88 64.77 4.29 2.50 26.08
86 12.05 31.75 17.00 2.92 25.73
87 12.11 52.26 10.85 2.46 27.62
88 12.10 37.29 11.33 2.83 31.58
89 12.34 33.88 14.31 2.59 29.03
90 12.24 59.28 9.76 1.94 25.94
91 12.16 62.80 5.60 2.30 24.30
92 12.48 60.70 5.78 2.37 28.85
93 12.59 47.39 19.76 3.22 29.39
94 12.56 63.74 5.36 3.64 28.28
95 12.75 42.04 14.26 2.81 28.07
96 12.94 53.01 11.34 3.24 24.68
97 12.60 54.79 11.71 3.46 27.51
98 12.96 49.82 18.03 3.00 27.42
99 13.25 28.81 14.02 2.56 27.22
100 12.99 66.94 3.62 2.60 29.43
101 13.34 35.98 12.60 2.94 29.21
102 13.21 59.02 6.22 3.03 31.95
103 13.44 34.08 15.20 2.45 30.82
104 13.21 48.39 9.30 2.45 30.55
105 13.56 64.26 4.32 2.70 26.77
106 13.49 39.51 14.22 3.07 29.29
107 13.38 54.77 8.59 3.73 33.05
108 13.61 56.38 10.17 3.37 32.63
109 13.86 31.87 12.84 3.55 28.94
110 13.62 42.81 13.95 2.84 29.74
111 13.70 57.89 7.00 3.64 31.27
112 13.73 53.51 11.33 4.00 32.33
113 13.99 48.16 9.97 3.43 29.68
114 14.12 26.39 10.63 2.54 25.44
115 14.06 37.24 11.37 2.40 28.97
116 14.36 54.72 8.32 2.83 30.39
117 14.38 28.75 14.05 2.70 26.24
118 14.44 68.14 4.46 2.72 27.31
119 14.54 34.24 11.15 2.77 30.38
120 14.39 62.46 4.40 3.11 29.34
121 14.81 31.78 10.90 2.62 27.08
122 15.03 36.93 10.18 2.79 28.14
123 15.02 60.17 5.79 3.00 28.87
124 14.88 48.96 10.53 2.82 30.47
125 15.22 25.40 9.93 2.36 24.47
126 15.32 63.60 4.12 2.70 31.32
127 15.82 28.36 8.64 2.83 25.91
128 15.35 56.05 7.24 3.85 27.50
129 15.43 68.28 4.57 2.72 26.26
130 15.42 57.72 5.66 3.43 27.84
131 15.46 47.03 8.91 3.33 28.74
132 15.43 51.92 8.50 3.37 28.65
133 16.31 53.77 7.22 3.39 29.76
134 15.90 42.53 9.34 2.82 31.09
135 16.18 60.90 5.17 3.14 30.70
136 16.04 36.30 6.86 3.54 29.29
137 16.06 34.46 6.80 2.91 31.03
138 16.25 39.57 6.81 3.47 31.35
139 16.38 25.68 8.18 2.74 26.39
140 16.33 31.35 7.86 3.14 28.11
141 16.44 56.42 6.19 3.01 30.52
142 16.16 62.01 5.80 3.00 32.90
143 16.59 63.31 4.56 3.71 29.53
144 16.98 47.94 6.74 3.14 29.32
145 16.78 72.80 3.47 2.32 26.61
146 16.54 49.34 6.00 2.33 31.33
147 16.63 58.75 4.05 3.05 30.11
148 16.76 34.49 7.42 2.94 27.19
149 16.63 46.57 6.40 3.20 29.80
150 16.90 67.92 3.67 2.58 27.49
151 16.96 70.27 3.25 2.71 27.90
152 17.13 30.92 7.06 2.06 28.50
153 17.73 32.73 6.71 3.18 28.78
154 17.41 58.71 5.11 3.20 30.44
155 17.71 35.56 6.89 3.33 30.44
156 17.48 25.89 6.08 2.94 27.25
157 17.40 28.84 8.32 2.90 27.77
158 17.46 55.68 5.58 3.15 30.57
159 17.81 51.89 6.42 3.01 29.69
160 17.73 42.57 5.81 3.24 30.20
161 17.77 61.16 4.29 3.25 30.36
162 17.72 73.47 3.18 2.85 27.33
163 17.77 67.01 4.43 3.11 28.18
164 17.59 65.62 5.60 4.40 27.00
165 17.81 70.81 3.95 2.70 27.42
