#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge9 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 16.94 67.20 11.82 18.08 48.23
140 16.80 73.07 10.49 12.12 23.94
141 17.10 64.28 13.86 22.07 42.58
142 17.06 23.72 12.25 33.76 29.67
143 17.02 33.84 15.90 48.66 30.92
144 17.09 45.61 18.42 60.06 32.20
145 17.10 51.82 16.85 50.32 22.13
146 17.31 54.78 16.09 38.21 18.72
147 17.33 26.73 14.03 39.66 36.17
148 17.35 48.62 18.07 51.55 31.67
149 17.46 70.31 11.29 15.57 30.42
150 17.53 60.95 14.74 24.81 30.51
151 17.52 38.79 17.75 48.94 46.71
152 17.72 58.01 15.89 28.37 25.35
153 18.02 41.24 16.96 42.92 94.08
154 17.94 20.69 10.64 24.53 59.08
155 18.04 29.48 14.36 36.57 66.57
156 17.81 72.81 11.90 15.29 19.00
157 18.08 32.21 14.73 37.23 70.65
158 18.07 44.31 17.73 49.16 72.51
159 18.16 50.54 17.15 50.26 42.74
160 18.36 34.91 16.82 39.42 91.34
161 18.39 53.64 18.17 40.17 27.13
162 18.33 25.10 13.47 36.21 78.75
163 18.36 62.65 14.46 23.99 29.54
164 18.53 65.28 13.83 21.12 38.02
165 18.48 68.33 12.89 18.90 30.65
166 18.52 37.70 16.63 45.02 96.56
167 18.53 46.71 16.88 42.37 89.52
168 18.32 74.07 11.41 13.78 14.51
169 18.46 76.18 10.63 13.83 11.26
170 18.79 56.43 17.48 34.40 22.75
171 18.78 17.93 9.69 19.83 83.76
172 18.59 70.90 13.22 17.24 20.93
173 19.01 23.00 11.86 28.43 95.55
174 18.84 59.81 16.08 26.14 23.63
175 19.05 27.74 14.41 32.47 109.14
176 19.07 42.85 18.23 42.77 132.88
177 19.27 49.13 18.96 41.40 80.00
178 18.94 77.75 9.58 13.00 10.34
179 19.30 51.80 19.27 41.37 53.35
180 19.33 31.32 16.03 32.12 134.17
181 19.48 40.55 19.04 40.62 152.65
182 19.51 20.43 10.83 22.99 110.31
183 19.44 74.21 11.07 14.49 14.51
184 19.32 71.38 13.90 16.33 17.96
185 19.82 33.88 17.45 33.91 155.88
186 19.86 44.72 17.92 34.07 150.83
187 19.78 36.13 18.57 40.23 155.91
188 19.60 62.26 14.98 26.25 21.86
189 19.65 66.86 14.08 21.66 24.06
190 19.63 54.11 19.08 34.73 37.58
191 19.55 78.85 9.78 12.30 8.83
192 19.92 38.42 18.15 35.83 167.24
193 19.96 46.76 18.42 35.42 121.33
194 20.03 25.95 13.24 28.49 129.93
195 20.03 57.74 16.09 29.40 24.51
196 20.06 69.46 14.38 18.38 19.80
197 19.97 76.77 10.26 13.94 10.53
198 20.29 29.70 15.74 30.83 144.46
199 20.12 60.20 16.62 27.52 26.62
200 20.38 18.09 10.43 18.81 90.61
201 20.57 71.72 13.12 19.26 15.94
202 20.58 23.49 12.93 25.53 135.35
203 20.59 42.50 18.57 35.70 162.57
204 20.70 50.93 18.32 33.70 82.93
205 20.61 55.46 19.10 34.50 34.06
206 20.72 48.64 19.53 34.16 121.37
207 20.77 78.87 10.36 13.83 10.17
208 20.87 53.11 19.59 33.13 55.88
209 21.05 32.25 16.80 32.27 171.38
210 21.00 67.06 15.54 23.14 20.31
211 21.06 40.06 19.81 34.61 177.60
212 21.00 20.80 12.59 23.38 129.37
213 20.93 62.35 16.12 26.40 21.85
214 21.23 28.22 15.41 29.92 159.75
215 21.06 37.31 18.11 35.29 174.70
216 21.29 73.88 12.19 16.74 14.44
217 20.90 76.93 12.78 15.78 10.33
218 21.38 34.77 17.48 33.25 175.99
219 21.41 44.58 19.93 32.54 163.16
220 21.48 46.77 20.39 32.88 142.08
221 21.54 56.67 19.02 30.60 34.49
222 21.36 59.53 18.91 30.38 24.77
223 21.57 16.97 11.08 19.11 92.92
224 21.58 69.35 15.06 21.48 19.39
225 21.68 64.64 17.49 25.99 25.16
226 21.79 25.95 14.91 28.90 148.23
227 22.04 30.53 16.91 30.74 168.67
228 21.93 41.99 17.91 35.27 174.32
229 22.09 23.08 13.66 25.69 130.24
230 22.11 49.26 19.87 33.77 87.32
231 22.02 54.12 20.21 32.23 48.64
232 21.77 72.38 13.06 19.00 14.47
233 22.16 51.60 19.57 32.56 71.99
234 22.31 20.13 12.48 22.04 107.54
235 22.21 62.35 17.71 29.59 23.82
236 22.28 36.99 18.32 35.16 171.81
237 22.38 71.43 14.92 21.02 17.70
238 22.41 39.44 21.44 37.09 181.54
239 22.46 58.01 20.67 30.40 33.20
240 22.45 66.88 16.05 23.66 20.89
241 22.61 32.95 17.45 32.07 166.10
242 22.27 80.07 11.35 12.48 11.40
243 22.52 73.88 15.46 18.18 16.90
244 22.73 76.54 13.31 16.29 16.20
245 22.78 14.98 9.45 16.50 54.03
246 22.72 60.25 20.60 29.33 30.07
247 22.87 28.77 16.89 28.86 155.40
248 22.71 44.01 19.89 34.82 147.68
249 22.64 46.75 20.68 34.94 116.42
250 22.97 55.77 20.41 33.55 44.62
251 23.00 17.87 12.44 20.27 86.10
252 23.07 35.35 18.40 33.87 158.17
253 23.09 25.60 15.57 28.45 139.43
254 23.05 64.51 17.83 28.71 26.08
255 23.27 53.26 20.68 32.94 53.00
256 23.39 78.70 12.19 14.39 18.11
257 23.21 41.45 20.41 35.12 164.26
258 23.35 51.00 21.14 33.92 73.98
259 23.50 48.62 20.08 34.00 83.51
260 23.60 23.02 14.32 25.75 95.63
261 23.57 72.28 15.74 20.31 21.17
262 23.70 31.47 17.46 32.33 155.76
263 23.70 38.88 21.02 35.49 161.28
264 23.68 45.66 22.54 34.03 112.13
265 23.76 61.34 20.08 29.52 32.65
266 23.84 66.62 17.80 24.81 25.48
267 23.84 20.18 12.47 22.81 83.57
268 23.81 57.94 20.89 30.41 36.99
269 23.86 75.35 14.00 16.97 22.79
270 23.97 63.71 20.97 28.28 36.89
271 23.99 27.52 16.99 28.67 125.90
272 24.05 43.06 21.66 36.75 123.08
273 24.23 34.12 20.01 33.50 136.59
274 24.21 36.73 21.18 34.59 142.80
275 24.16 81.41 11.15 13.05 18.86
276 24.28 14.32 10.72 17.07 51.52
277 24.24 17.08 11.73 19.76 67.58
278 24.14 55.11 22.06 32.61 50.04
279 24.13 69.42 18.12 24.73 27.39
280 24.46 52.58 22.10 35.64 59.77
281 24.64 83.95 9.22 11.84 15.11
282 24.54 47.63 23.15 34.96 91.24
283 24.58 50.13 22.52 34.75 67.93
284 24.64 40.71 22.83 34.90 124.24
285 24.72 25.02 15.88 27.41 97.04
286 24.72 30.00 19.02 31.57 118.90
287 24.72 59.13 22.27 32.07 44.59
288 24.58 78.60 14.38 15.51 24.48
289 24.65 72.49 16.10 20.90 27.30
290 24.84 44.92 23.77 35.79 98.19
291 24.94 22.17 15.36 25.77 77.88
292 24.93 61.78 22.17 28.73 39.28
293 25.04 64.64 23.14 27.58 38.27
294 25.01 67.11 19.28 24.74 35.84
295 24.99 75.74 16.22 17.77 30.81
296 25.15 38.52 20.90 36.63 120.31
297 25.08 56.43 23.21 32.96 52.78
298 25.23 32.75 20.07 35.51 115.73
299 25.26 19.40 13.48 22.84 73.43
300 25.24 69.56 19.91 23.81 42.91
301 25.36 27.35 16.75 29.96 103.38
302 25.37 42.53 22.76 35.52 103.73
303 25.51 16.24 12.98 19.43 60.71
304 25.48 35.77 21.54 36.01 110.76
305 25.42 53.98 23.49 33.43 59.63
306 25.62 13.37 12.12 17.28 47.65
307 25.57 73.57 20.86 20.02 37.14
308 25.69 51.53 24.96 34.99 66.72
309 25.60 82.25 12.96 13.69 25.69
310 25.58 46.79 22.36 36.67 84.62
311 25.66 79.23 16.65 15.90 38.17
312 25.73 49.37 23.12 36.12 80.13
313 25.86 57.88 26.28 36.21 54.81
314 26.07 60.16 28.84 31.41 53.13
315 25.98 71.53 20.76 21.82 51.83
316 26.47 84.01 18.28 12.50 27.92
317 26.02 29.46 17.91 31.48 90.70
318 26.00 24.55 17.43 28.39 77.76
319 25.99 40.61 24.56 37.31 97.88
320 25.97 44.25 22.55 37.21 89.95
321 26.00 62.75 27.25 29.82 50.83
322 26.19 65.36 25.86 28.58 54.22
323 26.23 67.73 26.51 28.54 58.19
324 26.23 21.74 16.03 26.06 75.22
325 26.37 31.76 20.12 33.84 94.29
326 26.28 38.28 22.23 34.95 101.48
327 26.34 55.58 27.27 35.23 61.60
328 26.37 18.64 14.55 21.98 67.13
329 26.44 34.06 23.26 35.30 108.62
330 26.50 76.36 28.39 17.77 58.70
331 26.61 26.90 18.41 30.88 89.37
332 26.58 48.06 25.61 39.44 90.73
333 26.62 53.01 28.25 35.78 69.78
334 26.66 69.54 33.74 23.19 67.55
335 26.65 45.76 24.98 37.21 82.76
336 26.79 36.37 24.03 35.94 97.78
337 26.84 42.71 25.32 37.32 93.20
338 26.83 15.20 14.96 19.68 60.71
339 26.88 12.36 15.74 17.28 47.81
340 26.88 73.49 27.98 20.28 64.84
341 26.87 78.97 31.72 16.80 56.89
342 26.94 50.52 28.63 37.21 78.92
343 27.06 81.04 28.49 15.72 59.69
344 26.94 57.87 33.38 33.68 68.52
345 27.04 63.65 39.31 31.07 72.61
346 26.99 60.74 44.00 32.27 71.33
347 27.17 23.98 18.68 29.30 74.67
348 27.14 39.98 24.67 37.44 104.97
349 27.26 29.83 21.30 33.10 97.04
350 27.39 17.83 18.34 22.12 71.49
351 27.39 21.08 18.14 26.23 77.53
352 27.32 65.70 46.12 29.76 83.26
353 27.37 55.12 32.74 36.41 79.13
354 27.49 70.88 93.18 24.38 80.45
355 27.46 67.65 105.64 27.30 85.95
356 27.81 86.02 35.90 11.92 47.73
357 27.58 32.45 23.57 34.35 98.89
358 27.52 48.31 28.84 36.65 89.65
359 27.67 34.96 23.44 34.24 101.31
360 27.58 45.36 25.91 35.58 91.72
361 27.73 62.00 145.13 32.08 82.84
362 27.67 27.22 21.31 32.11 91.33
363 27.78 37.70 24.17 34.43 102.13
364 27.70 52.66 38.80 34.71 95.68
365 27.87 76.92 50.42 19.09 91.97
366 27.75 59.29 92.18 33.32 98.04
367 27.92 41.92 28.31 37.84 108.92
368 27.98 73.96 58.47 21.98 91.70
369 27.96 13.84 25.37 18.36 72.11
370 27.89 57.03 55.10 34.05 97.25
371 28.02 82.77 43.26 14.85 58.98
372 28.19 25.25 23.77 30.88 93.67
373 28.08 50.51 43.74 37.70 108.09
374 28.33 43.70 31.31 36.83 111.97
375 28.17 39.79 28.13 37.21 120.71
376 28.32 64.20 190.33 33.67 107.64
377 28.41 68.99 166.07 26.88 127.29
378 28.40 29.29 25.57 33.09 97.09
379 28.29 54.64 66.94 39.50 111.38
380 28.47 16.55 34.85 20.15 82.67
381 28.42 22.79 24.83 28.30 85.78
382 28.63 79.04 65.96 18.79 100.27
383 28.62 66.61 175.62 31.76 108.17
384 28.45 19.66 30.07 25.38 84.36
385 28.46 45.89 38.04 39.32 122.28
386 28.43 47.86 47.64 37.16 127.23
387 28.61 31.48 26.65 34.89 98.18
388 28.64 60.72 204.89 36.61 123.76
389 28.68 33.84 28.59 34.79 108.26
390 28.72 36.09 29.79 36.33 110.22
391 28.86 58.36 198.78 35.88 118.20
392 28.78 71.50 139.58 26.57 131.36
393 28.74 52.56 146.67 37.15 133.64
394 28.98 27.24 32.26 32.15 107.79
395 29.02 56.29 189.13 37.35 117.87
396 29.02 38.36 36.05 37.98 119.48
397 29.11 88.31 17.61 10.99 14.56
398 29.19 84.61 48.34 14.68 75.54
399 29.06 41.04 34.11 35.47 123.96
400 29.06 49.16 115.64 41.26 145.90
401 29.12 74.60 107.62 22.51 125.77
402 29.09 14.20 79.08 20.20 85.58
403 29.38 62.50 190.69 35.42 145.00
404 29.42 50.89 187.05 40.21 146.73
405 29.30 24.64 44.11 30.08 108.04
406 29.35 43.04 50.83 40.64 146.23
407 29.45 80.77 66.46 18.96 103.94
408 29.37 21.38 52.89 28.12 105.77
409 29.42 45.12 63.05 38.75 146.85
410 29.48 46.98 173.85 40.00 153.13
411 29.57 54.57 203.79 40.89 154.12
412 29.41 18.36 92.60 26.19 114.27
413 29.59 64.83 171.44 34.33 148.79
414 29.55 29.71 44.91 34.50 126.56
415 29.55 32.42 49.45 37.47 130.04
416 29.64 69.29 154.53 31.10 148.48
417 29.73 34.75 51.42 36.76 141.91
418 29.95 12.23 111.32 19.79 111.15
419 30.14 16.29 127.43 23.08 120.06
420 29.84 36.93 61.61 38.00 145.80
421 29.89 59.87 195.56 38.36 167.05
422 29.94 71.94 109.84 25.85 165.98
423 29.93 39.80 70.04 38.14 161.16
424 30.09 52.67 200.08 40.39 167.83
425 30.11 66.92 138.22 33.16 148.33
426 30.02 76.37 74.75 24.40 164.64
427 30.11 27.28 100.98 33.15 148.37
428 30.22 41.92 117.92 40.45 188.06
429 30.30 48.68 197.76 39.99 190.77
430 30.26 57.31 183.29 40.88 185.51
431 30.27 22.55 154.44 30.05 140.82
432 30.41 88.46 13.09 11.70 22.38
433 30.38 25.20 170.35 33.25 145.32
434 30.28 44.03 172.18 42.59 181.98
435 30.40 19.69 143.46 29.60 144.53
436 30.52 85.58 27.35 15.57 79.95
437 30.41 31.14 130.69 39.16 186.14
438 30.60 46.49 204.39 42.11 188.21
439 30.66 74.02 66.73 26.95 152.10
440 30.58 79.00 46.47 19.68 113.74
441 30.62 38.23 182.24 39.48 172.73
442 30.61 82.29 32.72 17.36 83.64
443 30.68 28.97 160.69 35.55 172.94
444 30.72 33.22 175.59 38.19 182.92
445 30.56 62.12 123.24 36.73 163.25
446 30.81 50.72 196.26 40.97 201.93
447 30.77 35.35 188.43 40.43 175.54
448 30.78 54.96 182.30 40.14 190.08
449 30.87 64.35 95.37 36.09 156.73
450 30.77 68.94 67.84 31.83 153.06
451 31.01 59.61 130.86 39.08 186.26
452 31.04 40.57 204.25 42.98 210.45
453 31.34 14.96 100.78 22.69 148.68
454 31.19 71.24 49.69 28.68 155.49
455 31.26 11.69 99.24 21.15 140.99
456 31.33 42.66 196.41 45.00 221.73
457 31.27 44.79 211.43 45.61 211.12
458 31.25 76.21 38.62 24.03 110.98
459 31.43 52.68 147.02 43.61 204.48
460 31.31 23.67 179.80 36.16 189.64
461 31.54 89.97 11.47 11.04 11.01
462 31.46 66.42 56.03 33.96 146.73
463 31.45 18.03 117.87 27.52 159.04
464 31.49 20.92 156.78 33.28 180.35
465 31.56 26.40 169.69 36.56 193.02
466 31.54 57.30 122.10 40.67 193.36
467 31.61 80.59 26.71 20.97 91.69
468 31.44 37.09 201.72 42.15 217.83
469 31.51 48.87 190.86 46.15 219.20
470 31.53 31.15 193.19 39.19 205.62
471 31.67 61.92 61.07 37.70 160.06
472 31.73 28.75 169.79 38.35 201.68
473 31.85 83.83 21.37 17.69 56.37
474 31.66 86.87 16.53 14.58 28.23
475 31.84 39.46 198.07 45.11 226.66
476 32.00 33.31 172.53 41.39 211.71
477 31.91 46.62 172.19 45.32 223.08
478 31.95 55.04 128.34 42.95 203.03
479 31.96 68.61 41.29 32.85 134.35
480 32.20 77.94 28.07 24.35 86.36
481 32.17 73.16 30.49 26.93 119.53
482 32.14 35.28 172.62 40.47 216.80
483 32.13 64.16 47.14 36.30 142.03
484 32.12 59.52 63.86 38.65 180.56
485 32.35 50.62 124.62 43.64 205.42
486 32.32 88.92 20.86 14.09 20.87
487 32.36 41.62 162.97 47.44 225.08
488 32.34 23.47 150.42 34.92 191.40
489 32.35 44.04 159.25 45.47 237.72
490 32.45 70.68 31.76 29.53 118.67
491 32.42 12.35 71.30 22.05 140.67
492 32.43 37.39 174.69 45.53 236.69
493 32.50 75.45 32.77 27.81 106.84
494 32.50 52.93 96.80 43.05 202.62
495 32.68 18.02 86.67 30.13 170.58
496 32.66 30.25 144.52 37.46 208.48
497 32.71 66.61 31.66 32.89 101.06
498 32.64 14.70 69.40 24.45 150.91
499 32.67 20.94 109.62 32.15 192.19
500 32.72 48.35 123.99 42.61 219.94
501 32.85 25.66 122.88 36.19 208.45
502 32.86 27.91 145.40 38.58 213.46
503 32.79 57.27 62.35 42.57 178.45
504 32.81 61.82 42.40 39.63 134.88
505 32.81 80.40 30.21 21.76 52.65
506 32.75 86.02 28.19 16.73 34.67
507 32.97 39.23 148.04 40.95 231.00
508 32.99 45.91 137.32 43.67 227.30
509 33.09 32.45 130.51 41.56 217.89
510 33.17 9.93 31.53 18.84 109.73
511 33.16 54.78 55.64 42.47 179.47
512 33.16 83.06 48.06 20.34 33.69
513 33.35 34.66 124.89 41.62 226.84
514 33.29 59.43 40.82 37.95 139.69
515 33.27 64.42 34.34 36.73 107.76
516 33.39 68.89 34.62 33.59 89.83
517 33.23 15.74 54.29 25.95 149.53
518 33.40 43.21 113.95 47.41 230.22
519 33.66 88.58 80.84 17.01 15.42
520 33.47 36.83 124.78 42.76 222.30
521 33.46 40.93 114.57 44.08 233.49
522 33.52 52.07 62.69 44.28 195.88
523 33.54 71.34 31.93 32.06 79.93
524 33.42 73.74 36.77 28.51 72.68
525 33.59 23.51 82.78 34.45 192.28
526 33.67 49.96 70.41 44.29 208.81
527 33.50 76.63 69.55 27.65 60.67
528 33.78 12.75 34.07 23.35 131.04
529 33.83 20.61 57.97 33.72 177.01
530 33.79 30.63 97.19 38.60 211.30
531 33.86 47.72 68.23 44.70 209.54
532 33.95 62.56 31.38 40.06 102.88
533 33.95 78.93 103.62 25.15 31.51
534 34.03 17.92 38.11 29.36 152.54
535 33.94 56.35 35.44 42.48 144.65
536 34.07 26.22 60.40 38.95 198.01
537 34.01 45.41 66.61 45.00 215.48
538 33.99 66.80 33.95 35.75 85.36
539 34.13 84.74 103.13 23.92 18.23
540 34.12 28.54 68.47 41.04 208.88
541 34.26 60.45 32.23 40.32 107.93
542 34.30 39.20 57.91 43.98 209.72
543 34.30 32.89 59.12 39.80 209.72
544 34.37 15.49 30.16 27.67 134.03
545 34.35 53.98 39.21 44.91 154.69
546 34.36 74.29 118.06 32.56 43.81
547 34.53 81.88 129.84 24.69 18.99
548 34.48 41.41 52.22 44.81 215.69
549 34.58 58.13 33.58 41.69 111.32
550 34.58 64.70 34.70 39.11 76.73
551 34.48 37.07 64.27 42.75 221.92
552 34.53 43.40 55.78 44.65 216.11
553 34.56 10.60 21.76 21.53 111.00
554 34.66 71.39 104.72 34.15 41.04
555 34.67 22.54 41.27 37.11 182.50
556 34.74 35.12 49.76 44.55 210.86
557 34.72 51.71 37.70 45.77 166.92
558 34.59 68.99 50.75 38.18 60.50
559 34.90 49.53 40.13 45.66 178.78
560 35.04 76.52 134.86 28.18 23.54
561 35.06 24.82 34.79 35.38 165.97
562 34.95 47.15 37.49 43.96 167.54
563 35.00 30.67 41.88 39.26 191.49
564 35.10 19.76 29.44 31.95 140.51
565 35.21 13.67 22.87 25.28 107.29
566 35.19 44.77 38.35 45.45 187.35
567 35.16 55.75 34.94 43.77 113.56
568 35.10 62.47 39.05 42.58 75.38
569 35.03 66.73 46.25 40.73 61.70
570 35.26 27.33 38.64 36.25 174.40
571 35.30 86.48 123.98 23.18 12.94
572 35.37 79.38 141.84 31.79 20.17
573 35.46 60.10 38.54 45.56 79.64
574 35.56 16.96 22.87 29.32 111.40
575 35.45 33.32 35.93 41.61 189.31
576 35.47 37.69 38.29 43.74 194.16
577 35.55 39.82 37.60 47.62 195.00
578 35.50 53.30 35.94 46.43 132.79
579 35.52 42.08 35.14 45.26 176.54
580 35.55 73.59 168.31 36.28 31.36
581 35.68 68.71 140.98 37.05 36.05
582 35.84 83.00 124.49 28.63 13.15
583 35.84 57.87 37.18 43.23 92.77
584 35.92 71.09 176.86 39.94 26.33
585 35.96 11.38 19.14 23.65 93.56
586 35.80 22.12 26.92 34.05 143.40
587 35.90 29.17 33.95 41.62 166.12
588 35.93 64.00 95.17 42.83 45.75
589 35.93 48.54 35.88 46.30 144.58
590 35.97 46.15 34.60 47.55 169.31
591 35.98 50.99 36.62 46.09 135.84
592 36.02 66.20 136.78 43.04 37.50
593 36.06 35.92 32.49 46.76 172.31
594 36.27 31.38 30.39 41.57 150.19
595 36.21 24.70 26.97 38.71 133.31
596 36.15 61.58 67.67 46.85 59.48
597 36.32 43.43 36.69 46.76 157.73
598 36.15 55.42 46.11 47.53 90.02
599 36.37 19.55 25.43 33.28 115.29
600 36.46 77.88 155.24 38.96 15.65
601 36.36 91.16 41.96 19.02 5.87
602 36.40 88.54 81.90 26.17 7.75
603 36.49 75.04 155.99 41.89 17.89
604 36.53 27.13 32.36 39.68 128.30
605 36.51 14.16 20.81 27.25 78.49
606 36.55 33.79 31.73 44.42 151.83
607 36.58 38.50 34.05 44.13 153.24
608 36.61 40.96 32.69 46.98 149.84
609 36.55 52.90 42.55 47.54 104.45
610 36.72 16.92 23.12 30.67 92.66
611 36.52 59.40 64.94 47.85 66.15
612 36.67 80.53 134.90 39.25 13.58
613 36.72 85.16 106.31 30.93 9.54
614 36.84 9.41 25.87 21.96 65.39
615 36.89 67.62 189.96 51.03 30.00
616 36.90 47.08 38.98 48.76 113.84
617 36.92 49.44 43.15 49.67 100.31
618 36.96 22.26 28.48 37.38 106.67
619 36.97 57.09 129.64 49.92 56.51
620 37.11 72.73 167.00 52.71 18.97
621 37.08 44.97 39.89 48.98 130.41
622 37.08 70.07 181.36 48.01 21.14
623 37.05 29.49 38.64 42.53 113.49
