#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf9 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 17.10 29.30 15.27 24.23 161.67
140 17.08 76.21 10.52 13.14 99.44
141 17.17 63.44 15.61 30.44 193.25
142 17.15 26.20 13.95 21.09 99.92
143 17.13 35.24 14.61 26.21 165.52
144 17.17 53.24 15.31 30.66 194.63
145 17.23 70.62 12.97 16.87 159.65
146 17.12 58.33 15.20 25.63 197.36
147 17.35 32.50 15.12 24.34 175.01
148 17.46 60.53 15.51 27.94 199.51
149 17.63 42.29 16.31 31.59 191.23
150 17.80 39.60 15.83 28.58 172.93
151 17.84 65.74 14.74 20.86 180.72
152 17.55 55.83 15.64 26.57 200.14
153 17.71 73.31 13.00 15.58 129.01
154 17.95 45.04 16.29 33.05 194.18
155 17.93 23.62 12.80 19.25 82.76
156 18.19 36.99 16.50 27.77 178.15
157 18.13 47.84 15.78 28.45 193.39
158 17.90 61.48 14.68 26.66 177.71
159 18.23 50.60 16.05 26.44 189.46
160 18.32 28.36 14.14 23.17 155.21
161 18.19 78.57 9.84 12.89 78.19
162 18.15 55.33 14.32 25.51 186.11
163 18.53 31.22 14.98 25.55 160.42
164 18.63 68.07 14.46 17.44 164.88
165 18.55 58.02 16.15 24.17 195.67
166 18.74 34.25 15.51 24.24 163.74
167 18.65 53.22 16.60 30.94 201.82
168 18.76 63.08 14.99 22.86 185.25
169 18.70 70.87 14.25 16.87 152.26
170 18.77 25.87 13.14 20.74 137.55
171 18.93 21.53 13.46 15.68 82.19
172 19.06 76.45 13.90 15.42 95.18
173 19.11 60.45 15.12 23.54 185.12
174 19.00 42.41 17.45 30.41 185.66
175 19.12 73.87 13.54 16.96 142.08
176 19.41 55.89 17.38 26.60 188.77
177 19.30 45.82 17.36 27.60 201.56
178 19.43 39.34 15.94 24.78 172.66
179 19.39 65.35 14.85 21.79 191.97
180 19.61 48.59 16.15 26.51 190.53
181 19.61 79.47 12.40 14.13 82.45
182 19.78 29.53 15.23 19.48 164.90
183 19.69 36.49 14.98 23.53 184.95
184 19.84 23.82 13.36 17.51 129.45
185 19.87 51.05 16.28 27.67 201.44
186 19.80 32.43 17.15 22.03 184.10
187 20.09 26.81 14.98 19.40 175.72
188 20.09 69.38 15.46 17.81 159.46
189 20.12 71.96 14.87 17.37 144.80
190 20.13 53.68 17.03 28.20 196.60
191 20.26 58.53 16.92 22.36 191.19
192 20.20 43.61 16.29 26.78 207.15
193 20.22 20.39 12.89 15.80 78.73
194 20.28 61.97 15.76 21.18 193.07
195 20.41 67.02 15.32 19.79 167.52
196 20.45 74.65 13.81 15.79 118.01
197 20.63 41.16 16.98 23.70 207.84
198 20.61 77.64 13.36 15.01 112.29
199 20.87 34.37 15.30 23.57 180.92
200 20.77 46.48 18.14 24.63 191.76
201 20.73 64.44 15.16 20.43 186.35
202 21.11 37.06 16.24 24.16 185.20
203 20.90 56.32 18.45 24.19 203.90
204 21.12 31.19 14.87 21.02 173.74
205 20.97 22.40 14.58 17.84 141.62
206 21.08 80.32 13.34 13.98 86.18
207 21.23 49.13 17.98 23.38 180.76
208 21.47 25.33 14.15 18.25 171.46
209 21.39 28.29 15.25 19.75 178.75
210 21.50 39.41 16.48 23.38 205.45
211 21.36 52.62 16.72 24.68 202.07
212 21.16 54.93 15.43 23.51 166.27
213 21.45 60.40 16.43 23.99 188.42
214 21.22 71.05 17.83 15.77 137.77
215 21.52 72.19 16.86 16.65 124.82
216 21.55 68.82 16.01 18.02 156.43
217 21.63 43.61 17.58 24.63 199.67
218 21.63 75.19 14.06 15.65 121.70
219 21.93 57.81 16.74 23.68 200.46
220 21.94 20.02 13.15 16.09 130.61
221 21.97 62.86 14.54 19.66 184.89
222 21.67 23.03 13.46 16.30 135.56
223 21.93 65.89 16.38 20.42 162.90
224 22.26 50.67 19.10 25.31 208.65
225 22.15 78.12 14.52 15.67 104.91
226 22.18 81.53 13.37 12.31 65.61
227 22.32 32.77 15.61 21.11 192.53
228 22.26 46.38 18.51 24.09 204.54
229 22.56 35.27 16.78 23.16 198.29
230 22.55 41.21 19.23 25.31 212.72
231 22.42 55.13 18.00 24.92 191.97
232 22.68 29.98 15.91 20.12 188.06
233 22.68 37.89 16.79 23.10 198.78
234 22.62 73.07 16.08 17.34 125.73
235 22.71 70.45 15.91 17.87 138.13
236 22.89 26.76 15.49 18.60 176.86
237 22.80 23.36 14.69 17.72 151.85
238 23.10 48.54 18.34 25.69 212.76
239 22.95 52.88 18.30 25.15 213.16
240 22.90 59.60 17.85 23.47 186.08
241 22.87 67.86 16.87 18.91 164.61
242 22.92 75.59 16.62 16.02 120.48
243 23.11 44.03 17.91 25.71 216.83
244 23.14 63.69 17.88 21.60 179.71
245 23.11 79.81 16.27 15.10 85.43
246 23.48 56.85 19.35 23.19 203.73
247 23.32 82.39 17.57 13.76 66.03
248 23.39 19.37 13.13 14.94 122.36
249 23.71 61.34 18.94 22.05 188.14
250 23.65 65.71 17.27 21.98 173.91
251 23.64 77.78 18.62 15.17 105.04
252 23.94 39.32 17.84 23.09 200.44
253 23.79 50.89 19.31 24.58 208.07
254 23.81 33.00 15.98 21.18 185.74
255 23.90 46.33 20.33 26.36 208.46
256 23.86 72.62 19.06 16.46 135.34
257 23.94 41.93 18.44 24.90 219.36
258 23.91 29.29 16.01 20.47 191.40
259 23.94 36.34 16.66 23.23 204.98
260 24.06 54.14 19.10 23.72 209.33
261 23.97 69.89 17.54 19.90 150.85
262 24.01 22.84 13.76 17.51 172.56
