#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim15 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.50 48.79 27.20 7.13 33.98
1 2.64 43.56 27.89 7.47 33.34
2 3.41 45.92 30.84 7.82 49.78
3 3.11 42.30 31.79 7.85 36.41
4 3.60 50.88 31.71 7.92 22.86
5 3.92 54.42 27.84 7.65 14.05
6 4.31 42.44 34.72 11.66 95.15
7 4.58 48.81 32.66 9.19 79.35
8 4.71 39.49 36.51 9.69 104.40
9 4.93 45.59 34.60 10.41 121.03
10 5.12 52.10 34.04 9.87 27.54
11 5.71 54.86 32.72 10.62 16.86
12 5.74 36.68 31.00 11.53 115.08
13 5.73 58.51 25.78 5.00 14.25
14 6.02 42.97 37.51 11.46 117.85
15 6.07 39.80 37.06 13.09 128.63
16 6.24 49.51 38.19 11.30 80.68
17 6.32 46.32 37.94 13.11 114.51
18 6.51 57.53 31.90 9.36 15.17
19 6.67 34.08 31.95 10.99 101.38
20 6.54 52.38 41.01 11.35 69.40
21 6.84 60.89 29.32 7.70 12.64
22 7.13 37.43 37.49 15.98 143.53
23 7.39 40.86 40.08 16.01 138.09
24 7.10 55.47 39.50 11.97 31.21
25 7.24 52.83 32.73 10.81 64.71
26 7.66 44.03 42.69 17.39 130.45
27 7.90 46.67 41.40 16.54 127.84
28 7.88 32.00 31.13 15.27 89.94
29 7.86 49.49 40.38 15.47 101.67
30 7.88 55.45 38.06 16.33 31.03
31 8.18 35.29 35.77 16.44 119.84
32 8.19 58.36 36.53 10.23 16.26
33 8.69 51.63 35.47 14.98 87.33
34 8.62 38.81 41.43 17.12 92.79
35 8.70 61.34 32.32 8.66 13.47
36 8.78 42.02 43.96 17.80 103.97
37 8.92 29.37 27.72 15.48 34.21
38 8.80 54.12 41.77 14.47 52.84
39 9.25 33.23 38.19 23.66 50.57
40 9.07 47.62 40.88 15.06 94.03
41 9.30 45.32 40.91 17.06 91.61
42 9.49 36.85 41.41 24.45 48.59
43 9.77 48.71 38.80 15.85 79.03
44 9.65 56.28 36.75 14.86 24.40
45 9.84 58.59 38.99 10.15 15.40
46 9.56 67.34 26.51 4.63 18.37
47 9.54 53.34 37.14 16.67 42.22
48 9.78 64.26 32.39 6.64 15.49
49 10.00 30.28 37.68 19.93 22.39
50 9.89 44.02 36.92 18.27 92.58
51 9.81 39.99 39.31 19.83 52.34
52 9.84 27.43 25.44 16.09 21.91
53 9.98 61.36 37.66 7.89 15.68
54 10.18 41.56 44.27 24.67 57.58
55 10.65 33.07 44.89 26.14 19.86
56 10.30 66.14 34.17 6.62 18.21
57 10.37 36.12 46.36 29.18 21.72
58 10.20 26.57 32.75 12.50 18.50
59 10.80 38.87 48.30 26.15 22.19
60 10.69 54.56 40.43 17.16 28.17
61 10.69 52.21 43.77 16.92 28.71
62 10.78 46.05 45.62 36.51 46.39
63 10.69 61.85 36.37 6.44 15.74
64 11.20 68.10 29.04 5.18 75.07
65 10.90 27.66 33.75 16.73 17.04
66 11.19 63.90 42.26 9.05 16.81
67 11.18 42.82 44.51 30.85 23.89
68 11.51 56.58 40.95 15.38 18.96
69 11.51 30.92 42.68 23.41 16.83
70 11.53 48.18 49.66 35.78 20.76
71 11.20 29.53 42.26 22.89 17.53
72 11.74 60.59 40.74 11.54 18.13
73 11.90 27.89 34.15 18.92 16.13
74 12.07 36.86 45.45 31.77 19.59
75 12.19 53.76 45.53 21.67 22.30
76 12.05 50.75 48.38 35.50 20.27
77 12.20 39.48 51.34 33.59 21.59
78 12.34 45.32 49.63 42.15 22.02
79 12.07 65.34 35.64 8.27 52.91
80 12.28 33.11 47.40 26.34 19.04
81 12.61 72.59 23.46 3.66 98.41
82 12.63 42.31 48.99 51.41 22.77
83 12.63 68.80 30.46 5.52 101.74
84 12.77 58.08 41.00 12.64 19.46
85 12.87 30.06 49.00 31.94 16.91
86 13.10 63.41 39.86 7.77 43.08
87 13.15 48.17 52.26 45.02 22.86
88 13.16 26.51 33.13 17.18 16.07
89 13.32 60.92 46.86 13.03 25.22
90 13.60 38.10 50.73 38.76 20.75
91 13.39 51.50 48.49 30.72 24.03
92 13.47 35.11 49.86 32.64 18.64
93 13.69 66.35 38.03 7.54 89.28
94 14.00 31.92 50.39 27.27 19.25
95 13.83 43.45 51.42 53.08 23.21
96 13.69 55.36 46.44 26.50 22.22
97 13.92 70.34 34.78 5.80 118.03
98 14.35 46.29 52.27 58.22 33.52
99 14.25 73.51 26.04 3.57 86.11
100 14.09 23.71 30.55 15.85 15.40
101 14.35 25.05 35.92 21.45 17.73
102 14.37 28.77 43.48 22.19 19.44
103 14.67 52.80 50.68 33.68 30.29
104 14.32 40.36 48.24 29.00 23.91
105 14.28 49.46 52.31 37.06 29.53
106 14.55 58.58 48.49 27.30 24.33
107 14.79 61.35 47.36 14.60 29.58
108 14.67 64.24 41.95 7.95 40.83
109 14.86 35.24 49.30 38.52 23.89
110 14.93 76.64 22.81 3.04 62.35
111 14.98 55.80 48.94 29.54 31.23
112 15.15 67.57 38.03 6.70 97.05
113 15.16 42.28 50.15 44.39 34.72
114 15.32 38.30 52.21 44.74 31.68
115 14.97 49.76 56.10 47.79 32.86
116 15.46 71.11 36.44 5.62 100.86
117 15.33 26.12 40.69 23.19 21.46
118 15.48 32.30 51.14 32.01 24.95
119 15.52 75.01 32.64 4.12 86.08
120 15.64 45.05 53.92 47.78 71.75
121 15.76 29.61 51.64 33.73 24.32
122 15.75 48.07 59.73 64.58 64.58
123 15.99 58.18 49.92 18.96 34.83
124 15.54 64.03 44.50 7.50 28.38
125 16.09 51.11 52.43 48.60 59.62
126 16.16 63.24 44.19 10.86 28.26
127 15.95 73.53 31.62 5.56 85.46
128 16.14 40.25 58.95 61.49 64.09
129 16.16 54.63 51.10 33.15 44.21
130 15.97 61.00 47.59 10.33 33.74
131 16.30 65.80 50.02 7.97 35.19
132 16.41 35.34 54.89 47.39 40.46
133 16.16 32.89 51.42 33.33 27.00
134 16.58 25.32 43.24 25.47 25.53
135 16.75 43.11 46.95 46.73 134.55
136 16.66 68.50 39.73 7.31 65.75
137 16.92 46.04 50.93 41.26 170.09
138 16.81 75.49 28.47 4.52 47.15
139 16.95 30.76 52.81 40.67 34.68
140 16.73 60.83 51.08 13.48 35.04
141 17.07 27.93 48.24 32.88 36.84
142 16.96 71.77 36.24 5.75 79.96
143 17.29 37.72 48.27 34.87 130.65
144 17.26 48.75 50.83 40.15 183.08
145 17.14 22.30 32.70 22.28 34.48
146 17.24 78.19 24.19 3.30 48.94
147 17.33 53.09 52.44 34.29 91.07
148 17.29 33.13 50.24 40.10 48.81
149 17.52 56.21 50.08 28.25 61.39
150 17.46 40.59 54.29 43.74 188.31
151 17.67 59.00 52.34 13.10 50.22
152 17.64 62.45 46.29 9.10 35.47
153 17.65 65.86 47.29 7.55 39.83
154 18.09 51.02 50.46 23.66 167.90
155 17.78 25.58 44.65 34.13 57.58
156 18.04 73.37 40.97 6.27 46.72
157 18.06 34.92 51.63 46.87 108.52
158 17.73 63.87 44.80 8.30 35.60
159 18.16 69.33 37.45 7.47 62.29
160 18.38 43.11 48.15 23.49 189.09
161 18.18 29.78 51.75 27.27 72.05
162 18.27 45.95 50.06 21.17 190.94
163 18.50 18.13 19.94 9.05 61.48
164 18.52 23.28 40.43 28.31 93.45
165 18.28 77.03 33.25 4.67 52.75
