#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl16 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.24 40.97 7.38 2.00 25.34
1 2.34 37.88 7.15 2.01 26.16
2 2.17 44.82 7.36 2.32 23.64
3 2.19 39.36 8.06 1.68 23.97
4 2.66 36.21 10.22 2.14 26.03
5 2.72 34.99 7.13 1.66 26.26
6 3.23 39.30 8.77 2.50 28.44
7 3.25 43.67 10.13 2.22 30.16
8 3.31 41.55 9.85 2.61 26.11
9 3.58 47.05 10.81 2.25 29.30
10 3.40 48.66 8.45 2.21 25.00
11 3.48 35.35 9.57 2.17 27.20
12 3.87 50.18 6.95 2.26 21.61
13 3.82 36.82 10.73 2.53 27.04
14 3.94 34.36 11.97 2.26 27.85
15 4.05 40.72 10.56 2.86 29.61
16 4.15 32.70 10.41 2.02 24.63
17 4.09 51.55 7.96 1.89 23.53
18 4.15 39.12 14.14 3.09 27.74
19 4.09 46.58 13.59 2.35 29.06
20 4.34 44.92 14.62 2.88 30.75
21 4.56 36.80 13.30 2.36 26.38
22 4.69 45.87 13.39 2.80 31.02
23 4.55 41.60 14.60 3.30 35.20
24 4.60 52.09 7.75 2.31 23.88
25 4.85 33.67 10.40 2.27 27.98
26 4.82 38.37 13.24 2.48 28.55
27 4.88 39.92 22.05 2.62 23.10
28 4.75 50.89 9.54 1.92 28.31
29 4.83 44.17 17.22 2.94 30.17
30 5.13 42.34 14.93 3.72 29.75
31 5.34 51.57 9.21 2.62 27.86
32 5.33 44.69 19.68 3.04 24.60
33 5.35 46.57 12.73 3.77 30.50
34 5.56 54.73 7.65 2.27 25.77
35 5.71 50.42 10.31 3.21 29.82
36 5.79 29.75 11.45 2.41 27.36
37 5.88 35.88 15.75 2.81 30.39
38 5.67 39.95 18.59 3.86 31.41
39 5.70 47.52 18.74 2.91 28.60
40 5.69 49.10 12.57 2.86 28.35
41 5.66 53.21 12.23 2.49 26.98
42 5.84 38.54 17.35 2.92 30.68
43 6.10 45.84 17.64 3.33 28.09
44 6.17 54.36 9.76 2.61 28.55
45 6.33 42.17 28.61 3.24 23.29
46 6.26 52.90 13.86 2.91 28.91
47 6.44 44.22 17.63 3.55 30.34
48 6.36 39.82 24.75 3.78 27.53
49 6.37 50.98 15.63 3.48 28.33
50 6.42 30.23 12.95 2.48 26.69
51 6.41 49.14 16.43 2.83 30.45
52 6.50 37.99 13.23 3.38 31.72
53 6.45 36.56 18.62 2.31 31.85
54 6.83 52.29 12.03 3.09 29.68
55 7.26 49.86 17.81 3.47 29.86
56 6.86 53.91 12.56 2.59 29.24
57 6.91 36.30 33.40 2.80 22.73
58 7.00 45.89 28.71 3.74 27.53
59 7.26 58.51 7.42 1.96 24.11
60 7.35 36.99 32.23 2.89 25.08
61 7.61 43.22 35.04 3.57 27.33
62 7.35 41.81 24.34 3.06 32.69
63 7.53 27.38 11.18 2.18 30.13
64 7.55 33.69 29.73 2.54 23.38
65 7.88 40.28 34.78 3.68 24.67
66 7.79 29.75 13.14 2.42 29.51
67 7.79 46.86 23.24 3.78 30.69
68 7.66 38.42 22.68 3.00 31.56
69 7.66 28.57 12.33 2.56 29.78
70 8.01 34.64 33.10 3.58 23.18
71 8.04 57.23 10.20 3.35 29.33
72 8.48 27.58 12.93 2.45 27.88
73 8.40 45.45 33.98 3.76 26.07
74 8.78 37.02 34.44 3.35 26.59
75 8.76 59.70 8.90 3.02 28.66
76 8.85 50.52 18.38 3.49 32.13
77 8.62 44.13 33.00 4.95 29.16
78 8.80 48.44 33.90 3.92 22.26
79 9.10 42.36 41.31 4.14 26.35
80 8.85 54.75 11.83 3.66 31.14
81 9.15 52.04 17.43 3.63 26.96
82 9.04 57.87 12.00 3.26 29.49
83 9.06 32.28 31.45 3.89 25.11
84 9.14 26.44 13.52 2.33 28.36
85 9.09 30.33 17.15 3.07 28.25
86 9.14 39.70 37.90 3.82 26.85
87 9.02 25.17 11.68 2.11 29.32
88 9.02 44.87 33.14 4.31 29.38
89 9.18 61.71 6.85 2.59 24.31
90 9.25 53.21 11.72 3.56 31.22
91 9.63 34.81 37.28 3.77 25.18
92 9.42 53.95 16.50 4.33 25.67
93 9.59 25.66 11.73 2.31 29.00
94 9.70 60.29 8.11 3.11 29.89
95 9.82 43.30 36.70 3.36 27.89
96 9.75 57.77 11.32 3.30 29.46
97 10.17 54.65 15.08 4.09 32.30
98 10.02 63.44 7.30 3.02 24.56
99 9.94 24.78 13.64 2.39 27.89
100 10.11 45.80 35.89 4.39 25.27
101 10.55 37.56 39.88 3.71 26.53
102 10.28 59.08 8.78 3.37 30.96
103 10.59 60.74 8.79 3.35 29.36
104 10.69 40.91 40.32 4.11 30.19
105 10.35 52.46 18.52 4.03 28.70
106 10.66 32.20 38.46 3.86 26.61
107 10.24 29.95 30.27 2.93 23.53
108 10.40 57.48 10.26 3.36 29.69
109 10.48 62.36 8.53 3.06 26.06
110 10.68 24.19 13.27 2.02 27.03
111 10.64 29.11 24.58 3.56 28.36
112 11.18 44.01 33.00 4.37 30.01
113 10.81 25.89 15.67 2.48 27.83
114 10.82 63.94 6.56 2.91 22.94
115 11.05 53.84 17.55 3.87 30.39
116 11.27 34.72 35.15 3.42 24.50
117 11.34 30.16 18.36 2.64 30.73
118 11.38 23.23 12.96 2.30 27.45
119 11.52 58.77 9.97 4.30 32.45
120 11.62 56.09 10.18 3.68 29.71
121 11.39 25.87 24.35 3.22 28.52
122 11.89 28.47 36.01 3.52 24.44
123 11.54 39.11 32.41 4.26 26.67
124 11.64 47.25 33.70 4.28 27.36
125 11.55 63.23 7.08 3.47 28.58
126 11.81 52.71 14.38 3.68 30.75
127 11.98 60.96 8.87 3.40 31.04
128 11.71 57.47 10.45 3.27 28.45
129 11.93 64.46 8.04 3.11 26.98
130 11.96 41.95 34.32 5.07 25.13
131 11.82 26.43 25.16 3.84 33.10
132 12.12 21.60 13.94 2.29 26.38
133 11.90 62.31 9.50 3.50 30.75
134 12.00 36.13 36.58 3.52 23.33
135 12.07 45.63 25.90 3.58 29.42
136 12.13 39.68 30.75 4.25 28.16
137 12.31 48.85 18.98 3.91 33.11
138 12.40 32.06 26.84 4.04 28.20
139 12.33 34.50 21.02 4.00 33.64
140 12.51 55.79 10.92 4.19 31.44
141 12.36 40.69 18.70 3.70 32.50
142 12.63 58.37 9.90 4.11 28.27
143 12.48 62.64 8.60 4.04 27.75
144 12.74 36.73 30.71 4.20 27.04
145 12.54 42.25 35.28 5.00 26.17
146 12.64 65.60 7.28 2.93 26.44
147 12.78 52.96 14.16 3.50 30.29
148 12.71 54.11 13.65 4.28 29.58
149 12.85 44.54 26.90 4.88 32.05
150 13.07 23.72 28.32 2.82 25.54
151 12.81 40.04 13.62 3.94 31.56
152 13.01 60.36 9.26 4.26 29.74
153 13.16 30.40 22.19 3.67 28.97
154 13.05 47.83 19.81 3.64 30.72
155 13.23 55.20 11.59 3.91 29.39
156 13.05 61.49 7.46 4.15 31.23
157 13.23 34.33 28.51 4.62 27.11
158 13.29 42.32 15.48 4.09 33.86
159 13.09 43.51 13.50 4.10 36.00
160 13.31 57.62 10.48 4.17 27.26
161 13.28 28.71 27.17 3.83 25.17
162 13.27 63.28 8.46 3.80 29.31
163 13.33 65.97 8.17 3.25 28.52
164 13.40 32.58 16.25 3.74 31.61
165 13.57 39.49 18.85 4.10 30.19
