#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf6 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 16.76 60.15 18.84 27.10 141.50
140 16.79 68.70 15.95 13.97 112.40
141 16.90 71.76 15.99 13.19 93.67
142 17.13 46.19 16.48 38.59 133.74
143 17.17 55.31 17.90 38.63 157.71
144 17.13 49.07 19.18 46.95 141.96
145 17.19 52.02 17.39 36.65 143.58
146 17.34 38.48 16.41 45.06 115.37
147 17.62 57.84 16.34 33.16 144.12
148 17.64 62.32 17.45 22.10 129.63
149 17.53 74.63 14.65 13.31 86.72
150 17.63 21.80 12.15 33.23 35.12
151 17.73 35.27 17.76 48.29 115.68
152 17.70 41.41 18.06 36.28 107.31
153 18.02 64.60 16.29 15.53 110.43
154 17.63 24.65 14.14 38.85 57.85
155 17.85 29.28 15.82 42.71 98.36
156 17.75 31.95 16.16 39.72 97.65
157 17.83 66.88 16.43 14.08 99.28
158 18.12 44.13 16.44 36.68 102.60
159 18.21 69.33 16.29 14.05 104.40
160 18.41 50.09 18.17 33.64 119.23
161 18.47 26.67 16.54 42.49 90.12
162 18.56 60.06 17.93 22.85 125.31
163 18.48 71.86 16.76 13.70 99.10
164 18.44 76.63 15.82 12.40 57.96
165 18.56 47.52 16.78 29.69 123.48
166 18.56 52.67 18.03 35.38 138.10
167 18.55 37.62 17.42 44.83 111.66
168 18.65 55.46 19.23 35.01 149.04
169 18.75 23.37 13.29 28.57 57.00
170 18.88 33.15 18.36 44.19 118.07
171 19.00 40.38 18.87 41.92 115.48
172 19.06 20.80 12.46 29.43 34.63
173 18.94 74.03 17.20 12.88 77.42
174 19.22 62.28 16.79 16.71 109.75
175 19.26 30.47 15.95 34.82 115.65
176 19.33 57.84 18.93 27.35 137.41
177 19.34 45.42 18.20 33.79 119.86
178 19.28 67.07 16.27 13.99 85.56
179 19.50 78.41 14.98 12.06 69.16
180 19.55 42.70 17.65 34.98 126.70
181 19.63 35.35 17.46 35.29 124.39
182 19.68 64.64 17.10 16.05 107.17
183 19.75 25.19 15.57 33.63 97.15
184 19.73 27.88 16.89 34.74 111.64
185 19.64 69.81 17.48 12.97 84.38
186 19.89 50.72 18.74 26.10 130.14
187 19.80 53.39 17.50 25.42 147.34
188 19.92 75.46 15.89 12.81 77.76
189 19.81 38.16 19.17 36.73 108.50
190 20.17 72.31 16.12 12.53 88.91
191 20.15 48.18 19.56 24.85 142.30
192 20.12 22.43 14.01 27.46 63.80
193 20.33 59.99 17.96 17.70 117.06
194 20.33 19.48 13.78 30.82 47.28
195 20.32 55.61 18.49 22.12 142.43
196 20.45 32.79 17.66 32.36 131.70
197 20.61 40.19 17.38 29.74 124.13
198 20.77 29.91 17.40 36.83 128.64
199 20.63 67.94 18.38 14.43 94.66
200 20.60 45.39 19.37 24.53 133.93
201 20.71 62.40 16.76 16.00 104.73
202 20.97 57.71 18.66 20.54 133.95
203 20.97 36.90 18.06 24.87 107.82
204 21.13 42.64 19.03 27.33 132.79
205 21.04 65.38 17.69 14.85 97.23
206 20.83 79.82 14.28 11.27 34.05
207 21.18 24.54 17.17 31.31 112.43
208 21.16 77.18 16.86 12.43 78.48
209 21.18 27.37 17.75 30.05 128.50
210 21.18 53.04 18.52 23.81 145.53
211 21.22 74.26 18.11 12.37 76.77
212 21.34 70.28 18.48 13.09 74.21
213 21.39 50.35 18.83 24.76 125.90
214 21.55 21.71 15.48 32.09 99.92
215 21.65 34.40 18.46 30.47 133.84
216 21.64 47.45 18.70 21.90 147.71
217 21.70 19.20 14.60 29.30 54.45
218 21.87 55.62 19.51 18.70 120.97
219 22.11 31.60 16.36 23.80 128.06
220 21.96 44.65 20.27 25.85 132.48
221 22.02 60.81 20.50 17.02 117.94
222 21.97 40.12 19.16 26.80 158.99
223 21.93 63.37 19.42 15.22 109.30
224 22.10 72.30 18.61 13.00 64.58
225 22.06 67.62 18.79 15.06 92.60
226 22.17 58.47 18.59 17.79 119.21
227 22.17 78.70 18.16 12.04 73.03
228 22.30 37.12 20.17 26.53 140.83
229 22.56 28.91 17.44 26.23 132.22
230 22.61 26.26 17.15 30.02 118.46
231 22.80 23.36 15.97 27.89 127.56
232 22.61 53.60 18.26 20.32 146.14
233 22.57 74.77 18.15 12.29 74.46
234 22.81 48.74 21.25 23.61 146.42
235 22.76 51.13 20.10 20.45 129.50
236 22.77 65.26 20.57 15.80 99.12
237 22.94 42.83 19.93 23.12 148.16
238 22.81 69.84 17.83 13.81 74.89
239 23.06 20.48 15.46 24.86 99.29
240 23.07 34.02 18.15 25.53 146.68
241 23.16 45.95 20.59 21.76 141.30
242 23.17 56.59 20.03 17.78 123.55
243 23.27 39.84 19.81 26.76 151.31
244 23.19 62.42 21.13 16.11 104.64
245 23.29 80.10 18.19 10.94 69.75
246 23.37 77.01 19.97 12.78 81.27
247 23.43 59.74 19.79 17.23 101.33
248 23.51 72.00 18.02 12.84 73.77
249 23.53 67.29 19.43 15.00 93.41
250 23.57 37.22 19.30 24.64 158.26
251 23.72 31.01 18.33 26.00 155.53
252 23.97 82.40 18.50 9.80 47.75
253 23.88 54.03 21.38 18.62 128.49
254 23.92 74.32 20.52 13.03 74.56
255 24.09 25.13 16.39 21.83 133.93
256 24.16 27.95 17.54 23.74 141.85
257 24.00 51.32 19.78 19.07 125.78
258 24.03 64.47 21.16 16.01 96.97
259 24.03 48.39 21.91 20.70 117.91
260 24.09 69.51 23.20 14.07 92.43
261 24.28 41.54 18.38 23.42 137.07
262 24.24 57.91 20.40 17.85 124.01
263 24.18 18.92 15.10 20.46 72.53
264 24.30 44.93 19.99 21.41 123.47
265 24.47 22.27 16.74 21.97 120.14
266 24.35 35.12 19.00 25.68 148.33
267 24.46 61.53 21.18 16.52 97.04
268 24.87 32.83 17.56 22.40 123.00
269 24.71 55.44 20.68 17.65 122.28
270 24.69 79.79 25.52 12.20 70.74
271 24.85 38.61 21.34 23.60 134.24
272 24.65 76.95 29.65 13.91 91.49
273 24.86 66.49 23.38 14.35 94.48
274 24.91 71.70 24.46 12.54 82.71
275 25.18 30.23 17.52 23.61 134.27
276 25.20 47.24 21.23 20.85 130.86
277 25.17 43.16 21.30 22.80 131.65
278 25.18 49.75 21.17 19.73 116.99
279 25.15 52.37 19.60 17.64 96.97
280 25.21 59.51 21.87 16.40 111.33
281 25.19 63.50 22.92 15.68 105.89
282 25.04 74.13 32.75 13.07 81.21
283 25.31 16.65 14.40 19.51 72.12
284 25.23 69.12 28.76 14.30 94.61
285 25.39 19.86 16.04 20.79 121.90
286 25.41 25.59 17.72 21.95 121.86
287 25.47 81.42 26.90 10.77 48.27
288 25.59 35.73 19.47 22.95 141.64
289 25.68 56.99 21.60 17.86 112.16
290 25.76 41.04 20.24 24.34 119.41
291 25.83 44.92 21.49 21.45 137.22
292 25.94 27.84 18.30 22.61 125.36
293 25.92 54.37 22.02 18.74 112.35
294 25.93 23.12 16.73 20.89 121.51
295 25.87 78.09 88.89 12.36 75.04
296 26.01 61.37 24.94 16.35 98.72
297 25.92 75.32 117.34 12.69 62.50
298 25.98 64.72 37.95 15.65 96.15
299 26.22 72.15 147.28 13.85 74.30
300 26.23 38.53 22.29 22.45 136.57
301 26.17 67.39 51.50 15.68 96.34
302 26.12 83.07 37.50 10.55 10.08
303 26.30 33.08 20.30 22.52 113.46
304 26.20 69.80 90.64 14.34 82.56
305 26.54 52.29 23.35 19.15 114.39
306 26.41 49.58 23.22 20.12 123.60
307 26.44 30.57 18.48 22.96 113.52
308 26.56 58.49 25.95 16.70 104.25
309 26.56 18.08 14.77 18.53 79.45
310 26.60 46.90 23.01 21.38 126.62
311 26.59 80.37 100.22 11.81 39.49
312 26.67 15.09 12.67 16.46 46.42
313 26.67 20.71 17.21 20.49 114.20
314 26.88 25.91 16.40 21.58 119.15
315 26.71 35.92 22.36 22.14 117.01
316 26.83 43.77 22.95 21.54 108.68
317 26.97 40.86 21.91 21.85 126.98
318 26.89 55.50 25.41 17.58 95.71
319 26.92 62.56 48.11 17.53 122.07
320 26.99 64.98 208.79 16.93 92.53
321 27.44 85.00 70.66 10.51 31.69
322 27.13 60.15 39.98 17.34 115.23
323 27.26 74.63 178.31 14.11 47.09
324 27.23 77.24 160.11 12.50 39.89
325 27.30 23.14 17.96 20.82 116.96
326 27.30 29.02 19.26 23.46 138.36
327 27.44 67.60 200.69 15.90 86.01
328 27.34 70.06 191.53 15.58 75.60
329 27.53 50.83 25.45 19.24 115.42
330 27.48 82.38 88.19 11.68 39.04
331 27.54 37.81 22.19 22.13 128.93
332 27.54 16.36 17.39 18.63 106.99
333 27.50 32.04 23.33 23.40 125.13
334 27.66 34.81 22.19 22.28 135.01
335 27.78 48.44 24.00 21.04 119.43
336 27.61 56.70 43.02 17.75 119.44
337 27.66 72.20 179.51 15.56 39.47
338 27.66 53.55 34.89 17.17 120.31
339 27.92 45.72 23.87 20.92 125.84
340 27.95 79.47 131.80 12.27 78.02
341 27.89 20.00 22.09 22.81 135.65
342 27.94 42.95 24.43 21.56 129.45
343 27.98 61.46 203.56 16.47 81.47
344 28.13 64.05 218.06 16.51 87.39
345 28.13 58.57 192.34 17.66 94.51
346 28.27 24.81 22.13 21.54 120.41
347 28.23 27.56 21.06 22.86 130.99
348 28.21 39.94 23.86 22.49 126.36
349 28.20 17.16 20.45 19.12 107.84
350 28.51 76.40 116.04 13.68 57.05
351 28.24 81.65 92.32 12.58 71.92
352 28.60 30.69 25.17 23.00 137.23
353 28.70 21.99 22.04 21.11 114.52
354 28.62 33.67 24.67 22.53 133.08
355 28.55 55.81 159.48 19.12 106.59
356 28.62 66.57 178.27 15.90 43.83
357 28.60 70.63 164.55 15.59 75.25
358 28.69 53.41 173.00 19.78 120.36
359 28.89 73.45 133.25 13.45 46.80
360 28.60 50.88 41.46 20.37 119.03
361 28.81 36.81 26.17 23.51 128.50
362 28.90 47.36 37.55 20.32 119.88
363 28.98 85.99 28.23 10.22 23.89
364 28.92 82.81 46.47 12.85 56.31
365 29.01 60.04 229.77 18.51 89.65
366 28.98 18.80 28.11 18.83 89.95
367 29.07 42.22 30.25 21.54 121.16
368 29.13 44.84 33.70 20.84 120.01
369 29.42 62.26 195.56 16.94 72.90
370 29.46 68.29 159.90 15.89 85.77
371 29.38 13.40 36.81 14.74 41.00
372 29.35 48.95 63.66 21.28 125.15
373 29.38 57.44 199.08 17.76 59.79
374 29.43 26.17 30.32 20.75 130.21
375 29.46 28.85 46.47 22.63 133.77
376 29.33 39.22 31.03 23.76 122.88
377 29.40 64.62 156.41 17.93 78.62
378 29.47 79.07 49.50 13.41 79.83
379 29.82 88.05 21.57 10.23 31.34
380 29.58 23.84 30.30 20.89 101.61
381 29.56 51.34 194.15 21.57 108.15
382 29.60 32.74 34.30 23.76 144.74
383 29.73 75.96 71.86 13.42 54.33
384 29.73 54.57 207.42 19.43 69.60
385 29.75 35.43 36.20 22.77 129.22
386 29.89 71.02 96.93 15.43 81.60
387 29.86 16.29 120.22 19.12 50.54
388 29.96 21.76 62.19 21.36 105.38
389 30.00 81.61 35.64 12.48 71.71
390 30.01 30.76 50.51 22.96 125.12
391 29.93 41.26 49.75 22.44 135.77
392 30.16 18.51 152.57 18.68 79.66
393 30.13 19.99 137.40 20.65 68.84
394 30.18 38.07 51.23 22.74 134.33
395 30.05 43.77 78.35 20.98 132.57
396 30.26 84.04 25.09 11.68 34.81
397 30.18 59.68 197.78 19.31 89.31
398 30.45 65.93 114.96 17.27 82.05
399 30.34 73.65 66.51 15.21 77.39
400 30.45 48.88 223.08 22.55 120.84
401 30.54 63.49 134.18 17.99 95.89
402 30.46 28.26 149.65 22.51 103.35
403 30.59 51.93 224.02 22.59 119.11
404 30.54 56.94 161.44 20.36 79.24
405 30.60 25.79 120.97 21.66 70.62
406 30.68 33.57 153.45 24.17 116.98
407 30.71 46.01 220.91 24.46 89.62
408 30.71 14.45 124.82 21.01 39.86
409 30.76 68.62 69.46 17.24 90.09
410 30.81 78.79 28.66 11.93 53.25
411 30.76 40.40 209.29 23.00 117.56
412 31.08 87.34 23.16 12.63 48.99
413 30.80 36.03 143.10 24.24 125.30
414 31.01 54.79 180.30 22.76 107.71
415 30.96 76.46 37.37 15.42 74.25
416 31.12 23.43 184.28 23.03 98.29
417 31.07 61.49 95.58 20.08 98.30
418 31.09 30.73 200.15 23.04 84.69
419 31.09 43.17 222.16 23.99 125.45
420 31.26 20.64 198.22 22.39 92.50
421 31.22 71.45 43.24 16.46 86.69
422 31.26 81.39 26.41 13.16 63.87
423 31.22 17.51 181.59 22.53 86.86
424 31.52 11.82 118.96 19.64 41.79
425 31.31 58.88 135.49 19.40 106.72
426 31.62 84.57 29.92 13.38 71.49
427 31.49 37.86 221.85 23.34 122.43
428 31.54 27.51 205.94 23.37 114.56
429 31.65 50.41 181.24 24.12 100.85
430 31.75 73.68 31.56 15.28 63.37
431 31.83 47.82 202.35 24.61 94.02
432 31.72 66.59 55.45 17.30 74.74
433 31.80 53.08 185.52 23.30 126.73
434 31.80 63.94 70.89 18.28 99.70
435 31.89 14.17 169.35 21.88 87.38
436 31.92 32.80 210.49 24.33 116.45
437 31.97 56.62 103.49 21.81 144.56
438 32.00 35.40 223.93 25.45 124.76
439 31.93 40.15 223.35 26.11 122.65
440 32.07 45.34 204.16 23.84 124.33
441 32.12 25.07 211.61 24.43 116.17
442 32.08 69.03 36.84 16.74 87.02
443 32.20 61.20 78.52 19.48 112.13
444 32.24 78.97 27.32 14.91 71.91
445 32.19 76.08 27.24 15.95 58.57
446 32.09 89.60 43.55 10.42 9.36
447 32.53 16.85 161.36 23.20 102.41
448 32.30 42.62 198.11 23.86 132.94
449 32.28 30.03 211.48 25.68 127.83
450 32.53 58.66 92.22 21.22 136.96
451 32.39 87.17 48.91 13.10 27.01
452 32.60 22.76 183.09 23.49 104.23
453 32.56 81.58 43.25 14.83 73.27
454 32.69 71.52 29.99 16.86 76.22
455 32.73 20.24 163.55 22.71 108.32
456 32.92 49.30 125.64 24.59 150.10
457 32.93 38.00 188.47 25.67 123.93
458 32.85 51.93 112.14 23.11 137.37
459 32.80 54.82 70.28 21.08 139.75
460 32.92 27.27 213.97 24.68 121.54
461 32.92 65.83 39.67 18.46 96.22
462 32.75 11.54 95.94 22.70 60.72
463 32.85 84.33 78.33 13.42 47.34
464 33.13 62.82 38.25 20.05 116.20
465 33.15 74.02 28.68 16.39 70.09
466 33.15 46.72 120.33 23.82 125.34
467 33.23 32.57 183.46 25.17 129.83
468 33.24 35.45 187.45 26.99 137.03
469 33.16 40.73 170.80 26.08 125.39
470 33.21 12.67 96.98 21.68 72.18
471 33.23 44.15 153.72 26.78 135.29
472 33.33 76.90 31.31 16.44 75.39
473 33.37 88.62 74.56 12.56 11.25
474 33.34 68.87 28.08 17.32 76.59
475 33.53 56.93 49.43 21.31 129.94
476 33.43 29.73 164.96 26.45 141.29
477 33.51 59.99 47.61 21.04 118.21
478 33.53 15.03 97.87 21.58 111.32
479 33.52 79.20 51.38 16.22 77.59
480 33.87 81.11 149.10 16.83 65.95
