#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk1 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.80 47.39 8.13 12.40 15.53
1 2.29 46.64 9.18 13.18 24.47
2 2.41 45.10 9.62 12.12 25.37
3 2.32 49.77 8.77 13.57 12.02
4 3.24 48.26 10.68 14.18 31.75
5 3.35 53.31 11.02 15.19 9.74
6 3.46 50.97 10.50 13.24 16.28
7 3.49 43.03 10.70 15.66 44.73
8 3.92 45.55 10.91 14.11 40.68
9 4.19 57.41 9.52 13.30 7.65
10 4.24 55.00 12.04 13.37 10.12
11 4.47 40.99 11.63 16.05 59.74
12 4.75 38.12 11.30 15.86 66.49
13 4.94 49.67 12.15 13.93 40.09
14 5.17 52.13 11.66 15.95 22.61
15 5.30 47.03 11.32 13.79 52.93
16 5.30 43.57 12.14 16.48 54.97
17 4.94 60.58 10.78 13.40 6.32
18 4.95 59.19 12.28 12.94 6.84
19 5.43 57.83 10.56 13.12 9.89
20 6.05 40.95 12.33 17.97 69.17
21 6.18 53.90 12.55 14.49 21.62
22 5.90 56.23 12.75 16.60 10.55
23 6.50 45.35 13.39 19.50 65.74
24 6.31 38.18 12.67 20.30 65.72
25 6.42 50.77 13.01 15.75 36.23
26 6.67 58.79 12.35 13.99 9.14
27 6.60 35.62 12.60 21.96 48.90
28 6.93 47.82 13.50 17.60 65.77
29 6.55 62.10 9.52 13.43 6.26
30 7.00 43.02 12.74 20.87 67.03
31 7.00 55.95 13.27 17.25 13.80
32 7.46 40.39 13.50 19.87 55.40
33 7.20 63.20 11.32 12.19 9.26
34 7.84 52.38 14.62 18.99 41.19
35 7.90 34.36 11.34 27.23 33.21
36 7.69 49.83 14.96 22.91 46.98
37 7.87 37.13 12.96 22.15 45.92
38 8.08 59.86 13.01 15.12 9.09
39 8.09 54.84 14.90 19.17 24.74
40 8.06 45.23 15.48 23.86 73.61
41 7.82 64.32 10.82 10.65 10.90
42 8.19 31.81 11.72 30.88 23.86
43 8.03 57.43 14.53 19.01 10.71
44 8.50 62.73 11.97 14.24 7.82
45 8.70 42.60 14.23 23.93 57.97
46 8.72 39.69 13.59 22.18 44.92
47 8.34 66.34 11.49 11.00 7.14
48 8.94 47.56 15.15 26.53 52.23
49 8.57 64.96 11.41 12.38 10.08
50 9.30 50.18 17.05 30.78 41.59
51 9.40 53.46 15.59 21.92 25.30
52 9.59 56.02 15.90 21.48 16.28
53 9.50 66.05 11.18 12.33 12.36
54 9.58 44.90 14.26 26.26 40.69
55 9.64 35.21 12.03 24.94 19.55
56 9.50 63.67 13.71 11.15 11.64
57 9.72 37.72 13.76 25.84 20.75
58 9.66 32.74 12.43 25.98 14.06
59 9.67 61.04 14.82 16.34 10.19
60 9.84 58.19 16.23 18.66 11.28
61 10.05 40.61 15.01 29.73 25.00
62 9.81 67.23 13.00 9.65 13.92
63 9.89 64.45 13.00 12.75 8.12
64 10.34 69.41 11.03 10.45 32.33
65 10.69 43.14 16.02 29.60 24.15
66 10.35 48.49 17.95 31.82 27.14
67 10.33 63.14 14.73 14.46 11.03
68 10.59 30.57 13.53 27.41 9.89
69 10.75 54.31 18.67 22.77 20.48
70 10.45 66.00 13.50 11.87 11.13
71 10.56 51.58 16.12 24.74 25.23
72 10.80 46.05 16.73 35.49 18.46
73 10.84 28.66 11.48 23.71 8.74
74 10.54 61.35 14.86 14.50 12.29
75 11.07 56.85 16.41 22.24 12.67
76 10.99 68.44 11.57 11.76 32.42
77 10.98 32.25 14.05 28.40 10.55
78 11.11 36.33 14.82 28.22 10.98
79 11.07 38.69 14.50 34.90 14.16
80 11.00 59.52 16.52 21.74 12.91
81 11.23 34.11 13.98 25.61 10.08
82 11.48 64.80 12.51 12.18 23.81
83 11.40 66.51 12.16 12.46 26.36
84 11.52 40.88 16.28 33.86 13.97
85 11.29 63.02 14.29 14.95 13.53
86 11.67 49.65 17.59 36.23 17.62
87 11.70 71.57 11.62 11.15 41.37
88 11.91 52.35 17.36 30.71 15.60
89 11.68 61.62 15.31 18.25 13.67
90 12.03 25.86 11.01 20.64 8.00
91 12.11 44.90 17.66 39.38 14.29
92 12.04 27.56 11.18 23.96 8.21
93 12.16 47.32 17.93 37.78 16.25
94 11.74 59.09 14.25 23.00 11.88
95 12.17 55.03 18.41 23.07 15.00
96 12.21 30.42 12.70 24.42 9.88
97 12.07 31.82 12.35 25.64 9.64
98 12.35 42.70 17.35 39.16 14.27
99 12.04 68.74 13.12 11.56 51.67
100 12.43 38.34 16.44 36.46 12.74
101 12.62 60.27 16.20 22.41 17.41
102 12.54 35.50 14.86 27.91 10.29
103 12.59 57.53 18.32 24.12 15.23
104 12.60 28.48 11.47 23.62 8.77
105 12.91 63.60 14.35 16.28 23.81
106 12.49 71.26 11.41 10.86 42.52
107 12.97 66.16 13.24 13.14 49.85
108 13.17 33.15 14.36 29.76 11.80
109 13.01 50.50 19.11 41.55 16.82
110 12.88 69.07 12.45 9.79 49.11
111 13.41 40.78 16.66 37.46 15.73
112 13.40 53.37 17.61 34.23 17.07
113 13.68 46.02 20.11 50.70 19.59
114 13.42 24.49 10.51 23.64 8.84
115 13.66 48.32 18.58 38.29 17.75
116 13.67 29.99 12.89 25.62 10.65
117 13.76 37.81 16.56 39.32 15.12
118 13.76 43.61 18.35 47.73 17.76
119 13.93 56.04 18.44 28.12 19.26
120 13.41 61.77 20.40 15.95 20.05
121 13.81 27.40 12.01 25.09 11.26
122 13.87 71.32 13.51 11.63 56.33
123 13.93 25.85 11.68 25.40 9.70
124 14.09 58.64 19.18 23.43 17.92
125 13.96 61.04 17.35 19.87 20.39
126 14.07 68.50 13.01 13.24 64.51
127 14.32 35.30 16.01 32.72 12.51
128 14.47 65.39 15.06 14.00 52.73
129 14.87 63.00 16.84 16.19 26.30
130 14.45 50.61 18.94 46.23 24.53
131 14.65 32.30 14.67 31.21 13.20
132 14.50 75.55 9.97 10.42 32.79
133 14.94 39.80 17.93 47.44 22.85
134 14.88 42.39 20.11 52.60 23.82
135 14.91 53.37 18.91 39.15 25.60
136 15.10 48.01 19.13 55.50 43.80
137 15.17 73.06 12.53 11.52 36.61
138 15.14 28.62 14.01 35.05 13.55
139 15.18 60.30 17.81 20.07 20.22
140 15.24 45.00 20.67 58.30 35.75
141 15.32 70.43 13.45 11.56 51.18
142 15.41 37.23 17.01 40.86 21.47
143 15.41 55.83 17.65 30.79 25.00
144 15.40 76.59 11.30 10.18 20.18
145 15.67 24.80 12.38 31.04 14.61
146 15.62 67.33 15.88 15.08 51.90
147 15.74 58.13 16.91 19.12 22.71
148 15.83 31.10 15.80 39.89 18.37
149 15.92 34.29 15.86 34.27 19.97
150 15.79 51.00 19.25 39.06 45.36
151 15.65 22.73 10.89 26.70 12.43
152 16.15 64.44 17.60 15.82 38.16
153 16.15 75.22 11.74 11.26 21.80
154 16.13 42.18 19.51 53.99 55.22
155 16.27 46.76 19.93 50.03 86.54
156 16.34 53.66 19.41 30.05 44.93
157 16.28 61.22 18.42 17.58 24.85
158 16.50 39.55 19.34 39.05 47.23
159 16.57 26.23 13.08 30.54 20.54
160 16.35 72.95 13.14 10.98 27.91
161 16.66 49.43 19.96 38.08 90.68
162 16.77 29.14 14.38 33.69 23.93
163 16.96 44.47 20.92 37.60 105.32
164 16.80 68.74 16.58 15.06 32.69
165 16.87 71.78 12.79 12.09 30.16
