#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl30 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.21 50.31 10.94 2.72 21.17
1 2.55 48.00 11.45 2.38 21.56
2 2.85 50.83 10.44 2.49 24.25
3 2.75 53.25 9.38 2.29 21.66
4 2.94 44.79 10.70 2.91 23.25
5 3.45 52.06 10.67 2.58 26.04
6 3.22 41.47 12.47 2.53 19.60
7 3.51 46.33 11.55 3.15 24.31
8 3.20 47.91 11.90 2.80 21.80
9 3.42 49.15 12.14 2.60 23.56
10 3.85 41.77 13.66 3.15 23.65
11 4.07 53.01 12.64 2.73 23.51
12 3.95 54.92 11.70 2.77 24.67
13 3.98 56.89 11.50 2.75 24.27
14 4.40 47.45 13.25 2.94 25.57
15 4.21 49.32 12.66 2.93 25.13
16 4.29 40.22 12.79 2.92 24.04
17 4.38 44.27 10.33 3.23 24.85
18 4.21 45.77 10.83 3.08 24.50
19 4.43 51.11 13.87 2.52 26.09
20 5.19 53.31 13.74 3.25 26.44
21 4.76 56.84 12.25 2.53 23.91
22 5.02 41.44 13.57 3.05 25.43
23 4.95 37.79 13.37 3.48 26.73
24 5.03 51.41 13.14 2.92 24.75
25 5.14 39.62 13.91 3.39 26.33
26 5.12 45.69 13.26 2.93 24.98
27 5.31 59.32 10.57 2.22 24.06
28 5.09 48.37 14.11 2.86 25.89
29 5.71 36.37 14.61 3.31 24.93
30 5.88 47.31 12.58 3.51 27.02
31 5.80 45.67 12.00 3.22 28.06
32 5.95 50.49 14.04 3.51 26.14
33 6.11 41.32 15.84 3.65 25.19
34 6.02 43.09 13.58 3.35 27.48
35 5.89 58.40 13.70 2.00 24.70
36 6.16 44.55 15.21 4.32 26.58
37 6.32 61.30 11.13 2.15 22.51
38 6.44 55.31 13.67 2.92 26.25
39 6.43 58.45 12.51 2.38 25.79
40 7.14 37.25 16.25 3.06 26.05
41 6.94 45.39 15.27 3.46 26.52
42 6.76 56.58 18.70 3.09 25.87
43 6.89 47.42 13.98 3.69 28.24
44 7.19 39.75 19.13 3.31 25.69
45 7.30 57.54 16.92 3.17 25.17
46 7.20 41.93 18.02 4.04 27.56
47 7.30 52.29 14.09 4.12 27.07
48 7.43 34.02 16.90 3.34 25.53
49 7.32 43.66 17.08 3.85 26.23
50 7.51 56.02 21.70 3.30 23.70
51 7.75 44.28 19.67 3.25 25.67
52 8.13 55.58 14.49 3.54 28.65
53 7.77 42.39 16.50 3.60 27.30
54 7.95 61.70 14.23 3.16 24.83
55 8.32 31.75 15.99 3.03 28.19
56 8.21 40.92 19.66 3.61 26.61
57 8.04 58.14 17.15 3.06 26.00
58 8.21 49.31 16.26 3.84 27.31
59 8.03 52.21 15.73 3.40 27.67
60 8.13 43.28 17.39 4.09 27.33
61 8.37 36.66 15.34 3.78 27.03
62 8.41 53.71 15.04 3.28 28.16
63 8.57 35.12 14.90 3.94 26.19
64 8.37 51.10 15.16 3.72 27.81
65 8.54 45.33 14.36 3.94 29.00
66 8.87 59.33 15.19 2.78 26.57
67 8.81 43.92 14.19 3.45 29.62
68 8.58 57.73 17.50 3.83 29.00
69 9.24 48.11 16.10 3.57 30.57
70 9.17 51.34 17.89 3.63 29.33
71 9.06 56.87 16.28 4.04 27.88
72 9.10 53.81 21.05 3.83 25.15
73 9.21 40.51 17.30 3.81 29.25
74 9.15 64.61 12.00 2.83 25.19
75 9.49 62.71 15.95 3.11 24.81
76 9.29 36.47 17.26 3.22 27.80
77 9.49 38.37 16.23 3.87 28.81
78 9.55 45.78 17.52 4.11 30.21
79 9.48 49.94 18.57 4.00 29.35
80 9.39 31.68 20.77 3.38 26.03
81 9.44 34.22 17.13 3.96 26.04
82 9.74 43.34 17.75 4.49 29.32
83 9.93 41.56 18.09 3.42 30.36
84 9.75 57.39 18.97 3.14 27.31
85 9.85 54.78 14.32 3.95 29.66
86 9.79 65.59 13.43 2.52 24.48
87 9.66 66.48 11.29 2.86 23.71
88 9.86 36.23 18.07 4.14 29.71
89 9.92 52.73 15.47 3.66 29.47
90 9.96 51.04 21.82 3.18 26.64
91 10.38 49.22 17.95 3.58 28.97
92 10.16 31.69 15.15 2.95 26.11
93 10.30 26.73 14.32 3.26 22.29
94 10.45 60.65 17.29 3.39 27.70
95 10.39 64.10 15.42 3.14 23.88
96 10.68 67.59 14.47 2.75 23.57
97 10.75 66.21 11.37 2.90 26.02
98 10.71 44.63 16.51 3.95 28.89
99 10.73 55.98 20.78 4.20 27.03
100 10.79 35.28 18.76 3.39 29.48
101 10.65 36.76 18.28 3.21 31.66
102 10.84 46.51 20.83 3.92 30.10
103 10.96 33.82 18.69 4.08 31.74
104 10.82 41.95 24.00 3.93 24.71
105 10.93 31.90 16.20 3.98 29.08
106 11.01 53.56 25.70 3.59 26.04
107 11.25 29.84 13.73 3.10 28.07
108 11.06 50.85 23.19 3.95 31.57
109 11.14 57.91 19.20 3.48 29.40
110 11.27 62.27 15.45 3.40 26.70
111 11.56 59.93 22.17 3.53 28.39
112 11.20 64.47 15.14 3.19 25.16
113 11.51 43.01 18.15 3.94 29.87
114 11.35 71.45 10.92 2.50 24.19
115 11.44 40.52 15.55 3.94 29.72
116 11.48 25.72 13.40 3.13 25.49
117 11.64 36.66 19.88 4.04 31.22
118 11.63 69.00 13.43 2.30 23.67
119 12.03 45.61 19.03 3.85 30.59
120 11.68 67.30 12.91 2.77 23.29
121 11.87 48.02 26.80 3.85 25.93
122 12.06 50.93 27.87 3.81 26.50
123 12.15 27.99 14.65 2.94 26.76
124 12.35 64.56 13.56 3.36 27.02
125 11.99 38.73 17.62 4.38 29.62
126 12.51 54.33 30.86 3.94 26.03
127 12.24 62.21 18.32 3.75 25.86
128 12.30 71.61 10.89 2.27 23.59
129 12.40 42.58 27.64 4.22 29.11
130 12.39 37.29 24.26 4.52 28.52
131 12.57 67.26 11.31 3.11 27.59
132 12.81 34.64 19.12 4.07 28.58
133 12.66 69.87 13.36 2.86 23.50
134 12.51 48.33 18.93 3.67 30.13
135 12.53 61.01 20.71 4.21 29.71
136 12.64 26.05 16.74 2.91 28.12
137 12.93 38.92 20.39 3.28 31.65
138 12.93 47.34 18.02 3.56 29.35
139 12.83 36.33 19.21 4.24 32.45
140 13.26 49.81 30.84 4.08 26.97
141 12.88 73.43 8.91 2.27 22.12
142 12.92 68.53 12.17 3.17 23.61
143 13.12 44.64 31.05 4.15 27.92
144 13.25 25.35 15.81 3.19 26.81
145 13.76 57.82 26.52 4.11 26.14
146 13.30 42.63 19.10 4.00 30.54
147 13.51 66.16 11.98 3.06 26.22
148 13.45 26.71 16.06 3.09 27.03
149 13.56 62.14 15.58 3.73 29.04
150 13.29 23.28 14.29 2.43 30.86
151 13.46 54.69 20.55 3.61 32.13
152 13.73 64.40 16.81 4.12 27.06
153 13.75 23.86 17.15 3.39 26.29
154 13.83 52.33 28.92 4.10 27.62
155 13.91 33.03 19.63 3.88 30.55
156 13.83 29.29 17.53 3.78 30.35
157 13.80 46.96 27.59 4.22 29.31
158 14.08 31.01 17.38 4.00 30.14
159 13.98 38.92 29.10 3.51 25.25
160 13.89 44.93 19.15 4.20 33.27
161 13.82 53.86 22.62 3.69 32.12
162 14.19 27.58 16.33 3.00 28.26
163 14.27 68.73 10.73 3.51 28.68
164 14.23 41.67 24.60 3.44 26.44
165 14.41 56.10 19.71 4.39 29.90
