#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd31 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.67 48.70 8.44 3.14 19.23
1 1.81 50.55 8.81 2.40 19.06
2 2.36 46.92 8.90 3.28 22.54
3 3.08 48.97 9.17 3.04 21.91
4 3.54 44.81 10.00 3.63 21.63
5 3.90 51.52 8.92 2.90 23.16
6 4.15 42.78 10.48 3.58 24.14
7 4.19 46.68 10.29 3.77 23.13
8 4.40 40.09 10.71 3.19 21.53
9 4.10 49.68 10.38 3.04 21.54
10 4.38 48.09 10.25 3.31 24.30
11 4.14 52.93 9.62 3.12 21.62
12 4.24 44.41 9.14 3.95 22.55
13 4.59 45.47 10.15 3.06 23.12
14 4.69 51.09 9.18 3.18 22.29
15 4.73 56.14 8.84 2.57 19.41
16 4.82 42.15 11.80 3.50 24.70
17 4.94 54.04 9.66 2.80 23.75
18 4.82 52.60 10.33 3.33 23.05
19 5.24 48.86 10.70 3.31 24.66
20 5.38 59.44 9.03 2.59 19.57
21 5.50 45.46 11.14 3.89 24.16
22 5.37 39.44 10.67 3.92 22.77
23 5.19 41.11 12.38 3.43 22.24
24 5.68 37.83 9.25 3.23 24.66
25 5.64 51.13 10.36 3.36 23.35
26 5.39 43.02 11.00 3.68 25.27
27 5.52 54.87 13.06 3.50 21.75
28 6.00 42.99 10.83 4.24 25.02
29 6.06 55.86 10.04 3.09 22.97
30 6.21 41.29 11.97 3.92 26.20
31 6.29 52.49 11.45 3.91 23.32
32 6.31 49.46 11.86 3.56 24.02
33 6.31 35.75 9.69 3.25 23.84
34 6.64 60.97 9.36 2.87 19.91
35 6.63 38.29 11.60 4.07 23.42
36 6.80 45.76 12.66 3.93 25.23
37 6.70 43.44 10.46 4.15 24.59
38 6.80 58.53 9.86 3.18 23.55
39 6.93 48.73 10.71 3.95 26.47
40 7.18 55.31 12.43 3.73 24.28
41 7.38 33.54 12.11 3.16 23.24
42 7.31 39.87 12.28 3.90 25.06
43 7.23 53.10 12.98 3.88 23.76
44 7.60 62.90 9.91 2.70 20.35
45 7.61 47.70 10.81 3.98 24.57
46 7.41 42.98 13.09 3.82 25.36
47 7.54 58.80 13.08 3.25 21.88
48 7.87 45.35 12.63 4.20 25.65
49 7.71 50.11 11.47 3.70 25.92
50 7.82 60.58 9.73 3.13 23.13
51 7.85 36.59 15.16 4.32 23.89
52 7.71 54.28 12.50 4.62 26.06
53 7.94 41.81 12.37 3.60 26.21
54 8.10 56.96 13.24 3.31 24.33
55 8.00 52.97 12.74 3.57 25.97
56 8.04 38.63 14.15 4.23 25.64
57 7.90 43.61 13.81 4.19 26.38
58 8.27 34.44 16.60 3.83 25.13
59 8.27 62.17 9.84 3.92 20.76
60 8.50 46.97 14.32 3.60 23.03
61 8.50 32.22 13.73 2.60 21.27
62 8.47 49.64 14.21 3.41 24.10
63 8.63 64.84 9.07 2.47 19.53
64 8.63 40.34 16.09 3.79 27.74
65 8.93 44.53 15.43 3.63 24.43
66 8.72 51.66 13.78 3.96 24.82
67 8.66 53.72 13.18 4.00 26.86
68 8.78 35.68 19.24 4.48 24.14
69 8.88 48.70 12.39 3.93 26.37
70 9.08 30.84 13.90 3.10 22.49
71 8.80 34.07 14.59 4.12 27.06
72 8.93 38.49 18.58 4.48 26.95
73 8.97 36.78 15.00 4.35 26.20
74 8.91 41.76 12.71 3.71 24.93
75 9.07 55.18 11.88 4.24 24.50
76 9.24 57.71 11.94 4.17 23.87
77 9.06 33.07 16.29 3.00 24.41
78 9.23 53.26 18.37 5.00 24.21
79 9.50 35.94 19.77 3.74 25.87
80 9.42 40.72 20.50 3.77 24.91
81 9.54 42.17 16.76 3.62 28.43
82 9.71 49.15 14.52 3.55 25.92
83 9.50 52.18 15.56 4.06 24.17
84 9.84 33.90 14.75 3.63 26.26
85 9.59 38.20 15.00 4.50 29.00
86 10.11 32.17 16.03 3.78 26.02
87 10.00 38.66 17.50 4.74 26.54
88 9.94 50.82 13.81 3.96 25.50
89 9.95 54.51 14.32 3.71 25.06
90 9.97 29.74 14.45 2.79 23.68
91 9.96 46.39 15.09 3.66 28.26
92 10.23 53.39 15.14 3.33 27.05
93 10.22 42.07 27.96 3.94 23.42
94 10.16 45.20 14.70 5.00 28.39
95 10.18 47.58 13.00 3.82 27.41
96 10.30 56.73 12.78 3.72 26.31
97 10.39 60.47 12.46 3.69 26.01
98 10.54 43.95 17.19 4.12 26.38
99 10.66 51.76 23.39 4.35 22.59
100 10.62 66.47 10.69 3.26 20.80
101 10.67 68.31 9.58 2.97 20.74
102 10.45 30.98 13.91 3.41 25.68
103 10.64 55.40 20.08 4.38 25.03
104 10.88 29.17 20.13 3.83 22.85
105 10.67 48.76 26.10 5.21 22.52
106 10.68 39.19 23.67 5.21 25.42
107 11.01 26.37 15.89 3.49 22.49
108 10.75 37.05 17.58 4.16 27.76
109 10.73 64.75 11.03 3.45 20.90
110 10.78 45.87 26.84 4.55 22.03
111 10.87 63.01 10.73 3.62 23.12
112 10.78 50.47 16.07 3.43 26.64
113 11.14 47.35 17.51 3.69 26.91
114 11.18 58.79 13.94 4.36 24.57
115 11.45 31.81 15.53 4.21 26.86
116 11.33 57.17 16.77 3.98 24.72
117 11.36 35.63 17.48 4.12 29.02
118 11.40 43.57 29.28 4.22 24.22
119 11.55 65.39 11.73 3.98 22.96
120 11.48 44.86 17.42 4.47 29.42
121 11.55 27.91 16.95 2.97 23.70
122 11.68 67.17 13.52 3.53 21.13
123 11.71 60.70 14.65 4.06 24.08
124 11.79 37.92 26.45 4.93 26.14
125 11.78 40.60 25.88 4.47 24.67
126 12.07 49.21 30.11 4.26 23.07
127 12.17 51.90 30.47 4.78 25.17
128 11.81 68.91 9.66 2.66 20.26
129 11.75 36.40 23.64 3.82 30.73
130 12.06 45.98 29.17 4.39 23.22
131 11.98 55.82 17.35 4.06 28.35
132 12.20 26.72 17.88 3.76 26.17
133 12.47 34.18 19.69 4.74 29.50
134 12.29 28.50 24.36 4.36 23.51
135 12.44 54.38 27.78 4.62 23.69
136 12.04 59.47 14.62 4.25 27.38
137 12.32 62.16 11.65 3.73 25.49
138 12.35 63.81 11.23 4.00 25.49
139 12.45 35.98 22.86 4.25 28.08
140 12.24 68.14 7.29 3.86 21.71
141 12.59 70.32 9.68 3.06 20.32
142 12.74 60.20 20.54 4.63 24.21
143 13.03 47.30 32.45 4.91 25.43
144 12.89 42.32 33.14 4.77 23.97
145 12.82 30.15 19.40 3.84 28.12
146 13.04 38.71 30.42 4.42 25.49
147 12.95 56.69 16.83 3.57 27.15
148 12.98 31.56 17.28 4.76 29.72
149 13.46 44.88 36.76 4.95 25.44
150 12.96 25.59 23.15 3.75 22.35
151 13.33 27.77 22.19 3.91 25.57
152 13.23 64.64 12.21 4.69 25.03
153 13.09 66.86 11.41 3.08 23.67
154 13.42 36.70 19.71 4.68 29.55
155 13.56 52.29 33.94 5.17 25.42
156 13.22 49.98 36.67 4.69 25.31
157 13.23 24.38 17.65 3.92 24.88
158 13.69 55.03 30.67 4.61 26.11
159 13.34 35.14 24.57 5.71 29.71
160 13.33 71.66 8.55 3.45 20.27
161 13.54 34.06 24.66 4.78 29.12
162 13.79 70.47 9.98 2.98 21.29
163 13.68 25.02 16.45 3.24 26.45
164 13.85 32.24 21.15 4.08 29.44
165 14.01 40.52 38.36 5.04 25.82
