#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 14.75 28.48 15.87 25.09 17.51
140 14.93 44.16 18.68 46.40 23.10
141 15.26 67.18 14.62 11.90 22.26
142 15.06 33.40 19.36 28.87 19.95
143 15.09 35.54 17.97 27.64 22.12
144 15.67 70.49 13.16 10.47 39.22
145 15.38 31.28 18.67 32.27 19.49
146 15.46 58.11 19.77 28.70 39.32
147 15.60 39.76 19.52 33.30 25.37
148 15.35 27.15 16.86 22.20 27.02
149 15.69 46.46 18.29 43.84 53.88
150 15.59 22.07 13.53 12.05 22.68
151 15.85 24.33 15.36 18.65 33.39
152 16.00 63.52 17.26 14.94 22.08
153 16.00 53.96 18.63 28.80 80.26
154 15.85 61.06 17.32 21.01 27.09
155 15.94 51.23 18.28 29.02 105.75
156 16.09 37.15 18.28 33.64 33.43
157 16.30 41.74 18.06 35.45 44.12
158 16.03 27.14 14.82 21.41 28.74
159 16.23 44.07 18.88 40.73 58.36
160 16.52 48.51 19.28 33.96 115.93
161 16.46 56.72 17.80 25.48 88.94
162 16.28 34.87 17.30 25.03 39.56
163 16.45 66.07 17.10 11.90 21.07
164 16.44 33.34 18.97 23.85 40.18
165 16.69 74.02 12.05 10.04 23.48
166 16.57 20.61 11.77 10.47 30.92
167 16.52 28.81 15.68 18.66 34.91
168 16.57 31.71 16.76 21.36 42.29
169 16.87 59.21 18.79 31.45 49.81
170 17.17 70.68 12.98 10.45 28.55
171 16.93 23.23 14.49 15.70 71.32
172 16.89 39.04 19.51 33.84 49.07
173 16.93 72.02 14.16 10.67 26.76
174 17.21 45.78 19.38 31.54 115.52
175 17.24 61.69 18.06 18.22 38.60
176 17.12 26.03 15.44 16.67 62.82
177 17.47 52.81 18.09 23.85 148.32
178 17.39 50.50 18.71 24.84 163.82
179 17.42 29.90 16.84 21.26 76.81
180 17.42 55.17 18.60 28.39 123.62
181 17.41 36.67 18.19 34.01 81.76
182 17.62 33.87 17.59 21.86 83.32
183 17.66 43.25 18.01 26.68 120.23
184 17.57 64.10 18.66 14.76 30.13
185 17.76 40.76 16.98 25.11 114.14
186 17.90 21.46 13.94 12.36 88.59
187 17.73 73.26 13.97 9.42 21.87
188 18.19 47.46 18.92 20.61 189.12
189 18.20 57.23 20.39 18.99 123.58
190 17.61 67.44 12.00 9.50 23.75
191 18.09 31.85 18.58 21.41 113.28
192 18.07 28.04 15.77 16.88 99.67
193 18.20 67.00 17.18 12.12 22.31
194 18.19 69.18 17.43 10.92 21.79
195 18.38 59.90 19.67 21.11 69.31
196 18.31 24.43 16.02 12.88 110.58
197 18.49 38.66 18.74 24.60 139.84
198 18.62 26.22 17.10 14.69 130.36
199 18.62 49.58 19.36 20.27 195.97
200 18.46 73.03 15.03 10.26 20.49
201 18.61 35.53 18.57 21.21 150.11
202 18.72 62.29 17.63 14.50 43.85
203 18.74 44.91 19.27 22.07 190.22
204 18.77 64.93 17.52 13.18 29.26
205 18.79 54.57 18.69 19.21 142.91
206 19.10 71.21 16.50 10.42 18.37
207 18.96 51.97 19.55 21.88 183.59
208 19.03 29.86 17.34 16.31 145.18
209 19.05 42.16 17.64 22.91 181.73
210 19.18 19.40 13.26 10.39 109.30
211 19.26 33.10 19.13 17.43 161.30
212 19.30 21.65 14.67 11.83 125.75
213 19.49 58.31 18.88 16.22 122.11
214 19.45 74.25 15.37 9.25 17.66
215 19.54 37.12 16.91 18.88 174.25
216 19.73 69.00 17.32 11.43 24.82
217 19.71 66.38 16.84 11.58 27.38
218 19.51 24.02 16.55 15.12 139.56
219 19.64 47.12 19.39 19.38 194.20
220 19.83 39.62 18.50 25.49 190.88
221 20.05 56.12 18.67 15.96 131.62
222 19.87 27.12 17.38 14.86 149.75
223 19.94 60.68 18.03 14.79 68.74
224 19.94 63.23 19.34 12.04 44.49
225 19.96 50.12 19.46 17.26 193.42
226 20.17 34.99 19.46 20.27 184.87
227 20.11 44.51 18.90 16.09 191.34
228 20.11 53.63 18.72 17.48 175.01
229 19.93 25.17 16.12 15.71 134.62
230 20.18 31.45 16.99 16.38 179.04
231 20.45 41.87 19.58 18.15 196.18
232 20.06 75.01 13.19 10.43 18.00
233 20.52 19.66 13.51 9.81 137.30
234 20.44 71.71 16.70 10.93 21.26
235 20.46 76.46 14.76 10.38 17.31
236 20.59 29.34 17.35 15.14 163.00
237 20.54 22.66 16.12 11.03 153.65
238 20.27 70.50 18.00 7.00 22.25
239 20.97 48.02 18.97 15.94 191.46
240 20.89 58.78 18.22 14.12 101.37
241 20.84 67.33 19.21 12.41 29.76
242 20.87 37.44 18.47 15.86 182.68
243 21.11 52.20 19.95 17.66 187.98
244 20.97 64.62 17.76 13.08 38.37
245 21.01 33.10 18.45 14.92 177.62
246 21.00 74.38 15.46 10.65 22.21
247 21.01 24.68 17.70 12.66 171.97
248 21.35 46.00 18.96 14.76 201.61
249 21.17 61.96 18.62 13.07 59.86
250 21.42 69.50 17.19 12.15 28.01
251 21.22 17.25 12.51 9.06 98.92
252 21.47 39.44 18.35 16.93 184.97
253 21.40 50.09 21.13 17.83 200.81
254 21.43 27.42 17.59 13.36 177.84
255 21.54 43.81 20.75 16.09 196.94
256 21.40 56.40 20.46 14.29 131.08
257 21.75 54.02 18.54 15.34 157.39
258 21.66 35.51 17.69 17.24 184.94
259 21.67 72.40 19.07 12.05 27.48
260 21.85 21.68 15.72 11.02 147.98
261 21.99 31.34 17.92 15.16 166.65
262 21.86 19.03 14.99 9.88 132.65
263 21.93 41.61 19.52 16.28 208.62
264 21.94 66.28 19.36 12.71 40.83
265 22.09 60.51 17.99 13.51 71.68
266 22.03 75.94 15.02 10.55 24.08
267 22.07 79.10 13.44 10.40 22.46
268 22.24 24.94 15.33 12.33 142.00
269 22.39 57.91 18.99 14.12 101.68
270 22.37 63.41 18.87 12.82 51.03
271 22.64 38.03 18.50 14.59 162.68
272 22.54 29.07 17.42 12.52 160.65
273 22.52 48.24 19.46 15.32 172.49
274 22.66 33.59 19.08 17.89 155.90
275 22.69 51.16 20.23 14.68 161.58
276 22.81 55.51 20.17 14.85 114.94
277 22.81 17.46 14.69 8.78 97.86
278 22.83 45.59 20.97 16.48 174.73
279 22.85 70.93 20.76 11.51 36.34
280 22.75 73.79 18.79 11.90 35.52
281 22.75 78.27 16.80 10.49 30.63
282 22.89 68.51 19.25 12.95 38.79
283 23.06 26.64 17.14 12.07 152.00
284 23.06 43.11 18.93 16.87 185.11
285 22.83 24.03 16.21 11.21 141.74
286 23.09 35.88 18.39 15.49 156.88
287 23.10 40.60 19.39 14.48 181.98
288 23.17 22.23 15.36 11.42 136.07
289 23.05 66.06 20.20 12.00 42.81
290 23.33 53.17 20.68 14.65 131.43
291 23.20 80.57 15.00 10.08 29.84
292 23.24 19.97 14.52 10.93 116.60
293 23.27 59.58 20.11 14.65 76.99
294 23.33 76.33 19.01 10.79 39.85
295 23.55 61.78 19.90 13.60 62.52
296 23.68 30.85 16.91 13.35 128.15
297 23.74 49.20 20.12 14.70 145.99
298 23.81 64.31 20.90 13.51 51.15
299 23.75 57.15 20.44 14.91 97.23
