#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.70 50.93 10.31 7.05 15.34
1 3.48 48.30 10.89 8.48 22.04
2 3.84 52.74 9.79 7.59 20.99
3 4.20 43.39 9.50 8.32 28.17
4 4.39 45.91 11.54 9.39 39.06
5 4.50 55.39 9.90 9.10 29.56
6 4.94 49.83 10.96 9.04 28.16
7 5.62 47.12 11.08 8.61 44.05
8 5.59 52.30 10.29 8.75 46.16
9 5.66 41.09 12.05 9.03 45.22
10 5.77 57.29 10.93 8.59 36.15
11 5.87 44.23 11.59 9.16 50.69
12 6.01 37.47 10.91 8.83 30.50
13 6.34 54.78 11.22 10.38 45.80
14 6.65 48.35 10.79 8.82 45.21
15 7.08 50.54 12.67 10.47 48.82
16 6.95 39.70 11.42 9.43 40.17
17 6.63 59.21 10.77 8.90 41.90
18 7.09 42.76 12.16 9.56 44.70
19 7.42 53.17 11.68 10.61 52.67
20 7.29 45.72 12.25 11.44 52.11
21 7.43 36.15 10.91 11.43 38.62
22 7.24 58.40 11.62 10.77 46.60
23 7.69 56.10 12.76 12.17 46.73
24 8.21 38.31 12.47 12.17 36.48
25 8.18 48.48 13.47 13.66 49.27
26 8.29 41.05 12.98 12.36 50.32
27 8.53 59.34 11.54 13.05 38.49
28 8.45 43.91 12.53 14.37 48.72
29 8.67 51.20 12.30 11.17 58.40
30 8.73 62.55 13.56 11.02 18.33
31 8.95 46.44 13.07 13.94 67.80
32 8.98 53.99 13.42 12.51 54.05
33 8.84 35.41 11.64 11.25 28.18
34 9.26 56.59 13.39 12.79 48.84
35 9.37 39.63 11.48 12.86 35.40
36 9.85 32.30 12.62 14.02 14.75
37 9.51 38.06 12.16 12.95 31.73
38 9.61 41.90 13.28 16.34 35.46
39 9.73 48.85 13.94 15.46 54.16
40 9.84 44.51 12.89 17.24 45.01
41 10.04 58.95 12.62 13.35 27.60
42 10.00 30.08 13.28 12.47 9.91
43 9.78 34.66 12.35 14.83 16.13
44 10.07 51.77 15.03 15.52 44.82
45 10.12 62.50 13.48 12.40 15.05
46 10.29 35.85 12.39 14.97 14.84
47 10.16 33.57 11.86 14.14 15.86
48 10.61 54.77 14.18 15.69 36.12
49 10.74 46.59 15.43 18.81 26.67
50 10.66 66.52 13.67 12.75 5.71
51 10.68 38.28 14.67 16.96 18.30
52 10.87 40.64 15.55 19.19 14.49
53 10.85 64.63 14.54 13.86 8.69
54 10.95 43.20 15.28 20.60 15.01
55 11.16 28.22 11.78 13.12 5.10
56 11.28 33.64 12.82 17.93 7.88
57 11.19 49.50 16.60 24.19 22.62
58 11.25 60.27 14.19 15.95 14.85
59 11.19 31.33 13.22 14.76 6.43
60 11.44 57.06 14.28 17.19 21.21
61 11.34 52.08 13.22 18.84 23.61
62 11.68 36.42 13.71 17.43 6.73
63 12.05 66.59 13.90 13.58 5.19
64 12.16 62.31 13.83 17.17 7.92
65 11.94 44.96 15.51 20.08 12.11
66 11.94 39.19 14.60 17.06 7.76
67 12.13 54.10 15.75 18.50 23.15
68 12.20 42.43 16.79 23.97 6.70
69 12.19 47.78 15.10 25.59 9.97
70 12.51 31.69 13.23 17.08 4.66
71 12.68 59.20 16.89 18.66 7.61
72 12.68 50.90 15.72 26.04 8.85
73 12.90 29.87 13.36 15.79 4.39
74 12.90 64.23 14.06 18.72 6.41
75 12.87 34.66 14.86 18.05 5.81
76 12.57 69.05 13.40 10.13 5.60
77 13.04 56.36 15.61 23.41 8.11
78 13.17 40.38 15.32 20.16 6.29
79 13.15 37.42 14.30 18.63 5.80
80 13.18 45.97 16.67 24.75 7.38
81 13.27 68.38 13.44 13.65 6.21
82 13.67 43.33 15.29 24.85 6.83
83 13.71 49.13 16.58 27.82 7.64
84 13.58 53.23 17.16 25.14 8.42
85 13.46 66.73 15.20 13.91 6.35
86 13.85 61.58 15.74 20.12 8.10
87 13.93 32.46 14.63 18.07 5.60
88 14.10 28.74 12.91 18.06 5.24
89 14.04 69.91 13.88 11.93 7.16
90 14.19 58.32 16.76 25.63 8.89
91 14.27 35.06 14.07 18.86 6.33
92 14.31 38.99 16.06 22.74 6.86
93 14.26 63.82 17.93 18.28 7.93
94 13.98 66.04 12.86 16.29 6.29
95 14.53 46.56 16.27 23.44 7.89
96 14.69 54.79 16.48 26.94 8.99
97 14.42 65.19 14.86 18.76 7.97
98 14.90 41.32 16.60 22.39 7.76
99 14.92 51.69 16.60 32.76 9.46
100 14.59 68.52 14.32 14.68 7.47
101 14.75 37.24 15.52 20.03 7.19
102 15.02 30.21 13.45 19.52 6.87
103 15.29 43.80 17.19 28.15 8.09
104 15.24 49.24 17.58 26.13 9.02
105 15.24 66.77 14.29 15.39 9.38
106 15.26 26.01 13.42 16.32 5.93
107 15.18 70.84 13.37 10.66 9.67
108 15.46 60.34 16.30 24.39 15.83
109 15.40 36.47 16.64 21.21 7.26
110 15.55 57.05 18.35 27.05 12.23
111 15.53 63.37 15.67 20.55 12.76
112 15.57 33.73 15.12 21.12 6.34
113 15.97 38.95 15.55 23.55 8.58
114 15.91 28.13 14.52 17.74 7.10
115 16.02 46.38 17.88 29.25 10.39
116 16.14 54.04 17.58 32.05 15.61
117 16.02 22.48 12.36 11.19 5.79
118 15.99 73.38 13.10 7.90 8.05
119 16.04 70.19 17.36 9.91 7.77
120 16.50 30.82 15.42 25.32 8.29
121 16.67 51.60 18.94 31.95 19.08
122 16.59 68.02 15.26 13.40 14.24
123 16.60 41.29 18.68 23.44 9.85
124 16.69 24.54 12.87 14.86 8.14
125 16.62 35.95 17.00 24.54 9.42
126 16.57 64.92 16.92 17.90 18.29
127 16.67 71.65 15.84 9.08 9.29
128 16.60 48.99 18.05 26.33 12.56
129 16.89 58.89 17.03 24.12 53.90
130 16.67 32.84 15.77 23.70 9.25
131 17.02 43.52 17.96 28.67 11.98
132 16.89 61.95 16.56 25.79 33.62
133 16.89 56.16 18.49 27.41 38.59
134 17.19 27.74 14.16 19.73 9.86
135 17.13 73.44 14.20 8.47 7.60
136 17.35 33.82 16.03 26.09 9.69
137 17.51 46.27 19.94 34.54 17.92
138 17.46 38.78 18.51 28.58 11.98
139 17.73 54.06 18.49 27.43 71.79
140 17.76 66.36 15.78 15.52 30.63
141 17.77 21.66 11.26 12.84 7.90
142 17.83 49.64 18.98 31.30 36.12
143 17.79 69.66 16.34 11.12 17.74
144 18.03 30.13 15.78 24.32 14.53
145 18.15 35.71 17.77 29.40 13.72
146 18.11 57.02 18.20 20.94 96.53
147 17.84 23.38 12.47 13.13 9.07
148 18.15 41.44 19.67 27.71 21.05
149 18.00 24.93 14.48 14.84 11.09
150 18.24 63.37 18.49 16.43 53.14
151 18.23 60.41 16.83 18.25 81.01
152 18.13 26.44 14.32 18.27 14.56
153 18.51 51.79 19.15 28.81 88.31
154 18.49 43.99 20.05 26.86 28.48
155 18.54 47.36 19.35 34.22 38.19
156 18.59 32.96 16.17 26.50 17.02
157 18.66 72.55 15.24 9.78 12.07
158 18.74 38.37 19.63 29.72 21.04
159 18.95 22.41 13.52 16.04 22.84
160 18.88 28.35 14.96 21.73 25.84
161 19.27 55.38 19.54 21.09 131.56
162 19.03 66.16 15.63 13.22 30.07
163 19.24 25.70 14.67 18.40 28.59
164 19.45 49.22 18.32 26.82 109.65
165 19.35 58.36 19.51 17.79 120.24
