#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd9 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.80 46.12 8.03 2.68 36.76
1 2.02 44.60 11.02 3.49 36.20
2 2.39 48.05 8.94 2.89 34.65
3 3.08 45.30 11.85 3.59 34.25
4 3.21 43.07 12.26 4.02 36.50
5 3.26 47.68 10.74 3.37 35.15
6 3.33 51.19 8.81 2.89 28.36
7 3.98 45.94 11.62 3.90 35.85
8 3.88 49.29 10.08 3.34 32.42
9 4.46 55.33 8.84 2.75 33.64
10 4.24 52.35 9.99 3.60 32.95
11 4.23 42.76 11.40 3.98 37.44
12 4.29 38.22 11.43 3.39 33.57
13 4.38 41.18 12.74 4.11 34.49
14 4.69 47.72 15.57 3.71 31.51
15 4.84 49.21 11.46 3.56 33.80
16 4.84 46.09 14.06 3.48 38.24
17 5.09 37.49 11.87 3.73 36.46
18 5.41 40.10 13.54 4.55 36.11
19 5.16 42.57 12.28 4.48 35.96
20 5.64 49.67 12.73 3.67 34.70
21 5.89 43.43 14.70 4.12 36.67
22 5.63 45.92 14.42 4.43 37.34
23 5.68 52.35 10.46 4.69 33.77
24 5.74 58.23 8.78 3.11 33.18
25 5.86 35.13 12.27 3.91 34.82
26 6.06 36.59 13.64 4.02 36.46
27 6.17 56.03 10.47 3.58 35.51
28 6.23 33.80 14.17 3.97 33.11
29 6.26 58.60 9.76 2.96 34.12
30 6.59 38.39 15.31 4.87 36.80
31 6.52 41.26 15.93 4.86 40.10
32 6.41 52.35 12.12 4.06 34.85
33 6.62 49.69 14.58 4.00 38.78
34 6.75 59.40 10.13 3.63 33.31
35 6.70 32.29 13.24 3.71 32.68
36 6.80 46.12 15.49 4.34 36.40
37 6.98 54.20 12.90 4.07 36.80
38 6.82 34.79 19.61 3.39 35.39
39 7.11 36.18 16.98 5.09 41.12
40 7.42 48.53 17.06 4.79 39.72
41 7.36 57.12 12.68 3.25 35.63
42 7.23 31.24 15.30 3.80 31.55
43 7.37 33.28 18.45 4.18 33.04
44 7.21 41.41 15.39 4.71 39.29
45 7.27 51.96 15.67 4.33 33.51
46 7.54 44.38 16.16 5.59 41.22
47 7.35 38.67 18.45 5.75 37.65
48 7.82 46.59 20.37 3.78 34.98
49 7.81 40.21 18.74 5.67 38.95
50 7.84 42.73 17.33 4.85 40.85
51 8.12 37.26 19.90 5.28 40.73
52 7.98 54.93 14.48 3.98 38.24
53 8.15 31.15 15.55 4.69 38.22
54 8.39 52.37 14.13 4.29 36.43
55 8.20 29.37 19.98 3.98 39.26
56 8.26 33.39 19.09 4.82 39.27
57 8.37 50.16 15.71 4.49 38.90
58 8.89 58.35 10.80 3.76 37.55
59 8.37 47.92 21.06 4.78 39.06
60 8.48 56.28 11.71 4.42 35.81
61 8.61 61.39 10.11 3.35 34.71
62 8.65 63.51 9.79 3.35 34.79
63 8.61 35.06 18.14 5.00 39.51
64 8.78 46.10 16.15 4.85 38.80
65 9.10 42.67 20.54 4.81 39.73
66 9.34 44.34 17.36 4.28 38.85
67 9.21 31.21 24.60 4.96 37.50
68 9.08 49.54 18.06 4.94 42.77
69 9.36 47.46 15.85 4.84 40.56
70 9.24 55.57 11.73 4.04 38.15
71 9.30 65.68 10.12 3.50 33.34
72 9.15 37.88 18.29 4.29 43.93
73 9.85 36.50 20.38 5.99 42.33
74 9.51 60.54 11.78 3.52 37.90
75 9.33 64.27 9.90 4.10 35.10
76 9.52 53.24 12.81 5.33 34.44
77 9.64 32.89 20.54 5.00 41.26
78 9.61 51.06 16.12 4.55 38.28
79 9.92 27.44 18.20 4.23 37.94
80 10.01 62.78 10.70 3.61 35.73
81 10.00 41.92 21.50 5.02 40.71
82 10.11 56.32 12.45 4.90 38.93
83 10.06 39.36 26.38 5.66 36.49
84 10.20 47.54 18.69 4.66 37.62
85 10.65 49.56 15.96 5.53 40.99
86 10.68 31.62 26.51 5.18 41.12
87 10.64 53.39 14.12 4.88 38.15
88 10.37 33.61 22.04 5.48 41.12
89 10.74 58.94 12.39 4.82 37.54
90 10.93 34.59 30.94 5.55 42.33
91 11.05 65.62 10.48 4.10 36.63
92 11.01 43.96 19.20 5.18 40.45
93 10.91 27.44 17.73 4.61 37.41
94 11.10 29.33 21.20 4.46 38.07
95 11.04 55.37 13.36 4.83 40.68
96 11.03 63.15 10.78 4.09 37.55
97 11.19 51.41 16.41 5.07 39.61
98 11.30 41.58 20.95 5.50 40.93
99 11.47 69.23 8.51 4.00 34.89
100 11.62 57.76 13.50 4.65 39.18
101 11.29 60.62 12.14 4.86 37.81
102 11.54 47.13 18.56 4.78 39.25
103 11.88 40.12 32.90 5.18 40.25
104 11.71 67.12 9.89 4.38 35.70
105 11.91 33.43 26.92 5.49 44.69
106 11.68 34.45 22.50 5.50 48.50
107 12.08 55.45 14.33 4.86 40.43
108 11.93 48.95 15.44 4.96 42.17
109 12.09 53.30 16.30 5.44 38.59
110 12.26 60.77 11.79 5.03 35.14
111 12.27 29.78 22.79 5.50 42.36
112 12.16 44.15 20.84 5.04 43.35
113 12.14 35.91 25.08 5.27 46.24
114 12.20 45.98 17.90 4.28 42.18
115 12.14 50.45 18.89 4.89 38.79
116 12.58 27.83 23.35 5.12 42.16
117 12.40 32.06 26.46 5.59 42.32
118 12.55 63.72 10.32 4.44 37.07
119 12.49 65.45 11.58 4.42 38.84
120 12.53 69.92 10.04 4.34 33.95
121 12.51 58.28 14.67 5.24 44.47
122 12.62 41.64 24.47 6.02 39.38
123 12.54 51.80 15.68 5.47 45.37
124 12.67 25.23 20.72 4.32 39.58
125 12.60 43.05 22.00 5.08 42.31
126 12.66 48.10 20.75 5.43 40.21
127 13.14 55.76 14.55 4.92 40.48
128 12.68 36.33 24.72 5.17 44.17
129 13.04 67.15 9.91 4.32 36.52
130 12.89 35.09 27.05 5.21 45.47
131 13.08 33.65 21.66 5.77 43.11
132 13.23 45.66 21.13 5.23 42.08
133 13.21 58.77 11.18 4.48 37.38
134 13.27 62.44 12.32 4.65 37.94
135 13.31 31.49 22.45 5.68 44.90
136 13.39 52.27 18.38 5.07 41.31
137 13.33 47.90 17.71 5.24 40.95
138 13.67 60.91 13.15 5.19 39.56
139 13.42 29.54 41.45 4.90 31.97
140 13.63 42.47 23.47 6.01 41.73
141 13.50 35.75 22.15 4.59 40.89
142 13.69 38.75 25.49 5.43 41.53
143 13.41 57.10 17.50 5.70 40.70
144 13.79 54.12 15.02 4.95 41.57
145 13.80 63.50 12.06 4.48 37.82
146 13.99 72.81 8.62 3.94 33.03
147 13.95 65.15 10.91 4.46 42.06
148 14.11 23.42 20.96 5.42 39.42
149 14.05 33.03 22.57 5.54 39.49
150 14.06 28.22 28.11 5.87 41.73
151 14.05 45.26 22.26 6.03 40.42
152 14.09 69.19 9.86 4.27 36.73
153 14.14 57.60 11.97 5.19 39.19
154 14.44 47.52 18.76 5.47 41.72
155 14.29 30.36 25.45 5.55 43.34
156 14.31 66.91 10.88 4.69 37.36
157 14.65 58.71 13.22 5.30 38.74
158 14.43 71.18 9.46 4.68 35.61
159 14.55 50.33 18.58 5.37 45.20
160 14.64 35.63 19.51 5.44 43.56
161 14.42 43.94 19.50 5.63 43.00
162 14.40 56.72 13.70 5.20 39.50
163 14.81 52.69 17.00 5.60 41.01
164 14.68 60.53 12.21 4.64 39.00
165 15.11 42.20 19.53 5.84 42.01
