#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim18 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 19.15 72.88 43.60 7.29 27.64
140 19.24 34.66 32.59 13.94 230.26
141 19.39 50.05 59.25 22.77 119.33
142 19.60 44.92 46.23 18.43 207.71
143 19.46 64.39 61.45 14.10 42.66
144 19.70 55.87 60.82 17.37 67.06
145 19.79 39.83 43.53 14.63 238.62
146 19.58 58.47 65.62 17.58 53.82
147 19.70 61.14 65.93 17.17 45.85
148 19.71 52.85 64.40 20.01 82.01
149 19.75 24.01 23.16 8.85 220.22
150 19.81 68.99 57.26 12.23 38.69
151 19.78 71.20 57.46 10.72 33.57
152 20.01 32.10 29.83 10.90 236.74
153 20.17 66.87 55.94 10.65 37.25
154 20.18 74.03 47.13 9.04 35.51
155 20.35 42.22 46.91 17.14 221.64
156 20.46 47.41 56.41 22.11 173.94
157 20.51 19.30 13.26 5.17 181.41
158 20.74 29.47 25.52 8.43 229.67
159 20.50 35.04 34.65 10.73 233.44
160 20.78 26.45 22.72 7.71 225.82
161 20.76 37.90 33.66 10.45 214.64
162 20.71 62.27 71.19 15.73 52.04
163 20.72 50.62 58.80 20.73 128.06
164 20.87 22.85 17.46 6.75 214.14
165 20.98 72.01 53.11 10.77 36.18
166 20.93 54.11 64.46 21.59 80.97
167 21.02 44.43 48.66 16.48 193.38
168 21.05 68.58 59.33 12.62 44.61
169 21.34 56.97 65.92 16.42 67.84
170 21.31 59.74 64.92 16.55 55.74
171 21.36 40.42 40.69 14.22 221.18
172 21.41 74.69 52.05 9.17 43.15
173 21.50 32.42 31.36 9.74 231.23
174 21.52 65.27 67.43 15.58 51.61
175 21.59 15.96 10.98 2.93 139.53
176 21.72 35.51 34.42 11.10 226.87
177 21.88 49.00 61.16 20.52 158.39
178 21.86 21.26 17.84 5.73 228.32
179 21.92 46.32 59.54 18.68 205.05
180 21.92 51.96 69.90 19.75 98.54
181 22.11 27.42 25.89 8.35 226.97
182 22.12 62.29 68.60 16.13 62.29
183 22.37 18.31 16.35 4.59 200.42
184 22.30 24.53 21.89 6.10 224.84
185 22.32 13.13 5.61 1.53 87.90
186 22.34 37.58 40.49 15.11 218.44
187 22.22 43.55 49.46 15.52 201.01
188 22.23 70.06 64.43 13.69 58.70
189 22.24 54.56 66.04 19.53 81.73
190 22.41 30.19 31.28 9.10 230.37
191 22.42 67.26 76.01 14.80 62.74
192 22.58 73.06 62.54 11.24 56.54
193 22.61 40.65 46.59 14.55 207.24
194 22.59 76.78 54.44 9.57 50.25
195 22.76 59.41 69.52 17.57 68.26
196 22.90 64.67 68.04 17.10 62.18
197 22.86 56.67 73.39 20.87 81.34
198 22.91 34.05 33.80 10.92 227.21
199 23.17 15.30 12.01 2.52 139.56
200 23.12 47.62 60.39 18.81 133.14
201 23.12 50.32 66.36 21.60 109.55
