#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra6 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.06 47.48 10.83 7.37 4.53
1 2.34 43.57 11.01 7.71 17.51
2 1.90 49.71 10.17 6.29 4.17
3 2.68 49.85 11.34 7.86 3.79
4 2.69 51.23 11.78 5.82 4.15
5 2.79 41.20 10.02 7.57 11.84
6 3.08 46.80 13.05 9.34 10.20
7 3.16 53.21 11.61 5.76 4.03
8 3.22 48.23 12.08 6.35 5.46
9 3.58 50.28 11.18 6.04 6.49
10 3.68 52.38 11.89 6.44 5.30
11 3.88 43.95 11.58 8.63 19.98
12 4.10 38.66 10.92 9.40 20.51
13 4.38 46.71 11.42 9.12 19.71
14 4.02 55.53 13.15 6.50 4.18
15 4.59 41.35 12.34 10.52 29.94
16 4.44 49.69 13.34 8.42 8.95
17 4.64 52.70 13.56 10.16 7.58
18 4.79 55.88 12.70 11.89 3.63
19 5.39 44.29 12.15 12.02 29.62
20 5.58 37.25 11.05 9.94 27.68
21 5.67 47.14 11.74 12.85 27.52
22 5.79 49.79 12.23 10.80 18.45
23 5.85 53.89 13.01 11.96 4.64
24 5.99 40.29 11.66 12.57 32.04
25 6.07 57.42 13.28 10.78 3.60
26 5.92 59.65 12.32 6.16 3.32
27 6.81 44.96 13.86 14.65 31.26
28 6.41 34.85 11.95 13.52 27.06
29 7.04 42.44 13.99 18.96 30.88
30 7.01 60.25 13.07 8.10 3.15
31 7.22 39.16 12.97 14.08 26.40
32 6.78 54.24 14.47 8.32 5.89
33 7.54 36.64 12.15 15.71 24.61
34 7.47 49.59 13.07 12.05 22.44
35 7.09 34.67 12.19 14.11 22.98
36 7.30 55.12 14.31 11.69 5.79
37 7.55 46.56 14.47 15.87 23.25
38 7.58 62.35 12.36 5.79 3.30
39 7.64 32.94 14.00 15.85 17.35
40 7.86 58.95 13.12 8.06 4.85
41 8.26 52.55 13.07 13.28 15.64
42 7.71 60.81 15.00 6.25 4.00
43 8.06 47.34 12.88 16.24 20.00
44 7.89 54.94 14.80 7.73 5.93
45 7.96 56.91 13.65 10.47 3.86
46 8.21 34.04 12.33 15.07 14.03
47 8.48 41.77 13.06 21.54 27.34
48 8.72 44.38 14.36 20.26 18.76
49 8.21 64.14 11.29 7.07 2.39
50 8.31 60.99 12.51 8.18 2.79
51 8.25 57.94 18.38 7.88 4.12
52 8.69 38.99 14.53 23.48 15.02
53 8.83 55.79 13.20 12.87 5.02
54 9.02 36.17 14.94 19.62 9.24
55 9.03 58.00 12.91 9.92 4.05
56 9.23 50.18 14.20 14.61 13.45
57 9.23 47.19 14.05 17.59 14.63
58 9.02 63.68 13.17 6.42 2.96
59 9.33 33.09 13.02 18.51 7.31
60 9.03 49.07 16.67 14.17 12.50
61 9.27 61.99 13.57 8.52 4.43
62 9.55 53.70 14.20 22.55 9.86
63 9.57 31.83 13.08 19.13 5.82
64 9.36 60.23 14.62 9.00 3.25
65 9.80 40.87 15.51 23.77 8.54
66 10.07 38.00 15.53 25.71 7.83
67 9.93 64.49 11.86 6.12 3.82
68 10.00 60.64 14.38 12.10 4.60
69 10.27 35.28 14.41 20.51 7.19
70 10.38 45.72 14.50 19.13 7.60
71 10.36 43.28 15.08 22.99 7.02
72 9.97 57.31 14.70 14.05 5.57
73 10.14 58.82 13.58 10.04 4.94
74 10.49 51.46 15.11 23.88 7.10
75 10.28 55.87 14.48 12.51 5.22
76 10.59 48.63 15.24 21.50 7.84
77 10.74 32.86 14.35 25.84 6.14
78 10.61 29.83 12.06 19.50 5.52
79 10.49 61.96 13.53 8.47 5.24
80 10.72 67.71 12.84 6.16 5.70
81 11.14 62.40 13.63 12.10 4.96
82 10.68 57.76 14.69 10.80 4.94
83 10.65 59.66 15.23 7.77 4.85
84 10.64 42.26 14.00 23.18 6.36
85 11.04 39.95 15.19 25.21 7.13
86 11.06 54.58 14.84 16.67 5.26
87 10.71 60.91 0.00 0.00 0.00
88 11.20 60.09 13.57 12.90 5.94
89 11.14 66.63 12.87 6.97 4.10
90 11.58 37.33 14.98 29.68 7.10
91 11.91 41.91 15.82 30.75 7.18
92 12.00 44.49 15.86 28.97 7.18
93 11.73 47.26 14.54 34.60 8.32
94 11.70 64.72 14.36 8.60 9.04
95 11.94 34.64 14.83 26.58 7.19
96 11.92 52.79 14.19 18.88 6.25
97 11.79 57.65 14.56 14.87 6.05
98 12.05 68.15 12.63 7.08 17.11
99 12.19 50.05 15.88 24.57 6.83
100 11.83 60.69 14.28 11.03 5.88
101 12.12 31.18 14.81 24.49 6.27
102 12.01 62.47 15.11 7.30 6.67
103 12.29 63.84 15.28 11.90 9.48
104 12.57 55.57 15.36 16.33 6.63
105 12.19 65.62 14.82 9.53 7.82
106 12.86 39.34 14.81 28.10 8.30
107 12.48 46.46 15.73 32.70 6.52
108 12.89 58.94 14.82 17.87 6.91
109 13.05 36.30 15.84 28.06 8.49
110 12.98 27.58 12.72 19.91 5.99
111 12.71 62.34 15.61 10.12 8.51
112 13.25 65.49 13.29 9.89 24.32
113 13.32 33.28 15.26 30.57 8.42
114 13.41 48.04 16.42 33.70 9.32
115 13.18 61.57 15.15 10.88 9.07
116 13.39 52.28 15.26 22.25 8.75
117 13.36 42.42 15.78 31.05 8.69
118 13.48 30.16 13.40 22.59 7.25
119 13.80 45.44 16.51 34.40 10.50
120 13.46 62.74 15.36 12.64 9.00
121 13.98 55.00 16.06 21.06 8.71
122 14.10 68.51 13.82 7.10 28.33
123 13.99 57.64 17.02 17.98 9.60
124 14.10 49.80 17.27 33.46 11.76
125 14.33 37.73 16.22 34.50 11.07
126 13.94 62.92 14.35 7.27 7.73
127 14.34 71.88 12.68 6.40 24.31
128 14.47 40.25 16.96 37.50 11.27
129 14.39 26.56 12.33 19.37 6.68
130 14.32 60.52 16.80 13.11 8.67
131 14.39 35.04 15.30 30.29 13.12
132 14.74 23.41 9.98 16.79 6.47
133 14.62 28.19 13.28 24.55 8.86
134 14.74 32.38 15.37 34.69 10.57
135 14.83 43.19 17.49 38.61 14.87
136 14.57 51.01 15.70 28.62 9.94
137 14.47 65.28 13.50 9.78 21.80
138 15.09 30.08 14.24 30.06 10.03
139 14.97 62.71 14.72 11.04 14.94
140 14.84 25.09 11.96 18.22 6.25
141 15.15 47.97 17.86 35.73 16.72
142 15.29 53.74 17.21 22.77 13.10
143 15.00 66.03 15.46 9.34 20.51
144 15.48 56.69 17.24 18.58 12.12
145 15.21 35.29 14.78 30.71 10.98
146 15.61 45.67 18.12 31.99 24.68
147 15.25 60.43 17.41 14.09 12.55
148 15.44 68.07 16.74 8.09 19.66
149 15.73 50.76 17.93 32.23 20.76
150 15.90 70.58 16.35 7.25 26.72
151 15.60 37.72 14.25 30.65 18.20
152 15.76 40.68 17.35 34.57 23.38
153 16.04 27.27 13.91 28.63 11.09
154 15.72 59.79 18.00 13.12 10.12
155 16.11 24.31 13.04 20.16 11.88
156 16.19 65.67 16.74 8.71 23.48
157 16.19 73.83 13.60 6.42 25.70
158 16.11 32.95 15.09 36.55 16.79
159 16.16 36.50 16.42 36.85 19.44
160 16.18 43.34 16.98 26.62 49.61
161 16.02 61.01 19.06 9.94 13.65
162 16.47 30.14 15.55 27.07 15.81
163 16.72 48.57 19.78 28.69 44.39
164 16.79 52.21 18.06 27.57 33.33
165 16.76 55.17 18.73 24.91 19.62
