"prop.corr" "prop.mean" "prop.sd" "prop.lm.coef" "prop.lm.pvalue" "prop.cos"
"ba3.txt" 0.777366909731995 0.623442011625459 0.933362619915587 0.271943076980284 2.73916728627103e-33 0.842968766892637
"bk1.txt" 0.793096165580546 2.38410400143388 14.923934716979 0.31214742211112 4.41684917323355e-35 0.854546526086322
"bk15.txt" 0.572197611531336 1.04502347121511 3.17552865462608 0.0670262601571003 1.15977951702902e-21 0.73733602451994
"ca1.txt" 0.849132992077811 0.98678652071286 2.16383178700974 0.17941013952306 2.03931068174063e-45 0.905667953499711
"ca14.txt" 0.453932589086017 2.69431445730537 9.84285337319297 0.0973257786651845 4.71571795343653e-16 0.657272658311897
"em37.txt" 0.856956898815042 0.424604472277699 0.52176565772696 0.191777269793505 1.86312984073676e-47 0.913277752697553
"kd17.txt" 0.937475163913908 0.297485609964352 0.20066023404304 0.218920422970646 6.47078231359538e-68 0.962171422133091
"kd26.txt" 0.83034589863204 0.588913438994949 0.936626828714058 0.200989809576719 9.65912334224972e-41 0.885434717689561
"kd31.txt" 0.644847388578115 0.290199912256253 0.617154169228143 0.115887744339165 1.75640122182558e-25 0.779105336461949
"kd9.txt" 0.736192562576572 0.259149506980162 0.315539159410606 0.156867406322905 4.77128045680602e-28 0.802857872111804
"kf9.txt" 0.73445302991273 7.79125867125366 51.6504529130573 0.182458823716682 1.91144516289971e-29 0.814566681452318
"lesl15.txt" 0.524457924278968 0.717959390235541 2.71987452719761 0.0804796086736128 1.50421434432045e-20 0.723450259247634
"lesl16.txt" 0.671710250564584 0.490061181329121 0.498781875204596 0.355229844153462 1.23477936768328e-23 0.759964500479002
"lesl20.txt" 0.884787206213358 0.587740759065146 0.977566899166994 0.302945377561867 8.46501062924289e-53 0.930323509056806
"lesl21.txt" 0.918938514446382 0.387653934741065 0.690287086163268 0.219712976318057 7.7464381318652e-57 0.940875679624963
"lesl26.txt" 0.780064392006112 0.561506888898517 1.358353292066 0.232230624647522 4.77233823749794e-33 0.841335960437487
"mu15.txt" 0.755294245866885 1.00079390849175 3.76221548168324 0.275902452707178 1.64710566310704e-30 0.82296565943024
"mu20.txt" 0.8828108532709 1.35067556206572 6.49201187676953 0.257953762039221 7.28771597303126e-52 0.927613519998325
"mu7.txt" 0.77513355459987 0.324738379770191 0.993983941071059 0.140495812211717 4.58552284663381e-36 0.860502582956099
"nb1.txt" 0.733659826936057 13.6821607276077 73.873684848501 0.204492294442847 1.74710863900862e-33 0.844277815436705
"nb11.txt" 0.72669308205207 1.33064741566599 5.77944368962711 0.383615292915768 3.37658713225713e-29 0.812554062527416
"nb5.txt" 0.494017212296434 36.8549191635972 363.598527696368 0.175290852764266 6.83114759679787e-20 0.71483405428491
"nk11.txt" 0.730744219537946 2.20685458217657 3.09386130936578 0.466859635798663 9.11439346893479e-31 0.824928988482589
"nk14.txt" 0.526992480290456 0.877636493167116 4.95230774398399 0.0954070268370011 8.2549704423867e-19 0.699918109985935
"nk5.txt" 0.804990896599394 0.761070001737239 0.995708804178032 0.239981482456935 5.33172529299338e-39 0.87675722605954
"pe2.txt" 0.745098365871855 0.459369207039276 0.805168698510245 0.137662768223633 7.79733011917588e-34 0.846596444773605
"ra6.txt" 0.672745119261919 1.41949434181312 4.21160733756126 0.174753225825894 4.5863584051997e-26 0.784778022724675
"ra7.txt" 0.760571450977296 5.11315805634692 44.7239656407787 0.129633165924178 1.51429374497978e-34 0.851191064614476
"rf11.txt" 0.844614111650983 0.593414604283598 0.939303973692521 0.209031778167945 7.65285648007308e-45 0.903400270945595
"rf6.txt" 0.367579839635939 5.80364141255614 16.516052417813 0.229495356019785 2.75569045558025e-14 0.62577643285254
"rge7.txt" 0.914982239462875 1.77369581282973 8.75523076290109 0.286935244244086 6.70647905683678e-58 0.943367735409389
"rge9.txt" 0.777961288527529 1.30678337425177 3.816120381856 0.239529384317594 4.15367915443214e-35 0.854711657345168
"sl30.txt" 0.722551464250487 0.876269826011528 3.27359845654146 0.160419507842501 2.98381047494535e-32 0.835811299936042
"tim11.txt" 0.820722225627996 1.16022968963718 4.5671756267745 0.37291338067905 1.28131784776333e-40 0.884845278884826
"tim12.txt" 0.893368351550511 1.08843798736818 1.14374075110461 0.267619345198734 3.58826616481678e-50 0.922426209482551
"tim15.txt" 0.534831378076456 3.86537899866162 17.0905632138725 0.148804091074843 4.50138566789303e-22 0.742252146453341
"tim18.txt" 0.870100489169963 1.07291713404462 1.78707478286797 0.476049553800091 6.36049998320101e-48 0.914927197039547
"tim2.txt" 0.88179251779136 0.906614501660153 4.17099010647911 0.273476545017821 8.59537185767145e-49 0.917912042633638
