"coef_y" "coef_x"
"bk1.txt" 0.071727345951399 0.339681878155268
"bk15.txt" 0.0546988895520098 0.305785383909661
"ca1.txt" 0.11090368603236 0.474420173401897
"ca14.txt" 0.0815621269813979 0.0501359671606743
"nb1.txt" 0.0873487167534378 0.529287790334802
"nb11.txt" 0.0934199549618741 0.4957633456428
"nb5.txt" 0.0395827913461352 0.305510116398214
"nk11.txt" 0.0984868044149287 0.344348098429494
"nk14.txt" 0.0552748062121343 0.197718871733969
"nk5.txt" 0.0518785878194465 0.415502399207808
"pe2.txt" 0.0649982353159732 0.30504541732923
"ra6.txt" 0.0704248060855448 0.287014112136636
"ra7.txt" 0.0442410212952097 0.357224402314742
"rge7.txt" 0.0648142040424752 0.246611891845821
"rge9.txt" 0.0838232072028865 0.317790078366125
"tim11.txt" 0.0364058692486943 0.505177497181577
"tim12.txt" 0.0501332081499941 0.365094479042339
"tim15.txt" 0.0447720804851575 0.459321869750784
"tim18.txt" 0.0463855728503435 0.571727286655803
"tim2.txt" 0.0340442794012207 0.478365638375845
