"coef_y" "coef_x"
"bk1.txt" 0.0717273459192138 0.339681878365502
"bk15.txt" 0.0546988892646336 0.305785383912726
"ca1.txt" 0.110903686127653 0.47442017249373
"ca14.txt" 0.0815621267708415 0.0501359798378771
"nb1.txt" 0.0873487168828109 0.529287789732155
"nb11.txt" 0.0910303728741484 0.498845246575294
"nb5.txt" 0.0395827913691724 0.305510116380152
"nk11.txt" 0.0984868045301764 0.344348097661879
"nk14.txt" 0.0550188324522231 0.179998737434023
"nk5.txt" 0.0518785879116529 0.415502398903096
"pe2.txt" 0.064998235331398 0.305045417227732
"ra6.txt" 0.0605692657369678 0.298601492197601
"ra7.txt" 0.0442410212960141 0.35722440231196
"rge7.txt" 0.0594831505291566 0.245266267841905
"rge9.txt" 0.0838232072321363 0.317790078153065
"tim11.txt" 0.0364058692559459 0.505177497170159
"tim12.txt" 0.0501332081931874 0.365094478746494
"tim15.txt" 0.0447720805004612 0.459321869700272
"tim18.txt" 0.0463855728564502 0.571727286622429
"tim2.txt" 0.0340442794525144 0.478365638135484
