"coef_y" "coef_x"
"bk14.txt" 0.015355539424086 0.273905438968697
"bk2.txt" 0.0432375293523977 0.232627747872188
"co2.txt" 0.0216437128309065 0.316338278932782
"cq3.txt" 0.0329029973079261 0.302600043061703
"em39.txt" 0.0346132973926093 0.404152451796372
"em8.txt" 0.028235277097123 0.426086834058688
"gb8.txt" 0.0196844544664478 0.189006868715326
"iz10.txt" 0.0476197862322526 0.24912061409677
"iz9.txt" 0.0736767880064099 0.226951442943006
"kd16.txt" 0.0419077143102897 0.222066080550041
"kd29.txt" 0.0378900291063791 0.289880035658636
"kd32.txt" 0.0362339220275945 0.235799550537115
"kd8.txt" 0.0423817330718847 0.282884525828041
"lesl4.txt" 0.0282824897958545 0.296148067008828
"mn10.txt" 0.01872940049794 0.189703327083773
"ms12.txt" 0.0217947641035224 0.216235902533583
"ms16.txt" 0.0389252577044209 0.253202180428412
"mu12.txt" 0.0255925881767457 0.176561754388545
"mu14.txt" 0.0252410222932033 0.201232361230807
"nb12.txt" 0.0252449372061896 0.336724460754936
"nb9.txt" 0.020439137733695 0.311016227934267
"nk9.txt" 0.037583478141843 0.206917202309196
"pe3.txt" 0.0258534281676031 0.245964914855162
"pf10.txt" 0.0332434778071047 0.359065559733109
"pf7.txt" 0.0233673851658124 0.310556257899038
"ra4.txt" 0.0336641090086143 0.247118938469052
"ra9.txt" 0.0450163779437538 0.211001679995788
"rge10.txt" 0.0253359661075905 0.294497823920856
"rge11.txt" 0.0178677494062585 0.167061607647459
"rge4.txt" 0.0129186037714572 0.263533303889082
"sl11.txt" 0.02349312060145 0.343455505279348
"sl15.txt" 0.0329213277268196 0.228150617371559
"sl34.txt" 0.0262375527320168 0.244758862096786
"tim20.txt" 0.0265508441242429 0.328500817043958
"tim3.txt" 0.00839577868402163 0.240275351301801
"tim4.txt" 0.00816244586298535 0.289233932386649
