"coef_y" "coef_x"
"bk14.txt" 0.0310346009265658 0.20757772965627
"bk2.txt" 0.032746264362906 0.14536436750152
"cq3.txt" 0.0319500533086063 0.338235918466993
"gb8.txt" 0.0338427267978345 0.214160444947705
"nb12.txt" 0.0214062237841424 0.464878069112341
"nb9.txt" 0.0380929755696488 0.346757841980606
"nk9.txt" 0.02504415829446 0.270141714925719
"pe3.txt" 0.0352159460227631 0.201763148383798
"pf10.txt" 0.0348012702602628 0.331030367923571
"pf7.txt" 0.037786247848983 0.156129947899988
"ra4.txt" 0.0450134968007111 0.298859984051768
"ra9.txt" 0.0378012225028345 0.214182222745836
"rge10.txt" 0.0330431526254148 0.351638081393927
"rge11.txt" 0.0423457684334177 0.299545888679623
"rge4.txt" 0.0313131591782538 0.202938795477964
"tim20.txt" 0.0188306384117314 0.257626007586762
"tim3.txt" 0.0148905871433774 0.358512049479987
"tim4.txt" 0.00926662958372617 0.28810233068007
