"prop.corr" "prop.mean" "prop.sd" "prop.lm.coef" "prop.lm.pvalue" "prop.cos"
"bk14.txt" 0.885488064231047 0.56394870509673 1.62756381192703 0.281022088811616 4.69486722221098e-53 0.9310470197647
"bk2.txt" 0.762832889327666 1.60379881869124 4.58114871610244 0.310905904256417 6.76656809443658e-43 0.895277034823832
"cq3.txt" 0.857129772168837 1.9072283041376 12.7750773363387 0.362719657266454 2.44628662154451e-51 0.926041260283196
"gb8.txt" 0.683539978502812 2.55257216271484 22.1056772223906 0.322849576897998 1.42900028989723e-38 0.874518311059732
"nb12.txt" 0.806882648297457 1.39763632902516 2.64468224117619 0.625942495257181 2.02267854567086e-47 0.913150280021915
"nb9.txt" 0.682284667930263 1.85240173298624 6.62152905411758 0.415160410619606 3.45228222617652e-38 0.872478152999927
"nk9.txt" 0.902165219624048 1.01611285343389 4.225086543547 0.344548971413964 1.97622099382295e-64 0.956488192328407
"pe3.txt" 0.857941722167137 0.69688664082996 1.39707376882155 0.25634414649365 1.26551532309999e-55 0.937891778381824
"pf10.txt" 0.916557521942302 1.03426564821147 1.64208062736575 0.478079190677411 1.66060704668019e-67 0.96154519172961
"pf7.txt" 0.29650532548721 1.27429997004589 2.61123785455775 0.320456154996005 2.04591368772642e-16 0.663304834976231
"ra4.txt" 0.794034092952661 1.03186745606438 1.72698202608325 0.414682900585811 9.66576996727381e-51 0.924214207997109
"ra9.txt" 0.832460721833163 0.546145101381884 1.20167832535521 0.184191263125923 1.23651278821065e-49 0.920699393425464
"rge10.txt" 0.374103134778439 1.58665021006841 3.08378780995481 0.400599506703689 7.82326397805348e-23 0.751056924928623
"rge11.txt" 0.420802788507876 1.703170562102 7.42254157129832 0.131703088173095 1.26982681565332e-24 0.770431234858078
"rge4.txt" 0.788144067672986 0.785598826795403 1.7259682002916 0.314326825425039 6.21086921955755e-49 0.918386185047978
"tim20.txt" 0.581082996623245 0.661176020549175 1.44298532005925 0.1177578529038 7.70353909344041e-34 0.846630935422929
"tim3.txt" 0.916276262225812 0.448477430923113 0.882766253620726 0.183425820693 1.45774234611064e-69 0.964588436495081
"tim4.txt" 0.828171089520141 3.70921638225068 11.1483386752638 0.334813738915577 2.79810198167715e-53 0.931675805845978
