X S
51.83 195.158467277581
52.04 211.729374257638
52.05 207.793226256509
52.05 190.250707901357
52.49 196.135364865676
52.63 182.728924455982
52.76 187.987631106915
52.87 181.647738305146
52.92 213.747130776432
53 190.165385635842
53.05 192.04773356801
53.07 182.621517715864
53.12 171.875129880389
53.41 182.777139339897
53.72 167.245214168156
53.75 160.739894121223
53.89 174.17368188013
53.95 171.127290143993
53.98 173.343517414577
53.98 160.177217972454
54.07 162.101668782677
54.13 158.310954422052
54.43 166.74253373744
54.89 142.914541647855
54.91 151.618834765664
54.92 149.571913763093
55 146.011748892923
55.02 143.885927367306
55.18 138.327521671151
55.25 140.567063208587
55.63 137.574344587962
55.79 137.143201408504
55.88 133.26854425719
56.12 127.651580360853
56.13 124.766481874378
56.33 117.383156859509
56.34 125.060004191961
56.48 123.68662806186
56.5 134.371295442082
56.53 121.281970080998
56.82 110.162611162646
56.95 104.539472406035
57.12 128.065569315475
57.21 107.794143325737
57.4 114.299681897883
57.4 109.331937616442
57.51 101.943489015177
57.69 94.5610717522403
57.72 97.4050066069089
57.96 95.4428832928524
58.22 96.765991121473
58.27 71.3085744877742
58.41 88.8804240057717
58.47 83.3306989480681
58.52 74.6975997176222
58.57 69.2384269598432
58.94 75.6859831625396
58.95 63.3268422712634
59.1 71.2584182865617
59.15 69.8454147958503
59.22 63.4072996074212
59.26 61.0388719314701
59.58 52.1392234796336
59.61 67.2942081179451
59.66 58.6055598832683
59.71 57.4698665620344
59.9 52.4219326779041
60.18 51.371175246915
60.24 34.6590080014359
60.28 45.7436993679292
60.32 54.5962786738998
60.4 44.3905561018992
60.73 35.8998351145995
60.88 43.8573587595458
61.06 39.638779746543
61.19 36.9658756561594
61.21 45.7772120200759
61.39 37.0445557883151
61.51 37.4880579868354
61.57 35.853763226583
61.66 37.7064813946883
61.79 34.4379967312496
61.92 33.2819241170409
62.31 30.3240337204938
62.37 32.7586289074739
62.49 34.9525038550891
62.58 29.7370660577304
62.63 30.303483620632
62.78 29.6172435427652
62.81 32.1460761600434
62.81 31.3226140993986
63.25 29.1326226818729
63.51 26.592947011707
63.58 28.1309420204711
63.61 27.9776335338099
63.75 24.3963226399598
63.79 27.8779753173168
63.79 27.0272750014216
63.82 27.4750841077194
64.05 25.119283044354
64.51 23.4753146000513
64.63 24.3510951471727
64.64 22.9046320903715
64.66 23.8618310842822
64.83 23.4461969697404
64.86 24.800994150895
64.88 21.7427436247163
65.34 22.6878679998083
65.35 22.9192328861786
65.36 23.5162481328475
65.7 22.2571424732745
65.78 22.7641319167085
65.82 20.9708592320514
65.82 22.2548039391258
65.82 21.6969535755364
65.87 21.0864932588484
65.9 21.1557961378615
66.4 20.6774642775826
66.44 20.4332778358333
66.51 21.2560480165307
66.64 20.2313896942172
66.67 19.9259003451309
66.73 21.0442526501973
66.86 20.8721559309268
67.13 20.6060629280999
67.33 19.9770789790986
67.46 20.606511982131
67.47 20.917779508143
67.61 21.0952395869208
67.62 20.8777625422302
67.62 19.7873757890019
67.62 21.413465850024
68.15 20.1593289969414
68.3 21.0019325028298
68.3 21.8498915586929
68.31 21.9049470314747
68.69 20.1537269418367
68.74 20.8187570359427
68.75 21.3917592941751
68.79 21.1515041876556
69.28 20.4199581035464
69.32 19.2654047500877
69.37 20.4091409294321
69.4 21.5964240092486
69.42 21.0783145832374
69.46 19.9877129724275
69.77 19.5912811365584
69.87 20.348148702066
70.04 19.0654903912316
70.32 18.7561727075751
70.35 19.6842517697764
