#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd16 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.81 44.50 6.32 2.66 30.15
1 2.02 46.01 6.23 3.64 27.23
2 2.30 45.07 7.15 3.35 31.20
3 2.55 48.92 6.82 3.71 30.04
4 3.24 39.94 8.45 3.81 28.55
5 3.40 44.68 7.51 3.96 32.85
6 3.44 51.78 6.46 3.61 30.46
7 3.32 49.45 7.31 3.51 33.55
8 3.56 46.87 7.62 5.11 33.80
9 4.01 39.41 9.56 4.09 33.69
10 4.14 41.81 8.02 4.81 33.63
11 4.12 49.13 7.26 4.67 33.25
12 4.02 51.49 6.40 3.60 31.87
13 4.28 36.75 9.81 4.24 31.89
14 4.26 47.27 8.59 4.29 35.24
15 4.39 50.30 6.57 3.43 36.57
16 4.53 38.18 8.31 4.69 33.19
17 4.62 40.46 9.04 4.84 36.44
18 4.78 46.88 7.91 4.95 37.14
19 4.97 42.63 9.52 5.14 37.86
20 4.90 50.60 7.69 4.81 36.93
21 4.78 35.68 9.70 4.20 32.40
22 5.12 45.42 8.82 5.10 36.51
23 5.18 39.02 10.24 4.62 36.97
24 5.20 54.69 6.67 4.23 33.80
25 5.43 49.60 7.86 5.59 37.55
26 5.31 52.75 7.57 4.57 36.38
27 5.56 47.54 9.05 5.31 38.61
28 5.67 41.05 9.48 5.83 39.62
29 5.87 45.22 8.37 6.35 36.09
30 6.11 42.82 9.27 4.82 41.31
31 5.85 46.39 8.60 6.00 37.20
32 6.07 39.64 10.26 5.63 36.00
33 6.06 44.10 8.78 5.94 37.17
34 6.09 32.91 10.11 3.42 35.16
35 6.44 56.74 6.96 4.07 36.71
36 6.22 50.89 8.65 5.24 39.51
37 6.17 57.72 7.56 4.64 34.52
38 6.26 46.72 9.63 5.07 39.63
39 6.34 54.62 7.28 4.70 38.62
40 6.63 32.39 9.23 4.01 34.36
41 6.49 38.87 12.00 5.25 36.50
42 6.95 39.98 9.83 5.23 40.90
43 6.64 45.59 10.03 5.19 38.27
44 6.97 42.89 9.85 5.74 42.01
45 6.87 52.18 7.74 5.31 37.76
46 7.03 53.80 8.46 4.72 41.90
47 7.06 58.50 6.64 4.64 33.58
48 7.29 30.57 8.36 5.11 33.75
49 7.18 60.34 6.79 3.07 26.21
50 7.28 50.37 9.45 6.10 41.41
51 7.60 47.08 9.90 5.79 38.82
52 7.50 57.08 7.59 4.91 37.59
53 7.69 40.75 9.85 5.71 41.31
54 7.49 59.48 5.41 3.00 31.12
55 7.65 51.38 9.39 5.22 43.66
56 7.85 38.00 10.23 6.09 39.71
57 8.00 45.43 9.59 5.41 41.79
58 7.99 30.96 8.75 4.56 33.56
59 8.00 42.79 9.80 6.34 40.06
60 7.93 58.78 6.67 4.86 38.56
61 7.92 34.26 10.71 5.62 36.62
62 8.15 54.42 7.78 5.34 41.29
63 8.23 32.59 9.61 5.28 34.72
64 8.33 35.18 9.84 5.41 37.92
65 8.61 47.83 11.11 6.51 41.96
66 8.53 36.46 9.97 5.05 39.15
67 8.61 39.28 10.12 5.96 43.87
68 8.53 53.07 8.70 5.66 40.05
69 8.50 57.00 7.90 4.76 37.90
70 8.63 33.71 8.95 5.80 39.75
71 8.60 58.75 8.37 4.67 37.00
72 8.65 42.28 10.89 5.55 41.89
73 8.84 29.24 8.56 4.18 33.49
74 8.72 55.11 8.29 5.83 37.93
75 8.69 46.20 9.80 5.00 42.40
76 8.83 61.96 6.82 3.90 32.41
77 9.08 31.24 9.70 4.95 36.28
78 9.03 45.34 9.25 6.08 38.68
79 8.95 49.76 9.78 6.43 40.40
80 9.01 51.60 9.57 5.59 39.90
81 8.95 32.30 9.78 5.09 40.04
82 9.28 36.24 10.30 6.73 40.15
83 9.19 55.20 9.23 6.64 40.14
84 9.14 58.41 7.50 4.79 36.67
85 9.39 38.38 9.49 5.74 41.49
86 9.29 42.50 10.58 6.26 44.28
87 9.42 47.09 9.83 6.63 42.74
88 9.39 40.30 11.00 5.45 42.57
89 9.27 60.47 7.13 4.69 37.49
90 9.59 52.47 8.41 6.50 40.73
91 9.56 29.85 8.67 4.89 33.67
92 9.79 49.47 8.43 6.38 43.92
93 9.79 57.56 7.75 5.67 39.75
94 9.66 63.14 7.10 4.16 33.64
95 9.63 54.38 8.82 5.88 43.42
96 9.70 56.13 7.47 5.25 40.62
97 10.09 41.67 9.51 5.91 43.77
98 9.88 61.77 6.83 4.57 38.37
99 10.08 35.54 9.64 5.86 41.68
100 10.36 26.93 8.51 4.10 33.44
101 10.48 45.49 10.06 6.09 42.51
102 10.67 51.05 9.57 6.38 45.25
103 10.24 54.74 8.67 5.86 40.47
104 10.12 51.80 8.29 6.57 47.86
105 10.45 30.71 9.47 5.32 39.21
106 10.46 64.07 6.51 4.43 33.94
107 10.40 59.35 7.12 6.38 36.83
108 10.43 62.08 7.67 5.56 37.89
109 10.70 40.70 9.90 5.90 42.26
110 10.70 39.25 9.59 6.80 40.71
111 10.83 28.85 10.33 5.15 35.93
112 11.05 37.59 9.82 5.97 40.57
113 10.93 42.61 10.49 6.84 42.95
114 11.12 65.55 6.94 3.77 30.52
115 10.92 60.42 7.98 5.81 39.42
116 10.91 35.78 10.19 5.81 41.84
117 10.81 54.37 8.92 6.00 44.25
118 11.05 58.63 8.17 5.38 40.00
119 11.17 48.85 9.11 6.47 43.14
120 11.37 27.77 8.47 4.93 36.99
121 11.20 57.00 8.48 6.26 44.33
122 11.37 62.74 7.57 5.77 37.71
123 11.36 53.40 9.55 6.19 47.26
124 11.20 30.42 10.02 5.36 37.92
125 11.17 55.25 8.77 6.96 43.00
126 11.27 32.80 11.03 5.31 39.29
127 11.28 46.95 10.46 5.69 41.92
128 11.58 41.10 9.99 6.34 41.49
129 11.86 35.72 10.43 6.28 46.95
130 11.74 34.04 9.39 6.34 41.79
131 11.75 46.30 10.41 7.11 42.33
132 11.85 26.39 8.46 4.81 32.58
133 11.68 50.34 9.02 6.53 42.05
134 11.53 44.26 10.09 5.55 43.73
135 11.62 31.36 10.59 5.71 38.94
136 11.76 61.28 8.44 6.37 41.00
137 11.81 47.69 9.50 6.75 43.04
138 12.12 45.25 9.06 5.96 41.72
139 12.16 55.84 9.15 6.24 42.76
140 12.04 37.97 10.02 6.28 40.56
141 12.02 43.20 10.34 5.91 41.41
142 12.18 65.92 7.41 4.66 34.89
143 11.91 32.39 9.00 6.83 41.00
144 12.08 48.86 9.59 6.69 40.24
145 12.15 52.67 10.05 6.90 47.08
146 12.33 58.06 8.46 6.52 43.03
147 12.11 63.91 7.50 6.67 39.83
148 12.17 31.20 9.41 6.43 39.88
149 12.23 51.29 8.89 6.06 42.67
150 12.39 54.33 9.41 6.31 41.73
151 12.27 36.86 10.30 5.40 51.20
152 12.49 67.88 6.65 3.79 30.15
153 12.42 33.25 10.21 6.29 39.88
154 12.60 29.50 9.45 4.87 39.17
155 12.47 61.32 8.52 6.30 45.19
156 12.96 42.78 9.98 6.79 43.05
157 12.71 40.16 9.96 6.32 38.23
158 12.79 63.63 8.33 5.79 41.21
159 12.65 23.96 7.78 3.78 33.15
160 13.01 28.27 8.65 5.84 34.30
161 12.76 48.12 10.10 7.27 43.27
162 12.78 51.07 9.56 6.77 44.69
163 13.42 38.66 9.89 6.56 41.36
164 12.92 46.56 10.27 6.49 43.66
165 12.94 62.40 7.88 6.47 42.57
