#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk9 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.77 43.63 6.84 17.06 7.94
1 3.05 43.09 8.88 17.47 10.30
2 3.31 40.07 8.31 17.59 9.15
3 3.20 50.00 8.46 18.04 9.12
4 3.32 45.52 8.93 18.31 11.22
5 3.94 41.01 7.81 18.12 11.69
6 4.13 47.54 9.04 20.42 11.49
7 4.52 38.27 8.77 19.61 10.75
8 4.75 51.94 9.28 19.90 10.81
9 4.65 42.93 10.70 20.51 12.13
10 4.89 49.32 8.41 19.70 12.48
11 5.07 40.70 9.14 21.24 11.91
12 5.04 45.71 10.25 22.46 12.25
13 5.71 54.51 8.08 21.53 11.85
14 5.98 48.16 9.07 21.10 13.09
15 5.59 46.51 10.64 22.64 11.64
16 6.05 39.14 10.37 24.62 12.94
17 6.08 50.96 10.20 20.98 13.00
18 6.25 42.11 9.34 21.89 12.17
19 6.15 34.41 9.30 19.70 10.82
20 6.18 44.99 10.48 22.08 13.62
21 6.62 53.12 9.79 22.47 13.83
22 6.76 56.12 8.97 21.22 12.56
23 6.57 35.87 9.12 21.16 11.76
24 6.61 46.85 11.00 21.92 13.42
25 6.85 44.59 8.61 22.14 13.00
26 7.29 38.20 9.10 21.93 12.29
27 7.03 40.37 10.81 23.19 13.00
28 7.14 58.41 7.91 20.21 12.26
29 7.37 49.24 10.80 22.67 14.49
30 7.16 47.38 11.12 21.88 15.41
31 7.48 51.66 9.12 22.37 15.00
32 7.38 46.40 10.54 21.62 13.62
33 7.58 34.71 9.57 22.18 11.79
34 7.86 54.37 10.19 22.54 15.85
35 7.87 42.71 10.68 22.74 14.52
36 7.97 45.31 11.33 24.32 14.69
37 7.54 41.29 9.40 22.93 15.67
38 8.04 57.03 10.28 21.36 15.15
39 8.55 32.51 9.40 20.57 12.18
40 8.34 36.64 10.81 22.48 13.07
41 8.59 40.78 10.59 23.59 14.00
42 8.43 34.00 10.09 22.49 12.14
43 8.64 47.49 11.21 22.37 16.24
44 8.65 38.65 9.99 22.37 13.07
45 8.59 50.13 11.25 23.69 16.15
46 8.78 52.61 12.87 23.76 16.73
47 8.53 58.40 8.73 18.42 17.15
48 8.54 61.83 9.15 17.91 18.30
49 9.18 44.69 11.89 23.05 16.30
50 8.79 53.69 10.64 24.36 15.82
51 8.92 55.64 11.16 22.55 19.62
52 9.13 30.16 10.46 17.83 11.06
53 9.16 35.53 10.66 22.57 13.37
54 9.49 42.44 11.76 22.62 16.65
55 9.46 57.78 11.98 21.68 20.73
56 9.40 38.38 10.78 23.44 14.44
57 9.42 51.21 12.71 24.00 17.86
58 9.93 34.72 10.68 21.88 15.09
59 10.02 54.12 11.53 22.77 20.97
60 9.95 49.22 11.97 24.87 19.00
61 9.97 39.89 11.75 23.03 16.33
62 9.95 52.01 11.62 24.20 19.93
63 10.01 61.65 10.46 18.08 24.10
64 10.02 37.13 10.54 23.38 13.89
65 9.90 30.16 9.15 17.41 11.71
66 10.12 63.72 9.05 15.97 20.78
67 10.11 32.35 10.16 21.26 12.60
68 10.18 46.70 11.14 22.86 18.32
69 10.21 59.44 12.10 20.26 23.91
70 10.54 43.74 12.05 23.81 17.54
71 10.95 55.73 12.47 20.65 24.60
72 10.98 65.28 10.05 15.38 25.71
73 11.25 38.78 11.31 22.01 17.05
74 11.04 50.59 13.32 23.32 22.81
75 11.20 41.26 12.51 22.55 18.71
76 11.21 28.91 9.47 17.72 12.82
77 11.30 30.68 10.77 19.64 15.05
78 11.27 52.81 13.30 23.63 25.28
79 11.20 48.08 13.70 24.48 22.40
80 11.22 35.12 11.57 20.41 16.66
81 11.12 45.47 12.68 23.02 21.92
82 11.28 61.05 12.70 18.75 27.25
83 11.47 58.49 12.24 20.16 28.76
84 11.78 63.64 12.26 17.87 33.74
85 11.82 43.11 12.63 24.71 20.45
86 12.12 54.43 14.08 23.01 27.97
87 12.18 56.67 13.75 22.69 34.37
88 12.28 50.63 12.66 22.67 27.94
89 12.42 39.84 11.78 22.89 20.96
90 12.37 47.48 13.92 22.33 26.40
91 12.49 30.07 9.93 18.24 16.21
92 12.67 34.55 12.04 19.43 21.62
93 12.60 37.55 11.77 22.12 21.06
94 12.69 27.78 10.81 15.22 16.24
95 12.37 35.69 11.26 23.89 18.79
96 12.72 65.67 11.45 18.02 36.25
97 12.77 44.70 13.39 23.93 26.93
98 12.97 58.96 13.75 19.52 37.10
99 12.96 42.06 13.61 23.00 26.94
100 13.07 53.14 15.31 22.04 34.98
101 13.34 31.88 12.58 18.05 21.32
102 13.36 48.80 15.19 23.43 37.04
103 13.41 63.55 13.85 18.34 44.95
104 13.20 36.74 13.42 20.75 25.42
105 13.48 56.19 14.35 21.43 38.85
106 13.69 46.42 14.67 24.99 36.11
107 13.71 51.02 14.44 22.02 38.70
108 13.73 40.47 12.73 21.63 29.57
109 13.68 67.48 12.22 16.19 37.78
110 13.74 29.80 11.84 16.04 24.95
111 13.91 38.19 12.27 20.87 27.89
112 13.89 26.95 8.35 15.17 20.71
113 14.00 35.83 12.45 20.98 27.38
114 14.13 33.82 12.05 18.10 27.43
115 14.10 43.92 14.80 22.08 34.94
116 14.23 28.28 10.92 16.97 22.08
117 14.31 53.93 15.27 22.76 45.73
118 14.44 65.79 14.03 17.96 45.32
119 14.20 30.99 12.17 20.21 26.46
120 14.52 58.54 15.25 21.16 51.99
121 14.64 48.67 15.91 23.79 46.40
122 14.82 42.01 13.77 22.64 42.54
123 14.79 55.82 15.74 21.44 50.79
124 14.83 63.08 15.59 19.38 51.02
125 15.02 32.43 11.97 18.19 32.27
126 14.96 51.84 15.82 23.73 49.93
127 14.95 68.81 13.13 16.49 44.99
128 14.99 45.87 15.68 23.80 50.61
129 15.22 39.73 13.10 21.93 44.80
130 15.07 26.06 11.49 14.95 30.38
131 15.32 29.75 11.93 15.99 35.10
132 15.15 27.27 10.51 15.97 30.79
133 15.53 34.92 12.55 18.73 41.94
134 15.50 37.32 14.43 19.86 42.64
135 15.54 60.61 16.85 22.21 57.96
136 15.77 43.85 14.48 22.63 53.97
137 15.36 56.36 16.00 25.85 58.59
138 15.63 71.34 12.06 15.56 43.20
139 15.85 49.98 17.09 22.72 61.33
140 15.71 65.11 15.05 19.20 50.19
141 15.83 47.49 15.66 23.51 70.20
142 15.91 57.47 17.00 23.16 64.96
143 16.04 67.35 14.62 19.05 54.46
144 16.07 52.61 16.08 22.59 63.63
145 16.28 54.76 15.42 22.71 63.03
146 16.28 41.44 14.45 20.67 64.45
147 16.34 25.88 10.91 14.45 48.30
148 16.46 28.24 11.47 16.19 48.08
149 16.52 31.54 12.94 16.64 53.04
150 16.36 62.82 16.03 19.60 59.85
151 16.60 69.63 15.86 16.46 57.62
152 16.72 45.60 15.81 22.79 83.44
153 16.61 59.17 17.45 24.85 74.64
154 16.80 38.84 14.81 19.85 74.55
155 16.75 33.71 14.74 19.79 66.04
156 16.71 36.22 13.51 20.27 63.90
157 17.10 47.76 15.16 23.26 93.34
158 17.08 65.24 17.40 20.48 70.77
159 17.18 50.28 16.67 22.73 93.08
160 17.21 56.85 17.59 22.92 82.86
161 17.18 72.05 15.52 15.06 56.36
162 17.21 43.54 15.59 22.48 89.01
163 17.28 60.95 17.13 22.55 77.87
164 17.52 52.49 17.33 22.31 90.68
165 17.55 67.57 18.54 18.66 70.74
