#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em8 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.98 43.43 9.27 3.66 29.88
1 2.54 39.05 8.42 3.32 27.53
2 2.66 41.99 8.56 3.00 29.44
3 2.60 43.65 10.26 3.47 30.42
4 2.98 37.11 9.17 2.96 28.46
5 3.01 40.79 9.55 3.52 32.42
6 3.36 38.24 9.74 2.82 30.62
7 3.48 43.68 9.71 4.04 32.51
8 3.63 47.26 9.48 3.53 30.99
9 3.67 49.54 8.73 3.42 31.10
10 3.93 42.14 10.31 3.84 34.91
11 4.07 35.96 9.24 3.37 34.57
12 4.02 39.21 10.41 3.67 36.13
13 4.16 37.71 9.67 3.10 34.86
14 4.55 52.66 9.14 3.22 30.94
15 4.52 50.60 9.45 3.47 31.58
16 4.44 44.28 9.87 4.05 32.45
17 4.41 46.86 10.49 4.21 33.02
18 4.67 40.03 11.55 4.35 34.77
19 4.59 48.54 10.53 4.89 32.47
20 5.06 36.69 9.96 3.87 36.13
21 5.34 43.15 11.64 4.42 37.59
22 5.23 45.17 10.92 4.87 36.68
23 5.35 54.73 7.95 3.34 28.74
24 5.41 48.60 10.27 3.80 34.86
25 5.46 41.47 11.33 4.09 40.11
26 5.30 53.40 8.19 3.31 31.19
27 5.85 52.69 9.96 5.02 35.03
28 5.54 34.10 11.22 3.57 34.98
29 5.66 39.58 11.72 4.68 38.46
30 5.82 36.10 11.11 4.60 36.57
31 5.82 49.64 9.67 3.46 37.46
32 6.14 54.98 8.71 3.29 31.52
33 6.37 42.06 12.55 5.39 37.91
34 6.46 32.38 11.85 4.30 33.77
35 6.35 56.11 8.24 5.08 34.00
36 6.47 34.39 12.65 4.77 33.61
37 6.53 39.39 12.16 4.72 39.16
38 6.62 43.83 11.11 5.29 38.00
39 6.88 57.40 8.40 4.05 32.12
40 7.25 45.50 11.73 5.56 40.99
41 6.99 54.31 9.62 4.20 35.58
42 6.94 49.42 10.94 4.11 38.74
43 7.05 58.79 8.41 5.05 28.89
44 6.85 36.64 11.33 4.17 47.67
45 6.98 41.25 12.05 5.15 39.73
46 7.10 47.39 11.05 4.58 40.78
47 7.14 37.49 12.56 5.77 41.92
48 7.13 32.07 12.74 4.06 36.00
49 7.27 35.08 13.62 5.74 39.87
50 7.21 52.08 10.24 5.76 38.02
51 7.33 30.94 11.82 4.24 36.06
52 7.42 28.87 10.05 3.05 33.27
53 7.38 43.58 11.95 4.63 44.39
54 7.41 50.80 10.00 6.33 35.90
55 7.39 33.66 11.45 3.35 36.90
56 7.75 48.92 11.18 5.56 40.30
57 7.68 39.81 11.91 4.93 43.69
58 7.79 55.40 9.43 4.60 37.24
59 8.07 42.98 11.86 5.95 40.43
60 7.77 37.12 11.82 5.12 42.41
61 7.84 30.18 11.12 4.30 33.08
62 8.09 34.10 12.17 4.67 41.59
63 8.12 51.97 10.42 5.29 37.85
64 7.98 53.45 9.64 6.43 39.36
65 8.25 46.49 11.42 5.61 43.12
66 8.10 37.86 11.35 4.80 40.85
67 8.59 54.32 10.60 4.82 40.19
68 8.54 31.26 11.43 4.51 39.25
69 8.44 50.38 10.95 5.76 38.54
70 8.57 28.43 10.36 4.64 35.63
71 8.60 40.69 10.50 5.58 43.33
72 8.65 38.28 11.39 5.55 43.77
73 8.92 36.26 11.77 5.89 43.79
74 8.97 48.99 11.67 6.41 41.47
75 8.96 32.83 12.32 5.49 39.92
76 9.14 43.72 11.25 5.38 42.02
77 9.11 30.36 11.82 5.33 38.69
78 9.21 55.77 10.14 5.91 40.53
79 9.27 39.30 11.14 6.20 44.84
80 9.29 50.60 11.00 5.78 44.73
81 9.40 53.63 10.38 6.25 41.25
82 9.49 34.44 11.77 5.44 45.14
83 9.89 37.87 12.38 6.62 46.90
84 9.45 41.16 10.67 5.28 43.47
85 9.44 61.18 7.88 5.02 31.71
86 10.08 45.50 11.37 6.84 45.59
87 9.93 27.09 10.96 4.33 37.00
88 9.83 32.72 11.26 6.11 41.04
89 10.26 58.32 8.91 6.67 39.87
90 10.12 28.90 11.26 4.09 40.85
91 9.89 42.28 10.40 5.28 41.28
92 10.05 48.18 10.18 5.14 43.18
93 10.08 52.53 10.86 7.08 42.47
94 10.00 40.41 12.34 6.25 43.22
95 10.20 49.86 10.97 6.64 45.72
96 10.11 62.53 8.25 3.87 31.66
97 10.60 60.39 9.53 6.84 35.93
98 10.20 46.78 12.67 6.17 45.75
99 10.54 33.67 11.51 6.13 41.10
100 10.59 55.24 9.68 5.48 43.63
101 10.60 39.66 11.27 5.98 45.59
102 10.76 43.71 11.11 7.28 44.55
103 10.93 31.36 11.58 6.31 42.27
104 10.67 27.99 11.59 5.47 35.65
105 10.73 63.74 8.43 6.66 32.74
106 11.01 48.07 10.91 7.85 46.42
107 10.93 37.54 11.63 5.55 46.26
108 10.71 61.99 8.80 8.80 35.70
109 11.15 40.88 12.17 6.75 47.64
110 10.92 53.71 12.42 8.12 40.15
111 10.92 46.59 13.13 7.07 43.47
112 11.04 52.39 11.87 7.13 41.64
113 10.97 32.69 11.08 7.50 43.42
114 11.02 50.18 10.00 7.27 45.37
115 11.14 45.10 11.06 5.81 46.75
116 11.08 62.48 8.67 8.75 36.00
117 11.38 27.94 10.44 5.18 40.76
118 11.39 35.08 12.48 6.60 46.16
119 11.62 59.20 9.01 6.71 40.97
120 11.47 26.00 10.43 5.09 38.43
121 11.57 33.49 11.22 4.90 44.18
122 11.56 42.90 12.28 7.00 46.00
123 11.67 61.28 8.87 6.00 39.37
124 11.65 29.63 11.41 4.57 45.91
125 11.84 66.21 7.42 6.77 28.95
126 11.89 36.86 10.69 6.20 45.58
127 11.96 32.20 10.56 5.73 43.58
128 11.60 52.91 12.00 8.00 42.18
129 12.22 38.73 11.10 6.53 48.27
130 12.14 26.62 11.17 5.48 39.74
131 12.01 56.49 10.63 6.19 41.37
132 12.19 52.04 10.84 6.87 43.75
133 12.17 41.76 10.92 7.81 45.19
134 12.43 23.86 9.34 3.95 35.95
135 12.38 53.94 9.85 6.45 45.30
136 12.30 40.52 12.87 5.67 41.93
137 12.29 50.63 10.72 6.94 46.00
138 12.40 30.22 10.36 6.58 43.78
139 12.39 57.87 11.13 9.63 38.16
140 12.73 44.05 11.00 8.33 47.52
141 12.58 49.48 11.90 10.72 42.59
142 12.68 66.54 8.64 6.39 34.43
143 12.79 60.29 10.75 9.39 40.43
144 12.76 63.24 9.03 5.97 38.57
145 13.03 31.73 12.06 7.11 44.25
146 12.80 55.88 10.48 9.24 43.95
147 12.77 32.83 9.73 6.45 47.64
148 12.87 41.43 11.07 5.38 48.21
149 13.17 36.09 11.62 7.77 44.56
150 13.08 29.66 11.19 6.17 44.34
151 13.08 39.18 11.54 8.21 47.31
152 12.99 68.55 8.25 6.18 28.54
153 13.18 23.62 9.91 5.95 38.32
154 13.34 53.88 11.12 9.63 46.69
155 13.34 56.52 11.00 8.12 41.57
156 13.36 33.74 11.59 7.01 48.49
157 13.27 45.83 12.34 8.75 44.21
158 13.21 40.28 11.94 6.89 49.28
159 13.65 51.86 12.13 8.92 45.24
160 13.42 61.79 11.84 13.41 42.84
161 13.71 25.10 9.72 5.40 40.14
162 13.42 41.98 11.41 8.48 48.95
163 13.47 66.70 9.44 7.51 34.77
164 14.08 48.39 11.67 9.37 46.97
165 13.53 59.89 10.38 6.43 44.22
