#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 15.73 47.47 25.07 24.99 76.42
140 15.91 31.66 22.02 21.12 41.39
141 16.09 45.25 23.99 24.01 79.86
142 15.92 23.20 17.25 16.72 43.75
143 16.05 37.21 23.02 22.07 53.17
144 16.05 58.61 25.32 22.00 87.92
145 16.06 63.92 26.20 21.16 74.70
146 16.39 49.55 25.47 24.91 92.20
147 16.51 68.35 25.81 18.01 67.02
148 16.45 71.49 21.64 15.76 57.30
149 16.54 40.08 25.17 24.96 70.85
150 16.60 43.04 25.70 23.95 81.47
151 16.56 55.54 24.25 23.83 104.11
152 16.75 21.17 16.82 18.07 54.84
153 16.72 52.42 24.66 23.31 98.34
154 16.80 35.26 23.32 23.84 62.19
155 16.86 60.45 26.05 20.96 91.81
156 17.02 29.90 21.18 21.96 54.48
157 17.09 65.35 26.01 19.73 85.49
158 17.26 27.04 19.86 19.63 59.33
159 17.26 33.05 22.84 22.69 65.97
160 17.26 46.73 25.81 25.77 102.05
161 17.27 24.14 18.31 17.49 61.04
162 17.27 62.58 27.25 22.26 96.12
163 17.46 38.34 23.98 25.13 87.93
164 17.51 58.33 27.90 23.04 114.69
165 17.55 48.82 26.97 27.32 114.66
166 17.62 72.84 25.68 15.95 57.52
167 17.71 19.44 15.91 15.74 61.61
168 17.68 41.80 25.81 25.86 95.91
169 17.66 55.88 26.38 23.65 110.22
170 17.85 69.77 26.34 17.89 70.28
171 17.83 44.62 24.70 26.03 100.73
172 18.02 50.91 26.52 25.35 119.31
173 17.92 53.35 24.79 23.89 114.15
174 17.96 67.20 27.06 19.95 89.14
175 18.07 36.08 23.47 25.16 90.00
176 18.23 31.59 23.14 21.05 74.09
177 18.41 22.85 19.96 18.22 82.03
178 18.46 29.10 22.27 22.32 72.13
179 18.42 64.54 27.82 19.81 98.84
180 18.59 40.36 26.09 24.58 114.99
181 18.65 59.54 26.96 23.19 117.34
182 18.60 61.91 28.20 23.57 105.67
183 18.72 25.95 20.60 20.39 83.88
184 18.70 46.67 26.04 26.06 121.26
185 18.95 34.56 24.55 26.37 98.90
186 18.80 57.10 26.53 24.29 118.91
187 18.90 43.51 26.68 25.92 119.46
188 18.97 74.42 30.00 17.06 69.33
189 18.96 49.18 25.99 25.30 125.27
190 19.03 54.71 26.53 24.81 128.94
191 18.87 71.49 31.01 17.41 73.22
192 19.03 20.40 19.68 17.80 81.53
193 19.09 37.72 24.13 25.01 103.45
194 19.19 52.40 25.48 26.61 127.74
195 19.14 67.83 30.32 18.84 91.39
196 19.42 76.62 31.31 15.69 59.97
197 19.41 32.39 23.36 24.35 95.85
198 19.69 16.52 14.44 15.03 72.69
199 19.72 27.97 21.28 23.28 100.06
200 19.61 64.98 31.58 21.34 117.03
201 19.75 40.64 26.71 27.89 124.49
202 19.80 23.41 18.37 19.98 93.79
203 19.88 62.37 30.90 23.19 117.81
204 20.11 30.42 21.73 24.50 105.24
205 19.86 46.70 28.23 29.81 125.26
206 19.98 59.71 30.13 23.31 118.08
207 20.04 69.57 37.11 20.23 96.59
208 19.98 42.96 27.74 27.52 127.80
209 20.09 51.29 27.15 26.99 136.06
210 19.99 57.18 29.04 26.40 121.51
211 20.04 72.47 40.64 17.55 82.49
212 20.19 48.89 27.42 27.29 133.80
213 20.35 35.88 25.92 24.61 112.45
214 20.36 20.26 18.08 18.94 89.10
215 20.30 38.34 27.68 25.83 119.23
216 20.17 54.42 30.43 25.07 131.54
217 20.46 25.91 22.51 21.97 104.67
218 20.46 66.41 33.67 21.05 109.54
219 20.53 44.91 28.85 29.77 129.32
220 20.56 75.46 48.78 18.05 83.45
221 20.60 33.43 25.26 26.35 115.82
222 20.85 78.04 48.41 14.79 74.74
223 20.98 17.95 19.54 17.70 96.89
224 20.98 63.47 34.20 23.27 120.08
225 21.09 40.41 26.71 28.48 130.55
226 21.09 55.99 31.62 28.29 153.71
227 21.15 60.80 32.85 25.64 124.99
228 21.17 73.18 58.09 18.33 93.80
229 21.15 23.16 20.90 20.59 98.40
230 21.16 53.47 29.74 27.06 137.49
231 21.22 42.50 28.50 29.81 134.67
232 21.23 58.33 31.72 25.94 129.06
233 21.29 29.88 24.70 24.52 116.07
234 21.30 50.78 30.26 27.99 134.83
235 21.34 70.40 48.60 20.49 100.91
236 21.41 46.32 27.51 27.33 119.02
237 21.33 48.38 29.18 29.05 125.86
238 21.35 67.77 40.07 19.04 108.39
239 21.50 27.38 23.59 23.25 109.06
