#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ms16 14A 4 even-skipped Kruppel bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - bcd>
0 2.37 50.33 10.37 6.12 143.63
1 2.38 47.35 10.32 6.54 155.82
2 2.93 52.78 10.64 6.54 187.64
3 3.13 42.66 10.02 7.80 152.65
4 3.27 45.45 12.41 7.69 168.04
5 3.57 48.90 11.28 7.25 149.97
6 3.94 54.48 11.36 6.24 149.73
7 4.14 51.48 11.98 7.15 151.03
8 4.26 57.12 10.14 5.22 141.57
9 4.50 41.03 11.95 9.01 162.75
10 4.47 43.80 13.28 7.97 167.18
11 4.50 46.53 11.98 8.05 160.08
12 4.62 38.54 11.18 10.34 160.10
13 4.96 49.02 12.52 9.01 155.28
14 5.24 53.06 11.92 8.15 144.70
15 5.03 55.84 11.67 6.91 150.61
16 5.39 36.28 10.97 11.99 158.18
17 5.73 42.59 13.61 10.12 160.71
18 5.73 45.51 13.67 9.71 157.78
19 5.70 60.63 10.47 5.00 122.98
20 5.92 50.75 16.05 10.13 155.51
21 6.00 58.25 11.35 6.52 139.97
22 6.00 39.20 12.98 13.77 152.85
23 5.67 55.33 14.42 7.54 145.46
24 6.02 47.78 15.02 10.41 153.88
25 6.69 53.24 14.75 9.30 144.89
26 6.64 56.15 12.24 7.04 141.09
27 6.66 62.64 11.16 5.28 124.12
28 6.56 48.42 12.70 10.76 153.37
29 6.70 36.59 13.73 13.49 164.74
30 6.76 41.62 14.88 12.71 153.98
31 7.11 60.26 13.68 7.35 133.50
32 6.94 45.52 15.78 10.46 152.52
33 7.33 34.77 13.24 13.36 146.97
34 7.31 50.54 14.06 10.46 143.71
35 7.48 38.98 15.84 15.64 160.86
36 7.61 64.40 10.06 5.04 112.90
37 7.83 57.93 13.53 7.31 125.42
38 7.80 48.08 15.85 12.26 150.03
39 7.87 55.40 14.14 7.73 135.84
40 7.97 41.91 16.02 12.79 145.14
41 8.09 44.56 15.52 11.02 148.94
42 8.15 52.80 15.15 9.43 138.88
43 8.08 62.35 13.29 7.47 130.37
44 8.25 36.85 17.72 15.91 153.92
45 8.19 33.14 12.49 12.27 149.84
46 8.72 60.38 14.93 7.50 118.01
47 8.66 30.85 12.02 12.03 148.04
48 8.84 50.40 16.78 10.54 135.38
49 8.85 39.57 16.05 12.22 150.63
50 8.93 46.90 15.93 15.26 152.39
51 8.74 34.99 15.60 12.72 147.54
52 8.95 64.63 13.39 6.39 117.89
53 9.01 55.22 17.12 8.28 140.38
54 9.41 42.04 16.50 12.71 151.36
55 9.40 58.39 14.08 7.72 126.61
56 9.58 44.58 18.16 11.80 146.07
57 9.42 56.15 15.57 8.65 131.25
58 9.56 53.26 14.97 9.38 132.63
59 9.56 33.12 16.01 12.76 147.90
60 9.41 35.64 15.20 12.10 145.54
61 9.75 62.33 15.07 7.05 115.68
62 9.83 37.78 16.54 12.84 142.93
63 9.58 49.03 18.84 11.08 143.44
64 9.84 30.33 11.52 11.72 130.31
65 9.83 67.13 13.39 5.62 99.61
66 10.37 28.26 11.80 11.32 124.40
67 10.32 46.96 18.48 13.59 177.60
68 10.44 40.38 18.16 12.31 138.06
69 10.54 51.49 16.91 10.90 135.26
70 10.43 65.05 13.75 6.83 114.01
71 10.31 49.32 17.42 12.20 140.14
72 10.67 35.59 17.39 13.77 139.84
73 10.66 55.10 15.06 9.85 127.40
74 10.72 57.78 19.01 8.89 124.29
75 10.39 60.39 14.78 8.05 107.66
76 10.90 42.97 18.50 11.44 144.40
77 10.96 32.93 16.03 12.96 149.24
78 11.16 62.71 15.58 7.65 112.04
79 11.25 45.29 18.16 10.96 143.71
80 11.15 67.47 13.33 6.36 99.58
81 11.26 30.79 14.85 12.97 131.75
82 11.18 38.65 18.38 12.31 137.06
83 11.01 60.15 16.12 8.35 105.05
84 11.25 27.49 10.13 9.62 124.49
85 11.49 48.25 18.39 10.13 137.58
86 11.68 53.15 19.51 9.79 132.22
87 11.97 50.60 16.89 10.85 137.98
88 12.07 41.15 18.77 12.53 137.89
89 11.96 69.66 11.78 4.94 92.67
90 12.00 34.38 16.29 12.08 135.82
91 11.66 38.14 19.18 12.93 153.82
92 11.99 59.36 17.54 8.99 113.55
93 12.00 64.91 15.53 7.97 104.05
94 11.98 56.01 18.01 9.32 118.01
95 12.19 29.49 15.76 12.25 130.36
96 11.89 27.14 12.70 10.11 116.38
97 12.26 36.83 18.91 12.80 132.80
98 12.44 43.59 19.23 13.73 142.88
99 12.41 62.29 18.18 8.26 105.93
100 12.60 46.11 18.33 11.77 138.96
101 12.58 32.07 18.16 11.98 131.43
102 12.56 66.89 14.52 7.69 99.30
103 12.93 39.35 19.52 11.92 144.29
104 12.91 48.69 18.07 10.75 136.43
105 12.92 53.87 19.46 10.54 130.65
106 13.02 57.73 17.18 9.38 119.20
107 13.08 71.77 11.86 5.09 80.25
108 13.09 27.79 14.70 11.01 125.89
109 13.37 51.53 18.37 9.99 125.66
110 13.33 60.24 16.77 8.70 106.38
111 13.34 68.91 15.33 6.32 87.39
112 13.54 34.83 20.00 10.89 125.31
113 13.77 63.41 18.03 7.99 95.74
114 13.47 30.26 17.39 10.34 123.87
115 13.79 55.67 17.21 10.28 120.83
116 13.68 37.33 19.70 11.19 133.77
117 13.96 40.80 18.66 11.75 128.34
118 13.73 43.45 20.61 12.96 132.58
119 13.91 46.47 22.02 11.03 136.29
120 13.94 26.19 15.36 8.76 115.17
121 13.75 61.34 19.98 8.91 102.59
122 13.89 66.47 15.21 7.49 88.65
123 14.18 49.05 18.43 10.52 132.07
124 14.32 32.72 20.43 10.86 129.17
125 14.28 73.15 13.11 5.03 77.60
126 14.35 57.80 18.02 9.86 111.92
127 14.13 30.58 18.51 11.94 124.23
128 14.48 53.82 17.90 10.50 124.99
129 14.42 69.80 17.14 6.86 91.14
130 14.64 28.62 18.31 10.38 116.86
131 14.76 35.36 18.83 11.02 124.18
132 14.83 51.68 18.07 10.47 124.49
133 14.92 44.87 18.36 12.19 136.89
134 14.86 60.17 19.87 9.66 109.31
135 14.89 37.92 18.13 10.54 131.80
136 15.01 24.04 14.32 7.90 105.56
137 15.11 42.35 19.03 12.13 138.36
138 15.06 67.74 19.14 7.55 89.01
139 15.25 62.59 19.91 8.72 97.96
140 15.30 31.04 18.46 10.88 130.95
141 15.35 40.05 21.49 12.53 132.88
142 15.33 26.36 17.18 9.23 113.33
143 15.49 46.94 20.58 11.27 124.30
144 15.31 65.22 18.12 7.81 92.65
145 15.41 49.37 19.11 9.94 120.76
146 15.63 54.77 19.10 10.13 112.13
147 15.63 73.37 15.44 6.23 78.34
148 15.42 70.18 17.35 7.25 85.47
149 15.61 57.50 19.36 10.67 114.77
150 15.84 33.38 18.26 10.98 122.68
151 15.68 71.37 17.05 7.68 78.39
152 16.07 28.61 18.27 9.85 112.67
153 16.11 44.04 20.38 10.74 128.43
154 16.21 51.29 18.91 10.06 119.58
155 16.19 35.83 19.17 10.81 119.77
156 16.14 59.94 21.57 9.12 98.73
157 16.26 21.62 12.61 7.03 88.61
158 16.25 38.36 18.68 11.07 117.01
159 16.49 66.62 20.14 8.46 90.05
160 16.32 24.38 15.72 8.97 100.97
161 16.56 69.19 19.21 7.94 80.80
162 16.16 61.97 21.47 9.47 103.82
163 16.58 41.67 20.18 11.35 121.44
164 16.74 64.21 22.02 8.43 91.60
165 16.62 75.23 17.40 5.06 72.09
