#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb9 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.21 41.26 13.09 22.39 9.52
1 2.45 44.14 14.66 20.56 10.20
2 2.65 46.68 15.14 22.41 10.59
3 2.86 39.65 15.38 22.62 10.06
4 2.69 42.42 17.19 20.05 10.90
5 3.43 50.82 14.38 23.42 9.78
6 3.68 44.53 16.74 22.99 11.92
7 3.76 41.26 16.31 23.81 11.48
8 3.97 36.91 16.51 24.51 10.53
9 4.09 48.39 17.27 27.69 11.36
10 4.08 42.30 17.27 24.11 12.76
11 4.10 46.42 17.71 25.93 13.16
12 4.43 52.83 14.30 25.02 11.63
13 5.05 35.77 16.07 24.22 11.60
14 4.89 50.58 16.59 26.19 11.88
15 5.36 42.53 18.74 28.22 12.07
16 5.06 44.54 20.16 28.22 12.82
17 5.61 40.10 17.86 29.94 13.18
18 5.53 53.02 16.62 26.65 13.08
19 5.66 45.30 18.66 25.41 14.91
20 5.88 33.37 15.93 26.69 11.69
21 5.97 48.41 18.26 29.01 13.42
22 6.09 37.77 17.96 26.89 12.62
23 6.06 51.13 17.94 27.72 13.52
24 6.15 55.17 16.77 23.17 12.78
25 6.25 35.47 17.30 26.08 12.47
26 6.17 40.84 18.65 32.09 12.87
27 6.71 46.19 18.85 28.09 14.61
28 6.97 43.69 17.57 31.54 14.91
29 7.14 56.55 18.21 24.70 14.06
30 6.95 53.27 17.94 25.56 14.27
31 7.13 41.17 18.50 33.78 14.23
32 7.04 31.12 14.74 28.23 10.46
33 7.01 50.56 17.32 25.21 14.66
34 7.04 35.56 15.62 31.15 12.82
35 7.41 48.44 19.28 26.84 15.31
36 7.59 37.86 18.02 30.19 14.78
37 7.71 34.32 16.39 30.74 12.09
38 7.62 59.33 16.24 24.36 12.97
39 7.68 51.30 16.74 26.86 14.71
40 8.03 32.24 17.66 31.14 12.33
41 8.27 45.00 19.74 32.11 15.48
42 8.36 40.20 19.00 34.79 15.21
43 8.13 53.48 19.20 27.90 17.44
44 8.31 61.40 16.98 24.00 14.66
45 8.48 57.00 19.22 27.05 14.74
46 8.83 42.78 19.03 32.03 14.59
47 8.67 48.23 19.70 28.28 16.13
48 8.94 30.72 17.74 27.97 11.88
49 8.58 35.43 19.44 34.26 14.47
50 8.69 50.41 19.67 28.74 16.32
51 8.56 52.41 19.50 28.60 14.67
52 9.26 54.81 17.49 29.05 16.29
53 9.19 38.06 18.89 32.34 15.12
54 9.36 33.31 17.52 30.48 12.20
55 9.21 35.90 17.95 34.98 14.42
56 9.49 28.82 14.81 24.14 12.63
57 9.57 61.32 18.22 25.99 17.75
58 9.64 40.70 18.77 31.20 14.55
59 9.60 52.67 19.12 31.07 17.09
60 9.83 49.23 19.59 30.53 16.18
61 10.00 46.87 18.78 29.81 16.12
62 9.97 56.85 18.81 28.30 18.85
63 10.06 44.65 19.53 30.08 15.78
64 10.21 59.34 21.13 30.22 19.16
65 10.30 35.97 19.02 30.69 15.06
66 10.48 30.55 17.17 22.60 14.87
67 10.27 64.23 18.85 23.73 17.04
68 10.64 42.87 19.88 33.57 15.75
69 10.66 38.40 18.82 31.43 15.84
70 10.79 62.31 19.02 23.87 19.39
71 10.51 32.98 19.21 27.10 15.70
72 10.84 53.12 19.89 31.13 18.88
73 11.07 40.76 19.36 32.72 16.42
74 10.76 61.01 20.19 30.25 22.06
75 11.02 27.84 15.41 21.38 13.16
76 10.95 65.35 17.22 25.26 20.30
77 11.33 46.21 19.71 31.18 17.11
78 11.39 48.62 19.72 30.93 17.91
79 11.23 56.08 19.35 29.70 19.86
80 11.18 50.82 17.71 33.37 19.12
81 11.69 34.86 18.87 26.31 17.24
82 11.34 60.45 19.65 27.62 20.71
83 11.77 63.51 19.33 25.39 23.98
84 11.91 44.50 19.15 30.51 18.60
85 11.59 36.72 20.24 29.70 20.00
86 11.43 32.06 18.56 24.67 16.44
87 11.61 57.90 19.64 27.20 20.11
88 12.16 30.33 17.82 20.93 18.29
89 11.80 65.58 18.16 22.58 24.89
90 11.96 39.17 20.59 32.64 19.18
91 12.02 27.55 16.45 17.25 17.08
92 11.76 32.91 19.46 23.54 18.77
93 12.18 52.90 20.50 28.91 20.96
94 12.19 37.43 20.00 28.33 18.91
95 11.89 54.65 20.50 28.58 21.50
96 12.11 42.52 20.55 28.12 20.55
97 12.28 50.28 20.45 33.22 20.82
98 12.31 61.03 20.87 25.44 24.65
99 12.33 55.45 19.64 29.08 22.46
100 12.65 65.74 19.86 26.48 26.56
101 12.74 46.78 21.03 30.09 22.51
102 12.86 57.19 19.57 25.40 25.20
103 13.01 35.72 18.79 25.70 22.79
104 12.98 40.90 20.27 28.97 21.76
105 13.18 32.13 18.84 21.96 25.24
106 13.15 59.18 21.13 27.73 28.03
107 13.14 63.07 19.49 24.60 28.00
108 13.33 38.47 22.00 25.95 26.60
109 13.36 27.62 18.82 18.53 24.90
110 13.33 71.01 17.26 20.38 27.60
111 13.45 48.90 21.90 30.62 25.73
112 13.43 44.94 20.07 31.52 26.82
113 13.44 54.52 20.86 28.93 27.14
114 13.84 42.39 20.86 28.07 30.76
115 13.84 66.36 22.04 25.77 31.37
116 14.16 60.77 20.83 26.63 32.48
117 14.23 33.94 20.32 21.37 33.17
118 14.25 30.85 18.11 19.64 33.63
119 14.17 36.64 19.62 24.57 34.53
120 14.31 47.01 20.07 28.28 35.39
121 14.36 58.21 20.94 24.67 34.04
122 14.25 63.25 21.29 26.94 34.53
123 14.13 69.03 19.22 22.60 33.29
124 14.36 50.94 21.62 27.97 33.63
125 14.37 55.79 18.90 27.73 32.27
126 14.51 25.99 17.81 16.59 36.32
127 14.61 53.13 21.42 26.23 33.98
128 14.36 39.56 21.26 23.71 35.39
129 14.67 28.58 18.59 18.51 40.32
130 14.68 44.50 20.40 25.19 43.72
131 14.81 71.05 20.07 21.23 35.70
132 15.03 49.15 21.90 26.96 44.97
133 15.07 41.60 21.61 24.76 45.76
134 14.96 38.91 20.10 24.20 41.35
135 15.17 65.14 21.86 25.46 37.76
136 14.85 67.25 21.17 25.06 36.47
137 15.44 36.48 20.15 24.07 56.59
138 15.35 73.61 19.35 18.88 32.77
139 15.53 56.56 20.79 26.18 41.03
140 15.50 62.05 22.17 27.07 36.60
141 15.69 23.20 16.16 12.46 53.00
142 15.54 31.16 19.59 19.36 54.91
143 15.66 59.66 23.05 26.74 40.69
144 15.40 67.64 20.91 21.87 39.13
145 15.71 33.73 21.62 21.45 61.68
146 15.69 46.82 22.28 25.91 59.95
147 15.76 54.14 21.90 27.25 47.21
148 15.75 69.09 20.83 23.92 44.85
149 15.93 51.50 21.90 28.60 51.95
150 15.90 44.09 21.77 25.12 66.22
151 15.88 25.70 17.52 15.38 64.91
152 15.91 28.27 19.76 17.97 70.70
153 15.99 39.80 21.01 23.95 75.55
154 16.11 70.24 21.49 24.19 45.68
155 16.25 72.50 20.47 21.35 46.95
156 16.46 49.26 22.68 27.33 72.61
157 16.47 66.54 23.44 24.61 44.80
158 16.53 57.76 21.26 27.84 49.51
159 16.51 64.08 21.77 25.27 44.69
160 16.55 75.40 18.60 19.11 39.33
161 16.69 41.97 22.55 24.65 96.61
162 16.84 30.11 20.22 19.48 89.51
163 16.89 35.52 20.27 22.04 96.88
164 16.81 38.20 21.18 22.92 91.40
165 16.93 61.84 22.61 26.33 44.63
