#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
iz9 14A 4 even-skipped Kruppel bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - bcd>
0 2.06 43.63 14.15 11.22 209.12
1 2.43 48.11 14.18 8.54 182.34
2 2.51 41.11 15.18 11.10 201.67
3 2.99 45.89 16.97 10.92 191.08
4 3.39 52.92 12.25 7.75 162.93
5 3.60 43.27 18.95 12.17 199.28
6 3.64 37.18 17.25 12.03 212.55
7 3.80 40.24 16.93 10.65 199.93
8 3.80 49.07 17.46 9.75 186.44
9 4.31 51.84 15.78 9.60 190.23
10 4.36 46.62 17.81 11.45 188.85
11 4.52 54.73 12.95 10.02 173.88
12 4.61 35.13 18.20 12.55 196.46
13 4.95 38.30 21.08 14.60 217.61
14 4.92 43.99 18.01 12.33 195.29
15 5.09 32.73 17.54 12.22 200.76
16 5.23 41.37 18.88 12.36 197.28
17 5.21 50.43 18.04 11.24 198.80
18 5.60 56.38 16.45 8.27 159.45
19 5.64 47.50 19.61 13.68 206.57
20 5.76 53.21 18.18 10.05 177.12
21 5.94 36.30 22.12 13.16 197.48
22 6.04 31.07 18.65 14.77 194.04
23 6.23 44.72 19.04 13.23 196.62
24 6.32 39.68 21.09 14.70 202.84
25 6.49 58.39 15.77 10.16 157.18
26 6.59 33.95 22.16 15.83 195.17
27 6.49 50.01 22.63 13.84 185.65
28 6.89 42.12 20.16 13.16 196.46
29 6.47 55.21 18.62 11.17 180.34
30 6.91 28.35 19.38 14.64 180.48
31 7.15 52.86 20.15 11.21 178.19
32 7.03 47.38 21.01 14.02 195.59
33 7.02 55.72 18.43 10.88 171.24
34 7.21 37.88 21.42 15.34 199.66
35 7.48 30.86 21.54 18.45 217.87
36 7.56 60.36 17.51 10.91 147.97
37 7.69 44.84 22.71 12.98 189.28
38 7.89 33.34 21.07 17.29 196.85
39 7.96 57.88 17.77 12.08 152.29
40 8.06 35.88 24.61 17.64 195.30
41 7.88 50.36 20.63 13.56 184.54
42 8.21 54.98 22.24 12.73 171.03
43 8.36 39.80 21.96 17.47 197.08
44 8.32 42.42 20.44 14.42 186.95
45 8.28 28.52 19.90 15.89 181.64
46 8.38 47.44 19.23 14.87 188.18
47 8.51 64.22 13.94 9.06 124.63
48 8.75 61.75 17.63 10.76 144.02
49 8.99 52.44 22.31 14.40 166.01
50 9.11 26.07 20.50 14.92 165.84
51 9.18 30.82 24.74 15.99 176.81
52 9.13 37.78 22.79 18.67 186.22
53 9.13 33.47 23.85 17.02 185.03
54 9.32 45.39 20.39 15.32 183.31
55 9.36 59.60 19.19 12.27 161.29
56 9.26 49.61 19.32 14.91 182.08
57 9.40 57.20 19.39 13.15 155.73
58 9.54 66.55 13.27 7.57 98.79
59 9.68 54.71 20.06 13.87 169.24
60 9.76 42.95 20.82 16.37 181.52
61 9.89 35.96 22.60 18.44 181.46
62 9.88 28.42 23.64 15.09 174.63
63 9.89 40.26 20.44 16.66 185.18
64 9.93 64.33 19.77 8.64 129.57
65 10.08 23.76 19.68 12.20 150.50
66 10.26 47.61 21.18 15.43 175.17
67 10.27 61.89 20.82 11.02 149.00
68 10.42 50.96 21.27 15.06 161.45
69 10.47 33.48 22.27 14.60 174.00
70 10.82 26.56 22.82 13.93 163.26
71 10.84 30.42 26.40 16.04 169.85
72 10.82 56.21 22.17 14.12 154.74
73 10.88 59.34 22.01 12.39 149.13
74 10.94 38.26 24.13 15.26 170.02
75 10.97 45.08 21.61 15.56 170.92
76 10.94 53.35 22.79 14.12 160.52
77 11.02 66.78 15.91 7.68 112.50
78 11.06 41.92 23.69 14.26 180.40
79 11.41 21.13 18.80 9.63 130.83
80 11.40 64.26 20.79 9.03 132.75
81 11.38 24.03 25.07 13.01 160.33
82 11.50 48.94 21.69 15.78 156.57
83 11.63 35.35 22.42 15.45 168.16
84 11.82 32.72 27.02 14.82 171.74
85 11.86 28.41 23.76 13.10 155.13
86 11.71 61.86 22.20 10.26 136.14
87 12.04 54.73 24.89 13.86 150.55
88 12.14 51.59 22.22 13.73 151.28
89 12.12 57.71 23.17 13.17 147.90
90 12.23 40.55 24.32 14.56 168.06
91 12.15 68.71 16.38 6.83 105.13
92 12.25 46.69 24.70 13.46 159.74
93 12.29 37.82 23.94 14.07 170.09
94 12.25 43.66 23.75 13.62 153.92
95 11.98 25.88 24.59 14.86 153.86
96 12.45 60.17 23.33 12.42 143.28
97 12.48 66.25 18.08 9.89 122.48
98 12.36 22.77 21.75 9.25 145.56
99 12.60 30.94 26.28 13.76 161.91
100 12.51 26.58 25.51 12.38 145.84
101 12.68 25.16 23.32 13.39 144.71
102 12.91 63.97 24.56 10.96 126.67
103 13.07 20.27 20.21 8.23 119.75
104 13.11 49.17 24.12 12.85 148.72
105 12.79 23.87 20.85 9.31 135.92
106 13.10 35.61 25.68 13.34 157.39
107 13.03 22.30 21.24 10.21 138.82
108 13.34 55.94 25.29 12.87 145.76
109 13.22 52.74 23.19 13.82 138.68
110 13.44 70.04 18.94 7.69 97.71
111 13.49 27.49 25.98 13.04 142.36
112 13.50 42.29 22.76 13.44 150.59
113 13.45 45.38 23.48 12.61 150.05
114 13.62 61.51 23.84 11.62 135.26
115 13.63 58.52 22.91 13.10 130.50
116 13.72 33.12 24.35 12.57 147.28
117 13.70 38.89 23.83 13.08 145.78
118 13.71 67.38 19.53 8.45 110.85
119 13.85 24.05 25.81 10.45 138.39
120 13.84 30.37 24.72 12.03 147.62
121 14.06 18.61 21.07 7.80 117.03
122 14.25 64.66 22.93 10.72 118.66
123 14.41 47.32 23.02 13.72 139.72
124 14.33 50.44 24.38 13.85 140.71
125 14.59 21.82 22.36 8.28 121.47
126 14.38 36.19 26.23 13.35 153.52
127 14.51 54.45 23.79 13.48 136.18
128 14.71 41.22 24.37 13.49 142.82
129 14.76 26.13 25.18 11.12 134.30
130 14.67 72.00 18.49 7.86 92.21
131 14.83 44.23 27.97 13.80 145.16
132 14.85 69.40 20.99 8.38 100.03
133 14.92 59.66 25.90 12.26 126.25
134 14.89 28.79 26.45 11.78 141.23
135 14.93 62.36 24.50 11.06 121.11
136 15.01 57.01 24.27 12.41 127.36
137 15.10 34.30 24.00 12.08 137.33
138 15.17 66.91 25.05 10.41 111.13
139 15.28 38.50 24.71 13.31 140.48
140 15.39 31.54 27.55 10.50 136.20
141 15.35 52.30 24.90 14.05 136.92
142 15.52 19.32 23.13 9.18 115.93
143 15.58 48.98 25.55 13.61 134.38
144 15.74 73.79 17.82 6.69 86.34
145 15.75 24.68 26.58 10.25 128.91
146 15.76 64.33 24.41 11.55 111.58
147 15.89 45.98 23.30 12.65 131.79
148 16.03 54.81 25.57 12.84 123.62
149 16.00 42.98 26.13 12.29 134.18
150 16.16 21.91 24.31 8.73 115.82
151 16.14 71.36 22.56 8.59 90.68
152 16.25 60.87 24.53 11.29 109.62
153 16.18 28.98 28.45 11.22 128.06
154 16.24 58.17 26.84 11.99 125.08
155 16.39 40.30 26.66 12.77 133.23
156 16.29 68.84 25.47 10.08 99.82
157 16.36 16.10 19.70 6.90 102.24
158 16.33 34.21 26.52 11.75 127.86
159 16.56 37.25 25.18 11.87 126.88
160 16.48 51.34 26.71 12.76 125.41
161 16.66 75.52 19.70 6.70 72.77
162 16.81 26.65 26.42 9.79 124.56
163 16.78 66.18 25.88 11.06 105.96
164 16.88 31.63 27.03 11.16 129.14
165 16.84 47.91 24.97 10.89 124.28
