#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge4 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.72 44.22 17.71 10.94 5.18
1 2.36 42.72 19.57 12.99 5.49
2 3.09 47.05 19.34 12.48 4.70
3 3.23 43.95 20.76 14.49 5.90
4 3.49 50.59 19.24 10.12 4.60
5 4.17 40.28 20.75 13.88 7.08
6 4.17 42.17 20.34 15.64 5.45
7 4.44 45.46 20.27 15.59 6.23
8 4.27 49.77 20.12 12.47 5.33
9 4.98 39.09 21.28 17.80 5.72
10 5.11 35.32 20.08 16.47 5.47
11 5.12 48.17 22.23 14.40 7.60
12 5.26 51.23 22.43 13.67 5.83
13 5.84 39.44 22.85 16.05 8.10
14 5.84 32.94 19.59 16.19 6.68
15 5.87 44.24 23.51 17.00 7.51
16 6.22 35.39 22.20 16.89 6.41
17 5.99 46.60 26.00 16.97 7.60
18 6.34 51.69 22.19 13.00 7.41
19 6.50 33.75 23.00 17.83 7.07
20 6.50 41.51 24.21 17.77 8.38
21 6.61 44.57 25.60 21.55 7.69
22 6.57 39.51 23.40 18.50 7.60
23 6.83 47.08 25.52 19.56 7.02
24 7.14 40.58 25.26 17.17 8.49
25 7.81 52.96 24.30 14.38 7.74
26 7.87 35.40 24.79 18.93 8.02
27 7.61 30.36 20.12 14.62 7.96
28 7.62 47.48 21.95 18.64 7.23
29 8.10 31.49 22.44 18.88 6.83
30 8.00 42.58 24.74 19.76 9.26
31 8.08 56.89 21.97 12.63 9.00
32 8.20 60.61 20.16 10.50 8.32
33 8.33 33.17 24.03 17.00 8.00
34 8.49 49.50 28.33 14.71 9.31
35 8.36 47.77 24.79 16.84 8.95
36 8.97 51.13 24.78 16.62 9.11
37 8.80 37.12 27.82 17.60 8.20
38 8.69 52.64 28.25 12.75 8.25
39 9.14 44.01 27.95 18.58 9.05
40 9.32 53.48 24.37 16.96 8.94
41 9.17 59.43 22.24 11.49 8.37
42 9.26 31.35 23.60 18.31 7.83
43 9.44 38.73 27.29 20.68 8.44
44 9.43 56.41 23.46 13.88 9.70
45 9.65 27.61 20.44 15.69 7.75
46 9.75 29.32 21.47 17.71 7.24
47 9.62 41.37 27.70 20.33 9.65
48 9.57 52.22 29.00 17.50 10.12
49 9.71 32.74 24.72 18.06 9.28
50 9.72 45.50 28.19 18.69 10.12
51 9.97 61.41 22.49 10.21 11.17
52 10.45 51.68 28.62 19.37 12.30
53 10.12 36.79 27.18 19.87 8.73
54 10.24 55.06 25.95 15.77 11.86
55 10.62 57.91 25.74 13.47 13.32
56 10.56 35.15 27.73 21.02 9.16
57 10.29 30.72 25.32 17.64 8.59
58 10.41 32.33 24.52 17.41 9.83
59 10.41 39.40 28.07 19.02 10.16
60 10.49 46.05 29.07 18.75 9.77
61 10.19 47.28 27.14 15.29 10.14
62 10.46 63.91 21.85 9.39 12.24
63 10.40 48.98 27.59 17.57 10.89
64 10.68 26.84 22.13 15.77 7.23
65 10.65 50.56 29.30 16.50 11.00
66 11.33 29.38 25.41 16.40 9.53
67 10.87 59.96 27.06 10.75 9.38
68 11.17 37.09 29.54 21.08 9.42
69 11.40 45.10 29.83 18.95 12.78
70 11.35 55.34 27.46 16.57 15.28
71 11.37 63.34 22.11 10.66 20.66
72 11.54 61.14 23.68 11.60 22.22
73 11.51 42.50 29.21 19.15 11.22
74 11.46 46.78 29.42 18.50 11.97
75 11.35 50.98 27.86 13.57 12.57
76 11.81 33.13 27.60 20.02 9.18
77 11.62 31.43 24.74 15.53 10.05
78 11.76 58.00 28.39 13.10 18.16
79 12.78 34.32 28.56 18.38 11.94
80 12.03 30.42 27.44 19.56 8.67
81 12.55 51.45 31.87 17.11 18.66
82 12.37 25.68 21.59 14.98 9.67
83 12.65 64.74 25.77 9.97 27.34
84 12.58 44.63 29.77 17.95 14.65
85 12.30 48.02 31.47 18.18 15.35
86 12.64 57.08 30.36 13.69 24.00
87 12.79 40.42 30.80 19.59 14.24
88 12.88 30.87 26.51 16.44 11.04
89 13.14 62.48 25.45 11.47 33.78
90 13.02 37.62 30.10 22.12 12.22
91 13.04 59.98 27.90 12.42 34.74
92 13.14 22.64 20.24 14.43 9.23
93 13.11 47.16 32.46 18.71 17.13
94 13.31 66.89 22.81 9.19 31.14
95 13.09 32.22 27.32 20.26 11.32
96 13.59 36.19 30.73 19.06 15.11
97 13.41 42.78 31.02 19.02 14.98
98 13.66 27.81 25.87 17.81 11.36
99 13.81 49.85 31.02 18.18 25.15
100 13.80 55.44 27.42 16.42 36.56
101 13.93 57.96 27.73 15.12 40.85
102 13.83 41.33 31.92 18.20 13.56
103 14.08 52.49 31.02 17.48 39.04
104 13.94 31.91 28.04 18.65 14.62
105 14.16 24.17 23.07 13.27 10.53
106 14.60 59.97 28.36 13.87 53.90
107 14.51 65.31 24.41 11.29 46.62
108 14.60 62.84 27.27 13.49 54.48
109 14.65 25.14 25.06 15.07 13.69
110 14.28 35.77 29.50 19.00 20.00
111 14.58 39.24 31.30 18.52 17.18
112 14.72 68.08 24.93 10.15 43.74
113 14.84 44.81 29.14 20.03 33.08
114 14.96 20.98 21.41 12.54 11.51
115 14.79 42.76 32.38 20.84 24.13
116 15.24 33.17 29.39 19.77 18.70
117 14.90 48.82 31.07 17.07 44.73
118 15.01 54.79 30.18 16.48 60.68
119 14.96 37.26 29.64 17.09 16.98
120 15.03 31.34 31.38 19.32 16.09
121 15.26 51.01 31.77 17.33 60.37
122 15.17 57.37 28.65 16.02 63.23
123 15.28 71.16 22.58 9.00 34.64
124 15.59 46.80 33.04 17.95 49.22
125 15.55 40.09 32.16 19.08 26.52
126 15.40 25.00 24.64 15.59 14.64
127 15.52 26.93 28.30 15.55 19.65
128 15.85 53.10 31.48 18.76 84.17
129 15.77 61.01 30.31 15.74 70.06
130 15.96 65.49 25.70 12.63 63.70
131 15.75 22.13 22.71 12.35 18.24
132 15.97 36.71 31.00 20.30 25.16
133 16.27 42.48 33.99 19.94 47.12
134 16.10 68.14 24.72 11.03 58.01
135 16.06 23.38 25.39 14.93 21.11
136 16.37 49.10 32.43 18.64 73.61
137 16.51 34.85 31.14 20.28 26.69
138 16.31 63.30 28.31 13.78 78.78
139 16.29 44.77 31.79 19.74 60.93
140 16.34 55.94 30.94 15.96 93.37
141 16.38 20.60 21.26 13.89 18.49
142 16.25 30.43 28.65 17.98 23.89
143 16.39 58.56 30.72 16.09 88.10
144 16.15 27.51 27.21 16.21 25.33
145 16.54 25.79 25.28 16.38 29.50
146 16.74 32.48 30.69 19.78 35.47
147 16.90 51.31 33.25 20.12 97.25
148 16.64 38.99 32.55 20.47 37.39
149 16.91 69.96 25.97 9.78 57.18
150 17.15 72.31 25.62 8.42 50.30
151 17.29 46.87 32.92 18.18 87.84
152 17.18 53.81 31.93 17.78 112.56
153 17.18 61.03 32.54 15.50 99.20
154 17.37 23.18 24.60 15.38 40.69
155 17.34 29.63 27.91 19.14 35.66
156 17.30 37.15 32.51 20.03 44.85
157 17.34 40.81 33.62 19.75 62.73
158 17.35 66.65 27.75 12.91 76.70
159 17.67 44.21 33.89 19.37 85.74
160 17.61 63.63 30.10 14.06 98.74
161 17.46 24.64 23.64 15.40 37.12
162 17.70 56.16 31.89 17.00 118.18
163 17.78 58.65 31.15 16.43 114.48
164 17.89 27.18 26.08 17.38 42.61
165 18.02 21.05 22.05 13.92 49.89
