#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra4 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.55 47.02 9.16 9.66 4.88
1 1.90 45.40 8.38 8.27 5.68
2 1.88 48.02 7.96 8.72 5.44
3 2.68 44.43 8.78 9.91 5.33
4 2.62 49.79 9.97 9.13 5.83
5 2.68 52.16 10.43 9.12 6.08
6 2.64 42.00 9.32 7.55 4.52
7 3.10 47.02 10.50 10.41 5.54
8 3.11 42.09 9.00 10.73 6.36
9 3.46 52.15 11.77 7.26 7.11
10 3.54 43.87 11.32 10.08 6.52
11 3.54 39.60 10.59 7.59 5.88
12 3.35 54.37 11.00 9.00 8.00
13 3.88 45.15 11.50 10.25 6.80
14 3.66 49.75 12.13 10.03 6.32
15 3.91 41.75 10.51 8.96 6.13
16 3.89 54.13 12.24 8.49 7.24
17 3.92 48.19 12.44 10.09 6.47
18 4.49 46.27 12.91 11.39 6.10
19 4.27 56.38 11.15 8.08 7.55
20 4.23 52.62 11.37 8.87 7.37
21 4.60 43.10 10.71 11.89 6.79
22 4.45 51.10 11.21 10.54 7.87
23 4.73 48.24 12.58 9.81 7.28
24 4.61 54.35 12.16 7.00 7.37
25 5.06 44.18 13.02 10.73 7.06
26 4.78 53.15 12.48 8.48 8.66
27 5.06 56.14 12.96 10.43 8.48
28 5.16 51.10 12.74 10.50 8.22
29 5.25 40.16 10.26 11.84 5.51
30 5.36 54.81 13.09 10.28 7.85
31 5.42 37.48 11.95 10.52 6.34
32 5.35 41.67 11.61 10.09 6.82
33 5.31 48.48 13.36 11.14 6.71
34 5.80 45.42 13.40 11.74 7.42
35 5.84 58.12 13.51 10.18 8.36
36 5.74 42.51 12.46 11.72 6.74
37 5.74 47.46 14.09 10.51 7.29
38 5.70 39.30 12.90 8.10 6.50
39 6.67 33.41 12.01 10.91 6.18
40 6.22 49.23 13.29 10.70 8.02
41 5.98 35.31 11.22 9.50 6.39
42 6.15 56.22 14.50 10.16 8.14
43 6.21 36.80 11.47 10.67 6.87
44 6.12 38.74 12.27 8.45 6.55
45 6.13 52.88 14.93 10.50 8.13
46 6.23 54.46 12.21 10.25 9.21
47 6.35 42.22 13.42 10.09 8.44
48 6.87 40.75 12.63 13.12 7.36
49 7.00 43.83 12.34 11.25 7.99
50 6.98 36.02 12.28 11.16 6.74
51 6.62 38.62 12.92 9.54 6.38
52 6.60 32.67 0.00 0.00 0.00
53 7.30 53.56 14.75 10.22 9.68
54 6.96 57.00 13.72 10.69 11.03
55 7.14 55.43 14.18 9.90 8.93
56 7.40 38.57 13.58 11.70 8.04
57 7.39 49.90 13.42 9.27 8.11
58 7.39 59.43 14.82 10.23 10.82
59 7.34 45.59 13.78 12.07 8.16
60 7.41 47.24 13.71 9.65 8.15
61 7.47 34.71 11.97 7.68 7.56
62 7.54 57.47 15.12 9.17 9.83
63 7.64 37.07 13.09 9.64 7.76
64 7.59 62.17 14.11 9.47 10.37
65 7.86 52.12 15.45 10.27 9.36
66 7.91 39.91 11.79 13.08 8.25
67 7.86 33.98 12.57 9.90 9.19
68 7.95 55.16 14.43 11.49 10.38
69 7.92 61.35 12.94 11.56 14.19
70 8.24 42.95 15.14 11.04 8.34
71 8.18 33.23 13.29 11.23 8.10
72 8.02 36.14 13.82 9.82 8.50
73 8.31 62.55 14.78 9.62 13.40
74 8.16 58.29 14.86 10.38 13.65
75 8.48 44.88 15.17 11.17 8.62
76 8.54 49.57 15.55 9.92 9.22
77 8.49 60.35 14.52 10.07 13.90
78 8.54 30.89 14.02 9.73 7.76
79 8.64 47.43 13.84 11.34 9.38
80 8.66 53.50 14.25 10.30 11.88
81 8.25 32.09 13.75 11.25 7.00
82 8.48 41.01 14.13 11.45 8.27
83 8.52 55.99 15.67 10.03 9.63
84 8.81 35.87 15.80 10.85 8.08
85 8.74 38.38 15.45 11.75 8.76
86 8.63 54.58 14.70 9.50 9.50
87 8.90 33.14 14.18 8.86 8.03
88 8.79 45.65 15.83 9.38 9.46
89 9.29 63.48 14.28 10.65 17.89
90 9.09 29.62 12.12 9.41 7.43
91 9.24 51.96 14.12 10.42 11.32
92 9.35 56.45 14.59 10.08 13.05
93 9.42 49.04 14.75 11.25 10.16
94 9.62 61.28 13.48 11.35 17.48
95 9.45 32.57 14.15 9.97 9.45
96 9.31 54.28 16.33 11.00 12.17
97 9.84 65.56 13.28 10.64 20.80
98 9.40 41.21 14.00 10.36 9.27
99 9.70 42.18 14.77 13.46 10.02
100 9.45 45.92 14.56 11.78 9.70
101 9.72 39.76 14.59 11.58 8.91
102 9.79 34.21 14.81 10.94 9.63
103 9.48 44.60 16.88 14.12 7.12
104 9.79 29.09 13.74 9.38 7.41
105 9.63 51.28 14.52 10.84 10.60
106 9.74 37.48 15.05 10.22 8.77
107 9.76 54.18 14.24 11.52 14.28
108 10.31 58.98 14.39 11.17 17.28
109 10.12 44.94 15.14 12.40 9.60
110 10.01 56.82 15.83 10.71 13.71
111 10.17 67.95 13.64 10.19 21.79
112 10.06 49.37 14.73 10.47 10.86
113 10.20 41.04 14.61 11.11 9.50
114 10.27 51.75 15.66 11.08 13.19
115 10.59 38.40 14.75 11.88 10.35
116 10.58 47.15 16.22 11.74 10.99
117 10.38 34.78 14.21 9.83 8.03
118 10.45 36.35 15.63 8.90 10.20
119 10.73 55.00 15.53 11.04 16.93
120 10.85 64.14 14.95 10.71 24.52
121 10.76 28.52 14.35 9.46 11.07
122 10.70 56.31 16.62 10.77 16.26
123 10.93 62.01 15.45 11.67 24.68
124 10.78 32.94 13.92 10.48 11.96
125 10.71 53.08 14.48 12.24 17.16
126 10.98 43.47 15.03 13.24 13.60
127 10.79 49.63 15.18 10.74 14.97
128 11.05 66.70 14.25 9.98 24.93
129 11.54 60.22 15.17 11.10 22.83
130 11.12 34.67 13.78 10.35 10.67
131 11.19 45.22 14.20 11.98 14.45
132 11.15 36.48 15.23 10.69 9.15
133 11.29 53.51 16.70 12.33 15.91
134 11.47 57.71 15.06 11.13 20.00
135 11.35 48.84 15.92 11.39 12.58
136 11.76 26.55 13.68 9.21 12.21
137 11.52 28.99 14.13 8.02 11.43
138 11.45 33.04 16.24 10.89 10.63
139 11.51 38.89 15.92 11.54 12.17
140 11.53 51.62 15.02 10.55 17.50
141 11.63 67.62 15.72 10.92 27.12
142 11.70 47.19 15.52 12.32 16.88
143 11.97 41.66 16.48 11.40 15.46
144 12.00 65.32 16.34 11.85 30.27
145 12.08 30.64 15.68 9.54 13.49
146 12.19 55.29 15.30 11.76 21.69
147 12.04 45.25 16.20 12.45 13.47
148 12.06 50.71 17.43 12.13 18.68
149 11.87 56.58 15.33 12.13 19.73
150 12.20 34.46 14.16 10.61 14.35
151 12.17 39.51 17.57 11.23 12.26
152 12.32 53.09 15.91 11.78 22.37
153 12.27 61.91 14.52 11.50 22.95
154 12.49 63.34 16.93 11.54 27.84
155 12.16 48.13 16.44 10.11 14.72
156 12.71 49.05 16.00 10.79 17.59
157 12.57 71.13 14.13 10.53 32.35
158 12.36 28.72 13.44 8.42 15.22
159 12.35 68.83 14.73 10.53 31.00
160 12.69 43.51 15.73 11.89 17.49
161 12.49 58.83 17.67 12.58 25.80
162 12.71 46.52 17.61 10.47 16.51
163 12.91 41.15 16.01 11.22 18.93
164 13.12 56.83 16.33 12.24 25.88
165 13.11 66.44 16.69 11.55 32.88
