#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn10 14A 4 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
606 38.32 85.62 109.91 56.78 147.14
607 38.42 47.49 76.89 40.41 223.75
608 38.69 72.51 138.31 50.75 211.00
609 38.47 66.08 108.90 49.90 226.33
610 38.64 27.34 80.12 27.37 193.38
611 38.60 30.00 78.74 28.71 192.60
612 38.61 34.91 81.33 31.49 206.22
613 38.87 37.21 81.28 33.69 211.58
614 38.67 18.66 71.51 22.55 145.53
615 38.76 22.03 69.04 23.17 155.23
616 38.66 60.37 88.70 50.81 237.74
617 38.90 49.77 85.47 42.46 225.94
618 38.78 57.44 86.93 47.36 225.44
619 38.85 52.07 84.90 45.12 233.43
620 38.93 7.72 55.02 16.97 81.84
621 38.99 74.89 144.93 55.95 204.98
622 38.92 12.99 72.14 20.28 123.63
623 38.97 69.19 122.90 54.36 221.76
624 39.11 92.20 86.52 65.22 56.67
625 39.06 45.52 82.35 41.12 225.96
626 39.16 55.24 96.80 49.27 234.49
627 39.25 79.74 141.34 65.42 173.28
628 39.35 87.45 114.66 76.50 143.71
629 39.19 43.26 90.90 41.85 226.42
630 39.27 32.75 81.86 31.58 203.74
631 39.38 24.95 73.92 27.55 181.78
632 39.25 40.19 87.64 38.11 225.73
633 39.44 77.08 143.27 60.28 189.68
634 39.35 82.23 126.13 67.07 168.85
635 39.54 89.94 96.76 76.42 106.12
636 39.56 16.15 66.90 21.71 135.84
637 39.58 59.27 108.25 54.51 228.14
638 39.56 61.97 120.45 55.94 235.25
639 39.65 64.52 151.30 58.04 231.59
640 39.54 66.88 140.82 56.36 226.11
641 39.70 10.54 59.17 20.11 112.18
642 39.65 47.91 104.15 43.62 225.68
643 39.77 84.67 110.07 72.74 146.26
644 39.74 20.32 62.30 25.81 158.88
645 39.78 30.40 80.18 31.34 195.09
646 39.88 27.79 81.16 28.23 195.06
647 39.79 53.26 109.09 50.17 230.27
648 39.98 36.33 85.38 36.48 220.62
649 39.99 70.99 152.99 62.31 219.17
650 39.99 56.96 105.86 53.28 237.92
651 40.02 50.96 118.48 49.94 231.95
652 40.23 34.20 84.45 35.51 208.67
653 40.22 38.59 84.11 38.37 215.16
654 40.15 41.71 98.06 41.88 224.18
655 40.17 73.56 156.66 68.40 216.76
656 40.29 23.03 71.59 26.86 168.18
657 40.22 13.04 63.95 21.77 138.85
658 40.18 45.66 110.22 45.09 232.44
659 40.35 68.39 161.13 65.64 227.64
660 40.34 7.93 48.37 19.86 101.16
661 40.59 18.30 65.01 25.30 148.02
662 40.73 43.73 118.86 46.18 233.14
663 40.59 54.88 141.04 55.82 233.07
664 40.61 78.91 127.68 78.67 176.69
665 40.75 48.33 134.92 51.95 233.17
666 40.76 75.94 150.09 75.25 192.57
667 40.75 90.80 85.89 93.68 82.77
668 40.75 25.89 76.50 28.63 190.45
669 40.66 61.48 151.07 62.49 230.25
670 40.77 81.80 118.02 79.57 153.98
671 40.82 31.90 90.39 36.03 207.38
672 40.72 59.09 154.14 60.29 233.39
673 40.79 63.90 171.45 64.98 223.96
674 40.91 66.12 159.88 69.69 226.23
675 40.78 87.51 93.58 89.82 127.75
676 40.97 15.46 68.68 24.08 144.03
677 41.01 29.33 90.59 31.83 195.41
678 41.09 40.06 117.73 46.22 234.52
679 41.20 52.76 167.61 59.05 230.80
680 41.02 50.36 143.55 54.89 233.27
681 41.17 84.55 101.05 88.86 138.07
682 41.24 20.89 68.84 27.79 160.64
683 41.20 57.07 161.09 65.55 237.54
684 41.41 10.16 69.62 23.52 131.98
685 41.22 36.16 106.39 42.52 218.80
686 41.31 72.23 151.92 77.36 209.83
687 41.33 46.27 145.26 52.96 237.32
688 41.35 69.42 158.97 77.47 225.33
689 41.64 41.97 139.54 49.53 231.26
690 41.59 12.77 77.24 25.26 135.16
691 41.68 23.60 79.85 30.67 176.72
692 41.65 33.77 109.84 41.05 210.29
693 41.74 93.04 56.80 105.14 37.92
694 41.63 7.32 49.31 20.87 83.15
695 41.82 38.20 127.78 49.35 228.29
696 41.77 54.92 175.54 71.31 235.80
697 41.73 60.39 180.60 73.10 232.55
698 41.88 74.67 141.29 96.65 200.92
699 41.78 63.17 171.61 76.33 225.46
700 41.85 77.51 138.03 103.70 189.49
701 41.92 17.54 83.39 26.89 155.94
702 41.99 28.09 94.47 35.74 193.01
703 42.02 80.41 118.45 99.56 152.39
704 42.10 25.82 83.52 34.32 176.93
705 41.98 87.93 88.00 112.29 108.37
706 42.06 90.64 78.49 119.68 85.63
707 42.14 44.39 161.64 56.95 235.61
708 42.14 48.83 170.18 58.74 230.95
709 42.07 51.06 169.74 67.85 236.15
710 42.01 66.77 157.95 92.19 230.92
711 42.19 31.06 120.94 41.56 200.70
712 42.19 58.06 165.65 76.09 231.84
713 42.25 82.82 96.74 103.67 134.61
714 42.49 14.51 89.96 27.12 136.90
715 42.39 70.42 136.42 92.87 207.37
716 42.56 20.09 86.00 30.56 156.83
717 42.51 36.03 141.28 48.12 218.31
718 42.55 46.79 171.86 62.61 232.07
719 42.61 85.62 83.55 108.19 109.61
720 42.64 39.80 167.90 56.26 230.67
721 42.67 53.18 183.51 78.44 232.28
722 42.70 6.25 58.55 23.64 55.38
723 42.83 56.08 183.88 88.13 234.00
724 42.78 64.89 154.63 96.19 222.73
725 42.59 83.92 81.68 101.79 119.25
726 42.73 8.98 77.03 26.78 108.74
727 42.88 73.19 116.89 108.76 188.47
728 42.97 11.55 99.54 31.06 136.67
729 42.81 33.20 131.88 46.81 213.06
730 42.90 22.81 95.90 34.97 181.75
731 42.91 42.09 160.57 60.53 234.59
732 42.83 62.61 166.64 94.31 220.05
733 42.88 59.93 180.33 92.14 229.37
734 42.97 78.54 110.12 108.67 148.96
735 43.00 67.69 133.78 103.45 213.08
736 43.04 28.86 119.99 41.42 189.57
737 43.06 16.98 95.63 31.62 156.60
738 43.22 75.81 115.05 115.17 165.64
739 43.22 51.00 184.33 82.23 231.69
740 43.26 91.24 65.72 124.35 65.04
741 43.26 25.73 112.77 40.72 185.55
742 43.49 37.65 176.83 58.63 221.16
743 43.42 88.23 68.64 121.22 79.75
744 43.44 44.05 173.44 69.13 229.13
745 43.48 81.86 84.08 116.48 112.28
746 43.46 48.70 183.74 77.72 230.50
747 43.62 58.31 147.79 100.65 224.83
748 43.51 70.98 118.65 117.25 187.51
749 43.74 30.71 150.21 49.93 210.12
750 43.62 34.99 171.46 54.89 215.09
751 43.59 54.45 164.31 97.45 227.75
752 43.72 7.57 82.17 30.78 74.18
753 43.73 46.32 183.22 80.68 233.77
754 43.78 13.87 110.02 37.42 149.25
755 43.79 61.29 145.58 110.58 213.32
756 43.92 39.97 178.76 69.39 228.59
757 44.01 20.59 109.96 41.07 168.64
758 43.96 63.82 124.68 118.12 203.95
759 44.01 66.17 120.20 125.15 197.57
760 43.98 84.20 72.11 120.96 88.98
761 44.09 32.61 163.71 55.22 201.94
762 44.14 68.49 118.96 127.24 186.64
763 44.10 17.84 102.59 37.74 165.31
764 44.08 23.21 130.10 41.55 178.28
765 44.11 27.79 137.76 45.74 187.54
766 44.23 52.01 167.11 105.04 222.94
767 44.14 79.60 87.93 130.07 119.88
768 44.27 9.94 109.48 40.81 121.09
769 44.43 42.04 158.82 76.83 215.45
770 44.26 56.48 143.97 114.35 223.28
771 44.43 72.86 106.29 136.20 161.89
772 44.37 77.24 92.72 131.99 127.54
773 44.60 74.96 99.76 138.03 148.27
774 44.50 5.07 51.97 28.03 32.32
775 44.53 49.76 167.05 92.72 217.62
776 44.61 25.69 147.86 50.51 187.87
777 44.53 90.24 65.31 131.09 56.58
778 44.65 36.07 165.48 68.84 216.52
779 44.61 44.71 170.62 95.60 221.12
780 44.79 47.56 159.74 101.24 216.66
781 44.71 53.85 151.92 120.98 216.08
782 44.67 70.48 108.18 140.74 172.50
783 44.86 15.59 117.17 47.30 155.02
784 44.73 60.39 127.00 134.09 208.22
785 44.94 87.79 66.36 135.64 63.39
786 44.95 38.45 166.48 78.23 212.27
787 44.84 7.66 89.14 39.39 76.05
788 44.93 58.29 118.44 137.72 211.66
789 44.94 29.48 149.38 58.91 199.42
790 45.05 62.69 93.53 152.83 191.22
791 45.03 80.96 76.64 139.08 90.03
792 44.96 85.01 66.49 140.90 77.09
793 45.05 12.94 110.34 48.82 139.23
794 45.11 33.77 160.23 69.85 207.01
795 45.08 65.17 90.04 139.62 166.80
796 45.24 18.77 117.96 50.78 158.19
797 45.34 23.67 132.61 57.09 171.81
798 45.32 55.61 115.25 145.51 205.77
799 45.60 21.30 116.93 59.45 163.39
800 45.27 67.77 92.32 149.76 158.73
801 45.58 31.48 149.57 74.93 190.39
802 45.56 40.93 140.63 94.86 191.10
803 45.57 9.87 97.00 51.66 105.05
804 45.63 43.29 142.29 113.71 204.16
805 45.54 46.24 136.05 109.89 201.04
806 45.52 50.29 127.47 120.29 200.35
807 45.53 93.64 54.42 130.13 23.17
808 45.76 26.50 139.16 68.78 176.74
809 45.77 78.53 76.36 154.57 99.49
810 45.75 6.03 67.50 45.43 48.37
811 45.85 82.74 70.89 144.85 71.82
812 45.80 73.33 81.61 153.79 118.39
813 45.80 76.16 85.67 155.84 108.41
814 45.83 91.25 70.04 139.43 37.46
815 45.68 70.65 88.39 155.73 134.05
816 45.80 52.87 109.42 137.18 195.64
817 45.85 61.29 85.69 155.04 159.74
818 45.98 36.21 133.55 95.78 200.44
819 46.00 59.06 89.59 157.55 166.74
820 46.15 16.30 103.70 57.51 127.42
821 46.19 28.61 146.14 78.26 176.84
822 46.15 56.86 92.79 162.56 167.39
823 46.14 63.79 87.86 163.14 140.60
824 46.10 38.68 127.89 102.01 191.66
825 46.11 88.86 78.20 144.29 49.62
826 46.21 13.03 96.13 65.89 121.19
827 46.31 65.88 83.54 164.06 130.13
828 46.29 33.74 131.15 88.52 182.35
829 46.41 68.20 78.74 171.94 125.70
830 46.31 85.83 88.10 146.76 55.52
831 46.46 44.91 118.33 128.36 185.68
832 46.73 7.11 60.60 61.08 62.49
833 46.68 47.08 112.62 144.10 174.88
834 46.50 54.77 97.30 163.18 169.12
835 46.52 94.78 48.99 123.64 10.74
836 46.70 19.32 105.28 69.73 138.72
837 46.70 48.93 98.70 144.06 168.13
838 46.54 50.94 95.98 149.80 177.02
839 46.59 24.17 112.37 76.82 148.96
840 46.72 30.54 119.64 88.95 171.95
841 46.80 80.49 78.90 152.76 64.09
842 46.80 72.36 76.93 172.62 100.08
843 46.81 10.68 75.56 66.92 96.57
844 46.90 40.53 105.33 128.98 171.34
845 47.00 21.84 91.91 82.04 138.37
846 46.90 42.71 108.75 139.37 170.97
847 46.96 70.10 80.90 170.69 101.63
848 46.95 74.98 82.79 165.24 84.63
849 47.00 60.80 80.55 171.34 124.57
850 47.03 52.88 91.05 167.26 162.34
851 47.14 77.59 90.06 159.57 70.13
852 47.32 92.88 80.51 147.06 21.55
853 47.09 26.60 111.91 91.82 147.10
854 47.22 62.85 83.55 177.69 123.15
855 47.20 83.60 88.82 156.78 50.97
856 47.20 38.11 93.35 126.06 170.70
857 47.18 58.73 91.66 171.40 129.28
858 47.33 35.74 99.62 116.58 167.37
859 47.32 90.51 94.44 155.76 33.57
860 47.32 16.90 86.43 76.52 116.67
861 47.29 32.83 101.68 109.63 165.16
862 47.43 56.78 85.25 175.52 121.86
863 47.41 13.69 69.85 78.32 102.96
864 47.42 64.78 88.07 181.80 101.98
865 47.70 9.20 57.28 80.13 76.03
866 47.48 66.90 81.16 174.99 92.40
867 47.60 4.94 29.08 60.44 22.44
868 47.58 86.91 91.89 142.93 36.36
869 47.58 45.11 92.67 153.81 149.99
870 47.72 54.93 87.19 175.11 117.55
871 47.81 50.75 85.40 165.85 122.96
872 47.79 95.06 62.92 131.38 8.95
873 47.82 24.11 87.92 104.61 116.24
874 47.95 27.90 87.72 110.08 127.69
875 47.80 30.13 93.26 111.16 136.82
876 47.90 48.48 87.29 166.03 133.30
877 47.99 71.68 97.33 177.51 73.47
878 47.94 73.91 96.55 174.12 73.67
879 47.91 6.97 39.97 77.28 37.13
880 48.05 42.86 89.23 158.65 123.84
881 48.02 80.77 87.86 154.48 46.96
882 48.08 21.11 65.32 97.92 99.29
883 48.13 40.51 88.41 149.96 126.99
884 48.10 69.24 85.97 180.01 80.52
885 48.13 52.85 96.03 180.25 109.02
886 48.40 11.76 55.59 86.19 73.45
887 48.28 34.45 81.47 146.66 137.57
888 48.25 60.52 108.32 179.68 90.25
889 48.38 18.47 60.39 92.48 87.20
890 48.38 78.07 102.13 166.40 54.82
891 48.38 46.53 83.66 173.16 123.31
892 48.48 75.68 124.53 177.47 60.26
893 48.34 32.29 81.84 129.91 118.91
894 48.27 38.12 83.20 147.58 135.66
895 48.37 58.41 119.52 191.34 99.89
896 48.31 83.07 98.08 153.45 40.02
897 48.57 2.85 12.69 42.03 7.54
898 48.39 15.27 57.87 88.66 80.38
899 48.49 62.48 117.46 183.57 81.00
900 48.39 89.00 99.52 143.40 28.58
901 48.42 84.53 95.40 146.82 34.55
902 48.66 25.64 80.10 122.77 100.92
903 48.60 64.72 114.83 180.70 71.46
904 48.39 90.54 104.38 151.76 27.52
905 48.64 67.41 106.73 182.46 70.18
906 48.70 93.00 85.58 147.02 16.27
907 48.65 6.95 32.23 88.30 33.57
908 48.86 36.24 78.03 149.88 112.97
909 48.88 44.47 91.99 178.99 113.99
910 48.88 54.64 118.56 179.31 87.92
911 48.90 86.46 105.62 149.90 31.70
912 49.08 56.85 137.68 193.32 82.76
913 49.04 5.27 25.09 71.27 13.78
914 48.95 30.25 75.17 141.31 101.22
915 49.10 23.39 64.35 112.16 84.26
916 49.08 49.98 101.75 175.36 89.00
917 49.17 52.06 121.79 188.17 87.33
918 49.12 9.71 42.83 90.28 48.43
919 49.08 27.67 68.79 127.67 92.65
920 49.13 70.60 120.02 176.18 59.12
921 49.20 48.07 106.87 178.00 93.41
922 49.22 73.11 125.60 179.70 52.71
923 49.17 80.13 126.51 160.56 38.53
924 49.17 41.93 94.72 161.83 99.00
925 49.33 20.95 62.34 110.01 68.10
926 49.48 91.41 86.98 150.87 21.32
927 49.37 33.25 77.25 150.68 88.69
928 49.36 39.55 93.85 163.80 92.63
929 49.39 16.33 53.97 99.55 63.87
930 49.56 83.12 121.74 149.40 30.55
931 49.57 12.79 51.97 100.92 52.63
932 49.54 66.20 132.37 185.99 59.23
933 49.62 58.85 141.32 192.44 63.70
934 49.58 60.69 147.80 188.83 61.43
935 49.58 88.70 102.23 149.97 25.41
936 49.60 75.92 135.47 172.68 41.71
937 49.63 63.02 140.86 184.35 59.10
938 49.85 7.15 35.31 89.16 26.15
939 49.85 18.76 61.35 105.04 57.16
940 49.83 37.48 90.15 158.25 85.39
941 49.74 46.39 126.93 181.82 84.55
942 49.81 68.79 133.90 182.46 51.04
943 50.02 94.65 65.48 137.92 7.86
944 49.96 31.34 78.77 155.26 73.97
945 49.97 35.06 85.56 153.71 77.04
946 50.08 78.38 130.34 169.86 35.52
947 49.98 53.41 154.46 187.33 66.42
948 49.94 55.77 146.14 193.74 63.69
949 50.06 28.72 69.93 137.95 66.78
950 49.99 44.01 119.18 182.16 86.90
951 50.24 26.15 72.23 132.36 55.62
952 50.08 10.14 48.78 99.61 40.19
953 50.21 85.70 114.02 151.41 24.73
954 50.26 23.81 73.43 124.40 58.20
955 50.30 41.87 123.37 171.23 68.86
956 50.30 49.06 145.22 191.00 67.32
957 50.49 71.47 142.50 182.98 39.46
958 50.40 14.76 61.88 108.22 45.39
959 50.46 51.13 153.58 180.42 57.71
960 50.44 73.90 135.74 178.00 34.05
961 50.45 81.01 122.47 159.16 29.83
962 50.37 64.72 140.36 191.46 50.09
963 50.50 39.67 129.54 170.70 63.05
964 50.61 21.13 79.28 123.10 47.31
965 50.77 58.02 160.74 186.84 48.05
966 50.64 62.05 162.08 194.79 48.13
967 50.77 66.69 150.85 185.96 42.58
968 50.69 90.17 88.58 150.38 18.21
969 50.90 92.69 71.05 159.08 12.92
970 50.73 45.48 160.62 187.85 64.18
971 50.81 76.43 125.09 175.27 31.08
972 50.90 60.08 158.17 184.89 43.70
973 50.91 69.03 138.90 188.00 39.58
974 51.00 87.52 90.64 144.76 19.18
975 50.94 17.13 77.07 111.55 40.16
976 51.01 32.37 103.20 153.46 51.73
977 50.99 30.01 90.59 152.30 51.14
978 50.89 37.31 110.33 164.18 57.86
979 50.86 55.84 171.66 196.98 47.61
980 51.23 96.82 22.62 81.14 2.34
981 51.03 7.95 48.56 102.32 21.96
982 51.12 47.28 175.30 186.42 51.16
983 51.07 83.89 101.32 154.96 22.82
984 51.02 53.33 180.89 183.80 47.89
985 51.16 12.63 69.49 110.00 31.81
986 51.10 34.52 117.11 160.88 56.17
987 51.32 5.62 39.26 91.60 10.50
988 51.21 27.76 93.58 146.77 47.67
989 51.28 10.24 71.32 109.09 27.98
990 51.34 43.34 168.98 182.16 47.42
991 51.51 24.11 109.80 137.69 37.57
992 51.31 63.98 148.15 190.95 39.70
993 51.44 78.68 103.11 165.26 24.80
994 51.52 41.26 166.83 173.77 44.27
995 51.52 49.16 159.34 185.27 43.86
996 51.70 19.14 101.43 120.71 30.74
997 51.60 72.95 123.88 178.50 27.07
998 51.66 21.71 100.95 130.05 34.25
999 51.70 39.01 156.31 175.10 42.87
1000 51.74 81.76 88.64 160.61 20.52
1001 51.79 14.62 87.17 109.76 28.57
1002 51.76 51.50 161.48 184.90 39.49
1003 51.83 75.37 105.73 177.79 26.63
1004 51.87 26.30 119.26 145.67 40.41
1005 51.80 55.12 162.18 182.99 37.27
1006 51.78 69.99 124.15 186.99 31.54
1007 51.89 36.08 144.18 170.52 46.73
1008 51.95 45.26 172.66 182.77 40.75
1009 51.91 57.41 145.30 189.43 38.18
1010 51.92 61.69 130.35 188.54 32.59
1011 51.90 66.95 128.41 183.36 30.73
1012 51.95 90.28 66.08 154.41 13.82
1013 52.11 59.30 133.07 192.55 34.16
1014 52.13 92.95 51.77 146.55 10.21
1015 52.05 30.09 125.14 151.72 37.08
1016 52.27 16.87 101.46 125.00 27.20
1017 52.24 32.52 138.31 157.31 37.00
1018 52.14 87.23 66.02 155.36 17.26
1019 52.39 84.45 66.50 151.09 16.53
1020 52.36 8.65 83.56 113.65 16.16
1021 52.31 64.60 107.42 184.08 28.82
1022 52.41 47.14 154.94 191.97 37.44
1023 52.56 97.54 11.49 61.57 1.36
1024 52.60 11.24 85.57 107.22 18.53
1025 52.49 79.70 75.32 169.16 21.98
1026 52.58 53.51 138.00 186.61 32.30
1027 52.73 34.42 148.22 162.76 34.17
1028 52.59 71.54 103.56 184.56 24.07
1029 52.61 77.07 83.71 178.76 22.22
1030 52.78 6.53 71.71 96.24 8.64
1031 52.65 95.06 26.25 122.40 4.19
1032 52.66 4.17 43.08 75.87 3.60
1033 52.74 27.90 121.06 150.99 28.47
1034 52.64 37.78 144.30 169.77 35.16
1035 52.68 49.66 137.65 186.59 32.67
1036 52.78 43.38 153.81 176.70 33.18
1037 52.67 40.82 140.63 172.30 31.70
1038 52.77 21.90 108.68 132.18 23.93
1039 52.80 24.91 128.31 143.23 27.97
1040 52.83 68.46 100.68 188.45 24.64
1041 52.85 74.01 84.22 183.32 22.83
1042 52.84 13.51 90.41 115.69 20.78
1043 52.98 55.44 119.90 192.57 31.29
1044 53.04 51.71 117.97 188.41 28.80
1045 53.04 62.47 100.30 189.74 26.57
1046 53.13 19.18 100.38 124.46 20.16
1047 53.09 60.40 108.02 195.37 28.63
1048 53.16 81.74 69.23 157.76 16.61
1049 53.13 30.04 109.34 159.40 29.00
1050 53.10 57.38 102.22 189.55 26.83
1051 53.18 90.80 47.31 156.16 12.10
1052 53.25 87.70 57.21 152.89 12.54
1053 53.30 93.03 41.10 140.30 7.22
1054 53.41 45.54 111.09 186.55 30.13
1055 53.48 66.78 89.03 185.20 21.49
1056 53.44 36.29 123.85 158.03 27.90
1057 53.36 64.75 95.86 186.58 23.92
1058 53.44 15.93 92.33 118.80 16.68
1059 53.50 32.48 110.42 155.28 27.44
1060 53.48 48.02 103.40 187.45 28.08
1061 53.57 8.78 79.93 108.39 13.06
1062 53.55 39.24 111.34 175.01 28.68
1063 53.64 58.95 88.37 189.25 24.54
1064 53.61 70.06 83.05 184.88 20.67
1065 53.61 78.37 63.93 168.08 16.79
1066 53.74 75.66 66.23 168.85 16.34
1067 53.68 84.30 61.22 150.19 14.23
1068 53.78 26.47 105.46 156.22 23.24
1069 53.75 41.70 105.34 181.57 27.13
1070 53.79 72.56 71.58 186.03 19.21
1071 53.82 23.60 101.60 145.25 20.07
1072 53.90 53.61 99.03 187.10 24.34
1073 54.00 5.40 47.73 94.10 3.84
1074 54.05 21.25 88.07 129.48 16.08
1075 54.11 43.82 92.34 178.00 23.06
1076 54.02 50.99 100.97 180.66 23.85
1077 54.21 94.37 37.50 142.39 5.10
1078 54.26 10.46 63.43 109.40 11.18
1079 54.10 13.08 69.23 116.53 12.37
1080 54.13 34.51 99.16 160.80 24.83
1081 54.12 55.90 88.20 191.48 21.15
1082 54.32 28.54 84.50 152.40 18.95
1083 54.19 30.75 79.71 152.80 21.12
1084 54.21 61.19 81.01 182.94 21.18
1085 54.30 17.15 79.62 116.48 13.70
1086 54.23 81.17 63.33 155.77 14.23
1087 54.18 89.58 55.42 140.76 10.47
1088 54.28 63.55 77.84 182.96 20.42
1089 54.40 37.42 90.62 164.20 22.44
1090 54.43 68.36 73.77 184.49 19.53
1091 54.42 49.02 90.53 183.09 21.98
1092 54.53 46.67 88.90 182.38 20.95
1093 54.45 86.60 60.99 148.38 11.88
1094 54.57 7.44 51.91 104.49 7.33
1095 54.67 19.47 69.87 125.27 14.61
1096 54.50 92.05 52.10 139.00 7.18
1097 54.54 58.05 77.69 176.84 20.20
1098 54.76 39.68 82.05 169.86 20.81
1099 54.57 65.94 82.37 183.34 19.28
1100 54.74 73.80 74.28 175.49 16.61
1101 54.79 24.51 72.90 147.39 15.28
1102 54.78 71.14 72.02 182.75 16.36
1103 54.76 78.81 65.83 160.25 13.71
1104 54.82 41.98 79.01 168.84 20.61
1105 54.91 33.02 71.57 158.91 18.46
1106 54.93 76.19 74.67 173.31 15.99
1107 55.07 26.74 65.94 147.79 14.81
1108 54.94 52.38 82.52 182.76 20.64
1109 55.03 83.45 73.09 146.16 11.29
1110 55.03 54.78 78.00 178.61 18.70
1111 55.12 14.79 59.55 115.14 11.18
1112 55.18 35.53 78.87 165.63 20.21
1113 55.14 44.70 82.59 177.17 19.66
1114 55.30 22.34 58.41 134.38 12.75
1115 55.29 59.68 91.27 177.20 18.09
1116 55.24 62.10 86.64 184.88 17.64
1117 55.28 89.58 64.47 137.23 8.62
1118 55.31 12.18 49.91 112.66 9.25
1119 55.30 30.93 67.20 153.86 15.01
1120 55.20 92.19 51.37 134.21 7.28
1121 55.35 49.62 98.32 178.86 18.03
1122 55.43 8.71 45.39 102.57 6.63
1123 55.48 57.12 89.60 179.13 17.48
1124 55.51 17.31 53.88 122.01 10.81
1125 55.45 64.51 94.87 178.71 15.37
1126 55.54 69.16 90.72 176.40 15.99
1127 55.45 94.81 50.74 119.47 3.65
1128 55.60 5.78 27.85 87.94 2.82
1129 55.52 37.69 76.00 160.75 16.42
1130 55.56 66.70 94.74 179.09 16.87
1131 55.67 28.97 65.67 151.72 13.12
1132 55.61 80.71 92.51 156.24 12.84
1133 55.66 86.25 86.25 137.87 9.83
1134 55.70 47.07 101.54 171.56 16.72
1135 55.81 41.16 78.54 158.11 15.90
1136 55.84 71.82 93.45 171.48 14.10
1137 55.99 43.41 87.28 169.52 16.94
1138 55.89 74.61 99.95 187.04 15.78
1139 55.92 77.82 93.61 162.44 12.72
1140 55.90 20.00 51.66 120.23 9.85
1141 55.96 25.32 61.42 142.02 12.27
1142 55.98 34.10 72.79 160.73 14.30
1143 56.03 51.38 100.66 175.05 16.90
1144 56.04 53.37 109.25 176.73 16.30
1145 56.32 39.06 77.00 156.32 15.10
1146 56.14 55.21 116.04 169.37 16.02
1147 56.35 93.00 84.82 128.50 4.77
1148 56.35 32.00 76.03 154.58 12.97
1149 56.27 62.89 125.48 177.16 15.34
1150 56.24 83.65 114.50 135.00 9.93
1151 56.32 60.77 134.28 172.04 14.56
1152 56.34 88.21 101.24 138.53 8.69
1153 56.42 10.53 43.00 106.84 7.69
1154 56.34 13.23 49.72 105.02 8.43
1155 56.51 90.78 99.31 135.03 7.70
1156 56.44 23.01 60.16 129.66 9.42
1157 56.40 49.23 128.37 164.81 15.18
1158 56.44 58.76 124.81 163.40 16.35
1159 56.63 7.84 36.57 101.72 4.69
1160 56.53 15.71 55.97 114.83 8.07
1161 56.53 27.54 70.81 147.12 11.27
1162 56.55 36.26 79.62 164.26 13.74
1163 56.55 45.39 123.20 166.49 14.93
1164 56.55 67.60 148.71 173.33 14.17
1165 56.66 56.78 130.79 174.91 15.19
1166 56.66 64.85 146.80 171.23 14.30
1167 56.63 95.22 52.00 100.91 2.86
1168 56.71 69.82 142.87 172.15 14.05
1169 56.87 29.81 79.46 147.29 10.79
1170 56.68 80.99 128.97 140.10 9.74
1171 56.85 72.32 130.48 165.59 12.65
1172 56.95 18.46 60.10 114.98 8.19
1173 56.90 42.17 113.35 157.62 14.40
1174 57.02 76.76 122.30 155.71 11.54
1175 57.02 5.51 23.67 82.58 1.90
1176 57.06 47.45 157.96 159.42 14.08
1177 57.01 74.62 127.04 158.76 12.01
1178 57.05 20.89 63.23 118.96 8.33
1179 57.03 52.42 161.98 168.11 15.28
1180 57.14 34.36 98.17 154.56 12.15
1181 57.20 79.01 137.53 148.17 10.63
1182 57.28 25.57 77.46 136.40 9.58
1183 57.28 40.35 108.10 156.14 12.74
1184 57.30 55.00 177.87 155.15 11.82
1185 57.36 86.22 138.37 121.94 7.99
1186 57.35 37.66 99.18 149.75 13.04
1187 57.39 50.10 173.99 160.10 13.37
1188 57.31 62.54 173.79 162.21 13.35
1189 57.39 83.60 146.87 135.03 8.68
1190 57.47 44.02 142.15 160.94 13.88
1191 57.36 59.84 163.89 160.66 13.82
1192 57.44 66.49 163.87 157.31 12.41
1193 57.43 88.74 128.99 129.58 7.76
1194 57.51 13.20 65.65 105.45 6.76
1195 57.48 31.79 103.78 144.77 10.30
1196 57.58 23.42 79.21 127.44 8.53
1197 57.48 93.90 83.87 104.40 3.34
1198 57.58 10.32 51.25 94.44 5.34
1199 57.74 27.65 95.51 138.00 8.88
1200 57.76 68.97 160.21 150.48 10.63
1201 57.73 91.51 119.11 112.48 5.96
1202 57.66 16.30 80.57 102.09 6.99
1203 57.68 57.40 158.66 158.69 12.81
1204 58.00 7.68 42.48 98.12 4.08
1205 58.00 45.94 161.32 153.29 12.58
1206 57.92 71.17 152.71 160.53 11.43
1207 58.00 64.62 161.32 148.58 11.70
1208 57.90 73.39 141.76 150.54 11.69
1209 58.08 53.65 177.22 152.39 12.07
1210 58.05 81.08 138.64 128.34 9.13
1211 58.11 29.82 120.45 139.15 9.25
1212 58.29 35.57 133.75 133.30 9.36
1213 58.10 21.11 92.12 115.39 7.34
1214 58.16 48.13 178.05 154.27 12.22
1215 58.20 51.31 177.33 157.15 13.00
1216 58.19 33.58 124.06 141.03 10.26
1217 58.14 39.61 129.02 138.71 10.88
1218 58.30 42.11 138.57 148.20 12.34
1219 58.38 75.69 136.64 140.29 10.04
1220 58.28 60.34 147.65 155.15 11.33
1221 58.32 5.34 31.03 72.27 1.43
1222 58.34 18.35 84.26 108.03 6.80
1223 58.37 78.33 133.25 135.66 9.09
1224 58.36 62.54 160.50 149.32 11.13
1225 58.33 89.36 140.25 108.23 6.03
