#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em39 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
139 14.06 38.05 14.18 5.36 40.95
140 14.26 39.42 14.09 5.89 37.02
141 14.05 44.21 13.30 5.10 39.40
142 14.30 57.63 12.78 5.59 35.55
143 14.40 31.45 13.95 6.02 37.12
144 14.42 68.38 10.50 4.47 28.62
145 14.40 60.68 12.68 6.76 35.34
146 14.46 42.21 13.89 5.85 36.98
147 14.42 53.13 13.68 5.58 34.92
148 14.32 62.94 10.60 7.07 32.93
149 14.67 65.78 10.95 5.33 32.76
150 14.45 45.33 13.97 5.27 37.24
151 14.83 28.86 13.43 5.37 40.97
152 14.81 34.72 13.76 5.45 38.50
153 14.87 62.30 11.51 5.46 34.86
154 15.26 37.13 13.92 5.82 38.39
155 15.06 43.21 13.98 5.63 37.80
156 15.08 59.42 13.70 6.17 36.63
157 15.42 39.38 13.04 5.73 37.79
158 15.30 44.93 12.97 5.11 36.74
159 15.25 30.75 13.19 5.35 37.96
160 15.09 57.47 13.58 7.76 35.85
161 14.99 49.98 13.25 5.75 41.50
162 15.28 53.30 13.31 5.86 34.58
163 15.39 69.88 10.39 5.27 28.32
164 15.14 40.72 13.92 6.77 36.15
165 15.38 46.98 12.89 4.75 34.14
166 15.42 67.80 10.90 4.75 30.41
167 15.58 33.22 14.25 5.88 40.64
168 15.25 66.30 11.92 8.08 34.31
169 15.69 51.64 13.17 5.82 34.77
170 15.59 27.46 12.65 5.18 38.00
171 15.63 63.08 11.55 7.50 36.05
172 15.77 42.00 13.40 6.07 39.16
173 15.84 54.95 12.41 5.73 36.29
174 15.57 60.33 11.90 6.30 33.50
175 16.06 35.40 13.23 6.01 38.10
176 15.82 58.96 12.00 6.83 34.59
177 15.96 25.29 12.89 4.87 34.74
178 15.95 57.42 13.14 5.22 34.81
179 15.99 71.37 9.89 5.81 26.75
180 15.88 61.37 12.13 7.30 34.20
181 16.01 48.28 13.75 5.59 36.84
182 16.09 30.12 12.31 5.41 38.72
183 16.22 68.99 10.71 6.64 30.02
184 16.27 28.43 12.81 6.09 37.55
185 16.30 46.28 13.17 5.02 38.41
186 16.14 60.30 11.86 8.29 34.57
187 16.46 37.88 13.06 6.27 38.77
188 16.62 39.87 13.33 5.50 40.14
189 16.61 50.08 13.25 6.04 36.96
190 16.61 55.59 12.98 6.77 35.84
191 16.78 26.84 12.75 5.28 35.89
192 16.66 32.83 12.94 6.15 40.73
193 16.64 51.75 12.44 6.34 37.71
194 16.53 60.40 14.00 6.58 34.67
195 16.64 62.04 12.55 6.65 34.27
196 16.68 48.44 12.70 5.50 38.20
197 16.84 66.19 11.21 6.89 36.66
198 16.60 23.99 11.56 4.94 34.81
199 16.85 58.64 12.44 6.44 37.83
200 16.77 71.23 10.62 4.84 28.51
201 17.09 44.55 12.51 5.56 37.60
202 17.12 53.29 12.83 6.65 35.22
203 17.05 47.51 12.04 6.14 37.47
204 16.87 67.73 11.40 6.75 34.85
205 17.29 22.99 12.79 4.76 33.21
206 16.94 25.02 12.89 5.51 35.51
207 17.38 28.83 13.66 6.07 37.07
208 17.10 40.71 13.00 6.50 42.00
209 17.20 69.30 10.46 6.25 32.18
210 17.08 42.17 11.83 4.50 43.00
211 17.31 73.60 9.07 4.74 26.57
212 17.69 56.72 12.65 6.87 39.82
213 17.50 62.83 12.78 6.35 36.30
214 17.57 30.98 13.64 6.64 40.17
215 17.68 50.03 12.46 6.26 37.89
216 17.94 64.89 11.79 6.96 35.63
217 17.47 41.67 12.42 6.32 39.21
218 17.67 71.10 11.08 7.73 29.73
219 17.46 25.81 13.44 5.33 35.00
220 17.57 26.97 12.54 6.08 35.21
221 17.78 68.11 11.06 6.96 32.98
222 18.03 43.02 12.77 6.27 38.25
223 17.96 39.49 13.17 5.94 38.23
224 17.76 46.88 11.41 6.41 37.91
225 17.89 59.32 11.75 6.72 37.58
226 17.96 48.58 12.75 4.84 36.91
227 18.01 25.14 13.98 5.49 36.98
228 17.95 35.66 12.97 6.13 38.61
229 18.15 45.53 13.47 5.81 39.58
230 18.34 23.00 12.11 4.70 33.42
231 18.31 29.12 13.29 5.82 39.78
232 18.81 33.89 12.43 7.36 40.23
233 18.37 41.42 13.00 7.29 39.53
234 18.32 63.31 12.70 9.48 38.78
235 18.50 26.74 12.20 5.80 37.42
236 18.53 51.02 11.67 6.10 38.02
237 18.53 69.86 10.63 6.34 31.27
238 18.49 67.02 11.55 6.97 36.27
239 18.47 71.97 10.05 7.52 28.12
240 18.91 56.37 12.20 7.35 37.91
241 18.86 37.75 12.88 5.67 37.31
242 18.72 54.12 12.42 6.94 40.03
243 18.79 59.49 12.66 7.43 38.20
244 18.69 47.27 12.15 5.62 35.31
245 18.94 35.42 13.12 6.53 38.84
246 18.79 44.16 12.00 6.03 39.58
247 18.78 62.22 13.09 7.09 39.45
248 19.10 24.82 11.88 6.14 38.82
249 18.90 60.78 12.05 8.43 39.00
250 19.06 74.39 9.50 7.36 27.55
251 19.18 41.47 12.18 7.09 36.50
252 19.13 39.58 12.24 7.04 38.96
253 19.02 51.96 12.16 6.52 40.36
254 19.02 63.22 12.79 7.16 38.00
255 19.11 70.59 10.29 8.65 30.35
256 19.22 28.49 11.82 6.28 39.46
257 19.49 61.56 12.92 10.94 37.38
258 19.86 68.80 11.80 11.35 35.84
259 19.45 76.26 8.78 5.52 26.07
260 19.40 31.71 13.50 6.15 40.15
261 19.58 21.32 11.10 5.25 31.68
262 19.47 47.07 12.53 7.30 35.12
263 19.50 58.54 12.18 7.56 39.28
264 19.66 64.00 13.04 9.39 36.09
265 19.60 72.86 10.46 7.17 29.58
266 19.99 27.15 12.70 6.04 40.52
267 19.78 71.42 10.74 8.72 34.52
268 20.05 36.06 12.20 7.00 40.00
269 19.95 39.45 13.02 6.82 39.48
270 19.80 43.99 11.89 6.46 41.86
271 20.52 25.32 11.68 6.43 38.74
272 19.84 42.18 13.00 7.26 39.70
273 20.00 65.92 12.06 8.85 37.60
274 19.85 23.11 10.50 6.07 34.93
275 19.81 32.94 12.54 6.43 42.43
276 19.96 49.10 11.23 7.10 36.10
277 20.08 53.52 13.17 6.37 39.52
278 20.28 50.86 12.93 8.16 37.36
279 20.52 56.88 12.73 8.75 39.11
280 20.11 40.86 12.88 6.12 40.52
281 19.98 58.67 12.25 7.38 41.00
282 20.21 59.91 12.20 8.80 36.44
283 20.25 47.34 12.71 5.62 38.94
284 20.30 19.75 9.36 5.71 31.31
285 20.34 44.94 12.95 7.45 37.93
286 20.34 63.15 12.24 8.92 37.00
287 20.36 34.40 12.44 7.06 41.22
288 20.29 43.03 13.39 5.74 42.04
289 20.33 61.27 12.37 8.43 37.63
