#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl34 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.06 50.01 10.73 3.37 26.47
1 2.48 47.05 11.00 4.62 28.18
2 3.07 49.04 12.42 5.05 30.35
3 3.04 52.06 11.41 4.75 28.95
4 3.58 50.92 13.76 5.95 31.56
5 3.79 41.59 13.56 5.11 28.74
6 3.81 43.51 12.93 6.22 30.82
7 3.88 45.90 13.21 5.36 33.16
8 4.03 54.40 11.90 4.60 28.70
9 3.85 48.62 11.00 6.08 31.33
10 4.35 51.52 12.91 5.30 33.56
11 4.70 46.93 13.49 5.97 33.62
12 4.37 49.40 12.74 5.52 28.59
13 4.68 39.23 13.69 4.69 30.50
14 4.66 44.11 14.03 5.28 30.56
15 4.59 48.17 12.00 5.57 35.48
16 4.88 41.04 13.51 5.30 32.46
17 5.17 53.82 13.72 5.44 31.06
18 5.01 56.22 10.62 4.48 30.72
19 4.93 42.34 15.67 4.67 36.00
20 4.99 50.44 14.07 4.97 31.76
21 5.01 55.02 13.15 5.60 32.85
22 5.17 57.49 11.44 4.59 29.22
23 5.39 48.88 13.61 5.34 31.75
24 5.53 52.16 13.23 5.83 34.23
25 5.79 43.31 14.31 5.91 34.63
26 5.70 55.99 13.56 6.50 32.11
27 6.09 51.03 14.23 5.68 36.26
28 6.10 37.02 15.95 5.58 32.24
29 6.13 39.45 14.61 4.92 35.10
30 6.18 47.95 14.08 5.84 35.51
31 6.12 55.35 13.73 5.73 34.88
32 6.26 53.83 14.43 5.11 32.54
33 6.45 46.37 14.76 6.10 32.39
34 6.19 41.70 16.33 5.00 38.67
35 6.76 56.65 14.24 5.33 32.06
36 6.61 40.69 15.56 5.53 36.22
37 6.77 52.20 13.91 6.20 32.11
38 7.02 59.69 11.60 4.83 30.54
39 6.90 54.07 13.81 5.81 35.90
40 7.00 37.66 17.54 6.51 34.18
41 7.28 43.85 14.30 6.55 36.18
42 7.09 41.92 14.91 6.32 34.18
43 7.16 49.09 15.02 6.07 35.33
44 7.23 50.93 14.22 5.48 36.37
45 7.36 45.98 14.43 5.83 34.64
46 7.71 40.88 16.27 5.95 35.86
47 7.64 52.96 15.53 6.22 34.76
48 8.02 55.06 13.22 6.03 36.92
49 7.91 58.63 13.55 5.58 35.24
50 8.04 35.79 15.91 5.78 31.72
51 7.86 50.39 15.58 5.82 36.18
52 8.05 47.47 13.53 5.38 35.38
53 8.19 61.52 12.06 4.57 28.11
54 8.59 60.06 14.13 5.53 34.20
55 8.47 37.64 15.50 5.12 33.43
56 8.57 42.71 16.37 6.89 38.48
57 8.32 46.21 17.32 5.32 37.86
58 8.25 34.07 15.90 4.60 30.90
59 8.54 52.37 14.47 6.55 36.25
60 8.76 49.42 15.19 6.14 36.19
61 8.86 34.13 15.41 5.28 32.06
62 8.62 45.15 15.83 6.44 35.61
63 8.63 57.03 13.75 5.56 38.38
64 9.02 39.48 15.88 6.08 34.35
65 8.88 46.37 16.43 6.48 36.30
66 9.02 54.13 14.35 6.54 35.43
67 9.35 36.50 15.55 5.82 34.01
68 9.27 41.44 18.84 7.16 37.57
69 9.33 58.09 14.12 6.20 37.19
70 9.22 51.82 16.16 6.90 36.39
71 9.44 60.99 12.92 4.89 33.73
72 9.45 46.58 16.15 5.64 38.10
73 9.62 32.34 18.29 7.00 34.85
74 9.60 43.68 16.43 6.92 36.43
75 9.99 53.70 14.32 6.44 34.59
76 10.02 48.05 15.13 6.56 40.89
77 10.00 34.44 16.73 6.76 35.82
78 9.81 64.96 12.00 5.26 29.49
79 10.15 30.46 13.02 5.16 31.78
80 10.01 40.59 16.63 6.04 37.51
81 9.94 42.31 17.61 5.89 39.39
82 10.04 45.28 17.06 5.81 36.53
83 10.16 61.59 13.37 6.21 36.00
84 10.16 56.49 14.44 6.84 36.00
85 10.04 38.19 17.08 6.96 35.75
86 10.65 51.10 15.60 6.47 36.57
87 10.23 58.33 13.27 6.82 42.00
88 10.42 32.07 15.51 5.88 32.60
89 10.65 36.39 16.41 6.87 34.42
90 10.29 66.04 10.95 5.05 28.68
91 10.51 60.23 13.81 6.07 37.33
92 10.92 39.93 15.35 6.52 38.63
93 10.55 41.79 17.19 5.52 35.77
94 10.79 28.98 14.00 5.00 28.35
95 10.94 59.15 15.32 6.68 35.36
96 10.81 45.16 17.20 6.64 40.26
97 11.04 55.52 15.76 6.61 40.88
98 11.15 66.38 10.86 5.47 31.91
99 10.97 63.43 13.29 6.60 33.69
100 11.14 48.00 15.39 6.75 36.58
101 11.31 43.06 17.14 6.33 37.58
102 11.25 34.14 15.42 6.14 38.00
103 11.46 53.71 15.33 6.76 38.18
104 11.58 57.85 14.20 6.09 36.51
105 11.57 41.53 15.93 7.03 35.50
106 11.83 38.05 15.02 6.46 36.46
107 11.71 44.79 20.89 9.08 41.05
108 11.68 30.37 13.75 5.88 33.02
109 11.96 32.00 15.21 6.73 34.95
110 12.03 60.55 14.10 6.86 40.69
111 12.07 64.71 12.86 6.18 33.71
112 12.08 52.18 16.09 7.77 39.70
113 12.16 55.75 14.84 7.25 39.46
114 12.26 48.49 15.91 7.16 37.12
115 12.31 41.05 15.82 6.87 38.11
116 12.03 50.53 14.93 6.57 40.54
117 12.03 45.70 17.00 6.62 39.38
118 12.34 43.38 16.74 6.93 40.35
119 12.28 57.92 15.55 6.50 36.34
120 12.37 68.31 10.98 5.44 28.14
121 12.51 28.63 13.07 6.14 31.54
122 12.60 39.69 15.67 7.31 36.72
123 12.47 46.88 15.66 7.38 38.71
124 12.68 30.49 14.67 6.29 35.43
125 12.88 49.80 17.26 7.60 37.29
126 12.75 33.49 13.96 6.39 35.81
127 12.98 26.28 11.43 5.98 32.64
128 12.76 54.65 16.09 6.80 37.23
129 13.05 42.02 15.88 7.34 37.91
130 12.74 66.21 12.92 6.92 32.46
131 12.92 51.89 16.78 8.12 39.12
132 13.49 64.98 13.32 6.38 35.85
133 13.14 37.20 15.80 6.84 35.33
134 13.12 44.36 16.07 7.67 43.71
135 13.47 58.66 15.00 6.98 38.46
136 13.16 46.07 15.33 6.62 37.69
137 13.19 56.53 15.20 6.86 36.10
138 13.07 68.13 10.53 5.38 30.94
139 13.21 53.49 15.33 7.55 40.05
140 13.61 70.16 11.00 5.22 29.33
141 13.40 39.15 15.98 7.41 37.63
142 13.51 34.85 14.90 6.66 38.49
143 13.72 51.67 16.17 7.40 39.14
144 13.58 30.33 13.81 6.26 35.79
145 13.52 62.68 13.31 6.72 40.19
146 13.66 47.84 15.47 6.84 41.10
147 13.98 32.35 14.05 6.67 35.50
148 14.11 28.63 13.86 6.54 34.40
149 13.95 40.41 15.90 6.62 41.47
150 14.15 42.46 15.69 7.35 39.96
151 13.84 44.05 15.58 6.77 38.52
152 14.01 54.68 16.45 6.92 39.90
153 14.01 56.32 15.10 6.52 37.39
154 14.10 49.48 15.10 6.78 38.82
155 14.53 26.05 13.05 7.01 35.45
156 14.25 62.83 14.38 7.00 38.91
157 14.31 36.14 14.94 6.94 37.42
158 14.35 45.44 14.89 7.13 38.85
159 14.38 60.73 13.53 6.81 40.79
160 14.32 68.13 11.90 6.66 35.66
161 14.59 53.69 15.40 7.93 39.74
162 14.74 38.42 14.23 7.57 39.34
163 14.68 50.60 16.07 7.87 39.94
164 14.69 69.90 11.59 6.48 33.18
165 14.82 66.72 12.61 6.73 37.01
