#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.56 45.27 10.44 12.09 3.81
1 2.55 42.24 10.70 12.23 3.35
2 2.83 48.40 10.89 13.12 3.21
3 3.61 45.25 11.66 13.05 3.77
4 3.43 49.52 12.56 11.50 4.56
5 3.64 41.77 13.83 11.25 4.92
6 3.99 42.91 12.64 13.61 4.36
7 3.86 48.93 15.50 11.00 5.75
8 4.05 46.45 12.75 12.56 7.12
9 4.13 53.02 11.88 9.63 5.23
10 4.06 47.60 11.58 14.00 4.08
11 4.36 51.28 12.12 12.60 3.32
12 4.46 49.05 11.67 13.34 4.12
13 4.60 38.08 11.08 13.02 3.62
14 4.55 45.85 12.19 13.75 3.94
15 4.99 42.75 13.68 12.29 4.98
16 5.07 47.17 12.40 14.33 4.62
17 5.02 39.50 13.42 12.82 4.30
18 5.01 51.23 12.69 11.85 6.38
19 5.22 45.10 13.68 13.34 4.56
20 5.09 48.79 11.67 13.60 5.73
21 5.16 55.23 11.91 11.73 4.59
22 5.55 52.96 13.11 14.26 4.30
23 5.64 50.32 11.91 14.34 5.47
24 5.48 37.88 13.17 11.81 5.23
25 5.90 42.01 12.68 14.56 5.03
26 5.87 44.34 14.24 14.12 3.71
27 6.30 39.98 13.97 14.75 5.21
28 6.37 57.37 12.34 12.75 4.95
29 6.29 37.41 12.87 14.44 4.48
30 6.38 52.79 14.43 13.17 5.14
31 6.52 50.59 14.26 15.00 6.24
32 7.03 35.76 12.39 15.43 4.83
33 6.48 44.74 15.16 14.86 5.56
34 6.31 55.94 13.00 15.00 4.90
35 6.63 54.62 13.56 13.62 5.36
36 6.81 52.01 11.00 14.18 5.47
37 6.81 43.67 13.00 16.75 6.33
38 7.09 46.86 18.13 15.58 7.16
39 7.10 55.88 14.77 15.23 4.38
40 7.29 41.72 15.14 16.06 6.06
41 7.48 44.96 13.73 18.48 5.78
42 7.26 43.21 16.82 15.73 6.27
43 7.42 55.03 14.79 11.07 6.50
44 7.51 33.01 10.42 14.42 4.78
45 7.49 50.80 13.31 16.12 5.75
46 8.12 52.31 14.11 15.87 6.78
47 7.69 39.41 14.86 16.91 4.97
48 7.68 57.54 12.36 14.14 5.56
49 7.75 48.49 15.53 16.37 6.89
50 8.12 60.06 13.25 12.65 4.84
51 8.34 54.81 15.90 15.25 5.92
52 8.07 53.72 14.33 16.28 6.72
53 8.36 41.83 16.23 18.14 6.45
54 8.34 46.74 16.02 18.50 6.31
55 8.58 35.57 14.09 18.59 5.33
56 9.01 37.82 15.01 18.93 6.50
57 8.21 49.86 16.18 16.94 6.71
58 8.74 61.61 13.03 11.06 5.70
59 8.77 44.70 14.97 19.71 6.73
60 8.47 56.36 15.60 15.13 6.07
61 8.46 58.70 15.39 14.39 7.17
62 8.95 32.09 12.89 13.86 4.39
63 8.89 49.44 15.10 18.21 6.13
64 8.96 57.19 14.92 16.27 6.45
65 9.15 59.53 14.00 12.91 6.74
66 9.43 54.47 15.81 16.74 7.04
67 9.31 52.08 14.81 17.55 6.50
68 9.56 47.19 15.78 20.42 6.71
69 9.53 56.32 16.84 13.96 7.68
70 10.21 39.62 16.40 17.90 7.29
71 9.93 34.01 14.36 15.69 6.26
72 9.91 31.18 14.56 11.71 5.73
73 10.03 42.42 15.93 19.52 6.44
74 10.01 60.33 16.32 13.71 6.75
75 10.34 44.83 17.65 21.58 7.18
76 10.32 56.85 15.61 16.49 7.68
77 10.46 58.81 16.47 12.65 8.24
78 11.17 34.43 14.28 15.37 7.18
79 10.87 50.81 18.56 20.58 8.45
80 10.82 31.77 13.27 13.48 5.86
81 11.02 48.30 17.27 19.73 8.16
82 11.29 55.89 17.18 17.05 9.24
83 10.68 61.85 15.50 16.33 7.00
84 11.19 61.37 15.32 15.53 8.18
85 11.55 46.23 17.50 20.28 9.63
86 11.05 42.75 16.48 18.88 8.08
87 11.42 53.20 17.07 19.52 10.04
88 11.23 63.80 15.02 11.37 7.70
89 11.35 65.57 13.51 10.49 8.26
90 11.61 30.34 14.27 12.74 6.11
91 11.47 59.22 15.92 17.24 8.52
92 11.64 43.70 17.37 19.58 9.25
93 11.75 41.61 17.04 18.64 7.76
94 12.02 28.02 11.57 11.91 5.84
95 11.68 31.82 13.64 13.00 5.86
96 12.20 48.81 18.15 19.50 10.17
97 12.55 35.90 15.81 17.30 8.66
98 12.00 57.18 16.33 16.44 9.56
99 12.26 39.55 16.28 17.89 8.82
100 12.03 54.13 15.00 21.14 9.86
101 12.11 61.51 18.34 13.00 10.51
102 12.13 44.95 19.67 19.44 9.56
103 12.20 58.44 17.33 16.14 11.29
104 12.33 55.30 16.11 19.37 10.97
105 12.36 67.36 14.93 10.85 9.27
106 12.41 42.55 18.36 16.71 9.29
107 12.35 44.12 20.00 16.43 10.43
108 12.70 60.07 19.98 14.93 11.78
109 12.80 52.73 17.08 19.01 12.12
110 13.02 34.34 17.29 17.39 9.25
111 12.94 58.20 18.32 16.76 12.13
112 12.93 46.21 17.80 21.10 12.17
113 12.94 29.86 14.87 12.80 8.04
114 12.76 40.74 18.09 17.45 9.55
115 13.14 43.98 18.40 19.70 13.37
116 12.88 38.58 17.75 18.82 9.89
117 13.18 31.51 16.61 14.33 8.88
118 13.36 41.82 19.09 19.03 11.75
119 13.27 68.86 13.93 10.11 11.05
120 13.15 50.83 18.88 19.52 12.24
121 13.45 65.66 15.53 12.16 12.31
122 13.54 38.43 16.74 19.29 10.63
123 13.67 26.54 13.30 11.81 8.67
124 13.91 32.65 17.07 15.45 10.76
125 13.81 29.26 15.38 14.66 9.34
126 13.99 51.65 18.48 19.21 16.73
127 13.82 44.83 20.89 18.56 13.44
128 14.31 40.09 18.81 18.81 14.39
129 14.19 58.32 19.25 16.26 14.68
130 14.13 34.87 18.58 16.83 12.72
131 14.37 45.87 20.07 18.80 17.02
132 14.40 63.34 18.59 14.08 13.14
133 14.26 26.32 14.69 9.46 9.92
134 14.47 38.26 18.09 19.13 14.19
135 14.62 67.02 17.22 12.99 15.37
136 14.71 31.82 18.07 16.23 13.93
137 14.89 43.59 20.22 17.88 21.49
138 14.84 49.89 20.05 20.12 23.09
139 14.74 53.91 20.48 19.02 18.30
140 14.98 33.91 17.00 16.67 14.98
141 14.96 27.60 14.55 12.74 14.81
142 14.69 35.80 17.83 18.67 11.58
143 15.12 55.84 20.44 17.55 23.65
144 14.86 61.20 19.32 16.30 18.28
145 15.24 52.08 20.75 18.02 28.36
146 15.32 63.99 17.42 13.89 20.05
147 15.48 41.82 20.60 18.95 25.15
148 15.26 47.83 20.12 18.85 26.20
149 15.34 58.42 19.20 16.53 24.14
150 15.36 36.32 16.71 16.91 18.91
151 15.35 29.67 14.79 12.58 14.61
152 15.71 45.75 19.59 17.92 34.29
153 15.77 69.12 17.99 11.44 17.86
154 15.69 39.90 19.87 17.28 22.26
155 16.05 66.74 19.69 12.71 17.80
156 16.00 61.31 19.02 15.62 24.43
157 16.10 26.64 14.31 11.57 21.19
158 16.18 50.17 21.66 18.81 40.67
159 16.28 35.39 18.88 16.45 26.61
160 16.20 53.53 19.25 18.85 39.22
161 16.37 43.82 19.71 18.00 37.99
162 16.28 30.99 16.39 15.76 24.89
163 16.50 33.22 18.84 16.54 28.07
164 16.48 38.39 19.59 15.74 33.28
165 16.33 55.92 20.18 17.92 33.59
