#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl15 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.82 37.88 15.62 3.97 34.26
1 3.07 40.76 17.05 4.65 31.30
2 3.58 34.96 15.31 4.65 33.71
3 3.73 37.34 16.35 5.16 33.40
4 3.51 39.45 17.55 5.16 33.42
5 3.99 45.77 16.48 5.06 32.13
6 3.97 47.85 16.06 4.33 32.76
7 3.96 35.91 16.11 4.74 36.11
8 4.14 43.58 17.65 5.02 33.40
9 4.05 39.37 17.19 4.56 36.07
10 4.43 41.70 17.03 5.03 34.65
11 4.91 37.77 16.81 5.81 35.00
12 4.97 33.77 15.81 5.19 34.42
13 4.74 39.75 18.43 5.41 36.50
14 4.73 48.49 15.13 4.72 33.05
15 4.92 46.52 16.73 5.04 33.00
16 4.98 44.31 16.16 4.83 32.69
17 5.00 42.53 18.90 5.80 36.60
18 5.02 34.85 15.00 6.50 43.75
19 5.32 36.00 18.22 5.83 38.25
20 5.49 49.12 16.19 4.22 34.31
21 5.53 31.72 17.59 4.93 36.33
22 5.45 39.87 18.91 4.91 35.82
23 5.49 43.15 17.17 4.67 35.83
24 5.70 41.27 19.05 5.64 35.85
25 5.50 46.93 18.00 6.17 35.17
26 5.89 52.35 16.24 4.79 31.15
27 5.93 30.17 17.45 4.87 32.68
28 5.99 38.53 19.38 5.85 37.95
29 6.25 44.26 19.52 5.42 36.10
30 6.36 46.67 17.40 5.36 35.54
31 6.17 33.96 17.34 5.83 37.07
32 6.22 48.69 17.10 4.43 34.84
33 6.29 50.53 17.28 4.67 33.47
34 6.37 32.25 17.96 4.89 36.09
35 6.53 35.33 18.02 5.41 38.41
36 6.19 53.29 14.83 3.33 33.17
37 6.43 27.07 20.00 4.40 30.80
38 6.44 51.69 16.62 4.62 35.38
39 6.46 30.92 19.36 6.27 36.18
40 6.70 40.58 19.16 5.89 36.00
41 6.70 29.97 19.37 5.00 33.68
42 7.14 27.33 21.46 5.11 34.67
43 7.05 42.92 21.38 5.62 37.55
44 7.02 29.07 20.75 5.00 33.81
45 7.37 48.74 17.01 4.44 34.81
46 7.04 32.58 19.78 5.44 36.00
47 7.24 34.38 18.20 5.90 36.95
48 7.43 44.82 20.36 5.41 38.95
49 7.58 46.50 20.62 5.60 35.79
50 7.49 35.77 18.31 6.54 36.31
51 7.75 32.82 20.79 6.24 38.56
52 7.70 37.60 19.70 5.81 36.78
53 7.94 25.58 20.24 5.34 34.38
54 7.90 41.25 20.28 6.00 38.69
55 7.87 42.87 22.86 5.53 41.42
56 8.05 53.69 16.31 5.03 33.89
57 7.87 34.88 19.08 6.54 41.17
58 8.01 29.04 21.69 5.92 38.27
59 8.42 57.77 15.29 3.73 30.68
60 8.54 51.08 17.44 5.69 37.48
61 8.63 36.52 21.13 5.67 35.17
62 8.78 38.96 20.40 5.63 37.72
63 8.74 43.94 22.75 6.04 38.96
64 8.90 30.74 21.16 6.24 36.85
65 8.60 41.44 19.81 5.74 36.15
66 8.91 27.64 20.79 5.43 36.97
67 8.65 54.92 17.73 5.32 34.59
68 8.88 33.28 21.00 6.11 38.78
69 9.22 35.10 19.46 6.20 36.89
70 9.12 41.05 19.37 5.89 38.16
71 9.30 56.87 16.53 5.25 35.00
72 9.30 42.38 24.38 5.62 37.77
73 9.70 32.61 20.11 5.48 38.56
74 9.98 39.38 22.78 6.72 37.22
75 10.00 46.72 19.53 6.07 39.09
76 10.06 28.13 21.69 5.74 39.78
77 9.90 36.84 19.88 6.41 40.27
78 9.86 43.52 21.98 6.00 34.84
79 9.91 21.25 18.24 5.48 31.05
80 10.05 31.32 22.76 5.81 38.46
81 10.01 53.78 18.90 6.57 39.43
82 10.23 55.31 17.78 5.43 37.29
83 10.21 57.96 16.84 5.41 35.69
84 10.36 41.32 22.31 5.91 38.33
85 10.28 50.52 17.25 6.05 37.43
86 10.79 34.47 21.84 6.52 38.81
87 10.46 26.08 23.08 5.94 36.21
88 10.41 59.57 15.17 5.75 34.00
89 10.79 20.44 18.06 4.90 35.06
90 11.15 42.55 21.48 5.92 37.24
91 11.07 28.65 21.00 5.97 39.38
92 11.17 45.70 18.46 5.58 38.40
93 11.09 59.95 14.96 5.10 32.88
94 11.12 58.00 17.15 5.36 38.54
95 11.63 23.36 21.26 6.13 35.56
96 11.51 39.06 21.08 6.45 39.98
97 11.32 54.40 17.71 6.56 36.38
98 11.59 52.79 19.06 6.15 38.43
99 11.29 55.97 17.00 6.25 37.75
100 11.71 50.61 18.55 5.91 37.78
101 11.33 19.56 18.00 4.00 33.25
102 11.97 57.13 16.79 5.81 37.89
103 11.94 27.54 23.76 6.20 40.81
104 11.86 62.17 12.55 5.21 31.63
105 11.90 60.13 15.20 6.34 36.17
106 11.92 29.41 22.62 6.38 39.71
107 12.20 47.73 19.82 5.96 38.98
108 12.12 37.81 23.00 7.38 40.00
109 12.45 31.12 20.55 6.56 39.81
110 12.46 33.31 22.55 6.66 41.21
111 12.36 46.26 18.92 6.38 40.27
112 12.66 26.30 23.21 6.21 38.26
113 12.88 39.35 22.43 7.02 42.06
114 12.64 54.07 16.26 6.68 38.03
115 12.74 55.85 16.79 6.06 37.02
116 12.51 61.31 14.30 5.97 37.05
117 12.71 49.05 17.87 6.00 38.97
118 13.03 24.33 20.57 6.67 40.02
119 12.65 29.42 20.60 6.64 39.84
120 12.70 59.18 15.37 5.48 36.04
121 12.64 63.67 13.13 5.52 34.09
122 12.82 37.03 21.21 6.96 40.14
123 12.70 28.40 21.86 6.43 40.29
124 13.13 43.23 22.33 6.69 40.29
125 13.15 35.58 22.12 7.12 42.06
126 13.32 28.23 21.98 7.48 39.89
127 13.16 61.64 14.92 5.60 38.00
128 13.48 45.55 20.56 5.98 38.28
129 13.48 63.06 14.51 6.25 34.69
130 13.43 18.17 16.65 5.56 33.97
131 13.53 48.10 19.55 7.02 39.74
132 13.52 31.41 22.62 7.41 42.33
133 13.65 22.40 19.77 6.29 35.19
134 13.59 33.70 22.10 6.75 41.88
135 13.72 51.65 17.58 5.62 37.78
136 13.64 26.37 20.00 6.12 42.25
137 13.63 56.23 16.45 6.10 38.98
138 13.75 60.39 15.09 6.66 36.47
139 13.89 29.20 20.46 7.79 43.03
140 14.30 66.92 13.08 5.55 35.47
141 14.03 53.85 17.23 6.58 36.96
142 13.99 50.08 17.00 6.15 39.91
143 14.00 58.86 14.85 5.55 38.25
144 13.82 17.60 15.00 6.00 39.00
145 14.09 19.40 15.61 5.97 35.03
146 14.29 38.03 23.15 7.11 44.95
147 14.02 47.01 18.29 6.07 41.14
148 14.31 24.19 19.45 7.61 41.41
149 14.08 55.14 14.75 6.88 41.00
150 14.07 64.46 14.67 6.33 35.56
151 14.39 16.44 16.66 5.43 31.26
152 14.19 25.64 19.77 7.92 39.77
153 14.54 31.25 24.05 9.12 45.56
154 14.55 35.68 21.90 7.34 45.21
155 14.38 32.55 23.57 7.83 47.09
156 14.59 48.98 17.54 6.24 40.58
157 14.51 63.38 14.14 6.41 36.05
158 14.40 56.11 16.00 7.31 39.56
159 14.61 45.05 19.77 6.92 39.32
160 14.64 28.66 21.47 7.32 41.79
161 14.71 33.75 22.66 6.50 41.03
162 14.82 51.69 16.31 6.40 37.11
163 14.69 53.67 16.33 6.56 39.00
164 15.00 20.03 19.26 6.42 39.52
165 15.10 58.10 15.81 7.00 36.39
